date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,39.0,23.0,9.9,5.4,29.94,55.0,1.9
2014-01-02,0.0,37.3,25.0,9.1,5.4,29.84,63.0,4.1
2014-01-03,0.0,35.0,24.8,5.9,5.0,28.54,55.0,3.15
2014-01-04,0.3,36.8,23.0,7.5,2.8,28.72,65.0,1.8
2014-01-05,8.8,36.1,23.0,7.7,3.7,28.38,65.0,1.55
2014-01-06,0.0,37.0,23.2,4.7,3.5,28.08,71.0,1.7
2014-01-07,0.0,34.3,21.7,4.9,3.0,26.9,76.0,0.85
2014-01-08,0.0,35.7,21.0,8.4,2.8,28.2,60.0,2.0
2014-01-09,0.0,36.3,23.7,7.6,5.6,29.22,64.0,2.15
2014-01-10,0.0,33.7,23.5,5.7,4.2,27.84,66.0,2.1
2014-01-11,0.4,35.3,24.1,3.9,4.8,28.62,69.0,1.45
2014-01-12,0.0,32.8,23.3,1.0,2.6,27.4,82.0,2.65
2014-01-13,21.3,32.8,21.4,0.8,2.5,24.94,97.0,0.65
2014-01-14,23.8,32.4,21.0,3.9,1.4,26.4,93.0,1.8
2014-01-15,56.5,29.2,21.0,0.6,1.6,24.94,95.0,1.15
2014-01-16,0.0,33.3,22.0,7.4,0.8,27.04,76.0,0.65
2014-01-17,0.0,33.7,24.2,8.4,2.3,28.58,70.0,2.65
2014-01-18,0.0,33.7,24.3,9.3,3.7,28.78,64.0,2.15
2014-01-19,0.0,33.5,24.9,6.1,3.9,28.88,72.0,2.65
2014-01-20,0.6,32.1,24.1,1.7,2.1,26.78,87.0,1.9
2014-01-21,17.6,32.6,24.8,6.4,2.9,27.26,82.0,1.65
2014-01-22,0.0,33.5,23.4,6.5,3.5,28.0,70.0,1.65
2014-01-23,0.0,34.1,23.6,6.5,3.2,27.68,76.0,0.65
2014-01-24,0.0,31.4,24.1,0.8,3.2,27.06,79.0,1.45
2014-01-25,0.6,29.1,21.6,0.3,0.3,24.06,92.0,1.65
2014-01-26,38.0,31.8,20.6,7.0,1.6,25.24,92.0,1.95
2014-01-27,12.4,32.8,21.6,4.6,2.0,25.7,88.0,2.15
2014-01-28,24.8,28.8,21.5,0.1,1.2,24.72,94.0,0.4
2014-01-29,0.0,33.5,22.5,8.1,1.0,27.94,69.0,0.85
2014-01-30,0.8,32.8,23.3,3.3,3.0,26.48,87.0,1.5
2014-01-31,9.8,31.6,22.0,5.0,1.2,26.4,87.0,1.2
2014-02-01,14.0,32.6,22.1,5.0,1.8,27.0,82.0,1.0
2014-02-02,0.0,33.3,23.5,4.8,2.1,27.34,80.0,2.4
2014-02-03,3.0,32.4,23.5,3.0,2.2,27.38,81.0,1.6
2014-02-04,0.3,32.1,23.2,5.0,2.5,26.3,84.0,2.15
2014-02-05,16.6,31.9,22.0,5.5,2.5,26.52,82.0,2.15
2014-02-06,0.0,30.8,23.6,2.5,2.5,26.22,86.0,0.0
2014-02-07,0.3,32.0,22.5,6.8,2.5,27.2,73.0,0.0
2014-02-08,0.0,33.0,22.5,7.4,2.5,27.88,72.0,0.0
2014-02-09,58.1,31.0,20.4,5.6,2.5,25.56,89.0,0.0
2014-02-10,0.0,31.1,22.4,5.8,2.5,26.9,77.0,1.55
2014-02-11,0.0,32.3,22.2,6.8,2.5,26.94,80.0,2.15
2014-02-12,0.9,31.0,22.0,1.9,2.5,25.54,91.0,1.8
2014-02-13,13.9,31.3,22.6,2.7,2.5,26.7,84.0,1.3
2014-02-14,0.6,32.0,23.4,3.8,2.5,26.36,88.0,1.55
2014-02-15,32.6,31.2,21.0,5.7,2.5,26.08,82.0,0.65
2014-02-16,24.9,31.3,21.0,5.6,2.5,24.46,97.0,1.6
2014-02-17,27.8,30.4,21.2,2.9,2.5,25.44,84.0,2.55
2014-02-18,0.0,31.2,22.2,2.2,2.5,25.76,92.0,0.7
2014-02-19,4.8,30.6,23.2,1.7,2.5,26.54,89.0,1.05
2014-02-20,23.7,31.4,21.4,2.7,2.5,25.2,96.0,0.6
2014-02-21,12.1,31.3,22.0,2.2,2.5,25.96,84.0,1.8
2014-02-22,0.0,32.8,22.5,8.2,2.5,27.34,74.0,1.15
2014-02-23,0.0,32.6,22.5,8.8,2.5,27.42,95.0,0.55
2014-02-24,0.0,33.6,23.5,8.3,2.5,27.9,80.0,0.55
2014-02-25,0.0,33.4,23.2,7.3,2.5,28.16,80.0,0.85
2014-02-26,2.2,30.6,23.6,3.1,2.5,26.66,87.0,1.05
2014-02-27,10.7,31.5,20.9,2.2,2.5,26.68,79.0,2.2
2014-02-28,6.3,31.4,21.0,4.2,2.5,25.78,85.0,1.05
2014-03-01,0.4,31.8,21.4,2.3,2.5,26.08,91.0,1.8
2014-03-02,1.1,32.6,23.6,3.6,2.5,26.46,88.0,1.75
2014-03-03,0.5,31.2,23.4,2.9,2.5,26.88,85.0,1.55
2014-03-04,36.2,29.8,23.0,1.5,2.5,24.7,97.0,0.8
2014-03-05,2.3,31.8,21.2,7.9,2.5,26.88,82.0,2.3
2014-03-06,0.0,31.5,22.4,7.0,2.5,26.56,78.0,1.8
2014-03-07,0.4,33.3,21.8,3.8,2.5,26.52,78.0,1.8
2014-03-08,3.0,31.4,22.1,3.5,2.5,26.34,86.0,1.6
2014-03-09,0.0,32.1,23.0,7.2,2.5,27.52,72.0,1.15
2014-03-10,0.0,33.0,23.0,5.1,2.5,26.56,89.0,0.6
2014-03-11,2.8,32.8,22.9,7.5,2.5,26.7,87.0,2.6
2014-03-12,7.7,32.6,22.6,7.8,2.5,27.38,81.0,1.8
2014-03-13,52.6,32.2,21.0,5.2,2.5,26.02,87.0,2.2
2014-03-14,7.0,31.8,21.5,6.3,2.5,26.0,82.0,1.0
2014-03-15,0.0,32.0,21.4,5.3,2.5,25.1,89.0,2.2
2014-03-16,3.1,31.6,20.1,8.3,2.5,24.96,92.0,2.55
2014-03-17,15.6,31.8,20.1,7.3,2.5,26.28,82.0,1.25
2014-03-18,0.0,33.3,21.9,7.2,2.5,27.78,74.0,3.0
2014-03-19,0.0,33.0,21.4,6.7,2.5,26.88,68.0,1.15
2014-03-20,0.0,32.8,22.6,9.5,2.5,28.32,72.0,1.5
2014-03-21,0.0,33.7,23.6,9.0,2.9,27.82,76.0,0.85
2014-03-22,0.0,32.4,22.4,1.0,3.6,27.26,82.0,1.0
2014-03-23,0.0,33.1,23.9,4.8,2.0,27.18,77.5,1.209627
2014-03-24,1.2,32.6,22.7,7.4,3.0,27.44,78.0,0.8
2014-03-25,5.9,32.6,22.1,6.6,1.9,26.4,84.0,0.9
2014-03-26,2.8,32.4,21.2,6.4,2.6,26.38,83.0,0.55
