date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.6,22.5,10.3,4.0,27.6,81.0,0.4
2014-01-02,0.0,35.0,22.3,10.3,4.5,27.28,85.0,0.8
2014-01-03,5.2,30.5,22.1,1.9,3.2,24.78,94.0,0.0
2014-01-04,2.0,32.5,21.5,7.8,1.3,25.86,82.0,1.2
2014-01-05,0.0,33.5,21.9,7.5,2.5,26.58,88.0,0.95
2014-01-06,0.0,33.5,22.9,7.8,3.0,27.38,79.0,0.8
2014-01-07,0.0,31.1,21.9,3.6,3.1,26.26,84.0,0.3
2014-01-08,0.0,34.0,20.9,9.4,2.0,26.84,82.0,0.0
2014-01-09,0.0,33.5,21.2,7.2,5.5,26.48,86.0,1.0
2014-01-10,0.0,32.5,23.1,7.5,7.0,26.82,80.0,1.2
2014-01-11,0.0,31.8,22.5,2.8,1.6,26.64,82.0,0.4
2014-01-12,0.0,32.5,22.3,1.5,0.9,26.86,85.0,0.5
2014-01-13,39.9,28.5,20.5,0.1,1.0,24.18,91.0,0.8
2014-01-14,0.0,32.0,21.3,5.9,1.5,26.38,82.0,0.9
2014-01-15,45.0,28.2,21.3,0.9,2.2,24.12,94.0,0.0
2014-01-16,0.0,32.5,22.5,4.7,0.8,26.46,90.0,0.5
2014-01-17,0.0,32.5,23.3,5.4,1.2,27.3,84.0,0.55
2014-01-18,0.0,34.0,23.3,7.1,3.0,27.6,91.0,0.15
2014-01-19,0.0,32.5,23.1,1.4,3.0,27.18,90.0,0.8
2014-01-20,7.1,27.5,23.9,1.3,1.5,25.24,93.0,1.8
2014-01-21,4.2,31.5,22.7,7.3,1.7,26.08,93.0,0.0
2014-01-22,0.0,32.5,22.7,3.8,2.0,26.68,89.0,0.8
2014-01-23,0.0,33.0,22.9,7.3,2.3,27.64,81.0,0.95
2014-01-24,0.0,28.3,22.8,0.6,2.8,24.96,88.0,2.0
2014-01-25,0.0,29.0,21.3,0.6,1.7,23.7,87.0,0.25
2014-01-26,24.4,29.5,19.9,1.4,1.0,23.66,96.0,1.6
2014-01-27,0.0,27.0,19.9,0.5,1.5,23.9,92.0,0.3
2014-01-28,18.4,31.0,21.2,1.3,1.0,25.64,90.0,0.95
2014-01-29,0.0,33.0,21.5,7.5,2.0,26.72,87.0,0.8
2014-01-30,0.0,31.5,23.5,2.4,3.3,26.12,85.0,0.65
2014-01-31,0.0,29.0,22.9,5.9,2.0,25.2,95.0,0.15
2014-02-01,0.0,31.2,22.9,2.8,1.2,26.1,90.0,0.75
2014-02-02,0.0,34.0,23.5,8.0,1.5,27.64,86.0,0.7
2014-02-03,0.0,28.5,23.8,0.5,3.8,25.66,94.0,1.15
2014-02-04,6.4,30.5,23.7,0.7,1.2,25.64,92.0,1.15
2014-02-05,0.0,27.0,21.9,4.9,1.0,24.56,93.0,0.15
2014-02-06,0.0,32.2,22.7,0.1,1.1,25.76,94.0,1.6
2014-02-07,0.0,33.0,21.9,6.2,1.9,26.22,92.0,0.15
2014-02-08,0.0,30.0,22.8,1.6,2.0,25.66,91.0,0.15
2014-02-09,24.2,31.0,20.9,3.1,1.0,25.12,86.0,0.5
2014-02-10,0.0,34.5,22.2,2.8,2.0,26.84,90.0,0.8
2014-02-11,0.0,32.5,23.5,4.4,2.5,26.66,91.0,1.0
2014-02-12,4.0,30.0,22.9,1.7,2.0,25.46,93.0,0.5
2014-02-13,4.2,30.8,23.0,2.1,1.0,25.76,94.0,0.8
2014-02-14,4.0,32.0,23.1,2.0,1.3,25.64,23.0,0.95
2014-02-15,30.4,31.5,21.9,4.8,1.7,25.38,88.0,1.55
2014-02-16,0.0,30.5,22.3,1.1,1.7,25.86,83.0,0.75
2014-02-17,0.0,30.5,22.4,1.8,2.3,25.28,93.0,0.3
2014-02-18,0.0,32.0,22.3,5.9,2.0,25.36,91.0,0.7
2014-02-19,69.2,29.0,22.3,1.7,2.0,25.08,93.0,0.8
2014-02-20,0.0,29.0,21.5,0.7,1.0,24.78,89.0,0.95
2014-02-21,1.3,32.0,21.9,3.4,1.4,25.78,93.0,0.15
2014-02-22,0.0,31.5,21.6,0.6,2.2,25.6,92.0,0.5
2014-02-23,0.0,32.0,21.9,5.6,2.5,26.6,88.0,1.15
2014-02-24,0.0,32.0,22.1,4.7,2.4,26.52,91.0,1.0
2014-02-25,10.2,32.2,21.9,4.3,1.6,25.92,91.0,0.15
2014-02-26,0.0,33.0,21.9,6.9,1.6,26.76,86.0,0.8
2014-02-27,0.0,29.5,21.7,1.3,2.9,25.02,92.0,0.15
2014-02-28,5.2,31.5,21.7,2.2,1.5,25.08,85.0,1.3
2014-03-01,0.0,32.0,20.1,4.7,1.7,25.76,90.0,0.0
2014-03-02,0.0,31.5,23.5,2.0,2.3,26.14,92.0,0.0
2014-03-03,12.3,29.5,22.9,0.3,1.2,25.54,94.0,1.05
2014-03-04,23.6,27.0,22.3,0.2,1.7,24.84,93.0,0.3
2014-03-05,0.0,30.0,22.3,3.8,0.4,26.04,93.0,0.25
2014-03-06,2.0,31.0,23.9,4.0,1.5,25.98,94.0,1.6
2014-03-07,16.3,33.0,22.5,8.2,0.5,26.56,89.0,0.55
2014-03-08,0.0,30.5,22.3,1.6,3.8,26.22,91.0,1.6
2014-03-09,0.0,33.6,23.2,1.6,1.9,27.18,87.0,0.65
2014-03-10,3.0,32.0,21.9,7.4,2.6,25.84,91.0,0.3
2014-03-11,0.0,32.0,22.7,4.5,2.2,25.92,90.0,0.3
2014-03-12,9.4,30.5,22.7,3.9,1.5,26.34,90.0,0.8
2014-03-13,0.0,31.3,22.5,6.2,2.0,26.22,90.0,0.35
2014-03-14,1.0,32.5,21.3,8.1,2.0,26.08,89.0,0.8
2014-03-15,0.0,30.0,22.3,3.7,2.3,25.0,93.0,0.15
2014-03-16,32.2,31.5,21.5,5.0,1.2,25.1,93.0,0.35
2014-03-17,4.0,32.0,21.5,7.8,1.5,26.52,89.0,0.35
2014-03-18,0.0,33.0,22.5,7.5,2.5,26.56,88.0,0.95
2014-03-19,8.4,31.5,22.5,4.4,2.0,26.02,93.0,0.25
2014-03-20,0.0,32.5,21.7,10.1,1.6,27.18,82.0,1.15
2014-03-21,0.0,33.0,23.9,8.2,3.0,27.18,86.0,1.2
2014-03-22,0.0,33.5,22.3,6.9,2.4,27.5,87.0,0.0
2014-03-23,0.0,32.0,24.1,2.5,2.5,26.32,94.0,0.3
2014-03-24,2.1,33.0,23.1,7.9,1.5,27.28,89.0,0.25
2014-03-25,0.0,32.5,22.5,7.4,2.8,26.5,89.0,0.3
2014-03-26,9.2,32.0,21.5,9.6,2.2,26.08,91.0,0.0
2014-03-27,0.0,33.5,21.7,8.1,2.5,26.92,90.0,0.4
2014-03-28,0.0,29.6,22.9,1.1,2.5,25.04,94.0,0.4
2014-03-29,33.7,31.0,21.3,5.6,1.0,25.26,93.0,0.0
2014-03-30,6.0,31.5,22.1,3.0,1.5,25.54,95.0,0.15
2014-03-31,18.0,32.0,23.5,4.9,1.0,26.4,92.0,0.15
2014-04-01,0.0,33.5,21.9,8.9,2.0,26.74,89.0,0.15
2014-04-02,0.0,32.0,22.2,4.9,2.5,26.1,89.0,0.8
2014-04-03,0.0,30.0,22.2,1.6,1.6,26.1,90.0,0.15
2014-04-04,0.0,31.0,23.1,3.8,1.9,26.2,92.0,0.0
2014-04-05,11.3,33.0,23.1,7.5,1.1,26.92,90.0,0.8
2014-04-06,0.0,32.0,22.3,5.6,1.9,26.4,91.0,1.45
2014-04-07,0.0,33.0,23.1,6.4,2.5,26.44,89.0,0.5
2014-04-08,8.0,32.5,21.5,4.5,2.0,25.78,93.0,0.95
2014-04-09,0.0,30.5,21.7,3.3,1.5,25.5,92.0,2.05
2014-04-10,6.4,30.6,21.5,3.4,1.0,24.92,93.0,0.0
2014-04-11,6.0,30.0,21.5,2.8,1.5,25.38,92.0,0.5
2014-04-12,11.2,31.5,23.1,5.3,1.5,26.3,95.0,0.0
2014-04-13,0.0,33.5,22.3,10.1,1.0,27.32,26.0,1.2
2014-04-14,11.4,33.0,22.1,7.8,2.8,26.48,90.0,0.0
2014-04-15,2.4,32.0,22.7,6.6,2.4,26.34,92.0,0.15
2014-04-16,4.4,30.6,23.9,2.9,1.8,25.72,94.0,0.4
2014-04-17,21.4,31.0,21.8,4.6,1.0,25.3,93.0,0.0
2014-04-18,17.0,32.5,22.3,4.5,1.5,25.58,94.0,0.0
2014-04-19,18.2,32.5,22.1,3.6,1.3,25.58,93.0,0.0
2014-04-20,3.2,31.0,22.9,3.6,1.2,26.16,91.0,0.0
2014-04-21,3.4,32.0,22.3,7.9,3.0,26.56,91.0,0.4
2014-04-22,0.0,30.0,22.5,2.8,0.2,25.62,94.0,1.6
2014-04-23,36.5,31.5,21.9,6.1,1.2,26.06,95.0,0.8
2014-04-24,0.0,33.5,22.9,8.9,2.2,27.1,92.0,0.25
2014-04-25,0.0,31.0,21.9,3.9,2.0,26.38,94.0,0.5
2014-04-26,0.0,31.0,21.9,3.8,1.9,26.14,91.0,0.8
2014-04-27,0.0,32.5,22.3,8.4,1.8,26.7,85.0,0.15
2014-04-28,0.0,31.0,23.7,5.2,2.5,26.56,93.0,0.0
2014-04-29,0.0,32.5,22.9,9.6,2.8,26.74,96.0,2.6
2014-04-30,0.0,31.0,21.2,7.2,3.5,25.8,80.0,2.05
2014-05-01,0.0,31.0,21.9,6.1,3.8,26.84,78.0,1.65
2014-05-02,0.0,32.5,22.7,5.7,3.1,27.02,83.0,1.4
2014-05-03,0.0,32.2,22.9,6.9,3.3,27.04,86.0,0.55
2014-05-04,0.0,32.0,23.1,6.7,2.7,27.2,81.0,0.5
2014-05-05,0.0,32.0,23.1,10.4,3.3,26.88,72.0,1.65
2014-05-06,0.0,33.0,21.7,6.8,4.0,26.84,80.0,0.95
2014-05-07,20.0,29.0,21.9,1.2,3.1,24.84,94.0,0.0
2014-05-08,1.2,31.5,21.7,4.7,1.0,26.1,92.0,1.65
2014-05-09,0.0,33.8,22.3,7.6,3.4,26.6,91.0,0.4
2014-05-10,0.0,33.5,21.9,7.5,1.0,26.94,88.0,0.0
2014-05-11,0.0,30.5,21.9,1.6,2.9,25.38,93.0,0.35
2014-05-12,0.0,30.5,22.1,4.5,1.0,26.02,89.0,1.95
2014-05-13,0.0,32.5,23.3,10.4,2.5,26.66,79.0,1.8
2014-05-14,0.0,32.0,20.5,8.0,3.5,26.02,84.0,0.35
2014-05-15,0.0,33.5,21.3,6.2,3.0,26.76,89.0,0.8
2014-05-16,25.0,30.5,22.9,5.2,3.1,25.98,93.0,0.0
2014-05-17,30.0,32.5,20.9,6.5,1.4,25.82,93.0,0.55
2014-05-18,3.0,33.0,22.9,7.5,2.0,27.16,89.0,0.0
2014-05-19,0.0,33.5,22.2,7.6,2.3,26.8,91.0,0.0
2014-05-20,0.0,33.0,21.9,10.2,2.5,26.52,85.0,0.15
2014-05-21,0.0,32.0,20.9,10.2,2.0,26.34,85.0,0.8
2014-05-22,0.0,32.5,22.3,7.0,3.3,27.42,78.0,0.0
2014-05-23,0.0,33.5,22.3,9.1,3.4,27.26,86.0,0.15
2014-05-24,12.0,33.5,22.5,6.7,2.8,26.46,93.0,0.65
2014-05-25,9.0,29.5,22.0,2.3,1.0,25.18,95.0,0.0
2014-05-26,19.0,30.5,22.5,5.3,2.0,26.28,89.0,0.8
2014-05-27,0.0,31.5,21.7,8.0,1.5,25.58,92.0,0.7
2014-05-28,0.0,33.0,19.3,9.6,2.5,25.84,87.0,0.15
2014-05-29,0.0,32.0,21.7,4.9,3.0,25.64,90.0,0.35
2014-05-30,0.0,32.5,21.3,8.4,2.0,26.1,88.0,0.15
2014-05-31,0.0,32.0,20.3,1.1,3.4,25.44,80.0,1.65
2014-06-01,0.0,32.0,18.9,10.3,3.1,25.28,83.0,1.05
2014-06-02,0.0,33.5,18.8,10.5,3.5,25.64,87.0,0.0
2014-06-03,0.0,32.5,19.4,6.8,3.3,25.44,93.0,0.0
2014-06-04,0.0,33.5,20.9,10.7,2.0,26.62,85.0,0.0
2014-06-05,0.0,34.0,20.5,10.3,3.2,26.54,84.0,0.533333
2014-06-06,0.0,33.0,23.7,10.2,4.9,26.78,84.0,0.0
2014-06-07,0.0,33.0,20.1,10.2,2.6,26.16,85.0,0.0
2014-06-08,0.0,32.0,20.1,9.0,3.0,25.74,86.0,1.05
2014-06-09,0.0,33.0,20.1,10.2,3.5,26.4,79.0,1.5
2014-06-10,0.0,33.5,19.7,10.4,4.0,26.28,79.0,1.0
2014-06-11,0.0,32.0,19.7,9.6,4.5,24.92,79.0,2.2
2014-06-12,0.0,33.5,17.5,9.5,4.1,24.66,78.0,2.8
2014-06-13,0.0,33.0,17.3,10.2,4.4,24.96,81.0,1.0
2014-06-14,0.0,33.7,19.9,8.1,3.8,26.1,85.0,0.0
2014-06-15,0.0,32.8,20.7,8.3,3.3,25.32,89.0,0.0
2014-06-16,0.0,33.0,21.3,9.6,4.0,26.72,75.0,1.0
2014-06-17,0.0,32.5,20.5,8.6,5.2,26.08,76.0,1.95
2014-06-18,0.0,33.0,20.9,10.1,4.4,26.42,79.0,0.0
2014-06-19,0.0,33.5,20.7,10.4,3.6,27.02,74.0,1.0
2014-06-20,0.0,33.0,20.9,8.5,3.9,26.32,80.0,0.8
2014-06-21,0.0,33.0,18.5,10.3,3.5,25.58,78.0,0.0
2014-06-22,0.0,33.5,17.3,10.3,4.0,24.98,74.0,1.8
2014-06-23,0.0,33.0,17.3,10.4,5.0,25.44,79.0,1.0
2014-06-24,0.0,33.0,18.9,10.0,4.8,26.16,72.0,1.15
2014-06-25,0.0,33.0,22.0,9.1,4.7,26.62,78.0,1.0
2014-06-26,0.0,33.2,20.1,10.0,4.3,26.22,76.0,1.25
2014-06-27,0.0,33.0,20.2,6.1,4.8,25.86,85.0,0.4
2014-06-28,0.0,33.0,20.3,9.0,3.4,26.48,80.0,0.0
2014-06-29,0.0,34.0,20.1,10.3,5.0,26.74,74.0,0.65
2014-06-30,0.0,34.0,19.9,6.9,4.2,25.56,90.0,0.35
2014-07-01,0.0,33.2,17.9,7.1,3.5,25.04,88.0,0.0
2014-07-02,0.0,33.0,18.7,7.5,3.0,25.2,88.0,0.25722
2014-07-03,0.0,33.0,17.5,10.2,4.5,25.06,82.0,0.15
2014-07-04,0.0,33.0,19.1,9.4,5.3,25.8,77.0,2.05
2014-07-05,0.0,33.0,17.9,10.3,5.4,25.68,69.0,1.8
2014-07-06,0.0,33.0,16.4,10.4,6.5,25.34,73.0,1.05
2014-07-07,0.0,33.0,17.9,10.6,4.5,24.6,71.0,1.15
2014-07-08,0.0,33.0,15.8,10.6,2.0,24.4,78.0,0.95
2014-07-09,0.0,33.0,17.9,10.6,5.5,25.3,77.0,1.25
2014-07-10,0.0,34.0,18.7,10.2,4.5,26.6,69.0,1.25
2014-08-01,0.0,34.0,20.3,8.8,4.3,25.8,70.0,0.0
2014-08-02,0.0,35.0,16.9,10.4,7.2,25.14,71.0,0.0
2014-08-03,0.0,35.0,17.4,10.7,4.5,26.18,72.0,0.8
2014-08-04,0.0,35.0,19.3,10.1,6.5,27.32,66.0,0.25
2014-08-05,0.0,35.5,20.3,10.4,5.0,27.12,68.0,0.51444
2014-08-06,0.0,36.0,19.3,9.8,6.0,26.72,67.0,0.5
2014-08-07,0.0,34.6,19.9,10.2,8.0,26.92,62.0,2.95
2014-08-08,0.0,34.5,19.9,10.8,7.5,26.8,61.0,1.8
2014-08-09,0.0,36.1,20.1,10.9,6.0,27.46,59.0,0.0
2014-08-10,0.0,31.0,17.9,10.9,7.0,26.16,61.0,1.0
2014-08-11,0.0,35.0,17.3,10.6,6.4,26.42,58.0,1.0
2014-08-12,0.0,34.0,16.4,10.8,6.7,26.0,57.0,1.25
2014-08-13,0.0,35.0,15.4,10.7,6.0,26.12,56.0,0.9
2014-08-14,0.0,36.0,15.4,10.4,6.5,26.0,58.0,1.0
2014-08-15,0.0,34.0,16.3,10.9,8.5,26.58,49.0,1.8
2014-08-16,0.0,34.5,22.5,10.9,8.5,27.98,46.0,2.0
2014-08-17,0.0,34.0,17.9,10.4,7.0,26.2,60.0,1.0
2014-08-18,0.0,34.0,19.4,10.4,3.6,26.1,65.0,1.75
2014-08-19,0.0,35.0,16.3,10.8,10.4,26.52,54.0,1.05
2014-08-20,0.0,35.2,17.0,10.9,8.0,26.46,72.0,1.65
2014-08-21,0.0,35.0,19.0,10.4,10.7,27.06,56.0,1.0
2014-08-22,0.0,35.0,20.3,9.5,3.3,27.94,50.0,0.75
2014-08-23,0.0,35.5,19.9,11.0,6.5,27.52,58.0,0.35
2014-08-24,0.0,35.5,18.8,11.0,8.0,26.58,67.0,0.0
2014-08-25,0.0,36.0,20.7,11.0,13.0,28.38,56.0,1.0
2014-08-26,0.0,35.5,18.5,10.8,7.0,27.68,51.0,2.45
2014-08-27,0.0,35.5,18.3,11.1,8.1,27.08,57.0,0.65
2014-08-28,0.0,35.6,18.7,10.2,7.6,27.42,61.0,0.0
2014-08-29,0.0,37.5,23.1,7.6,6.0,29.26,66.0,0.8
2014-08-30,30.0,34.5,21.7,10.0,5.1,27.72,76.0,0.0
2014-08-31,0.0,36.5,21.1,10.1,4.7,27.26,66.0,0.51444
2014-09-01,0.0,35.0,20.3,10.4,6.0,27.16,68.0,0.8
2014-09-02,0.0,36.0,18.1,10.2,4.7,27.72,57.0,0.8
2014-09-03,0.0,36.5,19.7,10.3,6.8,28.1,62.0,0.4
2014-09-04,0.0,36.0,21.5,4.9,7.0,28.24,75.0,1.0
2014-09-05,0.0,34.0,22.1,5.4,4.6,26.12,82.0,0.8
2014-09-06,2.4,34.0,20.7,9.7,3.5,27.4,62.0,1.0
2014-09-07,5.6,35.0,21.3,8.7,5.6,27.48,54.0,1.75
2014-09-08,0.0,35.2,18.1,10.8,8.4,27.6,57.0,1.0
2014-09-09,0.0,35.5,21.5,9.4,7.0,28.66,58.0,2.05
2014-09-10,0.0,37.0,20.1,4.2,7.5,29.74,42.0,1.8
2014-09-11,0.0,36.0,22.5,10.8,4.2,28.9,47.0,1.0
2014-09-12,0.0,36.0,19.5,14.3,14.3,27.96,62.0,1.65
2014-09-13,0.0,37.0,23.3,1.5,7.3,29.68,52.0,1.15
2014-09-14,0.0,37.0,22.6,10.4,8.6,29.18,52.0,0.15
2014-09-15,0.0,36.5,20.1,10.0,7.6,27.78,63.0,0.55
2014-09-16,0.0,37.0,20.3,9.9,7.0,29.56,52.0,1.0
2014-09-17,0.0,37.0,22.1,9.2,7.5,29.08,62.0,0.0
2014-09-18,0.0,36.0,22.0,6.3,11.0,28.58,70.0,0.35
2014-09-19,0.0,36.8,19.7,8.8,4.5,28.58,70.0,0.8
2014-09-20,0.0,35.5,20.7,6.0,6.3,28.58,70.0,0.4
2014-09-21,0.0,38.7,22.1,10.2,4.7,29.78,54.0,0.4
2014-09-22,0.0,36.5,23.5,6.9,7.0,29.82,69.0,0.0
2014-09-23,3.4,33.5,23.5,2.2,5.7,26.74,82.0,1.15
2014-09-24,13.2,35.0,22.2,8.1,2.0,28.42,73.0,0.0
2014-09-25,0.0,36.0,21.9,7.9,5.8,28.32,76.0,0.15
2014-09-26,0.0,37.0,21.5,9.6,5.5,28.76,69.0,0.77166
2014-09-27,0.0,37.0,21.5,9.4,7.5,29.5,66.0,0.0
2014-09-28,0.0,37.0,21.3,10.5,6.5,29.68,65.0,1.0
2014-09-29,0.0,37.0,23.0,9.7,9.3,29.78,60.0,1.02888
2014-09-30,0.0,36.0,22.7,10.1,7.7,29.76,66.0,0.65
2014-10-01,0.0,34.6,23.0,5.3,5.7,27.5,84.0,0.0
2014-10-02,4.1,33.5,20.9,7.7,3.2,27.68,74.0,1.3
2014-10-03,0.0,31.0,22.3,3.2,4.6,25.72,86.0,1.8
2014-10-04,20.0,30.5,22.1,4.4,1.5,26.22,85.0,0.65
2014-10-05,0.0,34.0,20.7,11.0,5.5,27.4,71.0,1.75
2014-10-06,0.0,35.0,20.7,11.0,7.5,28.36,61.0,1.0
2014-10-07,0.0,35.2,21.1,8.9,8.5,28.22,65.0,1.65
2014-10-08,0.0,36.0,22.7,10.4,8.5,29.44,60.0,1.65
2014-10-09,0.0,36.5,22.5,10.7,8.8,29.7,60.0,1.65
2014-10-10,0.0,37.0,25.9,10.5,9.5,30.52,55.0,2.15
2014-10-11,0.0,37.0,22.3,9.6,9.2,30.46,60.0,1.0
2014-10-12,0.0,37.5,22.5,8.9,7.3,30.52,56.0,1.8
2014-10-13,0.0,37.5,24.1,8.0,8.2,30.52,58.0,0.8
2014-10-14,0.0,37.2,21.3,9.1,8.5,29.7,61.0,0.8
2014-10-15,0.0,36.6,21.1,10.0,6.8,29.44,61.0,0.25
2014-10-16,0.0,37.2,21.3,9.3,7.7,29.24,66.0,0.25722
2014-10-17,0.0,36.0,24.1,5.8,10.0,29.52,71.0,0.25
2014-10-18,0.0,36.0,24.1,8.2,7.0,29.64,68.0,1.05
2014-10-19,0.0,37.5,22.9,10.5,6.5,26.08,57.0,0.0
2014-10-20,0.0,37.0,23.9,10.4,7.0,30.66,61.0,0.15
2014-10-21,0.0,35.0,23.7,3.2,7.0,28.88,68.0,0.0
2014-10-22,21.4,30.5,22.9,3.1,2.5,26.22,89.0,0.0
2014-10-23,22.0,29.5,19.9,0.0,4.5,25.08,86.0,0.8
2014-10-24,0.0,34.5,20.9,7.3,2.0,27.28,79.0,0.25
2014-10-25,0.0,34.0,20.9,6.8,4.7,28.28,71.0,0.4
2014-10-26,0.0,36.5,22.1,10.0,4.8,28.98,63.0,0.4
2014-10-27,0.0,36.0,21.3,8.4,5.8,28.76,63.0,0.25
2014-10-28,0.0,36.5,21.2,6.3,5.9,28.68,64.0,0.8
2014-10-29,0.0,33.5,23.0,1.0,6.3,26.46,86.0,0.0
2014-10-30,0.0,32.2,21.7,3.5,3.0,26.46,86.0,0.8
2014-10-31,0.0,34.0,21.5,5.8,3.5,26.46,67.0,0.25
2014-11-01,0.0,35.0,21.9,7.6,5.3,28.4,67.0,0.0
2014-11-02,0.0,37.0,21.7,9.0,5.2,29.54,66.0,1.6
2014-11-03,3.0,30.4,22.5,0.4,6.0,25.6,87.0,0.0
