date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.5,23.7,10.6,4.9,28.04,74.25,0.266667
2014-01-02,0.1,35.1,23.3,9.7,5.1,29.22,74.25,0.666667
2014-01-03,0.0,32.9,24.5,5.5,5.1,27.46,81.5,0.6
2014-01-04,0.0,33.4,23.5,7.1,0.5,27.12,81.75,1.0
2014-01-05,5.1,33.1,22.4,10.9,7.9,27.82,75.25,0.166667
2014-01-06,0.0,34.3,23.5,8.2,4.5,28.58,72.75,0.43333299999999997
2014-01-07,4.6,33.3,23.3,6.4,4.1,27.34,80.5,0.9
2014-01-08,0.0,32.4,22.6,5.7,4.0,25.96,82.25,0.333333
2014-01-09,0.1,32.4,21.9,6.7,2.9,26.78,82.75,0.666667
2014-01-10,0.0,31.7,21.7,3.4,3.2,25.9,86.25,0.4
2014-01-11,0.0,32.8,22.7,8.4,2.7,26.64,85.75,1.333333
2014-01-12,18.9,26.2,22.4,0.0,3.1,23.96,94.0,0.0
2014-01-13,0.0,33.1,22.8,0.0,0.5,26.06,86.25,0.1
2014-01-14,1.9,33.1,23.0,0.0,3.0,27.02,83.0,0.333333
2014-01-15,61.3,26.9,21.4,0.0,1.5,23.74,96.0,0.43333299999999997
2014-01-16,0.0,32.8,21.7,0.0,2.8,26.34,87.5,0.266667
2014-01-17,0.0,33.3,23.5,0.0,2.6,27.34,83.0,0.766667
2014-01-18,0.0,33.5,23.5,0.0,3.2,28.0,81.0,0.466667
2014-01-19,0.0,34.2,24.0,0.0,3.2,28.28,80.5,0.0
2014-01-20,1.6,31.1,23.8,0.0,2.9,25.62,93.25,0.333333
2014-01-21,13.8,28.5,23.3,0.0,1.8,25.26,95.5,0.633333
2014-01-22,0.0,34.3,23.9,0.0,0.9,27.94,78.25,1.033333
2014-01-23,1.5,33.7,22.9,0.0,3.4,27.7,80.25,0.533333
2014-01-24,0.6,31.3,23.5,0.0,3.4,25.7,88.5,0.5
2014-01-25,3.7,31.5,22.7,0.0,1.2,25.74,82.75,0.366667
2014-01-26,0.0,31.5,20.7,0.0,3.6,25.88,75.5,0.566667
2014-01-27,0.0,32.7,21.3,0.0,5.1,24.6,90.0,0.5
2014-01-28,27.9,30.5,21.3,0.0,0.8,25.34,86.75,1.233333
2014-01-29,0.0,34.1,22.3,0.0,2.0,26.82,81.0,0.333333
2014-01-30,9.2,30.5,23.3,0.0,2.9,25.9,87.5,0.333333
2014-01-31,0.0,33.6,24.0,0.0,5.2,27.52,76.75,0.333333
2014-02-01,0.0,28.9,23.7,0.0,3.9,25.54,86.75,0.566667
2014-02-02,0.0,37.0,23.6,8.4,1.6,27.16,88.75,0.766667
2014-02-03,0.2,31.0,24.7,0.2,3.0,26.74,88.0,0.666667
2014-02-04,4.8,30.4,24.0,0.2,1.9,25.7,95.75,0.866667
2014-02-05,5.8,33.2,22.5,0.2,1.5,27.04,76.5,0.166667
2014-02-06,0.0,29.7,22.1,0.2,2.8,24.58,92.0,0.566667
2014-02-07,10.8,33.4,21.6,0.2,1.4,26.52,81.5,0.266667
2014-02-08,4.3,33.1,22.3,0.2,3.0,25.94,87.5,0.2
2014-02-09,6.4,33.7,23.3,0.2,2.4,27.86,80.0,0.266667
2014-02-10,0.0,32.7,23.9,0.2,4.6,27.38,81.25,0.8
2014-02-11,0.0,33.1,23.1,0.2,1.2,25.94,86.5,0.766667
2014-02-12,7.4,30.6,22.9,0.2,1.2,26.16,83.25,0.633333
2014-02-13,37.8,30.0,22.3,0.2,2.3,25.6,84.5,0.166667
2014-02-14,0.0,31.0,23.3,0.2,1.0,27.36,79.75,0.533333
2014-02-15,34.0,33.7,23.3,0.2,2.1,26.54,85.75,0.166667
2014-02-16,66.4,30.2,22.4,0.2,2.4,25.8,89.0,0.366667
2014-02-17,44.0,31.1,22.3,0.2,1.7,25.42,87.5,0.7
2014-02-18,0.6,30.7,23.3,0.2,1.6,25.86,90.75,0.23333299999999998
2014-02-19,15.8,29.7,22.5,0.2,1.2,25.7,93.0,0.533333
2014-02-20,4.8,30.9,23.3,0.2,1.4,26.18,88.0,0.533333
2014-02-21,0.6,33.0,23.1,0.2,2.0,27.04,81.5,0.7
2014-02-22,0.0,32.3,24.3,0.2,2.4,27.12,87.0,0.366667
2014-02-23,0.0,34.8,23.8,0.2,2.1,27.88,74.0,0.266667
2014-02-24,0.0,33.6,22.5,0.2,4.5,27.88,83.75,1.066667
2014-02-25,0.0,32.3,23.1,0.2,3.7,26.32,88.0,0.566667
2014-02-26,9.6,32.5,23.3,0.2,2.3,27.5,83.5,0.933333
2014-02-27,0.0,32.6,23.0,0.2,3.0,25.58,87.75,1.033333
2014-02-28,25.8,33.2,22.1,0.2,1.1,27.24,83.5,1.2
2014-03-01,21.8,33.3,21.9,0.2,1.4,26.42,86.75,0.2
2014-03-02,20.4,31.0,22.9,0.2,5.1,26.34,83.25,0.1
2014-03-03,3.0,33.1,23.0,0.2,1.8,25.6,86.5,0.866667
2014-03-04,30.4,31.3,22.8,0.2,2.1,25.58,92.25,0.666667
2014-03-05,44.8,32.3,22.8,0.2,1.8,27.02,87.75,0.7
2014-03-06,19.4,27.7,24.9,0.2,2.6,25.26,94.25,0.0
2014-03-07,6.5,29.3,22.9,0.2,0.5,25.66,88.0,0.7
2014-03-08,0.0,33.2,22.5,0.2,1.7,26.4,86.75,0.2
2014-03-09,0.0,31.3,24.1,0.2,2.7,26.84,82.5,0.933333
2014-03-10,0.0,32.4,23.7,0.2,2.5,26.86,86.25,0.633333
2014-03-11,3.6,31.7,23.0,0.2,2.8,25.82,91.0,0.1
2014-03-12,0.0,32.7,23.7,0.2,1.5,26.96,84.25,0.533333
2014-03-13,0.0,33.5,23.5,0.2,2.8,27.36,82.5,0.266667
2014-03-14,8.4,32.6,22.5,0.2,3.0,26.62,84.25,0.333333
