date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,0.0,25.0,0.7,1.8,0.0,88.75,1.066667
2014-01-02,0.0,0.0,25.6,7.4,3.8,0.0,77.75,2.1333330000000004
2014-01-03,0.4,0.0,25.3,9.6,3.6,0.0,71.25,3.1
2014-01-04,0.0,0.0,25.6,5.0,4.2,0.0,79.5,2.4666669999999997
2014-01-05,12.6,0.0,22.8,9.8,2.8,0.0,76.75,2.8666669999999996
2014-01-06,0.0,0.0,25.5,7.0,3.0,0.0,76.5,2.3
2014-01-07,4.0,0.0,22.5,1.7,2.5,0.0,90.25,1.666667
2014-01-08,8.5,0.0,21.9,7.3,2.0,0.0,84.25,1.333333
2014-01-09,8.8,0.0,24.0,3.5,1.5,0.0,86.0,1.8
2014-01-10,3.0,0.0,24.6,1.8,1.8,0.0,82.0,2.166667
2014-01-11,0.0,0.0,24.2,5.9,2.2,0.0,79.5,2.766667
2014-01-12,0.0,0.0,25.8,1.2,2.7,0.0,78.0,1.9
2014-01-13,0.0,0.0,24.5,3.6,2.8,0.0,81.0,1.9333330000000002
2014-01-14,0.0,0.0,23.4,7.2,3.0,0.0,78.5,3.066667
2014-01-15,0.1,0.0,24.1,2.4,2.3,0.0,84.25,0.933333
2014-01-16,33.2,0.0,22.8,4.0,2.2,0.0,94.0,1.6
2014-01-17,19.8,0.0,24.8,8.9,1.0,0.0,80.75,3.233333
2014-01-18,0.0,0.0,25.7,9.7,2.9,0.0,77.75,3.0333330000000003
2014-01-19,0.0,0.0,26.2,4.9,2.9,0.0,85.5,2.733333
2014-01-20,1.2,0.0,25.8,5.9,2.0,0.0,78.25,3.3
2014-01-21,0.0,0.0,25.6,5.4,3.0,0.0,78.0,2.0333330000000003
2014-01-22,0.0,0.0,24.1,10.1,2.9,0.0,82.0,2.7
2014-01-23,0.0,0.0,24.8,7.7,2.6,0.0,80.5,2.3
2014-01-24,0.0,0.0,24.4,4.8,3.0,0.0,84.5,2.3666669999999996
2014-01-25,23.2,0.0,23.6,0.0,1.3,0.0,91.0,1.8
2014-01-26,0.7,0.0,23.2,3.7,1.0,0.0,83.5,1.566667
2014-01-27,9.8,0.0,21.7,5.5,1.5,0.0,84.75,1.233333
2014-01-28,21.0,0.0,23.7,0.4,2.5,0.0,92.25,0.866667
2014-01-29,1.2,0.0,24.6,3.0,0.7,0.0,87.75,2.3666669999999996
2014-01-30,1.7,0.0,24.6,3.7,0.9,0.0,79.0,2.1333330000000004
2014-01-31,0.4,0.0,23.7,7.0,3.7,0.0,83.5,1.666667
2014-02-01,0.5,0.0,25.0,0.7,1.8,0.0,88.75,1.066667
2014-02-02,4.8,0.0,23.8,2.2,0.9,0.0,87.0,0.8
2014-02-03,10.9,0.0,25.7,6.6,0.5,0.0,82.5,2.166667
2014-02-04,0.0,0.0,24.6,2.2,0.8,0.0,89.25,1.666667
2014-02-05,27.2,0.0,23.0,7.6,0.3,0.0,82.0,1.8666669999999999
2014-02-06,0.3,0.0,24.8,6.8,1.4,0.0,85.0,2.3
2014-02-07,0.4,0.0,24.6,6.5,2.0,0.0,82.5,1.8666669999999999
2014-02-08,9.5,0.0,24.0,0.8,2.0,0.0,89.0,0.966667
2014-02-09,18.4,0.0,23.8,3.6,1.0,0.0,89.0,1.533333
2014-02-10,0.0,0.0,24.2,9.5,1.7,0.0,79.5,2.6333330000000004
2014-02-11,1.0,0.0,25.4,1.7,2.8,0.0,83.25,2.266667
2014-02-12,9.0,0.0,24.9,0.2,1.5,0.0,96.0,0.7
2014-02-13,16.8,0.0,23.4,0.0,0.5,0.0,89.5,1.366667
2014-02-14,0.5,0.0,25.0,2.6,0.4,0.0,89.75,1.0
2014-02-15,40.4,0.0,23.7,2.3,0.8,0.0,88.5,1.8666669999999999
2014-02-16,31.0,0.0,23.0,1.6,0.8,0.0,88.25,0.666667
2014-02-17,14.1,0.0,23.2,4.2,1.0,0.0,82.25,2.2
2014-02-18,28.2,0.0,23.3,0.3,2.2,0.0,86.5,1.5
2014-02-19,1.2,0.0,24.6,3.0,1.0,0.0,86.75,1.566667
2014-02-20,34.0,0.0,23.2,0.0,0.3,0.0,91.0,0.966667
2014-02-21,2.0,0.0,24.0,5.3,0.5,0.0,85.25,1.9666669999999997
2014-02-22,0.0,0.0,24.8,9.2,2.0,0.0,79.75,2.2
2014-02-23,0.0,0.0,24.6,2.5,2.5,0.0,82.5,2.4666669999999997
2014-02-24,0.0,0.0,24.8,9.0,2.0,0.0,81.0,2.4
2014-02-25,0.0,0.0,24.7,9.2,1.0,0.0,79.75,2.6333330000000004
2014-02-26,0.0,0.0,25.2,7.9,1.0,0.0,79.5,2.8
2014-02-27,0.8,0.0,25.7,8.0,0.8,0.0,80.5,2.6333330000000004
2014-02-28,0.0,0.0,24.9,0.5,1.2,0.0,85.75,1.433333
2014-03-01,13.0,0.0,24.5,3.5,2.0,0.0,85.0,1.7666669999999998
2014-03-02,1.5,0.0,25.0,1.4,1.6,0.0,83.75,2.333333
2014-03-03,2.3,0.0,24.8,5.1,2.5,0.0,80.0,2.8666669999999996
2014-03-04,0.2,0.0,25.0,3.6,1.5,0.0,85.0,1.233333
2014-03-05,11.2,0.0,24.6,2.8,1.0,0.0,84.25,1.833333
2014-03-06,10.7,0.0,24.2,1.3,0.7,0.0,87.25,1.8666669999999999
2014-03-07,1.2,0.0,24.6,1.7,0.8,0.0,88.75,1.166667
2014-03-08,4.9,0.0,24.4,1.2,1.0,0.0,89.75,1.366667
2014-03-09,32.0,0.0,23.6,4.6,1.0,0.0,89.75,2.3
2014-03-10,3.6,0.0,24.2,0.8,0.8,0.0,87.75,1.133333
2014-03-11,21.5,0.0,24.4,3.3,0.6,0.0,87.75,1.533333
2014-03-12,3.1,0.0,23.4,5.5,0.6,0.0,81.25,2.2
2014-03-13,0.0,0.0,24.8,1.1,0.7,0.0,88.75,1.066667
2014-03-14,13.2,0.0,24.6,2.2,0.5,0.0,85.75,1.833333
2014-03-15,0.6,0.0,23.7,3.2,0.4,0.0,84.75,1.266667
2014-03-16,2.0,0.0,24.2,0.9,0.4,0.0,87.5,0.8
2014-03-17,0.0,0.0,24.2,7.0,0.4,0.0,81.75,1.7
2014-03-18,0.0,0.0,24.8,8.2,1.6,0.0,80.75,2.233333
2014-03-19,4.2,0.0,24.4,2.8,2.0,0.0,88.75,2.4
2014-03-20,10.6,0.0,24.8,4.7,1.7,0.0,82.75,2.1333330000000004
2014-03-21,0.0,0.0,25.2,8.6,1.4,0.0,80.75,2.3666669999999996
2014-03-22,0.0,0.0,25.6,9.4,1.0,0.0,81.25,2.1
2014-03-23,0.0,0.0,25.6,5.4,3.9,0.0,78.75,2.4
2014-03-24,0.0,0.0,23.8,8.1,2.5,0.0,84.0,2.1
2014-03-25,1.6,0.0,24.0,1.9,4.0,0.0,87.0,0.866667
2014-03-26,0.4,0.0,24.6,7.6,1.0,0.0,82.25,2.3
2014-03-27,0.0,0.0,24.4,7.4,2.0,0.0,76.75,2.1333330000000004
2014-03-28,0.0,0.0,24.8,3.6,2.5,0.0,80.0,2.0
2014-03-29,7.2,0.0,25.1,0.5,2.0,0.0,78.0,0.933333
2014-03-30,16.0,0.0,23.8,0.5,1.8,0.0,89.0,1.166667
2014-03-31,0.0,0.0,24.6,5.1,1.2,0.0,87.0,2.4666669999999997
2014-04-01,0.0,0.0,24.8,5.0,2.0,0.0,81.25,1.9333330000000002
2014-04-02,2.2,0.0,24.9,0.8,1.5,0.0,85.75,1.2
2014-04-03,0.0,0.0,25.0,2.1,2.5,0.0,84.5,1.7333330000000002
2014-04-04,19.0,0.0,23.6,0.3,1.5,0.0,86.75,1.1
2014-04-05,0.0,0.0,23.2,10.0,0.7,0.0,81.25,2.433333
2014-04-06,3.6,0.0,24.3,4.7,2.2,0.0,86.25,2.166667
2014-04-07,0.2,0.0,24.8,9.2,1.8,0.0,82.25,2.0333330000000003
2014-04-08,1.2,0.0,24.6,5.2,2.5,0.0,80.25,1.9333330000000002
2014-04-09,26.9,0.0,24.7,0.0,1.0,0.0,95.25,1.2
2014-04-10,26.2,0.0,23.2,1.2,0.6,0.0,88.0,0.766667
2014-04-11,0.1,0.0,24.6,2.1,0.6,0.0,88.75,0.933333
2014-04-12,47.2,0.0,24.3,4.5,0.3,0.0,94.0,0.7
2014-04-13,27.2,0.0,22.4,5.8,1.0,0.0,86.5,2.0
2014-04-14,0.6,0.0,24.6,8.9,1.3,0.0,83.5,1.366667
2014-04-15,0.0,0.0,24.2,4.3,1.0,0.0,88.25,1.3
2014-04-16,1.5,0.0,24.8,5.0,1.0,0.0,87.25,1.633333
2014-04-17,20.5,0.0,24.0,0.1,0.5,0.0,90.5,1.566667
2014-04-18,1.6,0.0,24.2,6.7,0.6,0.0,88.75,1.466667
2014-04-19,13.3,0.0,21.9,2.4,0.5,0.0,89.5,1.233333
2014-04-20,17.2,0.0,23.5,1.8,0.5,0.0,87.25,0.766667
2014-04-21,6.7,0.0,24.8,1.8,0.2,0.0,92.75,1.066667
2014-04-22,0.6,0.0,24.0,9.7,0.8,0.0,83.75,1.8
2014-04-23,0.0,0.0,24.0,8.6,1.4,0.0,80.75,2.266667
2014-04-24,0.0,0.0,24.6,7.8,2.0,0.0,89.25,1.8
2014-04-25,6.4,0.0,25.6,3.7,2.0,0.0,83.75,2.0
2014-04-26,0.2,0.0,24.8,7.4,2.0,0.0,80.0,2.0
2014-04-27,1.5,0.0,25.5,0.0,1.8,0.0,95.25,0.5
2014-04-28,3.6,0.0,25.0,6.4,0.6,0.0,86.5,1.2
2014-04-29,10.2,0.0,24.6,4.3,1.1,0.0,84.5,1.2
2014-04-30,6.6,0.0,24.0,7.5,1.0,0.0,88.25,1.033333
2014-05-01,8.4,0.0,25.2,0.1,2.0,0.0,89.0,0.733333
2014-05-02,3.9,0.0,23.6,4.8,1.0,0.0,83.75,0.966667
2014-05-03,5.5,0.0,23.8,4.6,1.0,0.0,80.75,1.7
2014-05-04,3.5,0.0,24.8,1.2,1.3,0.0,89.25,1.033333
2014-05-05,89.1,0.0,23.8,1.6,1.2,0.0,88.25,1.166667
2014-05-06,32.0,0.0,24.1,0.0,0.8,0.0,97.25,0.766667
2014-05-07,142.0,0.0,24.1,0.1,0.2,0.0,95.25,0.933333
2014-05-08,1.2,0.0,24.1,5.5,0.7,0.0,89.5,2.066667
2014-05-09,16.4,0.0,24.2,5.1,0.7,0.0,88.25,1.8666669999999999
2014-05-10,7.0,0.0,23.3,0.5,0.2,0.0,93.0,1.7666669999999998
2014-05-11,181.6,0.0,23.3,3.3,0.2,0.0,91.25,1.1
2014-05-12,13.3,0.0,24.8,0.1,0.4,0.0,94.75,0.8
2014-05-13,17.9,0.0,24.2,0.3,0.6,0.0,90.5,0.766667
2014-05-14,23.6,0.0,24.4,0.0,0.2,0.0,92.25,0.866667
2014-05-15,26.1,0.0,24.1,0.0,0.3,0.0,91.0,0.533333
2014-05-16,9.8,0.0,23.8,8.5,0.7,0.0,87.25,1.533333
2014-05-17,0.0,0.0,23.6,6.8,2.0,0.0,83.75,1.066667
2014-05-18,0.0,0.0,24.3,6.1,2.5,0.0,93.25,1.366667
2014-05-19,31.8,0.0,23.8,6.5,0.5,0.0,88.5,1.2
2014-05-20,90.4,0.0,24.2,1.1,1.2,0.0,92.5,0.7
2014-05-21,9.6,0.0,23.2,2.0,1.0,0.0,84.75,0.966667
2014-05-22,10.6,0.0,24.8,0.9,0.8,0.0,91.5,1.066667
2014-05-23,1.4,0.0,24.1,2.0,1.0,0.0,88.0,0.9
2014-05-24,22.0,0.0,24.3,7.2,0.5,0.0,87.75,1.433333
2014-05-25,16.8,0.0,23.8,7.2,1.7,0.0,82.25,1.233333
2014-05-26,0.0,0.0,24.0,6.9,2.0,0.0,87.5,1.6
2014-05-27,6.8,0.0,23.0,8.1,1.9,0.0,82.5,1.533333
2014-05-28,4.6,0.0,24.0,5.7,1.8,0.0,90.5,1.3
2014-05-29,9.0,0.0,24.2,0.0,0.9,0.0,91.0,1.266667
2014-05-30,0.0,0.0,23.8,8.1,0.4,0.0,84.25,1.566667
2014-05-31,0.0,0.0,24.9,8.9,2.0,0.0,79.5,1.7666669999999998
2014-06-01,0.0,0.0,24.0,8.3,2.5,0.0,82.25,0.966667
2014-06-02,0.0,0.0,24.2,7.4,2.3,0.0,90.0,1.0
2014-06-03,33.6,0.0,24.1,7.9,1.7,0.0,85.75,1.2
2014-06-04,2.6,0.0,24.3,5.6,2.0,0.0,83.5,1.266667
2014-06-05,0.0,0.0,24.3,8.2,1.2,0.0,83.5,1.7333330000000002
2014-06-06,0.0,0.0,24.3,9.6,2.6,0.0,81.0,2.1333330000000004
2014-06-07,0.0,0.0,23.6,3.2,1.0,0.0,84.5,2.0
2014-06-08,51.1,0.0,23.6,7.8,3.7,0.0,82.5,2.0333330000000003
2014-06-09,0.0,0.0,24.7,9.4,2.5,0.0,79.5,1.7666669999999998
2014-06-10,0.0,0.0,25.0,9.2,2.2,0.0,80.75,2.3
2014-06-11,0.0,0.0,24.8,4.9,2.8,0.0,84.75,1.466667
2014-06-12,9.8,0.0,23.8,8.2,1.2,0.0,82.5,1.133333
2014-06-13,0.0,0.0,24.4,4.5,2.3,0.0,88.75,1.0
2014-06-14,11.0,0.0,24.7,1.7,1.2,0.0,93.0,0.9
2014-06-15,18.2,0.0,23.8,6.3,1.1,0.0,82.75,1.033333
2014-06-16,16.4,0.0,21.9,5.4,2.0,0.0,87.25,0.8
2014-06-17,0.2,0.0,24.4,9.1,1.5,0.0,84.5,1.666667
2014-06-18,0.0,0.0,24.4,7.8,2.5,0.0,83.25,2.0
2014-06-19,11.6,0.0,23.6,6.5,2.0,0.0,83.0,1.366667
2014-06-20,1.9,0.0,24.6,8.0,1.7,0.0,83.75,2.3
2014-06-21,2.0,0.0,25.2,7.0,2.3,0.0,82.25,2.0
2014-06-22,0.0,0.0,25.0,9.1,2.5,0.0,79.5,1.6
2014-06-23,0.0,0.0,24.2,9.5,2.0,0.0,83.5,1.7666669999999998
2014-06-24,0.0,0.0,24.2,8.9,2.7,0.0,79.25,1.9333330000000002
2014-06-25,9.5,0.0,24.1,5.2,2.0,0.0,87.75,0.766667
2014-06-26,0.4,0.0,24.0,4.5,2.0,0.0,85.25,1.066667
2014-06-27,2.5,0.0,25.0,7.1,2.0,0.0,84.0,2.0333330000000003
2014-06-28,11.5,0.0,24.9,8.0,1.8,0.0,81.25,2.066667
2014-06-29,0.0,0.0,25.4,9.0,2.2,0.0,84.0,2.066667
2014-06-30,3.2,0.0,24.0,4.1,2.0,0.0,91.0,1.2
2014-07-01,8.7,0.0,24.4,2.8,1.5,0.0,89.0,1.8
2014-07-02,5.0,0.0,23.8,7.2,1.4,0.0,84.75,1.7
2014-07-03,0.0,0.0,24.8,9.8,2.4,0.0,79.75,1.9333330000000002
2014-07-04,0.0,0.0,25.0,10.1,3.0,0.0,80.0,1.8666669999999999
2014-07-05,0.0,0.0,23.6,9.6,2.8,0.0,80.5,1.9
2014-07-06,0.0,0.0,23.6,8.3,2.5,0.0,85.75,1.6
2014-07-07,0.0,0.0,24.3,9.3,2.2,0.0,81.5,2.233333
2014-07-08,0.0,0.0,25.0,7.6,2.5,0.0,78.75,2.2
2014-07-09,0.0,0.0,25.2,7.2,3.5,0.0,83.25,1.7666669999999998
2014-07-10,2.8,0.0,24.7,8.3,2.8,0.0,81.25,1.233333
2014-07-11,2.8,0.0,24.3,7.3,1.4,0.0,85.25,2.333333
2014-07-12,0.0,0.0,24.9,5.5,3.2,0.0,83.0,2.6333330000000004
2014-07-13,0.0,0.0,25.2,9.2,2.6,0.0,82.0,2.0
2014-07-14,6.6,0.0,25.1,7.8,2.0,0.0,84.0,1.7333330000000002
2014-07-15,0.0,0.0,24.4,9.0,3.1,0.0,81.25,2.166667
2014-07-16,0.0,0.0,24.2,9.6,2.9,0.0,78.75,2.233333
2014-07-17,0.0,0.0,24.4,10.2,4.3,0.0,79.0,2.0333330000000003
2014-07-18,0.0,0.0,23.7,9.8,3.4,0.0,78.75,2.0
2014-07-19,0.0,0.0,23.2,8.7,4.3,0.0,83.25,2.1
2014-07-20,0.0,0.0,24.8,5.2,3.0,0.0,84.5,1.7333330000000002
2014-07-21,0.0,0.0,25.5,8.3,3.2,0.0,80.5,2.3
2014-07-22,0.0,0.0,25.3,9.9,3.8,0.0,76.75,2.266667
2014-07-23,0.0,0.0,25.5,8.5,3.8,0.0,78.25,2.4
2014-07-24,0.2,0.0,25.0,10.1,3.7,0.0,76.0,2.4666669999999997
2014-07-25,0.0,0.0,25.0,10.2,3.8,0.0,72.5,2.4
2014-07-26,0.0,0.0,24.0,10.2,5.0,0.0,78.5,2.2
2014-07-27,14.2,0.0,25.0,6.1,3.5,0.0,84.0,1.7666669999999998
2014-07-28,0.0,0.0,23.7,9.8,2.6,0.0,79.75,2.1
2014-07-29,0.0,0.0,24.0,8.6,3.5,0.0,81.5,1.433333
2014-07-30,4.0,0.0,23.6,5.2,3.2,0.0,83.0,1.533333
2014-07-31,0.0,0.0,22.8,6.3,2.4,0.0,82.75,1.7
2014-08-01,0.6,0.0,22.6,9.6,2.6,0.0,83.75,1.8666669999999999
2014-08-02,0.0,0.0,23.8,8.5,3.0,0.0,84.5,1.366667
2014-08-03,2.0,0.0,23.8,9.1,2.3,0.0,76.75,2.4666669999999997
2014-08-04,0.0,0.0,25.8,9.2,3.1,0.0,78.0,2.733333
2014-08-05,0.0,0.0,25.2,9.4,3.0,0.0,76.25,2.733333
2014-08-06,0.0,0.0,25.2,8.3,3.6,0.0,76.75,3.0333330000000003
2014-08-07,0.0,0.0,24.9,8.5,3.0,0.0,77.5,1.7
2014-08-08,0.0,0.0,24.2,7.3,3.2,0.0,78.25,1.7666669999999998
2014-08-09,0.0,0.0,24.7,6.8,2.7,0.0,79.0,1.633333
2014-08-10,0.2,0.0,24.8,9.3,2.8,0.0,78.5,2.4666669999999997
2014-08-11,0.0,0.0,24.2,9.2,3.0,0.0,75.75,2.0
2014-08-12,0.0,0.0,24.4,7.2,2.8,0.0,82.0,2.5333330000000003
2014-08-13,0.0,0.0,22.8,10.2,2.4,0.0,78.0,1.7333330000000002
