date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.6,23.4,8.3,5.1,29.14,63.25,2.733333
2014-01-02,0.0,34.2,24.0,8.3,5.0,27.58,76.25,2.833333
2014-01-03,7.8,32.7,23.9,4.5,3.0,26.9,82.5,2.266667
2014-01-04,6.7,30.8,23.7,4.4,2.1,26.72,80.25,2.0333330000000003
2014-01-05,3.1,34.0,23.4,10.1,2.4,27.68,74.5,1.5
2014-01-06,0.7,33.1,24.2,5.9,3.7,26.68,83.25,2.666667
2014-01-07,7.0,29.3,23.0,0.2,2.4,25.78,84.5,1.633333
2014-01-08,4.2,33.3,23.6,9.5,1.8,27.78,70.0,2.0
2014-01-09,0.0,31.5,22.5,4.3,3.8,25.46,89.25,2.4
2014-01-10,63.2,31.5,21.7,4.7,1.5,25.66,83.0,2.1333330000000004
2014-01-11,0.1,33.3,23.0,9.2,2.7,26.82,78.5,2.4666669999999997
2014-01-12,0.0,30.3,24.3,0.0,2.9,26.68,81.75,2.0
2014-01-13,1.2,32.1,22.4,5.8,1.9,26.8,72.75,2.4666669999999997
2014-01-14,0.0,32.1,22.8,7.6,3.5,25.48,83.75,1.266667
2014-01-15,47.3,31.4,23.6,4.8,2.2,25.82,84.25,1.166667
2014-01-16,0.3,32.6,23.4,9.4,1.8,27.1,78.75,2.5
2014-01-17,0.0,31.5,24.2,3.7,2.8,27.28,80.25,2.4
2014-01-18,0.0,33.1,24.4,8.7,2.5,28.36,73.0,2.6333330000000004
2014-01-19,0.0,32.8,23.6,6.3,3.4,27.54,78.5,2.0
2014-01-20,5.1,31.5,24.4,3.5,2.3,27.6,75.75,2.766667
2014-01-21,0.0,32.1,24.8,4.0,3.0,27.64,74.75,2.4666669999999997
2014-01-22,0.0,33.9,24.0,10.8,2.6,28.48,66.5,2.7
2014-01-23,0.0,34.5,23.9,8.7,4.0,28.24,70.25,3.4666669999999997
2014-01-24,0.0,31.7,23.0,1.6,3.7,25.4,85.75,3.4666669999999997
2014-01-25,13.8,28.0,22.1,0.0,1.4,23.7,89.25,2.0333330000000003
2014-01-26,4.9,30.3,21.1,2.0,1.1,24.06,88.0,2.0
2014-01-27,18.2,31.1,22.0,5.0,1.6,25.22,85.25,2.1
2014-01-28,40.3,30.1,22.0,1.6,1.9,25.7,85.25,1.566667
2014-01-29,0.0,32.7,23.4,6.5,1.6,26.42,85.0,1.133333
2014-01-30,60.6,30.5,23.8,4.2,1.6,26.48,84.5,1.533333
2014-01-31,21.1,31.5,22.2,6.8,2.1,25.44,87.25,0.933333
2014-02-01,26.4,30.0,22.9,1.8,1.6,25.18,89.5,0.966667
2014-02-02,28.8,31.3,22.8,6.2,0.8,26.1,87.5,1.8
2014-02-03,1.0,31.5,23.0,3.7,1.7,26.2,86.5,1.7666669999999998
2014-02-04,10.4,29.1,24.0,1.4,1.0,25.56,92.75,1.5
2014-02-05,19.3,31.4,22.2,4.8,1.1,25.86,87.25,1.5
2014-02-06,3.7,29.1,24.4,3.2,1.6,26.36,87.0,1.333333
2014-02-07,6.0,29.7,23.4,4.6,1.4,25.96,90.5,2.066667
2014-02-08,27.1,28.1,24.2,0.8,1.1,25.94,90.75,1.7666669999999998
2014-02-09,17.1,30.9,23.4,2.8,0.9,25.88,94.0,1.9
2014-02-10,26.8,31.5,24.1,6.2,1.0,26.68,85.5,1.9333330000000002
2014-02-11,69.6,31.4,23.0,3.1,1.9,26.12,89.0,1.9333330000000002
2014-02-12,51.5,31.1,21.7,5.5,1.0,25.7,85.5,1.7333330000000002
2014-02-13,8.5,29.5,23.0,1.8,0.5,25.4,88.75,0.966667
2014-02-14,0.2,29.5,23.8,2.6,2.3,25.32,91.5,1.9333330000000002
2014-02-15,27.4,31.5,23.1,3.9,1.3,25.5,88.25,1.633333
2014-02-16,32.7,29.3,22.4,2.8,1.6,25.36,84.0,2.0333330000000003
2014-02-17,2.4,31.9,23.4,7.1,1.3,27.16,77.75,1.4
2014-02-18,16.0,28.2,22.7,1.3,2.8,25.36,91.0,1.6
2014-02-19,11.4,30.3,23.2,3.8,0.5,25.8,92.0,1.133333
2014-02-20,14.7,29.9,22.8,1.4,1.9,25.24,86.5,2.5333330000000003
2014-02-21,3.0,32.0,23.2,7.6,1.7,26.7,79.25,1.066667
2014-02-22,1.3,32.7,24.1,7.8,2.7,27.52,79.25,2.3
2014-02-23,0.0,32.9,24.1,7.7,3.6,27.98,79.25,1.7333330000000002
2014-02-24,0.0,33.3,24.5,10.2,2.8,28.66,69.75,2.8666669999999996
