date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.3,21.3,0.0,4.7,27.88,61.75,0.333333
2014-01-02,0.0,34.5,19.4,0.0,5.0,26.54,62.75,0.666667
2014-01-03,0.0,33.7,18.6,0.0,4.8,25.62,67.75,0.333333
2014-01-04,0.0,34.1,19.3,0.0,4.5,25.96,69.75,0.333333
2014-01-05,0.0,34.6,19.8,0.0,4.5,26.6,63.5,0.666667
2014-01-06,0.0,33.9,20.6,0.0,5.4,26.42,58.25,0.333333
2014-01-07,0.0,32.9,18.8,0.0,5.8,25.66,62.5,0.666667
2014-01-08,0.0,33.5,21.1,0.0,4.7,26.2,65.25,1.0
2014-01-09,0.0,33.3,19.9,0.0,4.3,25.08,76.25,0.666667
2014-01-10,0.0,32.7,20.6,0.0,2.9,25.86,71.0,0.666667
2014-01-11,0.0,33.9,22.0,0.0,4.7,26.88,64.25,0.333333
2014-01-12,0.0,33.7,21.1,0.0,4.8,26.56,75.0,0.666667
2014-01-13,0.7,34.3,22.1,0.0,4.2,26.72,74.75,0.666667
2014-01-14,4.2,35.1,21.5,0.0,4.5,27.42,64.75,0.666667
2014-01-15,0.0,33.5,21.7,0.0,4.7,26.56,76.25,1.0
2014-01-16,0.0,35.1,22.9,0.0,4.0,27.64,66.5,0.333333
2014-01-17,0.0,35.1,21.2,0.0,5.1,27.14,63.75,1.0
2014-01-18,0.0,34.7,20.8,0.0,5.4,26.54,70.0,0.666667
2014-01-19,0.3,29.8,21.4,0.0,3.3,25.02,82.75,0.0
2014-01-20,0.5,31.1,21.7,0.0,2.2,24.6,86.0,0.333333
2014-01-21,2.8,32.1,21.6,0.0,2.0,26.08,78.75,0.333333
2014-01-22,0.0,35.3,22.3,0.0,3.1,28.2,59.75,0.666667
2014-01-23,0.0,36.5,22.3,0.0,5.3,28.52,59.25,1.0
2014-01-24,0.0,34.9,22.5,0.0,5.9,27.08,65.5,0.666667
2014-01-25,0.0,33.8,19.3,0.0,5.6,26.34,61.0,0.666667
2014-01-26,0.0,36.5,20.0,0.0,4.9,26.46,63.75,0.666667
2014-01-27,0.0,36.5,19.0,0.0,5.3,26.18,60.75,0.666667
2014-01-28,2.5,34.9,18.5,0.0,5.7,26.56,54.5,0.333333
2014-01-29,0.0,32.1,19.1,0.0,7.7,25.52,68.5,1.0
2014-01-30,2.6,34.3,20.3,0.0,4.7,25.98,67.0,1.0
2014-01-31,0.0,35.1,19.3,0.0,5.1,26.12,55.25,0.666667
2014-02-01,0.0,35.3,19.3,0.0,7.7,26.4,51.75,0.333333
2014-02-02,0.0,36.6,17.9,0.0,7.7,27.62,52.25,1.0
2014-02-03,0.0,34.9,20.3,0.0,8.3,27.12,53.25,0.666667
2014-02-04,1.1,35.7,20.5,0.0,6.7,27.28,59.5,0.666667
2014-02-05,1.1,35.1,21.5,0.0,6.5,26.82,62.25,0.333333
2014-02-06,0.0,37.0,20.1,0.0,6.7,27.34,54.5,0.666667
2014-02-07,0.0,36.2,19.5,0.0,7.4,27.46,45.75,1.0
2014-02-08,0.0,37.1,21.2,0.0,7.1,27.78,51.25,0.666667
2014-02-09,0.0,35.9,22.0,0.0,8.0,28.16,47.25,0.666667
2014-02-10,0.0,35.7,22.8,0.0,8.2,27.94,52.75,0.666667
2014-02-11,0.0,34.3,21.7,0.0,7.6,27.48,53.0,0.666667
2014-02-12,0.0,36.1,22.1,0.0,6.8,28.04,50.5,0.666667
2014-02-13,0.0,36.3,21.1,0.0,6.2,27.88,54.25,0.666667
2014-02-14,0.0,37.3,20.9,0.0,6.5,28.96,49.75,0.333333
2014-02-15,0.0,37.5,21.6,0.0,7.3,28.94,50.75,0.666667
2014-02-16,0.0,37.3,22.3,0.0,7.2,28.56,48.0,0.666667
2014-02-17,0.0,37.1,20.9,0.0,7.4,28.28,45.75,0.666667
2014-02-18,0.0,37.1,22.6,0.0,8.3,29.3,41.75,1.333333
2014-02-19,0.3,33.5,21.5,0.0,8.3,26.52,58.75,0.333333
2014-02-20,0.0,37.4,21.8,0.0,6.4,28.56,46.75,1.0
2014-02-21,0.0,37.1,22.8,0.0,8.3,27.7,56.25,1.0
2014-02-22,0.0,36.7,20.6,0.0,7.2,27.98,55.0,1.0
2014-02-23,0.0,35.5,21.3,0.0,6.5,27.86,56.25,1.333333
2014-02-24,0.0,36.1,21.6,0.0,6.5,28.06,57.75,0.666667
2014-02-25,0.8,37.1,21.3,0.0,5.4,28.12,54.0,0.0
2014-02-26,0.0,36.5,19.9,0.0,7.3,27.96,51.25,0.333333
2014-02-27,0.0,37.9,21.7,0.0,6.9,28.88,49.75,1.0
