date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.3,23.4,0.0,5.7,28.66,62.75,0.166667
2014-01-02,0.0,35.7,23.0,0.0,6.9,28.98,56.75,0.666667
2014-01-03,0.0,34.3,21.2,0.0,7.2,27.5,49.25,0.833333
2014-01-04,0.0,34.9,20.0,0.0,9.0,27.26,55.5,0.333333
2014-01-05,0.0,34.5,20.0,0.0,8.9,27.1,54.0,0.43333299999999997
2014-01-06,0.0,34.3,20.2,0.0,8.8,27.22,53.0,0.333333
2014-01-07,0.0,32.7,21.8,0.0,8.2,27.1,50.25,1.0
2014-01-08,0.0,32.9,20.0,0.0,4.0,26.78,54.5,0.333333
2014-01-09,0.0,33.3,20.8,0.0,8.5,26.82,54.0,1.533333
2014-01-10,0.0,33.5,21.0,0.0,8.4,27.3,55.25,1.166667
2014-01-11,0.0,33.9,21.4,0.0,7.1,27.9,53.0,1.333333
2014-01-12,0.0,31.5,22.4,0.0,9.3,26.94,61.75,1.0
2014-01-13,0.0,34.7,22.0,0.0,6.6,28.18,53.0,0.5
2014-01-14,0.0,34.3,22.2,0.0,9.0,27.9,55.0,0.666667
2014-01-15,0.0,35.3,21.0,0.0,8.9,27.9,53.25,0.166667
2014-01-16,0.0,34.5,22.0,0.0,8.0,26.98,60.75,0.333333
2014-01-17,0.0,31.1,21.8,0.0,6.8,26.38,68.75,0.5
2014-01-18,0.9,29.3,19.8,0.0,4.2,23.78,81.0,0.5
2014-01-19,0.8,29.9,21.8,0.0,3.3,24.82,81.75,0.333333
2014-01-20,0.1,28.9,22.2,0.0,2.6,24.82,78.5,1.0
2014-01-21,5.0,31.5,20.4,0.0,2.9,23.42,80.0,0.666667
2014-01-22,57.8,29.5,20.2,0.0,2.3,24.34,82.25,0.0
2014-01-23,0.0,32.9,21.0,0.0,2.8,26.02,68.75,0.666667
2014-01-24,0.8,31.7,21.4,0.0,5.0,24.94,72.25,0.666667
2014-01-25,0.0,31.1,20.6,0.0,4.6,25.34,72.0,0.5
2014-01-26,0.0,32.9,19.4,0.0,4.2,24.46,71.5,1.166667
2014-01-27,1.7,31.9,20.4,0.0,2.2,25.54,66.0,1.0
2014-01-28,0.0,31.5,20.4,0.0,4.3,25.66,58.5,2.566667
2014-01-29,0.0,31.7,20.6,0.0,4.1,25.86,61.0,0.833333
2014-01-30,0.0,32.7,20.6,0.0,4.0,27.38,50.25,2.733333
2014-01-31,0.0,32.9,20.4,0.0,4.0,26.66,52.5,1.8666669999999999
2014-02-01,0.0,32.1,19.6,0.0,4.3,25.46,54.75,1.166667
2014-02-02,0.0,33.1,19.2,0.0,5.1,26.22,52.25,1.0
2014-02-03,0.0,32.9,19.4,0.0,6.4,26.46,55.5,2.566667
2014-02-04,0.0,33.3,21.6,0.0,6.3,27.06,50.75,0.833333
2014-02-05,0.0,33.7,21.2,0.0,7.3,27.58,52.75,1.8666669999999999
2014-02-06,0.0,32.5,21.0,0.0,7.9,26.86,50.0,1.0
2014-02-07,0.0,33.7,20.6,0.0,4.9,27.18,51.75,1.0
2014-02-08,0.0,33.9,20.8,0.0,4.7,27.06,56.0,1.366667
