date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.4,0.0,18.3,7.5,2.5,0.0,79.0,0.833333
2014-01-02,23.0,0.0,18.4,7.0,3.0,0.0,75.0,0.5
2014-01-03,0.0,0.0,18.4,10.1,3.0,0.0,70.75,0.5
2014-01-04,0.0,0.0,17.1,8.9,3.9,0.0,67.75,1.033333
2014-01-05,0.0,0.0,17.1,10.5,3.9,0.0,67.75,1.033333
2014-01-06,0.0,0.0,15.8,7.6,3.9,0.0,82.25,1.0
2014-01-07,0.0,0.0,15.4,11.0,1.4,0.0,69.0,0.666667
2014-01-08,0.0,0.0,15.3,11.1,1.7,0.0,64.75,1.2
2014-01-09,0.0,0.0,16.3,7.4,2.6,0.0,78.25,0.833333
2014-01-10,4.4,0.0,17.3,6.6,1.5,0.0,81.5,0.833333
2014-01-11,0.0,0.0,17.9,11.3,1.6,0.0,68.25,1.533333
2014-01-12,0.0,0.0,17.9,11.5,1.6,0.0,68.25,1.533333
2014-01-13,0.0,0.0,15.5,10.2,1.6,0.0,65.0,1.533333
2014-01-14,0.0,0.0,17.0,11.8,2.7,0.0,66.0,0.666667
2014-01-15,0.0,0.0,14.1,9.4,2.3,0.0,62.25,0.833333
2014-01-16,0.0,0.0,15.6,9.8,5.0,0.0,73.75,0.866667
2014-01-17,49.6,0.0,16.1,2.4,3.1,0.0,97.5,0.666667
2014-01-18,25.0,0.0,15.6,1.5,1.7,0.0,92.75,0.866667
2014-01-19,15.4,0.0,15.6,10.1,1.7,0.0,92.75,0.866667
2014-01-20,0.0,0.0,14.7,5.6,1.7,0.0,85.0,0.5
2014-01-21,1.0,0.0,14.9,8.3,1.2,0.0,88.25,1.8666669999999999
2014-01-22,24.1,0.0,15.5,10.5,1.5,0.0,79.25,1.033333
2014-01-23,0.6,0.0,16.1,10.5,2.0,0.0,80.75,0.333333
2014-01-24,24.0,0.0,14.7,8.8,2.0,0.0,82.25,1.7
2014-01-25,0.0,0.0,17.0,10.8,1.5,0.0,77.25,0.666667
2014-01-26,0.0,0.0,17.0,10.0,1.5,0.0,77.25,0.666667
