date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.4,34.9,17.0,10.3,4.0,26.62,59.25,0.666667
2014-01-02,0.0,35.1,20.6,10.9,3.5,26.94,65.0,0.666667
2014-01-03,0.0,35.9,17.7,11.3,5.5,25.24,63.75,0.666667
2014-01-04,0.0,34.9,14.8,11.3,6.0,25.02,61.25,1.333333
2014-01-05,0.0,33.2,15.0,11.3,0.5,24.44,60.0,0.666667
2014-01-06,0.0,33.8,15.8,10.9,7.3,23.8,56.5,0.333333
2014-01-07,0.0,32.7,14.3,10.7,4.2,23.4,60.25,1.0
2014-01-08,0.0,32.9,14.1,10.5,5.3,22.88,66.0,0.666667
2014-01-09,0.0,33.7,14.2,8.2,4.8,24.34,61.75,1.0
2014-01-10,0.0,32.7,16.3,10.1,4.9,24.48,65.0,1.333333
2014-01-11,0.0,33.7,17.0,10.6,5.3,24.66,65.75,2.0
2014-01-12,0.0,34.3,16.6,10.4,4.7,24.58,62.75,1.333333
2014-01-13,0.0,34.5,16.7,10.3,6.7,24.84,64.25,1.666667
2014-01-14,0.0,34.5,14.6,10.6,5.8,23.78,61.75,2.333333
2014-01-15,0.0,35.1,14.6,10.6,7.0,24.1,61.25,1.666667
2014-01-16,0.0,34.7,15.8,9.3,6.2,24.1,79.75,1.666667
2014-01-17,0.0,32.1,17.8,8.2,3.8,23.14,69.0,1.0
2014-01-18,15.8,28.9,17.4,9.0,3.0,21.98,88.0,1.333333
2014-01-19,4.9,31.7,18.6,5.2,1.5,23.66,71.75,1.333333
2014-01-20,1.0,32.1,14.8,8.9,3.2,22.5,75.75,1.333333
2014-01-21,7.8,29.7,16.3,4.6,3.6,22.12,89.5,1.333333
2014-01-22,10.4,31.7,19.4,8.0,2.4,24.34,70.5,2.333333
2014-01-23,0.0,34.9,17.8,9.2,4.1,24.98,62.0,0.666667
2014-01-24,0.0,33.9,19.0,8.4,5.1,24.54,74.75,1.0
2014-01-25,36.4,33.7,15.4,11.1,4.4,23.98,72.0,0.666667
2014-01-26,0.0,32.9,17.0,11.0,2.2,23.78,66.5,0.333333
2014-01-27,0.0,31.9,16.2,8.2,0.2,23.14,76.5,0.666667
2014-01-28,0.0,31.9,14.8,11.2,3.5,22.7,61.25,0.666667
2014-01-29,0.0,32.3,13.4,11.1,7.1,22.82,63.5,1.0
2014-01-30,0.0,32.7,15.2,12.1,7.1,23.62,99.0,1.333333
2014-01-31,0.0,32.9,14.6,10.6,5.3,22.34,59.25,1.333333
2014-02-01,0.0,31.2,14.0,10.6,6.7,22.6,64.25,2.333333
2014-02-02,0.0,31.5,14.8,11.1,6.0,22.7,63.0,2.0
2014-02-03,0.0,33.1,14.8,9.6,7.5,23.34,61.25,2.0
2014-02-04,0.0,34.1,15.0,10.9,8.8,24.62,56.5,2.666667
2014-02-05,0.0,33.7,15.8,10.7,0.1,24.02,60.75,2.0
2014-02-06,0.0,31.9,15.6,11.2,7.0,23.54,62.25,2.333333
2014-02-07,0.0,32.9,15.3,11.2,7.4,23.08,61.5,2.333333
2014-02-08,0.0,34.7,13.5,11.1,7.1,23.24,58.75,1.666667
2014-02-09,0.0,34.1,14.0,10.8,4.0,22.98,62.5,0.333333
2014-02-10,0.0,33.7,14.2,9.3,6.3,23.1,69.5,1.0
2014-02-11,0.0,32.7,17.3,10.3,6.2,23.68,59.0,1.666667
2014-02-12,0.0,33.7,14.3,9.0,8.0,23.32,61.5,1.666667
2014-02-13,0.0,34.5,15.2,9.7,5.0,24.02,59.75,1.333333
2014-02-14,0.0,34.1,17.4,9.8,5.5,24.5,71.5,0.666667
2014-02-15,0.0,32.7,21.4,3.7,4.8,24.74,69.75,2.666667
2014-02-16,0.0,29.9,20.6,0.4,4.3,23.98,81.75,1.333333
2014-02-17,4.2,30.9,19.3,6.0,2.9,24.8,65.75,1.666667
2014-02-18,0.0,30.3,19.2,2.3,3.2,23.22,74.25,1.333333
2014-02-19,0.0,31.7,18.2,10.4,3.8,23.26,66.0,1.0
2014-02-20,0.0,33.7,15.2,10.7,5.0,23.26,61.0,1.0
2014-02-21,0.0,32.9,15.7,10.3,5.7,24.72,58.25,1.0
2014-02-22,0.0,31.5,15.8,7.5,7.3,22.9,64.0,2.0
2014-02-23,0.0,33.9,16.6,9.4,5.9,23.94,64.25,1.666667
2014-02-24,0.0,35.7,16.6,10.2,5.9,25.94,54.25,2.0
2014-02-25,0.0,34.7,18.6,10.6,4.7,25.38,61.0,2.0
2014-02-26,0.0,34.9,15.7,10.7,6.0,24.04,63.5,1.333333
2014-02-27,0.0,35.5,15.7,10.4,6.5,24.4,59.75,2.0
2014-02-28,0.0,35.7,16.6,7.9,6.0,25.94,58.75,2.0
2014-03-01,44.4,29.1,19.2,1.6,5.0,22.22,83.25,1.333333
2014-03-02,1.0,32.9,17.4,9.4,1.8,24.46,68.5,2.0
2014-03-03,0.0,30.1,20.2,7.2,4.2,24.22,73.5,2.0
2014-03-04,2.0,31.9,20.2,10.0,3.5,24.22,67.75,1.333333
2014-03-05,0.0,32.1,16.4,7.4,2.5,24.38,68.75,2.0
2014-03-06,0.0,30.3,20.3,1.3,5.5,23.56,87.75,1.666667
2014-03-07,14.4,25.0,19.0,0.0,1.5,21.36,91.25,1.666667
2014-03-08,8.4,26.0,18.8,0.3,0.5,20.88,93.0,2.0
2014-03-09,22.0,31.7,17.6,5.4,1.0,22.54,80.75,1.333333
2014-03-10,0.0,32.7,17.4,8.8,1.7,23.22,78.0,1.666667
2014-03-11,0.0,31.9,16.6,10.5,3.9,23.5,71.25,2.0
2014-03-12,0.0,31.3,16.2,10.7,4.8,22.74,66.25,1.333333
2014-03-13,0.0,32.9,16.4,9.5,4.6,23.58,68.75,2.0
2014-03-14,0.0,31.9,14.0,10.5,5.5,22.94,67.25,2.333333
