date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.1,21.2,10.0,2.5,26.44,72.75,1.133333
2014-01-02,0.0,33.8,20.1,9.7,5.3,26.54,65.5,1.7
2014-01-03,0.0,32.4,20.1,9.7,7.4,26.54,65.5,1.266667
2014-01-04,0.0,32.4,16.2,10.1,6.6,24.54,55.0,3.433333
2014-01-05,0.0,31.6,16.6,10.8,6.6,24.66,55.5,2.6333330000000004
2014-01-06,0.0,30.6,17.0,8.7,7.9,23.62,58.75,2.4
2014-01-07,0.0,30.1,16.6,9.9,6.9,23.04,59.75,2.1
2014-01-08,0.0,30.8,18.2,9.1,8.1,24.06,60.0,3.2
2014-01-09,0.0,30.3,17.7,7.2,4.9,22.98,89.0,1.333333
2014-01-10,14.4,30.5,19.7,8.2,4.9,24.18,73.25,2.2
2014-01-11,2.7,31.0,20.1,9.2,2.8,25.08,66.75,2.166667
2014-01-12,0.0,30.9,17.7,8.9,7.7,24.88,65.0,2.3
2014-01-13,0.5,31.6,20.2,9.8,5.8,25.5,64.0,2.7
2014-01-14,0.0,32.0,18.4,8.4,7.2,24.64,62.75,2.1333330000000004
2014-01-15,0.0,32.0,16.7,9.1,6.7,24.24,65.0,1.833333
2014-01-16,0.0,33.1,16.1,10.7,5.9,23.84,66.5,1.9
2014-01-17,0.0,31.1,16.6,5.9,6.2,23.24,75.25,1.9333330000000002
2014-01-18,0.8,28.1,19.4,0.0,5.5,21.88,83.25,1.5
2014-01-19,55.5,26.6,18.1,1.8,0.2,21.88,84.0,1.7
2014-01-20,0.0,28.5,20.2,3.6,2.3,22.98,84.25,1.3
2014-01-21,11.3,30.0,18.9,3.2,1.3,22.82,80.25,1.366667
2014-01-22,0.0,32.2,19.2,4.4,3.0,22.72,84.0,1.8666669999999999
2014-01-23,40.8,31.8,17.8,7.2,1.1,24.78,72.5,1.433333
2014-01-24,0.1,32.2,19.1,9.5,2.5,25.38,68.75,2.233333
2014-01-25,0.0,31.4,17.5,7.5,2.8,23.68,72.25,1.9333330000000002
2014-01-26,0.0,32.2,16.5,6.5,4.3,24.32,64.75,2.2
2014-01-27,0.9,30.6,19.6,9.3,5.2,24.48,63.5,3.266667
2014-01-28,0.0,30.9,19.3,10.1,8.8,23.92,59.75,3.1
2014-01-29,0.0,28.4,15.6,6.3,7.2,22.08,75.25,2.233333
2014-01-30,0.0,31.1,18.8,9.6,5.8,24.22,58.5,2.9
2014-01-31,0.0,30.1,17.2,10.6,6.2,22.7,66.75,1.366667
2014-02-01,0.0,30.7,16.7,8.1,7.4,23.2,67.25,2.3
2014-02-02,0.0,31.5,14.8,9.5,6.0,23.16,62.5,2.3
2014-02-03,0.0,31.9,17.6,10.1,7.2,24.14,66.25,2.6333330000000004
2014-02-04,0.0,32.7,15.7,11.2,7.4,24.62,64.25,2.3
2014-02-05,0.0,30.3,19.8,9.4,7.8,24.34,63.75,4.0
2014-02-06,0.0,30.2,18.5,9.4,5.4,24.24,60.0,3.4
2014-02-07,0.0,31.3,19.7,9.2,6.1,24.02,63.0,3.1333330000000004
2014-02-08,0.0,31.4,15.5,10.6,7.2,23.6,68.5,2.1333330000000004
2014-02-09,0.0,31.3,17.1,9.0,6.8,23.76,64.0,2.3
2014-02-10,0.0,29.6,16.0,6.2,6.3,22.22,77.5,2.7
2014-02-11,0.1,29.6,18.4,8.5,5.5,23.22,63.75,1.9666669999999997
2014-02-12,0.0,29.6,16.8,7.3,5.0,22.32,71.25,1.7666669999999998
2014-02-13,0.0,32.5,16.5,8.1,5.7,23.58,66.0,1.633333
2014-02-14,0.0,33.1,16.7,7.1,6.1,24.3,71.25,2.766667
2014-02-15,0.0,32.4,17.2,9.2,6.1,24.7,60.25,2.2
2014-02-16,0.0,31.5,19.0,7.7,7.1,24.32,67.25,2.1
2014-02-17,0.0,31.6,19.2,5.9,6.2,24.8,67.5,2.233333
2014-02-18,0.0,28.8,20.5,1.8,5.5,22.92,80.0,2.5333330000000003
2014-02-19,14.6,28.2,19.2,5.5,3.3,22.64,78.0,2.5
2014-02-20,0.0,29.6,19.0,10.1,4.1,23.3,69.25,2.5333330000000003
2014-02-21,0.0,30.7,16.9,7.3,5.2,23.4,69.0,2.433333
