date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.7,29.4,19.4,4.5,2.4,22.98,80.5,0.0
2014-01-02,1.0,29.6,18.3,6.9,1.9,22.24,79.75,0.0
2014-01-03,2.0,31.6,16.4,10.1,3.3,23.78,74.25,0.0
2014-01-04,0.0,32.2,18.2,9.9,4.4,24.74,60.25,0.0
2014-01-05,0.0,29.6,18.0,8.1,5.0,23.18,68.25,0.0
2014-01-06,0.0,28.8,15.6,10.6,3.2,21.98,68.75,0.0
2014-01-07,0.0,28.6,14.4,10.3,3.6,21.14,67.0,0.0
2014-01-08,0.0,28.8,14.4,10.3,3.5,21.06,68.25,0.0
2014-01-09,0.0,29.6,14.2,9.3,3.7,22.06,61.5,0.0
2014-01-10,0.0,29.4,16.2,10.0,4.5,22.24,63.75,0.0
2014-01-11,0.0,29.6,16.9,8.6,4.1,23.0,63.5,0.0
2014-01-12,0.0,30.0,19.3,6.8,3.5,23.2,73.0,0.0
2014-01-13,0.0,30.4,18.4,7.4,3.2,22.94,71.5,0.0
2014-01-14,0.0,31.0,15.7,8.6,3.7,22.96,67.0,0.0
2014-01-15,0.0,31.4,16.9,10.1,4.5,24.04,53.25,0.0
2014-01-16,2.4,28.6,17.1,8.3,6.7,22.36,70.5,0.0
2014-01-17,1.7,26.8,17.4,3.1,3.9,20.06,81.75,0.0
2014-01-18,3.5,27.4,16.3,6.6,1.8,21.16,74.0,0.0
2014-01-19,0.0,28.2,15.6,10.0,3.1,21.78,69.25,0.0
2014-01-20,0.0,29.6,16.5,9.2,3.5,22.64,67.75,0.0
2014-01-21,1.6,28.4,16.6,8.6,3.8,21.1,74.0,0.0
2014-01-22,0.0,28.6,17.8,3.9,3.5,21.54,88.5,0.0
2014-01-23,15.6,26.6,18.6,2.9,1.9,22.02,83.25,0.0
2014-01-24,14.0,27.6,17.3,6.8,1.5,21.4,77.0,0.0
2014-01-25,0.0,30.6,15.0,9.2,2.5,22.58,70.5,0.0
2014-01-26,0.0,30.0,15.9,10.3,4.3,23.44,62.25,0.0
2014-01-27,0.0,29.4,15.4,10.0,4.5,22.98,57.5,0.0
2014-01-28,0.0,28.8,13.7,10.3,4.4,20.76,66.0,0.0
2014-01-29,0.0,29.6,11.7,10.9,5.3,20.68,63.0,0.0
2014-01-30,0.0,30.6,12.8,10.9,4.5,22.06,58.75,0.0
2014-01-31,0.0,30.6,13.7,10.8,5.0,22.76,56.5,0.0
2014-02-01,0.0,30.6,13.4,10.4,4.6,22.58,55.25,0.0
2014-02-02,0.0,29.6,15.7,10.7,5.0,23.68,52.5,0.0
2014-02-03,0.0,30.8,14.1,10.3,5.2,23.36,53.5,0.0
2014-02-04,0.0,31.6,14.5,10.4,6.7,23.32,53.75,0.0
2014-02-05,0.0,32.1,15.4,10.6,7.0,24.36,54.5,0.0
2014-02-06,0.0,30.7,15.2,10.8,5.7,23.32,53.25,0.0
2014-02-07,0.0,31.2,13.5,10.2,5.7,23.32,55.0,0.0
2014-02-08,0.0,31.4,16.4,9.4,5.4,23.58,53.5,0.0
2014-02-09,0.0,32.0,13.4,9.1,5.0,22.62,58.75,0.0
2014-02-10,0.0,31.2,14.5,10.4,5.2,23.28,53.25,0.0
2014-02-11,0.0,30.0,14.7,9.6,5.7,23.48,58.75,0.0
2014-02-12,0.0,30.6,14.5,8.3,5.2,22.84,58.75,0.0
2014-02-13,0.0,30.4,15.6,7.5,5.0,23.06,61.5,0.0
2014-02-14,0.0,29.6,16.7,4.6,4.7,21.68,83.75,0.0
2014-02-15,15.1,27.6,17.6,1.8,1.9,20.74,83.0,0.0
2014-02-16,29.3,24.4,18.0,1.3,1.3,19.94,88.0,0.0
2014-02-17,7.7,23.8,18.3,1.3,1.4,20.28,85.75,0.0
2014-02-18,3.6,27.6,16.5,8.3,1.2,21.84,66.25,0.0
2014-02-19,0.0,27.2,13.1,10.6,3.5,20.8,64.75,0.0
2014-02-20,0.0,27.6,13.4,8.9,3.4,20.1,69.25,0.0
2014-02-21,0.0,28.8,14.4,8.6,3.6,22.02,65.5,0.0
2014-02-22,2.4,27.2,18.0,6.6,4.0,22.14,70.0,0.0
2014-02-23,0.0,28.6,16.1,6.1,3.0,22.44,69.75,0.0
2014-02-24,0.0,29.0,17.7,5.8,3.5,22.76,68.25,0.0
2014-02-25,0.0,28.6,18.7,5.2,3.3,22.88,66.75,0.0
2014-02-26,0.0,29.6,16.4,10.3,3.7,21.7,65.0,0.0
2014-02-27,0.0,30.8,14.5,9.1,3.8,22.68,63.25,0.0
2014-02-28,11.8,26.2,15.9,1.3,5.3,18.6,85.75,0.0
2014-03-01,18.5,25.8,15.6,2.6,1.6,20.14,82.0,0.0
2014-03-02,0.0,27.8,15.6,6.8,1.2,21.42,72.5,0.0
2014-03-03,0.0,27.4,17.4,8.7,2.4,21.9,70.5,0.0
2014-03-04,0.0,27.6,18.3,6.1,3.8,22.6,70.0,0.0
2014-03-05,0.0,25.6,18.5,0.2,2.7,20.88,90.5,0.0
2014-03-06,13.0,28.1,18.3,7.7,1.6,22.1,74.25,0.0
2014-03-07,34.0,22.8,17.8,0.5,2.3,19.78,86.25,0.0
2014-03-08,0.0,25.6,18.3,2.9,1.4,20.2,84.0,0.0
2014-03-09,3.2,27.6,18.0,9.2,1.8,21.66,72.0,0.0
2014-03-10,0.0,28.8,14.9,8.2,3.8,21.0,74.0,0.0
2014-03-11,0.0,28.4,16.2,7.8,3.2,21.86,77.0,0.0
2014-03-12,0.0,27.6,18.8,4.2,3.6,22.06,72.5,0.0
2014-03-13,0.0,27.8,16.2,3.5,2.8,21.18,78.0,0.0
2014-03-14,1.7,28.6,16.4,8.5,2.5,20.86,74.25,0.0
2014-03-15,0.0,28.8,15.6,9.7,3.9,21.5,70.0,0.0
2014-03-16,0.0,29.0,13.9,9.7,3.8,21.2,65.25,0.0
2014-03-17,0.0,29.0,13.6,9.8,4.0,21.78,64.5,0.0
2014-03-18,0.0,29.6,15.9,8.8,3.8,22.8,63.0,0.0
2014-03-19,0.0,26.8,17.8,4.9,3.9,21.22,78.25,0.0
2014-03-20,25.0,28.0,17.1,6.6,2.2,22.28,77.75,0.0
2014-03-21,7.2,26.6,18.7,2.5,2.4,21.48,82.0,0.0
2014-03-22,9.4,27.0,18.0,6.0,2.0,22.18,78.0,0.0
