date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.0,19.2,9.6,4.1,24.16,78.0,0.5
2014-01-02,32.0,31.0,18.2,8.7,3.1,24.6,72.25,0.166667
2014-01-03,0.0,32.8,17.6,13.1,4.1,23.72,70.0,0.333333
2014-01-04,0.0,31.6,14.4,13.0,4.4,22.36,75.0,0.666667
2014-01-05,0.0,29.4,17.4,11.4,4.0,22.36,68.25,0.333333
2014-01-06,0.0,29.4,16.4,10.4,4.6,21.96,72.75,0.833333
2014-01-07,0.0,28.8,17.6,9.5,4.1,21.24,73.25,0.666667
2014-01-08,0.0,29.8,15.4,12.6,4.6,22.68,64.75,0.833333
2014-01-09,0.0,28.2,17.6,4.6,5.3,21.92,87.0,0.0
2014-01-10,6.0,29.4,16.6,4.7,1.5,22.68,77.0,0.166667
2014-01-11,0.0,30.4,19.8,10.5,3.5,23.2,70.25,1.0
2014-01-12,0.0,30.4,18.2,11.4,4.7,23.8,73.0,0.333333
2014-01-13,0.0,29.6,20.2,8.2,4.7,22.92,71.75,0.666667
2014-01-14,0.0,30.2,17.0,11.6,4.9,22.68,70.0,0.833333
2014-01-15,0.0,31.2,16.2,12.7,4.4,22.88,68.25,0.833333
2014-01-16,0.0,31.8,15.8,12.8,4.8,22.88,64.75,1.366667
2014-01-17,0.0,28.8,17.5,7.0,4.9,22.02,77.25,1.0
2014-01-18,0.7,26.2,18.6,0.1,3.2,20.88,88.25,0.166667
2014-01-19,7.8,27.8,18.4,6.5,1.7,21.92,82.75,0.0
2014-01-20,0.0,29.6,17.0,6.1,3.1,22.12,85.25,0.7
2014-01-21,13.5,29.0,18.2,7.4,2.6,22.68,76.75,1.033333
2014-01-22,0.0,30.8,19.4,7.3,3.9,23.12,84.75,0.5
2014-01-23,1.2,31.2,17.0,7.0,2.3,21.6,89.25,1.066667
2014-01-24,30.6,30.6,15.6,8.1,2.1,21.84,79.25,0.7
2014-01-25,0.0,30.8,16.8,10.7,3.4,21.72,76.75,0.5
2014-01-26,0.0,29.4,16.8,8.2,3.7,21.36,78.0,0.7
2014-01-27,0.0,30.6,16.6,12.6,3.8,21.88,71.75,1.2
2014-01-28,0.0,31.4,16.0,11.6,4.5,23.12,65.5,0.666667
2014-01-29,0.0,30.2,14.6,10.0,5.6,22.4,75.0,0.0
2014-01-30,0.0,30.8,19.4,8.0,3.7,23.08,72.0,0.333333
2014-01-31,0.0,31.2,16.8,10.0,4.2,23.76,67.5,0.166667
2014-02-01,0.0,31.2,16.4,8.3,4.4,23.24,70.5,1.0
2014-02-02,0.0,32.6,16.6,9.7,4.8,24.36,68.25,0.0
2014-02-03,0.0,31.8,17.4,10.5,4.5,24.04,66.25,0.666667
2014-02-04,0.0,31.8,15.8,10.5,5.5,23.56,67.75,0.333333
2014-02-05,0.0,29.8,18.8,8.8,5.5,22.96,74.75,0.666667
2014-02-06,0.0,31.0,14.8,9.2,3.8,22.0,70.25,0.5
2014-02-07,0.0,30.0,16.0,8.2,3.9,21.96,69.25,0.866667
2014-02-08,0.0,30.6,17.0,10.1,5.2,22.8,69.25,0.333333
2014-02-09,0.0,30.4,19.0,11.7,5.3,22.36,68.75,1.2
2014-02-10,0.0,31.4,16.6,9.2,5.8,22.24,68.75,1.0
2014-02-11,0.0,29.6,17.4,7.4,4.6,22.4,67.75,1.0
2014-02-12,0.0,28.8,14.2,7.4,4.6,21.72,67.25,0.5
2014-02-13,0.0,29.6,18.8,7.6,5.1,23.88,61.0,1.0
2014-02-14,0.0,30.4,20.4,6.8,5.5,23.72,69.5,0.866667
2014-02-15,0.0,28.2,19.4,4.4,4.8,22.36,82.75,0.833333
2014-02-16,20.0,27.2,18.2,4.7,3.0,21.96,80.0,0.666667
2014-02-17,9.2,25.6,17.8,1.4,2.9,20.36,89.0,0.5
2014-02-18,12.6,26.2,17.2,4.1,2.0,20.2,81.25,0.5
2014-02-19,14.6,28.0,17.6,11.0,3.1,21.76,70.0,1.033333
2014-02-20,0.0,30.6,14.0,10.5,4.2,20.68,74.25,0.833333
2014-02-21,8.7,28.8,15.8,7.3,3.5,21.08,76.5,0.666667
2014-02-22,5.2,29.0,16.8,7.6,3.0,22.48,76.0,0.0
2014-02-23,0.0,37.6,17.4,3.7,3.0,23.52,78.25,0.5
2014-02-24,0.0,30.6,17.6,11.2,3.5,23.12,71.0,0.833333
2014-02-25,0.0,29.6,18.2,11.5,4.9,22.96,71.25,0.833333
2014-02-26,0.0,30.0,17.0,8.9,4.4,22.8,70.5,0.666667
2014-02-27,0.0,30.4,18.8,12.0,4.6,23.72,65.25,0.666667
2014-02-28,0.0,31.2,19.8,10.4,5.7,24.44,66.5,1.033333
2014-03-01,0.0,29.0,20.0,8.4,5.6,23.16,74.75,0.666667
2014-03-02,5.9,27.4,18.8,3.7,3.2,21.4,85.25,0.166667
2014-03-03,4.5,28.4,18.8,6.0,2.0,21.76,83.75,0.7
2014-03-04,1.0,27.0,16.4,6.2,2.8,21.08,82.75,0.0
2014-03-05,2.6,26.8,19.0,2.8,2.4,21.6,80.75,0.166667
2014-03-06,0.0,27.6,17.0,2.4,2.6,22.32,77.5,0.5
2014-03-07,0.0,28.4,18.8,3.7,2.6,22.32,90.0,0.5
2014-03-08,36.6,27.6,18.2,2.6,5.1,22.4,82.75,1.033333
2014-03-09,28.0,26.2,18.4,2.4,2.3,21.48,79.5,1.1
