date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,6.8,31.0,21.2,7.1,12.4,24.8,84.25,1.166667
2014-01-02,0.0,32.1,21.0,10.4,3.9,25.5,79.25,1.0
2014-01-03,0.0,33.4,22.4,12.1,4.0,26.54,76.0,0.0
2014-01-04,0.0,34.1,22.8,12.2,7.2,27.0,67.5,0.666667
2014-01-05,1.3,33.0,21.1,12.4,8.3,26.7,64.75,1.033333
2014-01-06,0.0,33.3,20.5,11.1,10.6,25.58,70.25,0.666667
2014-01-07,0.0,32.8,20.0,11.6,8.4,25.58,65.25,1.0
2014-01-08,0.0,32.0,20.0,11.6,6.9,25.1,70.75,0.0
2014-01-09,0.0,32.0,20.2,8.4,7.2,24.58,68.25,0.333333
2014-01-10,0.0,32.7,20.4,7.8,7.7,25.36,65.25,1.7
2014-01-11,0.0,31.9,19.7,5.0,5.7,24.36,75.0,0.333333
2014-01-12,0.0,31.4,19.0,6.2,4.2,24.24,77.0,1.566667
2014-01-13,0.0,31.1,19.4,4.3,5.6,24.2,75.25,0.333333
2014-01-14,0.0,31.5,20.4,6.0,4.7,24.56,74.75,2.233333
2014-01-15,0.0,32.9,22.2,10.6,5.0,25.52,72.0,0.0
2014-01-16,0.0,33.1,19.8,10.8,6.3,25.2,67.75,0.666667
2014-01-17,20.4,32.3,19.8,7.1,6.0,24.08,81.25,0.866667
2014-01-18,14.4,30.4,20.0,8.3,3.7,23.76,85.75,0.5
2014-01-19,0.0,32.0,20.0,7.4,3.6,24.24,78.5,0.166667
2014-01-20,0.3,31.6,18.9,11.5,4.3,23.92,76.0,0.333333
2014-01-21,0.0,29.2,19.8,8.3,4.5,23.5,82.25,0.833333
2014-01-22,0.0,30.5,21.0,7.3,5.0,24.2,99.25,0.833333
2014-01-23,0.0,33.5,19.8,9.1,3.8,25.68,64.75,0.0
2014-01-24,0.0,32.2,20.0,7.2,6.0,24.38,86.75,0.766667
2014-01-25,34.3,31.1,18.8,10.5,3.4,23.96,81.0,1.033333
2014-01-26,0.0,31.8,21.0,11.8,4.4,25.02,72.5,1.033333
2014-01-27,0.0,31.7,18.9,4.3,8.3,23.22,86.5,0.5
2014-01-28,26.4,32.1,17.0,11.3,4.0,24.08,71.25,0.5
2014-01-29,0.0,31.3,16.8,11.5,9.2,24.24,67.75,0.0
2014-01-30,0.0,32.8,19.6,12.5,8.5,25.66,61.75,0.666667
2014-01-31,0.0,32.3,21.3,12.3,10.5,25.88,57.5,1.033333
2014-02-01,0.0,31.3,19.5,12.5,10.0,24.72,58.0,2.233333
2014-02-02,0.0,32.1,19.0,10.8,11.3,25.14,57.25,1.2
2014-02-03,0.0,32.8,19.6,12.2,11.6,25.74,55.25,0.333333
2014-02-04,0.0,32.8,21.4,4.4,11.7,25.74,64.75,0.666667
2014-02-05,0.0,32.8,20.8,10.8,8.9,25.74,61.5,0.333333
2014-02-06,0.0,32.8,22.2,11.6,13.2,25.74,63.0,1.166667
2014-02-07,0.0,32.8,20.6,12.2,14.8,25.74,51.75,0.833333
2014-02-08,0.0,32.8,21.0,12.0,14.0,25.74,56.0,0.833333
2014-02-09,0.0,32.8,19.4,10.1,12.0,25.74,66.5,0.833333
2014-02-10,0.0,32.8,18.9,9.2,8.7,25.74,56.5,0.333333
2014-02-11,0.0,32.8,21.6,6.6,11.0,25.74,62.0,0.333333
2014-02-12,0.0,32.8,20.6,7.4,11.0,25.74,59.75,0.5
2014-02-13,0.0,32.8,19.2,5.5,9.9,25.74,75.25,1.4
2014-02-14,0.4,32.8,20.0,6.0,6.7,25.74,79.75,0.666667
2014-02-15,8.2,32.8,20.8,2.6,4.7,25.74,91.0,0.7
2014-02-16,31.5,32.8,20.3,5.6,2.7,25.74,85.25,1.166667
2014-02-17,21.9,32.8,20.1,7.6,4.4,25.74,77.5,1.366667
2014-02-18,11.8,32.8,19.6,4.3,5.3,25.74,88.0,1.5
2014-02-19,28.7,32.8,20.6,10.0,3.4,25.74,73.25,0.833333
2014-02-20,0.0,32.8,20.6,6.4,7.3,25.74,81.5,1.533333
2014-02-21,5.8,32.8,21.5,2.2,4.8,25.74,87.25,1.166667
2014-02-22,2.6,32.8,20.6,1.9,2.8,25.74,88.25,0.5
2014-02-23,24.3,32.8,20.3,2.4,3.0,25.74,85.5,1.033333
2014-02-24,0.0,32.8,20.1,3.1,4.2,25.74,80.75,1.366667
2014-02-25,0.5,32.8,19.0,1.7,4.8,25.74,81.0,0.833333
2014-02-26,0.0,32.8,21.0,6.6,4.4,25.74,75.25,0.833333
2014-02-27,1.4,32.8,19.2,11.1,7.3,25.74,68.5,0.166667
2014-02-28,0.0,32.8,21.2,6.8,7.9,25.74,82.0,0.0
2014-03-01,2.0,32.8,19.5,7.1,4.9,25.74,93.5,1.7
2014-03-02,32.2,32.8,18.7,10.9,3.4,25.74,75.5,0.833333
2014-03-03,0.0,32.8,21.2,10.6,6.6,25.74,71.0,1.166667
2014-03-04,0.0,32.8,21.2,3.3,8.6,25.74,86.0,0.833333
2014-03-05,12.0,32.8,21.2,3.0,3.5,25.74,82.75,0.666667
2014-03-06,0.0,32.8,20.4,8.1,4.2,25.74,77.25,0.0
2014-03-07,2.2,32.8,20.3,2.3,4.8,25.74,88.5,1.333333
2014-03-08,28.8,32.8,18.2,9.3,2.8,25.74,79.75,0.5
2014-03-09,0.0,32.8,18.5,11.2,5.0,25.74,67.25,0.833333
2014-03-10,0.0,32.8,21.0,4.6,6.0,25.74,78.75,1.533333
2014-03-11,0.0,32.8,19.8,8.3,5.9,25.74,70.0,0.733333
2014-03-12,7.4,32.8,21.0,6.5,7.0,25.74,85.5,0.0
2014-03-13,0.0,32.8,20.8,4.7,3.0,25.74,78.25,0.0
2014-03-14,0.0,32.8,22.2,9.5,4.9,25.74,79.25,0.833333
2014-03-15,0.0,32.8,20.3,11.2,8.0,25.74,68.75,2.066667
2014-03-16,0.0,32.8,19.0,11.0,7.1,25.74,70.0,1.0
2014-03-17,0.0,32.8,20.4,11.1,7.7,25.74,61.0,0.533333
2014-03-18,45.0,32.8,19.2,3.9,7.2,25.74,78.25,0.333333
2014-03-19,0.0,32.8,19.6,11.0,3.8,25.74,73.0,0.833333
2014-03-20,0.0,32.8,20.2,9.1,5.9,25.74,67.25,1.366667
2014-03-21,24.4,32.8,21.0,5.7,4.4,25.74,82.75,0.833333
2014-03-22,32.6,32.8,20.2,0.0,3.5,25.74,90.25,1.533333
2014-03-23,2.1,32.8,20.8,8.3,1.4,25.74,77.5,1.5
2014-03-24,0.0,32.8,20.2,10.5,4.7,25.74,76.5,1.2
2014-03-25,0.2,32.8,20.7,10.2,5.1,25.74,74.5,2.266667
2014-03-26,12.0,32.8,20.8,8.5,5.4,25.74,77.0,2.166667
2014-03-27,0.0,32.8,21.4,0.1,5.3,25.74,89.25,0.0
2014-03-28,0.8,32.8,20.8,8.0,1.8,25.74,76.5,1.333333
2014-03-29,0.0,32.8,21.7,6.1,5.8,25.74,77.25,0.833333
2014-03-30,0.0,32.8,20.2,2.9,5.2,25.74,92.5,1.9
2014-03-31,33.6,32.8,20.0,7.8,1.1,25.74,79.5,0.5
2014-04-01,0.0,32.8,21.4,9.0,3.6,25.74,82.25,0.5
2014-04-02,6.4,32.8,21.0,8.2,3.4,25.74,81.5,0.5
2014-04-03,0.0,32.8,20.3,9.1,8.4,25.74,83.0,0.5
2014-04-04,0.0,32.8,19.7,10.5,3.6,25.74,67.5,0.833333
2014-04-05,0.0,32.8,21.5,10.6,6.0,25.74,74.0,1.7333330000000002
2014-04-06,0.0,32.8,21.2,11.0,6.5,25.74,76.0,1.2
2014-04-07,0.0,32.8,21.3,8.0,5.9,25.74,78.75,1.0
2014-04-08,0.0,32.8,20.2,4.6,4.6,25.74,81.25,0.5
2014-04-09,0.0,32.8,20.6,8.3,4.0,25.74,72.0,1.166667
2014-04-10,0.0,32.8,20.2,6.4,5.0,25.74,85.25,1.533333
2014-04-11,3.5,32.8,20.0,9.1,3.5,25.74,79.25,0.5
2014-04-12,0.0,32.8,21.3,6.1,3.0,25.74,83.5,1.7333330000000002
2014-04-13,4.4,32.8,20.1,6.5,5.4,25.74,81.0,0.833333
2014-04-14,3.8,32.8,21.0,5.9,1.5,25.74,85.0,0.666667
