date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.7,21.7,9.8,3.1,27.36,72.0,1.3
2014-01-02,0.0,32.5,21.3,12.0,3.8,26.32,66.75,2.166667
2014-01-03,0.0,32.0,18.0,12.5,5.2,24.26,70.5,1.333333
2014-01-04,0.0,32.1,16.7,12.6,4.0,23.82,67.0,1.6
2014-01-05,0.0,31.2,19.2,12.7,4.9,24.0,68.75,1.6
2014-01-06,0.0,30.8,18.8,11.7,5.0,24.74,60.5,1.9666669999999997
2014-01-07,0.0,30.3,18.7,12.3,6.4,23.4,66.5,1.8666669999999999
2014-01-08,0.0,31.2,18.1,11.2,5.7,24.62,62.0,2.1
2014-01-09,0.0,30.1,17.7,3.7,4.4,23.16,78.25,1.833333
2014-01-10,0.0,31.0,20.3,10.7,3.9,25.42,66.25,2.233333
2014-01-11,0.0,31.6,20.1,11.6,4.8,25.1,67.0,1.6
2014-01-12,0.0,32.0,21.1,8.8,4.7,25.48,69.5,1.7333330000000002
2014-01-13,0.0,31.1,20.5,9.7,4.6,24.88,67.75,0.8
2014-01-14,0.0,32.0,21.3,11.1,4.7,24.62,71.25,1.9333330000000002
2014-01-15,0.0,32.0,17.8,12.7,4.7,24.02,67.25,1.1
2014-01-16,0.0,32.3,17.1,9.8,4.0,23.34,69.5,1.066667
2014-01-17,0.0,29.4,18.3,4.1,4.8,23.76,72.5,1.566667
2014-01-18,0.2,28.2,19.6,1.0,3.2,22.1,93.25,1.033333
2014-01-19,42.0,28.2,19.3,6.7,1.1,22.62,81.25,1.8666669999999999
2014-01-20,0.0,29.7,18.5,6.4,2.5,23.6,84.5,1.1
2014-01-21,2.8,31.1,20.0,3.5,2.0,23.82,80.75,1.6
2014-01-22,0.0,31.3,20.8,5.8,2.2,24.94,79.5,1.233333
2014-01-23,0.3,31.8,21.3,5.7,2.9,25.34,80.5,1.2
2014-01-24,0.0,31.3,21.3,8.8,2.6,24.96,72.5,1.433333
2014-01-25,0.0,31.7,18.7,10.4,2.4,24.16,74.0,1.133333
2014-01-26,0.0,31.5,19.7,10.3,2.9,24.44,73.25,0.8
2014-01-27,0.0,31.0,20.8,11.2,4.6,24.68,64.25,2.5
2014-01-28,0.0,30.6,18.2,12.0,5.4,23.96,60.5,2.0333330000000003
