date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.5,33.6,20.3,0.0,6.0,26.5,60.25,0.0
2014-01-02,0.0,32.6,19.3,0.0,6.6,25.34,59.5,0.0
2014-01-03,0.0,30.0,15.7,0.0,7.0,22.46,65.75,0.0
2014-01-04,0.0,30.8,15.1,0.0,7.5,22.66,63.25,0.0
2014-01-05,0.0,30.8,16.1,0.0,7.3,23.26,58.75,0.0
2014-01-06,0.0,30.6,16.5,0.0,6.7,22.86,60.25,0.0
2014-01-07,0.0,29.4,15.7,0.0,6.0,21.86,63.5,0.0
2014-01-08,0.0,30.8,18.7,0.0,6.0,23.62,62.0,0.0
2014-01-09,0.0,29.6,17.3,0.0,6.0,23.18,68.0,0.0
2014-01-10,0.0,30.2,19.7,0.0,4.5,23.94,64.5,0.0
2014-01-11,0.0,30.2,19.9,0.0,6.5,23.74,63.0,0.0
2014-01-12,0.0,30.8,17.5,0.0,5.7,24.3,64.0,0.0
2014-01-13,0.0,32.0,19.7,0.0,6.0,25.1,54.0,0.0
2014-01-14,0.0,31.6,18.7,0.0,6.8,24.5,58.5,0.0
2014-01-15,0.0,31.4,17.5,0.0,6.3,23.58,63.5,0.0
2014-01-16,0.0,33.0,17.3,0.0,4.4,24.58,61.25,0.0
2014-01-17,0.0,30.8,17.9,0.0,4.4,24.38,60.0,0.0
2014-01-18,0.0,30.2,19.7,0.0,6.0,23.26,79.75,0.0
2014-01-19,5.6,25.8,19.3,0.0,3.3,21.94,83.75,0.0
2014-01-20,0.2,26.8,20.1,0.0,1.0,22.38,84.25,0.0
2014-01-21,2.3,30.0,19.3,0.0,2.1,23.1,80.25,0.0
2014-01-22,1.7,30.2,20.9,0.0,2.8,23.5,81.0,0.0
2014-01-23,3.0,32.2,17.5,0.0,2.8,23.18,75.25,0.0
2014-01-24,1.6,31.8,18.9,0.0,3.0,23.42,71.75,0.0
2014-01-25,0.0,30.2,14.9,0.0,5.0,22.7,62.5,0.0
2014-01-26,0.0,32.0,15.9,0.0,5.0,23.42,63.5,0.0
2014-01-27,0.0,31.2,17.9,0.0,5.5,23.74,55.25,0.0
2014-01-28,0.0,28.8,17.7,0.0,6.5,22.78,59.75,0.0
2014-01-29,0.0,28.8,16.9,0.0,7.0,23.06,68.0,0.0
2014-01-30,0.0,30.4,17.9,0.0,4.5,23.38,61.5,0.0
2014-01-31,0.0,30.2,17.5,0.0,5.0,22.98,58.0,0.0
2014-02-01,0.0,30.6,15.5,0.0,6.0,23.02,52.5,0.0
2014-02-02,0.0,31.8,14.9,0.0,7.0,23.26,57.0,0.0
2014-02-03,0.0,31.2,19.1,0.0,7.5,24.22,53.5,0.0
2014-02-04,0.0,31.8,16.1,0.0,8.0,23.7,64.75,0.0
2014-02-05,0.0,29.2,18.9,0.0,5.7,23.34,67.0,0.0
2014-02-06,0.0,31.0,17.7,0.0,5.3,23.66,63.0,0.0
2014-02-07,0.0,31.2,17.7,0.0,6.5,23.5,54.75,0.0
2014-02-08,0.0,31.4,16.5,0.0,7.0,23.42,55.0,0.0
2014-02-09,0.0,31.0,17.3,0.0,6.4,23.54,55.75,0.0
2014-02-10,0.0,30.2,17.7,0.0,6.2,23.22,62.75,0.0
