date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,8.8,0.0,18.8,10.0,2.8,0.0,70.5,1.0
2014-01-02,0.9,0.0,18.4,12.4,4.2,0.0,60.25,0.0
2014-01-03,0.0,0.0,16.2,12.8,7.1,0.0,49.75,0.5
2014-01-04,0.0,0.0,15.8,13.0,7.1,0.0,55.5,0.666667
2014-01-05,0.0,0.0,16.6,12.3,6.7,0.0,58.75,1.366667
2014-01-06,0.0,0.0,14.2,11.4,6.4,0.0,62.75,0.866667
2014-01-07,0.0,0.0,14.8,11.2,5.3,0.0,63.5,1.2
2014-01-08,0.0,0.0,16.2,8.5,5.1,0.0,59.5,0.166667
2014-01-09,0.0,0.0,15.0,7.9,5.2,0.0,77.5,1.366667
2014-01-10,0.5,0.0,16.8,6.2,3.3,0.0,69.75,1.033333
2014-01-11,0.0,0.0,17.0,7.2,4.6,0.0,65.75,2.066667
2014-01-12,0.5,0.0,16.2,10.0,4.8,0.0,67.0,1.9
2014-01-13,0.0,0.0,16.5,9.8,4.9,0.0,60.0,1.033333
2014-01-14,0.0,0.0,16.2,9.5,6.2,0.0,61.25,1.566667
2014-01-15,0.0,0.0,16.4,8.3,6.2,0.0,66.75,0.833333
2014-01-16,0.0,0.0,16.2,10.5,4.2,0.0,50.75,1.4
2014-01-17,0.0,0.0,15.6,6.3,7.0,0.0,75.5,1.4
2014-01-18,2.4,0.0,15.2,1.2,3.5,0.0,89.25,0.5
2014-01-19,15.4,0.0,16.0,0.3,1.7,0.0,91.75,0.666667
2014-01-20,2.4,0.0,16.4,0.0,0.9,0.0,92.5,0.5
2014-01-21,9.2,0.0,16.0,4.1,1.1,0.0,88.75,0.0
2014-01-22,7.0,0.0,17.1,2.6,2.2,0.0,76.0,0.5
2014-01-23,0.0,0.0,17.2,9.3,3.0,0.0,66.75,0.5
2014-01-24,0.0,0.0,17.2,11.5,4.0,0.0,67.5,0.166667
2014-01-25,0.0,0.0,15.6,11.4,5.2,0.0,61.25,2.733333
2014-01-26,0.0,0.0,16.0,10.1,4.6,0.0,72.75,1.2
2014-01-27,5.6,0.0,15.8,11.0,4.4,0.0,65.5,2.5333330000000003
2014-01-28,0.1,0.0,18.6,13.0,5.6,0.0,57.75,1.7
2014-01-29,0.0,0.0,15.0,9.8,6.8,0.0,73.0,1.566667
2014-01-30,0.0,0.0,15.0,11.4,3.8,0.0,59.0,0.666667
2014-01-31,0.0,0.0,13.2,12.5,5.9,0.0,56.75,1.4
2014-02-01,0.0,0.0,13.0,4.9,6.4,0.0,58.0,1.366667
2014-02-02,0.0,0.0,15.4,12.5,6.3,0.0,60.5,1.366667
2014-02-03,0.0,0.0,15.9,12.7,6.4,0.0,56.5,1.033333
2014-02-04,0.0,0.0,16.3,12.8,7.6,0.0,58.5,1.533333
2014-02-05,0.0,0.0,17.8,11.5,7.5,0.0,71.75,1.166667
2014-02-06,0.0,0.0,15.0,11.5,5.8,0.0,61.0,2.9
2014-02-07,0.0,0.0,15.6,12.6,5.0,0.0,55.5,1.366667
2014-02-08,0.0,0.0,14.8,12.0,6.5,0.0,57.25,1.7
2014-02-09,0.0,0.0,16.1,11.9,6.3,0.0,56.75,2.233333
2014-02-10,0.0,0.0,15.4,5.2,6.2,0.0,63.5,0.5
2014-02-11,0.0,0.0,15.5,8.9,4.8,0.0,62.25,2.566667
2014-02-12,0.0,0.0,16.4,8.0,5.9,0.0,59.75,0.5
2014-02-13,0.0,0.0,15.4,10.4,5.4,0.0,63.25,1.9
