date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,5.2,32.4,0.0,0.0,3.4,0.0,0.0,0.0
2014-01-02,3.2,35.2,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-03,0.0,35.0,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-04,0.0,36.0,0.0,0.0,4.5,0.0,0.0,0.0
2014-01-05,0.0,35.2,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-06,0.0,33.6,0.0,0.0,4.8,0.0,0.0,0.0
2014-01-07,0.0,32.5,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-08,0.0,31.4,0.0,0.0,3.8,0.0,0.0,0.0
2014-01-09,0.0,32.4,0.0,0.0,3.8,0.0,0.0,0.0
2014-01-10,0.0,33.2,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-11,2.6,30.4,0.0,0.0,3.0,0.0,0.0,0.0
2014-01-12,0.0,32.4,0.0,0.0,3.4,0.0,0.0,0.0
2014-01-13,0.0,33.2,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-14,0.0,33.2,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-15,0.0,33.5,0.0,0.0,4.2,0.0,0.0,0.0
2014-01-16,0.0,35.4,0.0,0.0,4.6,0.0,0.0,0.0
2014-01-17,0.0,35.0,0.0,0.0,4.5,0.0,0.0,0.0
2014-01-18,8.0,32.5,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-19,4.2,28.6,0.0,0.0,2.5,0.0,0.0,0.0
2014-01-20,0.0,31.0,0.0,0.0,3.2,0.0,0.0,0.0
2014-01-21,20.4,33.5,0.0,0.0,3.5,0.0,0.0,0.0
2014-01-22,61.0,30.8,0.0,0.0,3.0,0.0,0.0,0.0
2014-01-23,0.0,32.2,0.0,0.0,3.2,0.0,0.0,0.0
2014-01-24,0.0,32.4,0.0,0.0,3.4,0.0,0.0,0.0
2014-01-26,0.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0
2014-01-27,0.0,32.8,0.0,0.0,3.6,0.0,0.0,0.0
2014-01-28,0.0,32.6,0.0,0.0,3.6,0.0,0.0,0.0
2014-01-29,0.0,32.0,0.0,0.0,3.4,0.0,0.0,0.0
2014-01-30,0.0,32.2,0.0,0.0,3.4,0.0,0.0,0.0
2014-01-31,0.0,32.8,0.0,0.0,3.6,0.0,0.0,0.0
2014-02-01,0.0,33.6,0.0,0.0,3.5,0.0,0.0,0.0
2014-02-02,0.0,33.4,0.0,0.0,3.5,0.0,0.0,0.0
2014-02-03,0.0,33.0,0.0,0.0,3.4,0.0,0.0,0.0
2014-02-04,0.0,33.8,0.0,0.0,4.0,0.0,0.0,0.0
2014-02-05,0.0,35.0,0.0,0.0,4.5,0.0,0.0,0.0
2014-02-06,0.0,33.2,0.0,0.0,3.8,0.0,0.0,0.0
2014-02-07,0.0,32.2,0.0,0.0,3.5,0.0,0.0,0.0
2014-02-08,0.0,32.4,0.0,0.0,3.5,0.0,0.0,0.0
2014-02-09,0.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0
2014-02-10,0.0,33.2,0.0,0.0,3.6,0.0,0.0,0.0
2014-02-11,0.0,33.6,0.0,0.0,3.6,0.0,0.0,0.0
2014-02-12,0.0,32.4,0.0,0.0,3.4,0.0,0.0,0.0
2014-02-13,0.0,32.8,0.0,0.0,3.5,0.0,0.0,0.0
2014-02-14,0.0,34.8,0.0,0.0,5.0,0.0,0.0,0.0
2014-02-15,0.0,34.2,0.0,0.0,4.5,0.0,0.0,0.0
2014-02-17,0.0,29.5,0.0,0.0,3.0,0.0,0.0,0.0
