date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.6,13.8,2.3,3.9,25.4,54.75,0.666667
2014-01-02,0.0,33.4,19.4,11.6,4.8,26.4,51.25,1.666667
2014-01-03,0.0,33.0,18.6,11.1,4.8,25.48,46.25,1.0
2014-01-04,0.0,34.0,18.4,11.6,2.5,25.76,45.25,0.333333
2014-01-05,0.0,34.0,18.0,11.3,6.9,25.96,45.75,2.0
2014-01-06,0.0,33.8,19.0,8.9,6.7,25.12,59.25,0.666667
2014-01-07,0.0,32.8,19.2,11.5,5.4,24.96,53.5,1.333333
2014-01-08,0.0,33.2,18.2,11.4,5.6,24.88,55.25,2.333333
2014-01-09,0.2,30.2,19.2,7.0,6.4,24.28,62.75,1.666667
2014-01-10,0.0,31.6,18.8,8.6,4.6,25.08,56.0,2.0
2014-01-11,0.0,32.8,18.8,7.4,5.6,25.24,60.25,2.0
2014-01-12,0.0,31.8,20.0,8.3,4.8,25.48,59.5,1.666667
2014-01-13,0.0,33.6,19.0,10.4,5.3,25.96,54.0,1.666667
2014-01-14,0.0,33.8,19.6,10.2,6.8,26.16,53.25,2.0
2014-01-15,0.0,34.4,19.4,9.5,6.2,25.68,59.75,1.333333
2014-01-16,0.0,33.0,20.0,6.6,4.9,25.76,62.75,1.0
2014-01-17,0.0,30.6,20.6,4.1,4.6,25.6,68.25,1.0
2014-01-18,19.3,25.0,18.2,0.2,2.8,21.68,86.0,0.0
2014-01-19,0.8,29.0,20.0,3.4,1.2,22.88,77.75,1.333333
2014-01-20,5.8,24.8,19.8,0.0,2.4,21.76,89.0,0.333333
2014-01-21,5.5,28.0,19.4,2.3,1.5,21.96,83.0,0.666667
2014-01-22,38.2,28.8,18.8,2.2,2.4,21.84,86.75,0.666667
2014-01-23,19.0,28.0,17.8,3.4,2.2,22.4,86.75,0.666667
2014-01-24,9.9,30.0,21.0,7.0,1.6,23.8,77.5,0.666667
2014-01-25,1.2,30.8,18.4,5.4,2.7,23.4,64.5,1.0
2014-01-26,0.0,29.8,19.6,7.8,4.9,23.76,68.5,2.0
2014-01-27,0.0,31.8,19.6,8.1,4.2,23.8,66.5,1.333333
2014-01-28,10.6,30.0,18.0,9.6,4.4,23.36,58.0,1.333333
2014-01-29,0.0,30.8,18.0,9.3,5.0,23.64,58.25,2.666667
2014-01-30,0.0,31.2,20.6,7.5,6.0,24.64,57.75,1.333333
2014-01-31,0.0,31.6,19.0,8.2,5.5,24.24,57.0,0.666667
2014-02-01,0.0,32.2,18.2,11.0,6.1,25.08,50.25,1.333333
2014-02-02,0.0,32.4,19.4,8.9,6.5,25.32,50.75,1.666667
2014-02-03,0.0,31.8,18.6,10.8,6.2,24.56,53.25,1.666667
2014-02-04,0.0,33.6,18.6,8.5,6.8,25.64,48.0,1.666667
2014-02-05,0.0,32.8,20.4,11.7,6.5,25.84,56.25,2.0
2014-02-06,0.0,31.6,19.2,11.8,6.3,24.48,52.0,2.333333
2014-02-07,0.0,31.8,19.4,10.7,6.6,25.24,53.5,2.0
2014-02-08,0.0,32.8,20.0,10.4,5.8,26.2,52.25,1.666667
2014-02-09,0.0,31.8,20.4,5.0,6.5,25.24,54.0,1.333333
2014-02-10,0.0,31.4,19.8,6.0,6.6,25.28,53.0,1.666667
2014-02-11,0.0,32.0,19.8,6.9,6.1,25.28,56.5,1.666667
2014-02-12,0.0,33.0,20.0,6.3,5.7,25.56,62.0,1.666667
2014-02-13,0.0,33.2,21.0,5.3,4.7,26.2,54.75,2.0
2014-02-14,0.0,31.0,21.0,2.0,5.6,24.12,71.5,0.666667
2014-02-15,2.0,30.0,20.4,1.5,2.9,23.96,86.0,0.0
2014-02-16,87.8,30.0,19.6,1.3,2.2,22.56,87.75,0.333333
2014-02-17,0.6,28.6,19.0,3.8,1.1,22.8,84.5,2.333333
2014-02-18,0.3,28.0,19.8,0.7,1.9,22.56,80.25,0.666667
2014-02-19,16.9,27.0,19.0,1.2,1.9,22.4,82.5,0.0
2014-02-20,20.4,26.0,19.8,1.3,2.0,22.32,85.25,1.0
2014-02-21,14.0,25.4,19.8,0.7,1.3,21.88,91.75,0.333333
2014-02-22,24.4,27.2,18.8,0.7,1.1,22.44,76.75,1.0
