date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.8,19.4,0.0,3.3,24.42,69.5,2.0
2014-01-02,0.0,30.3,16.9,0.0,3.7,23.22,61.0,1.333333
2014-01-03,0.0,30.2,14.8,0.0,4.9,22.34,66.5,0.666667
2014-01-04,0.0,29.7,14.5,0.0,3.9,22.36,62.5,1.666667
2014-01-05,0.0,28.2,16.5,0.0,4.3,21.92,66.25,1.0
2014-01-06,0.0,27.2,15.9,0.0,4.2,21.32,66.25,2.0
2014-01-07,0.0,27.1,15.5,0.0,4.1,20.76,70.0,1.666667
2014-01-08,0.0,27.9,17.3,0.0,4.0,21.9,65.75,2.0
2014-01-09,0.0,26.7,16.8,0.0,4.0,21.4,77.5,2.666667
2014-01-10,0.8,27.9,19.1,0.0,3.0,22.34,70.75,1.0
2014-01-11,0.0,28.2,19.1,0.0,3.9,22.18,70.5,1.666667
2014-01-12,0.0,28.4,18.1,0.0,3.7,22.72,73.75,3.0
2014-01-13,0.0,30.1,18.4,0.0,4.2,23.36,65.25,1.333333
2014-01-14,0.0,29.6,18.3,0.0,4.9,23.3,62.75,2.0
2014-01-15,0.0,28.8,16.5,0.0,4.9,21.8,68.75,0.666667
2014-01-16,0.0,31.8,16.5,0.0,3.3,23.4,62.25,1.333333
2014-01-17,0.0,28.6,16.5,0.0,5.0,22.64,67.5,1.333333
2014-01-18,0.0,29.0,18.9,0.0,4.3,22.26,80.25,1.666667
2014-01-19,22.6,25.2,18.1,0.0,2.2,20.46,88.25,1.666667
2014-01-20,0.7,25.5,18.4,0.0,3.8,20.74,90.0,1.666667
2014-01-21,3.1,27.1,18.3,0.0,0.5,22.22,82.25,1.333333
2014-01-22,0.4,28.6,20.4,0.0,1.8,22.86,81.75,1.333333
2014-01-23,0.0,30.0,16.7,0.0,1.7,22.58,77.25,2.333333
2014-01-24,0.0,28.1,18.7,0.0,3.2,21.9,75.25,2.0
2014-01-25,0.0,28.1,16.5,0.0,2.9,21.58,75.5,1.666667
2014-01-26,0.0,29.2,16.6,0.0,2.4,21.74,75.75,2.333333
2014-01-27,0.1,27.9,17.5,0.0,3.0,22.42,60.0,3.333333
2014-01-28,0.0,27.1,17.1,0.0,4.4,20.9,68.0,2.333333
2014-01-29,0.0,27.2,16.5,0.0,4.3,21.68,73.5,4.0
2014-01-30,0.0,26.2,17.7,0.0,3.8,21.08,71.75,3.0
2014-01-31,0.0,26.7,16.5,0.0,3.7,20.82,68.5,2.333333
2014-02-01,0.0,26.8,15.2,0.0,4.3,20.32,70.25,3.0
2014-02-02,0.0,30.4,15.1,0.0,4.2,21.88,64.5,1.333333
2014-02-03,0.0,28.5,17.6,0.0,5.1,22.32,62.25,2.666667
2014-02-04,0.0,28.8,16.9,0.0,5.3,22.48,64.75,2.666667
2014-02-05,0.0,28.0,17.9,0.0,5.2,21.72,70.5,3.0
2014-02-06,0.0,27.5,15.7,0.0,4.8,21.1,70.75,2.0
2014-02-07,0.0,28.3,15.5,0.0,4.2,21.42,62.5,2.0
2014-02-08,0.0,28.1,18.3,0.0,5.0,21.88,64.0,2.333333
2014-02-09,0.0,28.9,17.5,0.0,5.3,22.06,63.75,3.0
2014-02-10,0.0,27.8,17.1,0.0,4.3,21.7,69.0,2.666667
2014-02-11,0.0,27.3,17.7,0.0,4.1,21.28,67.25,2.333333
2014-02-12,0.0,28.1,16.1,0.0,3.7,21.24,66.0,1.333333
2014-02-13,0.0,29.8,16.8,0.0,3.7,22.34,64.5,1.666667
2014-02-14,0.0,30.3,16.6,0.0,4.2,22.58,70.5,1.666667
2014-02-15,0.0,30.5,16.7,0.0,3.5,22.54,58.0,1.666667
2014-02-16,0.0,30.8,16.0,0.0,5.2,22.16,65.0,1.0
2014-02-17,0.0,30.2,16.2,0.0,3.9,22.18,62.5,1.666667
2014-02-18,0.0,27.5,18.9,0.0,5.2,21.34,86.25,2.333333
2014-02-19,2.0,25.1,18.1,0.0,2.3,20.38,79.75,2.333333
2014-02-20,0.0,27.7,17.0,0.0,2.5,21.16,70.5,2.0
2014-02-21,0.0,28.5,16.3,0.0,3.5,20.54,74.5,2.333333
2014-02-22,0.3,27.2,17.9,0.0,3.5,21.78,77.0,2.333333
2014-02-23,0.2,28.8,18.4,0.0,3.4,22.64,72.75,4.3333330000000005
2014-02-24,0.6,28.2,18.3,0.0,4.4,22.54,70.0,4.0
2014-02-25,4.6,28.2,18.3,0.0,4.4,21.78,73.75,2.0
2014-02-26,0.0,27.2,18.0,0.0,4.4,21.86,73.25,2.333333
2014-02-27,0.0,28.7,19.0,0.0,4.1,22.84,67.75,2.0
2014-02-28,0.0,31.3,15.6,0.0,4.1,22.18,69.75,1.333333
2014-03-01,9.3,29.4,18.1,0.0,4.1,21.58,80.75,1.666667
2014-03-02,15.6,25.8,18.1,0.0,2.5,20.8,91.5,1.0
2014-03-03,14.8,26.8,17.3,0.0,1.3,21.34,74.5,2.666667
2014-03-04,0.0,25.1,17.7,0.0,4.0,21.22,76.25,1.666667
2014-03-05,0.0,27.1,19.2,0.0,2.8,21.72,74.0,1.333333
2014-03-06,0.0,26.6,16.0,0.0,2.9,21.1,75.0,1.333333
2014-03-07,0.0,28.6,16.7,0.0,1.9,21.98,74.25,1.333333
2014-03-08,0.0,28.6,18.2,0.0,2.9,21.72,77.0,2.333333
2014-03-09,41.2,24.5,18.5,0.0,2.8,20.7,87.5,1.333333
2014-03-10,13.6,25.6,17.9,0.0,1.1,20.96,85.0,1.333333
2014-03-11,0.1,27.0,17.9,0.0,1.6,21.2,77.75,1.333333
2014-03-12,0.0,27.3,16.9,0.0,2.5,22.0,74.75,2.333333
2014-03-13,1.0,26.6,18.8,0.0,3.1,21.78,78.25,2.666667
2014-03-14,0.1,26.9,18.9,0.0,2.8,21.4,74.75,1.666667
2014-03-15,0.0,26.6,17.4,0.0,2.7,20.9,70.25,1.666667
2014-03-16,0.0,27.4,16.7,0.0,3.5,21.28,71.25,2.0
2014-03-17,0.0,25.9,16.6,0.0,3.2,20.4,77.25,0.666667
2014-03-18,0.0,27.7,17.5,0.0,2.2,21.0,77.75,1.0
2014-03-19,0.0,27.5,16.1,0.0,2.4,21.68,70.75,1.0
2014-03-20,0.0,28.4,15.7,0.0,2.6,21.64,74.25,0.666667
2014-03-21,0.0,30.4,16.3,0.0,2.6,23.38,73.5,1.0
2014-03-22,0.0,31.0,18.3,0.0,3.4,24.52,67.75,0.666667
2014-03-23,6.6,28.2,18.6,0.0,3.1,22.82,80.5,3.0
2014-03-24,0.0,25.0,18.3,0.0,2.7,20.48,84.5,3.0
2014-03-25,0.0,24.1,17.9,0.0,1.4,20.46,83.25,1.333333
2014-03-26,0.0,24.0,18.5,0.0,1.7,21.0,83.5,2.333333
2014-03-27,0.6,25.2,18.5,0.0,1.6,21.24,79.5,3.0
2014-03-28,0.1,25.6,18.7,0.0,1.8,21.08,83.0,1.333333
2014-03-29,0.0,26.4,17.9,0.0,2.0,21.48,80.75,1.666667
2014-03-30,0.0,25.0,19.5,0.0,2.0,21.62,83.5,1.0
2014-03-31,1.4,25.8,18.7,0.0,1.5,21.52,88.0,1.333333
2014-04-01,8.2,27.1,19.3,0.0,1.3,22.06,84.0,1.666667
2014-04-02,0.0,26.5,19.3,0.0,1.8,22.36,81.25,1.666667
