date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-02,0.0,0.0,0.0,9.8,5.8,0.0,0.0,0.75
2014-01-03,0.0,0.0,0.0,10.3,5.0,0.0,0.0,1.25
2014-01-04,0.0,0.0,0.0,10.2,5.2,0.0,0.0,1.0
2014-01-06,0.0,0.0,0.0,9.5,13.8,0.0,0.0,1.0
2014-01-07,0.0,0.0,0.0,9.5,6.0,0.0,0.0,0.75
2014-01-08,2.0,0.0,0.0,8.2,6.0,0.0,0.0,0.5
2014-01-09,0.0,0.0,0.0,5.8,5.1,0.0,0.0,1.25
2014-01-10,5.0,0.0,0.0,5.2,3.9,0.0,0.0,0.5
2014-01-11,6.2,0.0,0.0,4.8,4.0,0.0,0.0,0.5
2014-01-13,17.2,0.0,0.0,2.4,6.0,0.0,0.0,0.5
2014-01-14,0.0,0.0,0.0,3.1,3.0,0.0,0.0,1.0
2014-01-15,0.0,0.0,0.0,7.1,2.0,0.0,0.0,0.5
2014-01-16,38.0,0.0,0.0,8.6,5.0,0.0,0.0,0.75
2014-01-17,0.0,0.0,0.0,7.3,5.0,0.0,0.0,0.25
2014-01-18,24.4,0.0,0.0,5.3,3.5,0.0,0.0,0.5
2014-01-20,2.4,0.0,0.0,8.7,7.0,0.0,0.0,0.5
2014-01-21,6.8,0.0,0.0,7.9,3.5,0.0,0.0,2.05
2014-01-22,0.0,0.0,0.0,6.5,4.0,0.0,0.0,1.25
2014-01-23,1.4,0.0,0.0,9.0,3.6,0.0,0.0,0.75
2014-01-24,0.0,0.0,0.0,7.2,5.4,0.0,0.0,1.0
2014-01-25,5.0,0.0,0.0,7.7,3.0,0.0,0.0,1.0
2014-01-27,0.0,0.0,0.0,4.0,8.5,0.0,0.0,1.0
2014-01-28,16.0,0.0,0.0,9.5,2.5,0.0,0.0,1.0
2014-01-29,1.0,0.0,0.0,9.9,5.0,0.0,0.0,0.75
2014-01-30,0.0,0.0,0.0,9.7,6.0,0.0,0.0,0.75
2014-01-31,0.0,0.0,0.0,9.7,7.0,0.0,0.0,1.0
2014-02-01,0.0,0.0,19.2,9.7,8.5,0.0,0.0,1.5
2014-02-03,0.0,0.0,18.0,9.2,8.5,0.0,0.0,1.25
2014-02-04,0.0,0.0,20.0,4.5,8.0,0.0,0.0,1.8
2014-02-05,0.0,0.0,18.6,9.9,7.0,0.0,0.0,0.5
2014-02-06,0.0,0.0,22.0,10.2,8.0,0.0,0.0,1.3
2014-02-07,0.0,0.0,20.4,10.4,7.0,0.0,0.0,1.5
2014-02-08,0.0,0.0,19.2,9.6,9.0,0.0,0.0,1.5
2014-02-10,0.0,0.0,19.4,8.1,15.5,0.0,0.0,1.0
2014-02-11,0.0,0.0,21.6,6.8,5.5,0.0,0.0,1.55
2014-02-12,0.0,0.0,20.4,7.6,7.0,0.0,0.0,0.75
2014-02-13,0.0,0.0,21.0,4.6,7.0,0.0,0.0,1.3
2014-02-14,1.0,0.0,20.4,5.5,6.0,0.0,0.0,1.8
2014-02-15,3.6,0.0,22.4,3.3,3.5,0.0,0.0,1.0
2014-02-17,30.4,0.0,21.4,6.2,6.5,0.0,0.0,1.0
