date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.1,19.8,10.7,4.2,27.18,55.75,0.0
2014-01-02,0.0,34.1,19.8,10.6,4.3,26.06,56.5,1.0
2014-01-03,0.0,33.7,18.8,10.2,5.0,26.74,51.25,1.0
2014-01-04,0.0,32.7,17.2,10.7,4.3,25.14,57.0,1.666667
2014-01-05,0.0,33.3,19.2,10.2,5.2,26.58,52.25,3.0
2014-01-06,0.0,33.1,20.0,11.0,5.2,26.7,47.25,3.0
2014-01-07,0.0,33.1,19.6,11.0,6.7,25.98,52.5,2.666667
2014-01-08,0.0,32.9,20.2,10.3,5.7,26.46,53.75,2.666667
2014-01-09,0.0,33.1,20.4,7.6,6.0,24.7,74.0,2.666667
2014-01-10,21.0,32.3,20.4,10.7,4.0,25.26,62.0,1.333333
2014-01-11,0.0,32.7,21.4,10.9,4.6,26.38,61.5,0.0
2014-01-12,0.0,33.3,19.4,9.9,4.6,26.62,61.0,2.0
2014-01-13,0.0,32.5,20.2,7.8,4.2,24.82,72.5,1.333333
2014-01-14,1.0,33.3,19.6,10.5,3.1,26.82,54.75,2.666667
2014-01-15,0.0,33.7,20.4,10.0,4.6,26.66,64.25,0.666667
2014-01-16,0.0,33.9,20.2,10.4,4.0,26.3,64.5,0.666667
2014-01-17,0.0,33.1,20.2,8.5,4.1,26.78,58.25,0.666667
2014-01-18,0.0,32.7,19.6,5.5,4.4,25.02,70.0,0.666667
2014-01-19,1.4,31.3,21.0,1.7,3.9,23.86,79.75,1.333333
2014-01-20,7.9,31.3,21.0,1.5,2.5,25.42,73.25,1.0
2014-01-21,0.0,31.5,22.2,5.1,2.5,26.86,64.5,1.0
2014-01-22,0.0,33.0,21.6,8.9,3.5,27.08,56.0,0.666667
2014-01-23,0.0,35.7,20.4,10.3,5.6,27.98,50.5,0.666667
2014-01-24,0.0,33.7,22.4,8.7,5.6,27.34,49.0,2.666667
2014-01-25,0.0,33.1,18.6,8.9,5.9,25.9,53.5,1.0
2014-01-26,0.0,33.7,18.4,10.3,5.2,25.46,61.75,2.333333
2014-01-27,0.0,33.9,18.2,10.6,5.3,26.66,47.5,1.666667
2014-01-28,0.0,33.1,19.4,10.7,7.0,26.3,50.5,2.333333
2014-01-29,0.0,30.7,20.8,4.4,6.7,25.82,60.25,1.0
2014-01-30,0.0,33.5,19.6,10.7,4.6,26.06,55.75,3.0
2014-01-31,0.0,32.5,21.6,8.8,6.3,25.58,50.5,1.333333
2014-02-01,0.0,33.1,19.8,10.2,6.5,25.9,47.0,2.0
2014-02-02,0.0,34.5,18.8,11.0,6.6,26.86,42.0,2.0
2014-02-03,0.0,33.5,21.8,10.5,7.2,26.78,47.0,2.333333
2014-02-04,0.0,35.7,21.8,10.5,7.4,27.9,48.25,3.0
2014-02-05,0.0,33.7,22.6,6.3,7.0,26.62,55.25,2.0
2014-02-06,0.0,32.7,21.4,10.2,5.5,26.26,53.75,2.666667
2014-02-07,0.0,33.9,20.6,10.4,5.9,26.26,53.75,1.666667
2014-02-08,0.0,34.9,20.0,10.7,5.9,27.34,43.25,2.666667
2014-02-09,0.0,33.3,21.0,9.5,7.1,26.18,54.0,2.0
2014-02-10,0.0,34.7,20.2,9.7,5.7,27.26,50.0,3.666667
2014-02-11,0.0,32.9,20.4,8.5,6.7,27.22,52.25,3.0
2014-02-12,0.0,34.3,20.6,7.5,5.7,26.82,52.0,1.0
2014-02-13,0.0,34.7,20.8,10.3,5.5,26.18,54.0,1.333333
2014-02-14,0.0,33.9,18.8,8.6,5.3,26.3,53.75,0.666667
2014-02-15,0.0,36.4,19.4,10.6,5.2,27.8,50.0,1.0
2014-02-16,0.0,33.1,19.2,7.3,6.5,27.06,52.0,1.333333
2014-02-17,0.0,33.1,21.4,8.4,5.6,25.74,64.0,0.0
2014-02-18,0.0,35.1,20.2,8.8,4.6,26.82,61.75,1.333333
2014-02-19,31.4,28.9,21.2,1.8,4.3,23.42,85.5,1.333333
2014-02-20,0.0,32.1,21.2,9.1,1.9,25.82,60.25,1.333333
2014-02-21,0.0,32.5,19.0,10.5,4.2,25.26,65.25,2.0
2014-02-22,0.0,32.9,20.8,9.0,4.7,25.9,63.25,2.0
2014-02-23,0.0,33.3,22.0,10.5,5.2,27.54,56.5,2.666667
2014-02-24,0.0,34.1,22.2,10.8,5.5,27.7,55.0,4.0
2014-02-25,0.0,34.3,21.6,9.1,5.7,26.86,57.25,2.333333
