date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.7,19.8,8.7,2.8,25.14,71.75,3.666667
2014-01-02,33.6,31.1,18.0,11.3,4.2,24.74,83.0,1.0
2014-01-03,0.0,32.2,20.6,10.8,3.0,26.0,66.5,1.333333
2014-01-04,0.0,32.1,22.0,7.3,4.5,25.66,72.5,1.7
2014-01-05,0.0,29.6,20.7,10.9,3.2,24.26,61.25,1.333333
2014-01-06,0.0,27.4,18.0,6.4,3.9,21.92,72.5,2.333333
2014-01-07,0.0,27.0,16.5,11.9,2.7,21.3,62.5,2.0
2014-01-08,0.0,28.9,17.0,12.7,3.2,22.46,66.5,2.666667
2014-01-09,0.0,29.7,18.2,9.6,3.3,23.22,66.75,1.333333
2014-01-10,0.0,29.0,18.2,7.7,5.0,22.92,72.25,2.666667
2014-01-11,0.0,30.6,19.5,11.9,3.2,24.34,64.25,3.0
2014-01-12,0.0,31.7,20.2,12.5,3.5,25.26,62.5,1.666667
2014-01-13,0.0,31.1,19.5,11.0,3.4,24.72,65.5,2.666667
2014-01-14,0.0,31.1,19.5,11.7,3.3,24.28,64.75,1.666667
2014-01-15,0.0,32.0,20.0,12.8,3.4,25.24,51.5,2.0
2014-01-16,0.0,31.5,17.8,10.3,4.7,22.08,74.75,2.5
2014-01-17,35.0,27.5,17.0,2.9,6.7,20.1,86.25,1.333333
2014-01-18,34.0,27.3,17.0,6.9,2.0,20.86,76.75,1.066667
2014-01-19,0.2,27.9,18.3,7.6,2.0,22.02,78.25,2.0
2014-01-20,0.1,28.9,18.0,9.3,2.4,22.54,75.0,2.666667
2014-01-21,0.0,30.1,18.0,11.2,2.4,23.62,69.5,2.0
2014-01-22,0.0,32.0,19.3,10.7,3.1,23.34,73.25,2.333333
2014-01-23,6.8,31.7,17.5,9.2,3.1,22.76,64.5,1.0
2014-01-24,20.8,30.7,17.5,10.3,2.8,23.08,72.0,1.333333
2014-01-25,0.0,31.1,17.5,12.8,3.2,24.48,62.5,1.0
2014-01-26,0.0,30.1,20.6,10.3,3.2,24.86,59.0,1.0
2014-01-27,0.0,30.1,19.5,11.8,4.6,24.48,62.5,2.333333
2014-01-28,0.0,29.7,19.4,12.6,4.6,23.74,55.25,2.333333
2014-01-29,0.0,29.4,18.0,12.5,7.2,23.36,58.75,1.666667
2014-01-30,0.0,29.1,19.0,10.8,3.9,23.5,65.75,1.333333
2014-01-31,0.0,31.1,18.0,12.4,3.3,24.06,55.25,1.333333
2014-02-01,0.0,31.0,18.5,12.5,4.3,24.62,60.25,1.666667
2014-02-02,0.0,30.3,20.5,12.5,4.2,25.46,61.0,1.333333
2014-02-03,0.0,31.2,19.2,9.5,3.9,24.48,62.75,1.333333
2014-02-04,0.0,30.9,19.6,11.8,3.6,24.88,61.25,2.333333
2014-02-05,0.0,29.9,18.8,10.9,3.6,23.7,64.0,2.333333
2014-02-06,0.0,29.7,17.5,11.8,3.9,23.64,63.0,2.0
2014-02-07,0.0,30.5,19.0,10.7,0.5,24.18,62.25,1.333333
2014-02-08,0.0,31.0,19.2,12.3,7.2,24.8,54.5,2.333333
2014-02-09,0.0,30.7,19.2,12.3,3.8,24.5,55.75,1.0
2014-02-10,0.0,31.3,18.6,11.4,5.0,24.84,54.25,1.333333
2014-02-11,0.0,29.3,18.8,8.1,5.0,22.82,61.5,2.333333
2014-02-12,0.0,30.4,17.2,10.3,3.8,23.4,55.75,2.0
2014-02-13,0.0,31.5,18.0,10.9,4.7,24.42,53.5,2.333333
2014-02-14,0.0,31.7,20.2,7.7,5.1,24.58,66.5,2.0
2014-02-15,0.0,26.4,18.5,0.7,3.7,21.7,84.5,1.333333
2014-02-16,21.6,25.6,19.1,0.2,1.3,20.58,86.75,1.333333
2014-02-17,3.1,20.4,17.5,0.0,1.5,18.5,97.75,2.333333
2014-02-18,33.7,25.4,16.2,6.0,0.1,19.36,85.5,2.333333
2014-02-19,0.0,27.2,16.5,7.5,2.7,20.66,76.5,3.0
2014-02-20,1.8,28.8,17.0,11.6,2.2,22.44,58.25,1.333333
2014-02-21,0.0,29.0,17.5,9.9,3.6,22.5,67.75,1.666667
2014-02-22,0.0,27.9,18.0,9.1,3.1,22.66,65.25,3.0
2014-02-23,0.0,29.4,18.5,10.1,3.3,23.3,68.5,2.333333
2014-02-24,0.0,29.5,20.0,9.0,3.5,23.54,66.75,2.333333
2014-02-25,0.0,30.3,19.0,7.4,3.7,23.66,64.25,2.333333
2014-02-26,0.0,29.7,18.6,11.1,5.2,23.78,61.5,2.333333
2014-02-27,0.0,32.1,19.6,11.6,1.9,25.38,56.0,2.0
2014-02-28,0.0,30.5,20.5,5.4,4.2,22.96,73.75,2.333333
2014-03-01,13.0,28.7,17.7,5.6,2.6,21.42,78.0,2.333333
2014-03-02,2.5,27.8,18.0,3.0,2.0,21.56,79.5,1.333333
2014-03-03,0.0,27.3,17.2,5.5,1.5,21.34,78.75,2.666667
2014-03-04,0.0,27.3,17.6,6.1,2.0,21.46,74.75,1.666667
2014-03-05,0.0,27.9,17.7,4.7,2.2,21.76,77.75,1.333333
2014-03-06,0.0,23.3,16.3,0.0,2.0,18.6,90.75,1.0
2014-03-07,16.8,27.5,16.5,5.3,0.6,20.84,77.75,1.333333
2014-03-08,1.4,22.4,18.5,0.0,2.2,19.74,94.5,1.0
2014-03-09,6.2,28.0,17.2,7.4,0.6,21.68,89.25,1.666667
2014-03-10,0.0,28.8,18.0,7.8,1.8,22.36,78.0,1.666667
2014-03-11,0.0,28.7,18.6,8.9,2.5,22.94,74.25,2.333333
2014-03-12,0.0,30.1,18.5,10.2,2.5,23.64,64.5,2.0
2014-03-13,0.0,28.5,18.5,5.1,3.3,22.44,75.25,2.0
2014-03-14,0.0,29.3,19.0,7.3,1.9,22.94,65.0,1.666667
2014-03-15,0.0,29.9,18.7,6.4,3.1,23.1,70.75,1.333333
2014-03-16,0.0,29.9,18.0,10.0,3.1,23.1,70.75,1.333333
2014-03-17,0.0,30.3,18.0,8.3,6.0,23.26,62.75,2.0
2014-03-18,0.0,29.8,18.0,10.6,3.6,23.32,60.5,1.666667
2014-03-19,0.0,28.3,18.5,10.4,4.3,23.08,65.25,2.0
2014-03-20,0.0,30.7,19.0,8.0,3.8,24.06,69.75,2.0
2014-03-21,8.2,31.6,20.5,8.0,3.4,24.64,71.25,1.666667
2014-03-22,12.8,28.9,19.8,4.5,3.3,22.3,90.0,2.666667
2014-03-23,12.8,28.9,19.8,4.5,3.3,22.3,90.0,2.666667
2014-03-24,11.6,22.5,16.0,1.1,3.3,18.18,82.25,2.333333
2014-03-25,0.0,23.2,15.7,0.5,1.3,18.26,85.25,2.333333
2014-03-26,0.0,25.6,16.8,2.5,1.5,19.34,88.25,1.666667
2014-03-27,12.5,26.4,17.4,10.0,1.6,20.44,80.25,1.333333
2014-03-28,0.2,25.2,18.0,4.1,2.0,20.64,79.5,1.666667
2014-03-29,0.0,25.4,18.0,1.6,1.8,20.78,80.5,1.333333
2014-03-30,0.0,25.4,18.0,4.3,1.8,20.78,80.5,1.333333
2014-03-31,9.8,28.9,18.0,2.1,3.1,21.7,88.75,1.0
2014-04-01,7.8,25.6,18.5,2.7,1.1,20.54,91.0,1.666667
2014-04-02,6.4,27.1,18.6,3.9,1.0,21.3,87.25,2.0
2014-04-03,38.6,25.4,18.2,1.2,0.6,20.4,90.25,2.0
2014-04-04,0.0,24.2,18.0,2.3,1.6,19.92,94.25,2.666667
