date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.0,32.0,19.1,11.1,2.6,25.26,66.75,2.233333
2014-01-02,0.0,32.6,20.1,11.6,4.1,25.86,63.5,2.3666669999999996
2014-01-03,0.0,33.3,20.9,12.1,4.1,26.76,55.25,1.8666669999999999
2014-01-04,0.0,33.4,19.9,11.9,5.0,26.46,49.25,2.3666669999999996
2014-01-05,0.0,31.2,20.6,11.6,5.5,25.24,53.5,2.8
2014-01-06,0.0,30.3,18.8,11.2,5.3,24.18,56.0,2.3666669999999996
2014-01-07,0.0,30.1,18.3,11.1,4.5,23.84,56.0,2.733333
2014-01-08,0.0,30.6,16.2,11.6,4.3,23.4,59.25,2.1
2014-01-09,0.0,31.7,16.9,11.2,4.1,22.84,65.25,1.266667
2014-01-10,7.2,30.2,18.1,10.5,4.1,24.14,66.0,2.8666669999999996
2014-01-11,0.0,31.6,19.1,9.7,3.5,24.7,64.75,1.7333330000000002
2014-01-12,0.0,32.0,18.7,10.5,3.5,25.62,54.75,2.233333
2014-01-13,0.0,32.6,19.6,11.4,5.0,25.64,60.0,2.2
2014-01-14,0.0,33.2,18.7,11.6,5.3,25.46,55.25,2.266667
2014-01-15,0.0,33.4,18.0,12.0,5.2,25.44,51.5,1.433333
2014-01-16,0.0,32.7,18.6,8.4,5.7,22.98,68.5,3.233333
2014-01-17,24.1,31.4,18.1,7.0,3.3,22.82,73.75,2.6333330000000004
2014-01-18,26.0,29.4,16.4,7.9,2.9,21.24,77.75,1.9666669999999997
2014-01-19,5.4,30.6,17.2,10.9,2.8,23.16,67.5,2.5333330000000003
2014-01-20,0.0,31.6,18.1,8.8,3.8,22.3,75.25,2.5
2014-01-21,73.0,30.0,16.9,8.9,2.8,22.38,84.0,3.166667
2014-01-22,4.0,30.4,18.0,9.6,2.3,23.0,74.5,1.6
2014-01-23,46.4,32.1,17.5,9.5,3.1,23.6,72.5,1.4
2014-01-24,14.7,31.6,17.3,8.0,2.9,21.82,82.25,3.5333330000000003
2014-01-25,17.9,32.2,16.7,12.0,2.6,24.38,65.5,1.6
2014-01-26,0.0,31.4,19.3,12.2,3.8,25.1,58.25,2.4666669999999997
2014-01-27,0.0,31.3,18.1,11.8,4.7,24.8,52.0,2.9666669999999997
2014-01-28,0.0,31.4,16.8,11.9,5.4,24.24,46.0,2.3
2014-01-29,0.0,30.5,17.1,12.2,6.9,23.84,56.75,2.666667
2014-01-30,0.0,31.4,17.2,12.0,4.6,24.6,58.75,2.1333330000000004
2014-01-31,0.0,31.2,17.9,11.4,5.0,24.42,49.25,2.166667
2014-02-01,0.0,32.0,16.4,12.0,5.1,24.4,54.0,2.733333
2014-02-02,0.0,31.2,18.5,10.6,5.0,25.02,56.0,2.5333330000000003
2014-02-03,0.0,31.6,20.3,11.1,5.0,25.62,52.75,3.3
2014-02-04,0.0,32.4,17.3,11.8,5.5,25.34,52.25,2.733333
2014-02-05,0.0,32.0,19.6,11.9,5.2,25.08,55.75,2.5
2014-02-06,0.0,30.8,19.0,11.9,5.7,24.72,53.75,3.5333330000000003
2014-02-07,0.0,31.8,17.4,11.8,5.8,24.6,58.0,2.433333
2014-02-08,0.0,32.4,17.2,11.8,5.1,25.08,48.0,2.5333330000000003
2014-02-09,0.0,32.4,17.2,11.7,5.8,24.84,51.25,2.6
2014-02-10,0.0,32.2,16.8,11.4,5.5,24.84,52.25,1.9
2014-02-11,0.0,30.0,18.1,7.7,5.7,23.62,53.0,2.5333330000000003
2014-02-12,0.0,30.5,16.5,10.1,5.1,23.36,56.25,2.7
2014-02-13,0.0,32.8,16.7,11.6,4.7,24.82,50.75,1.8666669999999999
2014-02-14,0.0,32.8,18.8,8.3,5.7,24.4,63.25,2.4
2014-02-15,5.5,28.8,19.1,2.5,4.6,22.14,78.5,2.233333
2014-02-16,23.4,25.1,19.0,1.0,2.0,21.54,80.5,2.233333
2014-02-17,1.6,27.2,18.9,0.8,1.6,21.34,84.0,3.233333
2014-02-18,3.9,27.8,17.8,8.7,2.0,21.84,69.0,3.6333330000000004
2014-02-19,0.0,27.9,16.6,8.7,3.8,22.02,64.25,3.066667
2014-02-20,0.0,30.6,16.7,11.2,3.7,23.46,60.0,2.333333
2014-02-21,0.0,30.4,18.3,6.5,4.2,24.38,57.75,2.3666669999999996
2014-02-22,0.0,29.6,18.2,8.5,4.2,22.76,69.5,2.9666669999999997
2014-02-23,0.0,31.4,17.3,10.8,3.0,24.42,60.25,2.6
2014-02-24,0.0,31.8,19.4,10.1,4.7,24.96,60.75,2.5333330000000003
2014-02-25,0.0,30.8,19.6,9.6,4.3,24.76,60.75,2.566667
2014-02-26,0.0,31.6,18.2,11.3,4.5,25.0,55.5,2.733333
2014-02-27,0.0,32.9,17.6,11.5,4.6,25.18,56.0,1.9666669999999997
2014-02-28,0.0,31.8,19.0,8.1,5.1,23.4,68.5,3.333333
2014-03-01,14.9,27.6,17.7,4.8,4.2,21.82,76.25,1.5
2014-03-02,0.0,30.6,18.6,9.1,2.7,22.8,72.0,2.166667
2014-03-03,0.6,29.4,18.1,9.8,3.2,23.18,68.0,3.4666669999999997
2014-03-04,0.0,29.6,18.6,6.2,3.6,23.4,67.5,2.433333
2014-03-05,0.0,30.0,18.2,5.9,3.6,24.12,67.0,1.133333
2014-03-06,0.2,27.8,19.7,1.0,2.8,21.98,89.5,2.233333
2014-03-07,21.0,26.3,16.7,2.9,1.3,21.0,80.5,2.066667
2014-03-08,11.3,21.5,18.6,0.0,1.8,19.42,93.5,1.1
2014-03-09,14.4,28.0,17.1,7.7,0.4,21.42,80.0,2.166667
2014-03-10,0.0,30.8,16.9,7.4,2.3,22.14,73.0,1.466667
2014-03-11,0.0,31.0,17.4,9.3,2.9,24.08,63.75,2.1333330000000004
2014-03-12,0.0,30.4,18.0,10.7,4.2,24.08,57.0,2.166667
2014-03-13,0.0,30.1,19.0,8.0,4.6,24.22,63.25,3.333333
2014-03-14,0.0,30.3,19.6,9.8,4.3,24.3,62.0,3.4
2014-03-15,0.0,30.6,16.6,10.5,4.2,23.72,62.75,3.3
