date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.2,17.2,8.2,3.2,24.32,65.25,1.2
2014-01-02,0.0,30.8,15.2,8.9,3.4,23.24,62.5,1.9
2014-01-03,0.0,31.4,18.6,8.3,3.7,24.24,62.25,0.766667
2014-01-04,0.0,31.6,19.0,7.3,3.4,24.72,61.0,1.566667
2014-01-05,0.0,31.0,19.0,11.3,4.1,24.68,62.75,2.266667
2014-01-06,0.0,30.2,17.0,10.9,4.5,23.76,58.75,1.4
2014-01-07,0.0,27.8,16.8,5.1,4.3,22.24,70.75,0.866667
2014-01-08,0.8,29.2,18.0,9.8,2.7,22.8,73.25,2.233333
2014-01-09,2.9,29.2,18.0,5.5,3.0,22.88,79.25,1.9
2014-01-10,0.0,29.6,17.4,6.2,2.5,22.72,77.0,1.9
2014-01-11,0.3,27.8,19.0,1.6,2.9,23.2,73.25,0.866667
2014-01-12,0.0,29.2,16.2,6.4,2.4,23.08,74.5,1.033333
2014-01-13,0.0,30.0,19.0,7.2,3.0,23.6,71.0,1.033333
2014-01-14,1.0,30.4,18.6,7.9,3.5,23.8,69.5,1.7
2014-01-15,0.2,29.4,19.4,3.1,3.2,23.84,76.25,0.833333
2014-01-16,0.0,31.0,19.0,5.9,2.6,24.52,69.0,1.2
2014-01-17,0.0,31.0,17.4,11.4,3.2,24.24,59.5,1.4
2014-01-18,0.0,31.8,19.4,7.3,4.1,25.04,62.0,1.2
2014-01-19,0.0,27.4,20.2,0.1,4.0,23.56,78.0,0.833333
2014-01-20,0.0,28.4,19.8,1.1,1.8,23.84,81.25,1.9
2014-01-21,1.6,29.6,19.8,6.6,1.8,24.28,72.25,1.9
2014-01-22,0.0,31.4,19.0,11.2,3.0,25.08,62.25,1.033333
2014-01-23,0.0,32.2,18.0,11.5,4.1,24.96,61.0,1.9
2014-01-24,0.2,30.2,18.2,9.4,4.7,23.76,59.75,1.7333330000000002
2014-01-25,0.0,31.6,17.2,9.9,4.1,24.44,63.25,1.4
2014-01-26,0.0,31.4,19.4,9.1,4.1,24.88,60.0,2.233333
2014-01-27,0.0,31.2,18.0,8.7,4.5,23.48,65.0,3.1
2014-01-28,4.0,28.2,17.2,7.4,3.9,22.16,64.75,1.9
2014-01-29,0.8,28.8,16.6,4.8,2.7,22.28,83.25,3.1
2014-01-30,0.9,29.6,16.0,8.2,2.2,22.2,72.5,2.566667
2014-01-31,1.4,30.0,16.0,10.8,2.5,23.4,61.5,2.266667
2014-02-01,0.0,30.0,16.4,9.5,4.5,23.44,51.5,2.0333330000000003
2014-02-02,0.0,31.0,15.0,9.8,4.9,23.2,70.75,1.7
2014-02-03,0.0,29.6,17.4,10.2,4.3,23.44,66.75,2.4
2014-02-04,0.0,32.0,16.6,8.2,3.8,23.64,71.25,2.4
2014-02-05,0.9,28.4,18.6,7.7,3.3,23.2,71.75,1.366667
2014-02-06,0.6,28.2,18.0,5.5,3.5,22.6,71.5,1.033333
2014-02-07,0.0,30.8,15.4,8.8,3.1,23.24,64.75,1.333333
2014-02-08,0.0,31.0,16.2,10.3,4.4,24.08,59.75,2.0
2014-02-09,0.0,31.4,17.6,10.2,5.1,24.32,61.25,1.0
2014-02-10,0.0,31.0,18.6,9.0,5.2,24.16,61.75,2.4
2014-02-11,0.0,28.8,19.0,4.6,4.5,22.88,70.75,2.066667
2014-02-12,0.7,31.0,17.8,11.0,3.1,24.04,57.5,1.7
2014-02-13,0.0,30.8,17.8,9.7,4.6,23.92,63.25,1.7
2014-02-14,0.0,32.2,18.6,7.1,4.6,24.8,59.25,0.833333
2014-02-15,0.0,32.2,18.4,11.1,4.3,24.76,58.75,1.7
2014-02-16,0.0,31.6,19.0,9.7,5.2,24.8,59.25,1.033333
2014-02-17,0.0,32.4,18.2,9.7,5.3,24.88,55.0,1.2
2014-02-18,0.0,32.0,17.6,9.9,5.2,24.92,57.5,1.9
2014-02-19,0.0,29.6,19.0,1.1,5.0,22.96,73.75,0.5
2014-02-20,4.1,31.4,17.0,11.0,3.0,23.4,66.0,0.866667
2014-02-21,0.0,32.0,18.6,9.1,4.1,24.36,62.5,1.7
2014-02-22,0.1,30.0,18.4,9.9,5.2,24.08,68.5,1.7
2014-02-23,0.0,31.0,18.2,8.9,4.3,24.08,68.0,1.533333
2014-02-24,0.3,30.4,18.0,4.3,4.2,22.92,81.5,2.066667
2014-02-25,2.3,30.4,18.2,6.5,2.7,23.16,72.0,2.233333
2014-02-26,0.0,30.4,17.6,6.3,3.3,23.56,66.75,3.066667
2014-02-27,0.0,32.4,18.2,7.4,3.8,24.48,66.75,3.1
2014-02-28,0.0,33.4,18.4,8.5,4.1,25.12,65.25,1.166667
2014-03-01,0.0,32.8,19.0,6.5,4.2,24.12,83.5,0.7
2014-03-02,46.0,30.6,18.4,7.3,1.9,24.12,68.25,1.0
2014-03-03,0.0,30.0,17.6,6.7,3.6,22.68,72.75,1.9
2014-03-04,12.2,28.2,18.8,6.3,2.3,22.68,82.0,2.6
2014-03-05,0.0,30.0,17.4,10.4,2.4,23.24,67.75,1.4
2014-03-06,0.0,30.0,17.2,9.5,4.4,23.6,65.75,1.366667
2014-03-07,0.0,32.2,19.0,9.1,4.0,24.8,63.0,1.2
2014-03-08,0.0,32.2,19.0,10.7,4.6,25.52,62.75,1.5
2014-03-09,0.0,29.6,19.2,3.1,4.6,24.68,64.75,1.2
2014-03-10,0.0,31.2,19.4,10.5,3.4,24.92,62.75,2.733333
2014-03-11,0.0,31.0,18.0,7.9,4.5,23.84,63.5,2.066667
2014-03-12,1.8,30.4,17.8,8.2,4.1,23.28,71.5,1.566667
2014-03-13,0.4,30.0,17.8,9.5,3.6,23.24,73.0,3.1
2014-03-14,0.0,29.8,18.2,10.3,3.7,23.64,67.25,3.1
2014-03-15,0.3,29.0,18.0,10.4,4.6,23.0,68.75,2.433333
2014-03-16,0.0,30.0,18.2,9.5,3.8,23.56,64.25,1.533333
2014-03-17,0.0,29.6,17.4,4.5,4.2,23.36,69.5,1.366667
2014-03-18,0.0,29.8,18.8,2.4,3.4,23.52,70.75,1.5
2014-03-19,0.0,27.8,17.8,1.8,3.3,22.72,72.0,1.366667
2014-03-20,0.0,32.2,19.2,8.7,2.8,25.08,61.75,1.7
2014-03-21,0.0,32.4,20.0,7.5,4.0,25.88,62.25,1.0
2014-03-22,0.0,33.4,18.4,9.6,4.0,25.68,57.25,0.333333
2014-03-23,0.0,32.8,21.0,9.9,4.4,26.6,62.25,1.533333
2014-03-24,0.0,30.2,20.2,4.6,4.6,24.28,71.0,2.4
2014-03-25,8.8,28.4,18.2,5.6,2.8,22.84,77.5,1.0
2014-03-26,0.0,30.0,19.4,4.7,1.9,23.64,76.0,1.0
2014-03-27,7.7,29.2,19.0,5.6,2.4,23.0,83.0,2.266667
2014-03-28,5.5,27.2,18.2,2.8,1.9,22.32,77.5,1.533333
2014-03-29,0.3,28.2,18.2,5.7,2.0,22.88,82.0,1.166667
2014-03-30,6.4,30.8,19.0,2.6,2.0,24.04,74.0,0.833333
2014-03-31,0.0,31.0,19.4,10.1,2.6,24.56,68.0,2.233333
2014-04-01,0.0,31.0,19.6,4.5,3.9,24.12,72.75,1.7
2014-04-02,0.0,30.2,18.6,8.9,2.6,24.24,67.75,1.033333
2014-04-03,0.0,32.8,19.6,10.1,3.7,25.84,61.5,1.033333
2014-04-04,0.0,32.0,20.6,5.1,4.0,25.36,72.0,1.366667
2014-04-05,1.6,28.4,19.6,5.0,2.9,23.44,79.75,1.7
2014-04-06,4.6,27.4,19.0,4.0,2.1,23.28,72.75,1.7
2014-04-07,0.0,29.0,19.6,6.7,2.1,24.0,74.25,1.0
2014-04-08,0.0,31.2,17.2,5.7,2.1,23.24,67.75,0.666667
2014-04-09,0.0,32.8,15.2,8.4,2.7,23.76,72.0,1.333333
2014-04-10,13.0,32.8,16.2,10.1,3.0,24.76,63.75,1.2
2014-04-11,0.0,30.8,16.4,8.3,4.0,23.6,63.0,1.9
2014-04-12,0.0,29.8,17.4,7.8,3.9,23.36,70.75,0.833333
2014-04-13,0.0,32.6,16.0,10.1,2.9,24.56,64.75,2.066667
2014-04-14,0.0,32.0,20.2,7.2,4.4,25.64,64.75,1.533333
2014-04-15,0.0,29.8,20.2,3.4,3.8,24.4,62.0,1.533333
2014-04-16,0.0,31.6,17.6,11.3,3.4,24.72,56.25,1.2
2014-04-17,0.0,31.8,18.0,10.4,4.6,24.52,61.5,1.033333
2014-04-18,0.0,30.4,18.4,2.5,3.3,24.48,68.25,0.666667
2014-04-19,0.0,32.6,19.2,9.6,3.3,25.32,62.0,1.366667
2014-04-20,0.0,32.2,19.8,8.8,4.0,24.92,60.5,1.533333
2014-04-21,0.0,33.0,18.4,8.6,4.6,24.72,58.25,0.833333
2014-04-22,0.0,31.2,17.6,9.2,4.3,24.24,60.5,1.7333330000000002
2014-04-23,0.0,31.6,19.4,10.1,4.4,24.84,56.25,1.4
2014-04-24,0.0,33.4,16.0,10.7,4.3,25.24,55.0,0.166667
2014-04-25,0.0,30.6,17.0,5.8,4.2,22.84,79.5,1.7333330000000002
2014-04-26,7.6,22.1,16.2,0.1,2.3,19.26,90.75,1.5
2014-04-27,14.8,27.0,16.8,6.3,1.0,21.44,68.5,1.366667
2014-04-28,0.0,26.0,16.2,8.3,3.0,20.48,65.5,2.766667
2014-04-29,0.0,25.0,14.4,8.6,3.7,19.32,62.0,1.566667
2014-04-30,0.0,26.6,12.0,8.1,3.6,19.6,64.0,2.066667
2014-05-01,0.0,28.6,12.2,9.4,3.3,20.64,63.0,0.7
2014-05-02,0.0,30.8,12.2,9.8,3.0,22.44,54.75,1.2
2014-05-03,0.0,28.8,15.6,8.4,4.0,21.48,63.25,2.0333330000000003
2014-05-04,0.0,26.8,13.4,4.4,3.4,20.64,78.75,1.0
2014-05-05,0.1,27.4,17.2,4.8,2.1,22.36,68.0,1.2
2014-05-06,0.0,26.4,13.8,4.9,2.6,20.72,81.75,3.6
2014-05-07,1.8,27.6,17.4,3.0,2.1,21.6,84.25,1.7
2014-05-08,2.1,28.6,17.2,8.3,1.7,22.12,66.5,0.5
2014-05-09,0.0,31.0,13.8,8.9,3.0,22.8,68.5,0.5
2014-05-10,0.0,30.4,17.2,5.7,2.7,23.36,76.25,1.366667
2014-05-11,0.0,23.7,17.2,1.0,2.8,20.06,74.5,2.433333
2014-05-12,0.0,25.8,14.8,10.6,3.0,19.88,56.25,2.433333
2014-05-13,0.0,26.6,9.4,10.5,3.7,18.88,61.0,0.833333
2014-05-14,0.0,28.6,12.0,9.1,3.4,20.6,63.25,1.366667
2014-05-15,0.0,30.6,11.6,10.1,3.3,21.68,64.0,1.166667
2014-05-16,0.0,30.4,19.2,6.3,3.5,23.68,72.25,0.5
2014-05-17,0.0,29.8,19.2,6.6,2.6,23.32,72.75,0.833333
2014-05-18,0.0,29.2,16.6,10.3,3.6,22.64,57.75,1.533333
2014-05-19,0.0,30.4,15.4,10.2,3.8,22.92,55.5,1.0
2014-05-20,0.0,28.6,13.2,10.5,3.9,21.52,60.25,2.233333
2014-05-21,0.0,28.0,15.0,9.7,3.9,22.28,62.75,3.266667
2014-05-22,0.0,32.6,18.0,10.4,4.4,24.32,53.75,1.533333
2014-05-23,0.0,32.6,18.8,7.4,4.2,24.72,64.5,0.333333
2014-05-24,0.0,33.2,15.4,10.8,3.3,25.0,56.75,0.5
2014-05-25,0.0,28.6,19.4,6.4,4.7,23.88,66.0,1.4
2014-05-26,0.0,31.2,19.2,9.0,3.5,24.28,64.25,1.366667
2014-05-27,0.0,33.2,19.2,10.3,3.9,25.36,59.0,0.833333
2014-05-28,0.0,32.2,15.8,8.6,4.4,23.92,53.25,1.033333
2014-05-29,0.0,29.0,17.6,8.4,4.2,22.68,66.75,1.7
2014-05-30,1.5,23.3,16.0,0.8,3.9,19.78,77.0,2.066667
2014-05-31,0.0,23.3,15.0,0.8,2.7,19.78,73.75,1.4
2014-06-01,0.0,23.3,12.6,9.4,3.1,19.78,64.25,1.0
2014-06-02,0.0,23.3,11.0,10.4,3.3,19.78,53.75,0.5
2014-06-03,0.0,23.3,14.0,3.7,4.0,19.78,66.75,0.5
2014-06-04,4.4,23.3,16.8,2.2,3.2,19.78,79.75,0.333333
2014-06-05,0.0,23.3,16.9,9.0,2.1,19.78,66.75,1.166667
2014-06-06,0.0,23.3,14.2,4.8,3.7,19.78,69.25,1.533333
2014-06-07,0.0,23.3,16.2,7.9,3.0,19.78,63.75,2.6
2014-06-08,0.0,23.3,16.6,6.5,3.8,19.78,74.5,1.333333
2014-06-09,0.0,23.3,14.8,3.3,3.2,19.78,74.0,1.166667
2014-06-10,0.0,23.3,17.2,4.4,2.8,19.78,66.5,2.2
2014-06-11,0.0,23.3,16.0,6.0,4.4,19.78,78.75,1.7
2014-06-12,0.0,23.3,17.0,7.2,2.9,19.78,77.0,1.8666669999999999
2014-06-13,4.3,23.3,16.2,4.9,2.8,19.78,84.75,1.7
2014-06-14,1.6,23.3,16.0,6.0,1.7,19.78,84.5,1.333333
2014-06-15,2.0,23.3,15.6,2.6,1.9,19.78,89.0,1.8666669999999999
2014-06-16,9.0,23.3,15.8,6.5,1.2,19.78,77.75,2.066667
2014-06-17,0.0,23.3,16.4,6.1,2.5,19.78,72.75,1.366667
2014-06-18,0.0,23.3,13.2,5.9,2.8,19.78,73.25,0.666667
2014-06-19,0.0,23.3,13.2,6.2,2.8,19.78,67.5,1.533333
2014-06-20,0.5,23.3,17.0,6.0,3.2,19.78,71.25,1.7333330000000002
2014-06-21,0.0,23.3,15.0,6.9,3.2,19.78,78.0,2.066667
2014-06-22,0.8,23.3,14.0,0.0,2.4,19.78,77.5,2.24296
2014-06-23,2.8,23.3,12.2,6.3,2.0,19.78,77.25,1.666667
2014-06-24,0.0,23.3,10.6,8.9,1.4,19.78,69.25,1.366667
2014-06-25,0.0,23.3,14.8,2.3,2.6,19.78,70.25,1.533333
2014-06-26,0.0,23.3,15.0,10.5,3.0,19.78,62.25,0.5
2014-06-27,0.0,23.3,16.8,6.5,3.6,19.78,80.25,0.833333
2014-06-28,0.0,23.3,16.8,5.6,2.4,19.78,68.5,1.7
2014-06-29,0.0,23.3,16.4,5.5,3.1,19.78,75.25,1.166667
2014-06-30,0.0,23.3,15.6,7.7,2.9,19.78,66.75,1.033333
2014-07-01,0.0,23.3,13.2,7.4,3.1,19.78,64.0,1.033333
2014-07-02,0.0,23.3,14.6,9.5,3.2,19.78,63.25,2.066667
2014-07-03,0.0,23.3,14.0,10.2,3.9,19.78,54.5,2.066667
2014-07-04,0.0,23.3,12.6,10.3,4.5,19.78,59.75,1.9
2014-07-05,0.0,23.3,12.2,10.3,4.5,19.78,64.25,2.766667
2014-07-06,0.0,23.3,15.4,5.4,4.2,19.78,74.25,2.4
2014-07-07,0.0,23.3,13.4,5.9,3.3,19.78,76.0,0.833333
2014-07-08,2.0,23.3,15.0,4.3,2.7,19.78,72.25,1.7333330000000002
2014-07-09,0.0,23.3,11.4,7.4,3.1,19.78,70.25,1.533333
