date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.9,27.3,6.9,3.7,27.68,69.25,1.6
2014-01-02,0.0,34.7,27.3,6.9,3.0,27.68,69.25,1.6
2014-01-03,0.0,33.3,20.3,11.5,4.7,26.88,62.0,1.6
2014-01-04,0.0,33.2,20.3,11.6,5.2,27.06,64.0,1.633333
2014-01-05,0.0,32.6,19.5,11.3,4.9,27.06,64.0,1.633333
2014-01-06,0.0,33.3,19.5,11.2,4.8,26.6,58.5,2.433333
2014-01-07,0.0,31.7,20.9,11.6,5.6,26.0,54.5,2.566667
2014-01-08,0.0,32.1,20.3,11.3,5.8,26.12,58.5,2.3666669999999996
2014-01-09,0.0,32.9,20.8,10.6,4.9,25.36,69.25,2.1333330000000004
2014-01-10,3.0,32.3,21.9,10.5,4.4,26.7,60.75,2.666667
2014-01-11,0.0,32.1,20.5,8.4,4.5,26.32,66.25,2.1
2014-01-12,0.0,32.9,20.4,11.5,4.0,26.32,66.25,2.1
2014-01-13,0.0,33.9,21.3,11.4,5.2,27.86,57.5,2.6333330000000004
2014-01-14,0.0,33.7,22.7,11.4,5.8,27.4,57.75,2.233333
2014-01-15,0.0,34.2,20.7,11.5,5.2,27.52,61.75,1.433333
2014-01-16,0.0,33.3,22.3,8.6,5.2,27.96,67.5,1.266667
2014-01-17,0.0,30.1,21.7,2.1,4.3,24.32,78.5,2.9
2014-01-18,1.9,27.5,20.5,0.3,2.1,24.28,81.5,0.7
2014-01-19,0.2,29.9,21.5,3.9,2.2,24.28,81.5,0.7
2014-01-20,10.5,29.7,21.3,4.3,1.9,23.72,88.0,1.4
2014-01-21,17.8,29.7,20.7,4.8,1.5,24.08,88.75,1.233333
2014-01-22,2.3,32.5,20.1,10.7,1.9,26.02,75.75,0.7
2014-01-23,0.0,33.5,21.7,11.0,3.3,25.52,74.75,1.433333
2014-01-24,0.8,33.1,20.0,10.8,4.0,26.76,71.25,1.833333
2014-01-25,0.0,30.7,22.1,5.2,4.1,25.56,73.75,1.233333
2014-01-26,0.0,33.3,19.9,11.0,3.6,25.56,73.75,1.233333
2014-01-27,3.6,32.5,21.5,11.1,4.5,25.4,72.5,1.9666669999999997
2014-01-28,0.0,32.2,19.9,11.6,4.0,26.02,52.75,3.7
2014-01-29,0.0,32.5,19.4,11.1,6.1,26.1,60.5,2.6
2014-01-30,0.0,32.7,22.9,10.1,4.9,26.82,61.25,3.1
2014-01-31,0.0,32.9,22.1,11.4,6.2,26.72,57.0,2.3
2014-02-01,0.0,31.2,22.1,7.2,6.1,26.72,57.0,2.6
2014-02-02,0.0,33.5,18.5,11.6,5.4,26.72,57.0,2.6
2014-02-03,0.0,34.1,19.1,11.1,5.8,27.16,52.25,3.166667
2014-02-04,0.0,34.6,20.0,11.8,6.7,27.08,59.5,2.3
2014-02-05,0.0,34.0,21.6,11.4,6.0,27.7,55.5,3.1
2014-02-06,0.0,33.9,22.1,11.2,6.8,27.7,49.25,3.4666669999999997
2014-02-07,0.0,33.9,20.0,11.1,6.6,26.84,58.0,1.7
2014-02-08,0.0,34.5,19.7,10.8,6.2,27.6,50.75,2.8666669999999996
2014-02-09,0.0,34.5,19.7,10.8,7.3,27.6,50.75,2.8666669999999996
2014-02-10,0.0,33.5,20.1,5.6,5.2,26.26,63.5,2.3
2014-02-11,0.0,32.7,21.9,7.2,5.8,26.96,53.5,2.2
2014-02-12,0.0,34.7,21.9,10.1,6.0,26.96,53.0,2.15
2014-02-13,0.0,35.0,20.9,10.5,5.3,27.78,56.75,1.6
2014-02-14,0.0,33.9,23.6,4.4,5.8,27.3,66.25,1.3
2014-02-15,1.0,35.9,22.9,9.1,4.8,28.28,61.5,1.566667
2014-02-16,1.0,34.5,22.1,10.2,6.2,28.28,61.5,1.566667
2014-02-17,0.0,33.7,21.5,9.8,5.0,26.0,70.75,2.166667
2014-02-18,1.3,33.5,20.3,9.4,4.6,24.76,75.75,2.066667
2014-02-19,51.4,30.5,20.3,5.7,3.9,25.04,79.75,1.333333
2014-02-20,0.0,31.8,20.9,9.1,3.0,25.38,76.5,1.666667
2014-02-21,13.5,32.5,20.9,10.0,2.7,26.28,67.75,2.1333330000000004
