date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.1,20.0,11.8,3.4,25.78,78.75,1.566667
2014-01-02,0.0,32.0,18.2,12.0,4.0,24.4,73.75,0.566667
2014-01-03,0.0,30.7,18.0,8.2,3.9,23.7,78.75,1.2
2014-01-04,0.0,31.9,18.8,12.0,3.1,25.66,77.0,1.2
2014-01-05,0.0,31.9,19.8,10.5,3.6,25.26,73.75,0.9
2014-01-06,0.0,31.7,19.4,11.9,4.0,25.54,61.25,1.9666669999999997
2014-01-07,0.0,30.3,17.2,11.4,4.6,24.3,67.5,1.333333
2014-01-08,0.0,31.5,21.6,9.3,5.0,25.3,71.5,1.9
2014-01-09,0.0,29.3,19.8,4.4,5.0,23.18,87.75,1.2
2014-01-10,15.3,30.2,20.0,11.5,2.0,25.32,86.75,2.1333330000000004
2014-01-11,0.0,30.7,22.6,4.8,4.0,25.78,77.75,1.533333
2014-01-12,0.0,30.4,20.0,6.5,3.4,24.94,83.75,0.8
2014-01-13,0.2,27.7,21.0,4.9,3.2,23.98,90.0,0.533333
2014-01-14,3.6,31.4,19.4,9.8,1.6,25.16,74.75,1.033333
2014-01-15,0.0,31.7,22.2,3.9,3.7,25.98,78.5,1.333333
2014-01-16,0.0,32.4,22.3,7.4,3.1,26.3,81.25,1.2
2014-01-17,0.0,32.1,21.2,9.4,3.2,25.54,78.25,1.166667
2014-01-18,0.0,31.4,18.2,5.6,3.2,24.76,78.5,1.233333
2014-01-19,0.0,29.3,22.2,1.7,3.7,24.06,87.5,2.5333330000000003
2014-01-20,1.7,29.8,21.6,0.8,2.0,25.24,81.75,0.833333
2014-01-21,0.2,30.9,22.8,4.2,2.3,26.26,77.0,1.433333
2014-01-22,0.0,32.6,22.0,10.4,3.3,26.76,72.75,1.533333
2014-01-23,0.0,33.9,19.8,11.4,4.4,26.66,65.25,1.166667
2014-01-24,0.0,31.1,21.6,8.5,5.8,24.82,75.0,1.0
2014-01-25,0.0,30.9,16.8,8.3,3.5,23.82,80.0,0.533333
2014-01-26,0.0,32.9,19.6,8.0,3.4,25.06,78.5,1.333333
2014-01-27,4.8,32.1,18.0,11.5,3.3,24.82,71.0,1.8666669999999999
2014-01-28,0.0,30.7,18.6,8.5,5.5,24.9,66.75,2.0333330000000003
2014-01-29,0.0,31.3,17.6,6.3,4.9,24.82,71.0,2.5
2014-01-30,0.0,31.1,21.0,8.9,4.2,25.38,67.75,2.0333330000000003
2014-01-31,0.5,31.3,20.0,9.0,5.1,25.34,62.75,2.0333330000000003
2014-02-01,0.0,31.4,17.4,7.0,5.3,24.32,71.5,2.1333330000000004
2014-02-02,0.0,33.5,15.0,11.9,4.8,25.18,60.0,2.3666669999999996
2014-02-03,0.0,32.5,20.2,11.9,7.2,26.18,64.5,2.066667
2014-02-04,0.0,32.7,18.0,11.4,6.6,25.94,65.0,1.566667
2014-02-05,0.0,31.6,21.8,5.3,5.8,25.12,78.5,2.2
2014-02-06,0.8,31.7,18.6,7.5,4.0,24.82,72.5,1.366667
2014-02-07,0.0,31.6,18.4,8.7,5.0,24.44,72.75,1.4
2014-02-08,0.0,33.1,18.8,11.4,4.7,26.26,56.25,2.166667
2014-02-09,0.0,32.4,20.0,8.5,6.0,25.56,67.0,1.633333
2014-02-10,0.0,33.3,20.8,7.5,5.2,26.54,66.25,1.433333
2014-02-11,0.0,31.2,22.0,5.4,6.0,26.2,63.5,1.5
2014-02-12,0.2,33.3,19.2,9.2,4.7,26.18,63.0,1.2
2014-02-13,0.0,33.7,18.0,8.5,5.7,25.46,67.0,1.3
2014-02-14,0.0,33.1,19.0,7.6,5.0,25.3,70.75,1.533333
2014-02-15,0.0,33.9,19.8,8.7,4.2,26.22,62.75,1.133333
2014-02-16,0.0,33.3,20.0,7.8,5.8,26.86,64.0,1.5
2014-02-17,0.0,34.8,19.0,8.0,5.0,26.92,64.0,1.8666669999999999
2014-02-18,0.0,33.1,20.0,8.8,5.8,27.42,60.5,1.366667
2014-02-19,10.6,30.6,21.2,2.4,5.2,24.92,81.75,1.333333
2014-02-20,0.0,32.7,20.6,10.5,3.0,26.58,61.0,2.0333330000000003
2014-02-21,0.0,33.4,21.0,7.4,5.0,25.4,77.75,1.6
2014-02-22,6.0,32.7,21.0,9.4,3.2,26.26,77.0,0.533333
2014-02-23,0.0,33.5,19.2,7.6,4.4,26.38,67.5,1.533333
2014-02-24,0.0,33.7,20.2,8.5,4.8,26.62,67.75,1.9
2014-02-25,0.3,34.0,22.0,10.0,5.2,27.12,63.5,2.2
2014-02-26,0.0,32.9,20.0,8.7,6.3,26.58,58.25,2.3
2014-02-27,0.0,35.0,20.2,10.1,6.5,27.36,69.75,2.166667
2014-02-28,0.0,35.1,20.6,9.1,6.5,26.66,73.5,1.833333
2014-03-01,0.2,34.8,21.0,9.8,4.7,25.04,80.75,1.633333
2014-03-02,2.6,31.3,21.0,5.6,4.3,25.62,79.25,0.9
2014-03-03,0.0,32.2,20.8,8.5,3.9,25.96,68.75,2.1333330000000004
2014-03-04,0.0,30.3,22.6,3.7,5.5,24.66,84.75,2.3
2014-03-05,41.5,31.4,21.0,5.2,3.0,25.2,84.75,1.033333
2014-03-06,0.0,31.9,19.0,9.0,3.1,24.86,79.25,1.2
2014-03-07,0.0,33.4,20.0,7.0,4.0,25.46,78.5,0.666667
2014-03-08,0.0,34.3,20.4,11.0,3.8,26.98,71.75,0.866667
2014-03-09,0.0,30.3,22.2,1.8,5.0,24.54,83.5,1.5
2014-03-10,38.0,30.3,21.4,5.4,1.8,24.1,86.75,1.266667
2014-03-11,4.0,31.5,20.6,8.0,1.8,24.74,84.0,1.6
2014-03-12,0.0,32.3,19.0,11.1,3.8,25.62,70.5,1.833333
2014-03-13,0.0,32.3,20.0,9.3,4.6,26.58,62.5,1.7333330000000002
2014-03-14,0.0,32.3,20.8,8.8,5.2,25.54,74.75,0.833333
2014-03-15,0.0,32.0,20.9,8.3,5.2,25.7,66.75,2.166667
2014-03-16,0.0,32.3,20.0,10.6,5.2,25.26,75.75,1.333333
2014-03-17,0.0,30.2,19.0,3.2,4.6,24.52,74.75,1.533333
2014-03-18,0.0,28.9,21.6,1.4,3.2,24.3,81.5,0.833333
2014-03-19,0.0,30.7,21.0,6.1,2.6,24.66,77.25,0.9
2014-03-20,0.0,34.5,19.6,10.0,3.8,26.34,74.25,1.033333
2014-03-21,0.0,35.0,20.8,9.4,4.4,27.22,75.75,1.033333
2014-03-22,0.0,35.3,21.0,11.1,4.4,27.06,73.75,1.333333
2014-03-23,0.0,34.5,21.0,9.7,4.2,26.26,78.25,1.9666669999999997
2014-03-24,0.1,29.3,23.2,2.4,4.6,25.22,83.0,1.033333
2014-03-25,0.5,30.6,22.0,3.2,3.0,25.64,74.25,0.766667
2014-03-26,0.0,31.5,21.8,4.9,3.7,25.78,74.5,1.1
2014-03-27,0.2,30.5,23.0,3.6,4.0,25.08,90.0,1.133333
2014-03-28,5.4,29.5,21.4,3.1,2.2,23.98,86.75,1.0
2014-03-29,0.0,32.2,20.2,5.9,2.4,25.66,78.75,0.666667
2014-03-30,0.0,28.9,21.8,0.2,3.7,24.66,83.5,0.933333
2014-03-31,0.0,31.6,21.8,3.6,2.3,25.44,83.75,1.0
2014-04-01,3.5,31.5,22.4,6.3,2.7,25.86,82.25,1.0
2014-04-02,0.0,33.0,21.0,4.4,3.3,26.66,78.75,1.1
2014-04-03,0.0,34.1,20.2,9.3,3.4,27.1,66.0,2.166667
2014-04-04,1.0,32.9,22.4,2.4,4.8,25.14,87.75,0.933333
2014-04-05,1.8,31.3,22.2,6.3,2.6,25.7,76.0,1.8666669999999999
2014-04-06,0.9,31.5,22.0,6.1,4.2,25.74,76.25,1.9333330000000002
2014-04-07,0.0,32.5,21.6,7.9,3.8,25.1,80.25,1.333333
2014-04-08,0.0,33.9,17.4,10.3,3.4,25.34,71.5,1.033333
2014-04-09,0.0,34.5,18.0,10.7,4.9,25.98,71.75,0.666667
2014-04-10,0.0,35.1,19.6,9.6,5.0,27.18,68.75,1.466667
2014-04-11,0.0,33.5,21.8,6.7,6.0,27.1,60.5,1.647773
2014-04-12,0.0,32.6,20.4,7.7,6.0,26.32,69.5,0.966667
2014-04-13,0.0,35.0,18.8,9.6,4.8,27.2,64.0,1.8
2014-04-14,0.0,34.0,24.0,5.1,6.2,27.36,74.5,3.166667
2014-04-15,0.0,32.4,23.4,5.4,5.2,27.08,69.5,1.466667
2014-04-16,0.0,34.0,19.0,7.5,5.0,26.6,62.25,1.633333
2014-04-17,0.0,33.4,20.6,8.5,5.6,27.04,62.75,1.366667
2014-04-18,0.0,34.0,20.4,8.5,6.0,27.48,67.0,1.266667
2014-04-19,0.0,34.6,21.2,9.1,5.2,28.2,64.75,1.466667
2014-04-20,0.0,35.0,19.2,10.1,5.6,27.32,66.5,1.0
2014-04-21,0.0,33.8,19.0,9.6,5.4,26.92,65.75,1.666667
2014-04-22,0.0,32.8,19.8,7.4,5.4,26.32,65.25,1.4
2014-04-23,0.0,33.1,19.0,6.9,4.8,26.1,70.5,1.8666669999999999
2014-04-24,0.0,34.5,17.4,10.5,4.4,24.98,68.0,1.333333
2014-04-25,0.0,32.0,21.2,2.1,5.6,25.56,74.75,1.8
2014-04-26,2.4,24.6,20.2,0.6,3.6,22.8,87.0,1.133333
2014-04-27,2.5,31.4,20.0,6.4,1.8,24.68,68.75,0.933333
2014-04-28,0.0,28.6,16.4,6.6,4.4,22.12,62.75,2.8
2014-04-29,0.0,28.2,15.2,6.7,5.4,21.8,59.0,1.233333
2014-04-30,0.0,29.0,15.2,10.1,6.0,22.16,63.5,1.9666669999999997
2014-05-01,0.0,30.3,15.6,9.5,6.5,22.66,61.0,1.033333
2014-05-02,0.0,32.0,13.6,9.7,4.7,23.52,60.0,1.7
2014-05-03,0.0,31.1,16.0,7.3,5.8,23.54,58.75,1.466667
2014-05-04,0.0,29.7,15.2,2.7,5.6,23.26,69.0,2.3
2014-05-05,0.0,30.1,20.6,3.9,4.8,24.5,73.75,1.333333
2014-05-06,0.0,30.7,16.0,5.4,4.5,23.74,69.75,1.633333
2014-05-07,3.1,29.3,20.4,3.3,4.8,24.42,77.75,1.1
2014-05-08,0.0,32.5,22.0,7.6,3.5,25.86,67.75,1.333333
2014-05-09,0.0,33.5,18.4,9.4,5.8,24.7,73.75,0.833333
2014-05-10,0.0,32.4,19.8,4.2,5.0,25.28,70.25,1.0
2014-05-11,0.0,25.7,21.0,2.2,6.3,23.22,64.0,3.7
2014-05-12,0.0,28.7,18.6,9.7,6.3,22.26,63.0,1.566667
2014-05-13,0.0,29.9,16.2,10.2,5.4,21.86,67.75,1.166667
2014-05-14,0.0,30.6,13.9,9.9,5.0,21.78,64.5,1.366667
2014-05-15,0.0,32.1,15.2,9.5,4.5,24.18,56.75,2.333333
2014-05-16,0.0,32.3,19.6,6.2,5.4,24.54,68.5,1.1
2014-05-17,0.0,32.9,18.8,8.0,4.0,25.7,59.5,1.6
2014-05-18,0.0,30.8,20.6,8.5,6.0,24.84,61.75,1.7666669999999998
2014-05-19,0.0,31.3,16.4,8.9,4.9,23.98,58.75,1.333333
2014-05-20,0.0,31.4,15.0,9.6,5.0,23.72,55.0,1.466667
2014-05-21,0.0,31.5,15.8,9.3,6.3,24.62,60.5,1.5
2014-05-22,0.0,33.7,20.4,9.2,5.3,25.14,65.5,1.6
2014-05-23,0.0,34.3,17.6,9.9,4.8,24.94,67.75,1.3
2014-05-24,0.0,35.2,17.0,10.3,4.6,25.68,60.75,1.133333
2014-05-25,0.0,32.3,19.4,4.3,5.8,25.78,67.25,1.1
2014-05-26,0.0,34.5,19.6,10.3,4.6,26.06,75.5,1.166667
2014-05-27,0.2,34.3,18.8,8.5,4.7,25.98,64.25,1.266667
2014-05-28,0.0,33.5,19.4,9.5,4.9,24.98,71.25,2.1333330000000004
2014-05-29,6.2,31.7,20.6,6.7,4.5,24.62,65.25,2.0
2014-05-30,0.0,24.9,20.6,0.0,5.5,22.58,69.25,2.3666669999999996
2014-05-31,0.0,26.9,20.0,2.2,3.5,22.54,69.75,1.5
2014-06-01,0.0,30.3,14.0,7.5,3.1,20.74,71.25,1.2
2014-06-02,0.0,31.9,13.0,9.8,3.8,22.5,69.5,0.866667
2014-06-03,0.0,31.7,18.2,6.1,4.6,22.9,77.0,0.7
2014-06-04,9.2,27.1,19.4,3.2,2.6,22.38,80.75,0.666667
2014-06-05,0.0,31.0,17.0,9.9,2.0,23.16,76.75,1.466667
2014-06-06,0.0,28.7,15.2,4.1,3.4,20.94,81.75,0.766667
2014-06-07,0.0,29.6,14.8,6.4,3.2,22.68,67.25,0.7
2014-06-08,0.0,30.9,15.0,9.8,4.5,23.5,60.75,1.166667
2014-06-09,0.0,30.0,19.6,10.0,6.1,23.48,66.25,2.433333
2014-06-10,0.0,30.7,17.6,7.2,5.4,23.82,58.75,2.0333330000000003
2014-06-11,0.0,29.1,18.6,4.3,7.0,23.74,61.0,2.8
2014-06-12,0.0,28.5,18.8,7.2,5.0,23.74,67.25,2.6333330000000004
2014-06-13,0.0,27.9,20.0,1.4,5.2,22.42,74.75,1.8666669999999999
2014-06-14,0.6,27.7,17.6,4.7,3.1,21.58,83.5,1.333333
2014-06-15,1.4,24.7,19.0,2.3,2.1,21.18,87.0,1.466667
2014-06-16,1.1,27.9,18.8,4.2,2.0,22.46,73.0,1.333333
2014-06-17,0.2,28.5,19.0,7.1,3.4,22.3,75.75,1.266667
2014-06-18,0.0,28.8,14.8,6.4,4.0,21.6,69.0,1.5
2014-06-19,0.0,29.3,15.0,6.4,4.0,22.74,60.75,1.533333
2014-06-20,0.0,26.9,18.0,0.8,4.8,22.62,64.5,2.266667
2014-06-21,0.0,27.2,15.0,3.5,4.2,21.12,71.75,1.5
2014-06-22,0.0,29.5,18.8,0.0,4.0,22.9,68.75,2.704813
2014-06-23,0.0,27.2,16.4,6.4,3.6,21.4,63.75,1.566667
2014-06-24,0.0,29.1,13.8,9.4,4.7,20.9,62.5,1.333333
2014-06-25,0.0,26.1,15.8,1.7,4.2,21.7,68.0,1.066667
2014-06-26,0.0,30.7,18.0,8.8,3.8,23.26,62.25,1.233333
2014-06-27,0.0,29.8,15.4,4.8,5.5,22.88,69.75,1.0
2014-06-28,0.0,31.3,20.0,7.8,3.7,23.7,65.5,1.0
