date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.9,31.4,19.0,9.5,3.5,24.36,72.0,2.433333
2014-01-02,0.0,32.6,19.6,11.1,3.5,25.36,70.25,1.466667
2014-01-03,0.0,34.4,19.6,11.5,4.2,25.8,91.25,0.866667
2014-01-04,0.0,33.6,18.8,9.3,5.1,24.72,71.0,0.933333
2014-01-05,0.0,31.8,18.8,8.7,3.7,23.24,70.75,1.066667
2014-01-06,0.0,31.4,13.8,10.8,3.5,22.68,60.0,0.733333
2014-01-07,0.0,30.2,15.2,10.2,5.0,23.16,59.25,1.233333
2014-01-08,0.0,30.8,15.0,11.8,5.1,23.68,56.25,1.4
2014-01-09,0.0,31.2,15.8,9.2,5.4,23.08,61.0,1.6
2014-01-10,0.0,30.0,15.6,7.1,4.5,21.44,78.75,2.933333
2014-01-11,0.0,31.6,15.2,9.6,2.6,22.96,71.0,1.133333
2014-01-12,0.2,30.4,19.4,8.0,4.1,24.96,67.5,0.9
2014-01-13,0.0,32.6,17.0,11.6,3.5,25.08,61.75,1.833333
2014-01-14,0.1,33.6,17.6,9.9,4.9,23.44,69.75,0.633333
2014-01-15,0.0,33.4,17.0,11.3,4.2,24.52,59.25,1.9
2014-01-16,0.8,30.8,16.2,6.4,4.8,21.28,81.75,1.6
2014-01-17,11.4,29.2,17.2,4.9,2.7,20.4,84.5,0.766667
2014-01-18,20.0,27.8,15.6,10.9,2.3,21.64,73.5,1.3
2014-01-19,6.0,30.4,16.4,9.6,2.8,22.96,67.25,1.233333
2014-01-20,0.0,32.2,17.2,8.8,3.6,22.28,78.75,1.0
2014-01-21,28.6,30.4,17.2,11.0,3.4,23.52,70.5,0.8
2014-01-22,4.6,30.6,18.6,6.4,4.0,22.72,73.75,1.3
2014-01-23,0.0,29.6,18.0,7.4,3.0,23.4,73.75,0.7
2014-01-24,0.0,31.2,16.8,9.3,3.4,22.44,69.25,3.2
2014-01-25,0.4,32.4,14.4,10.4,3.5,22.28,67.75,1.833333
2014-01-26,0.0,32.4,15.4,11.1,4.3,22.32,79.75,0.633333
2014-01-27,0.0,31.8,15.4,11.2,3.9,24.12,60.25,1.3
2014-01-28,0.0,31.6,15.0,11.1,5.1,23.6,53.25,1.4
2014-01-29,0.0,32.0,12.4,12.1,7.2,22.92,51.0,1.5
2014-01-30,0.0,33.0,13.0,11.5,5.3,23.52,52.25,0.866667
2014-01-31,0.0,32.4,13.4,11.7,5.3,24.16,51.75,1.066667
2014-02-01,0.0,33.2,14.6,10.1,5.2,24.92,57.75,0.733333
2014-02-02,0.0,33.4,16.4,10.4,5.4,25.16,62.0,1.033333
2014-02-03,0.0,33.0,16.6,11.7,5.0,25.48,51.5,1.9333330000000002
