date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.7,33.6,18.3,7.8,1.5,25.54,73.5,0.833333
2014-01-02,0.0,33.6,19.7,11.0,2.6,26.18,61.25,0.833333
2014-01-03,0.0,33.1,16.5,11.2,4.1,25.22,50.75,1.033333
2014-01-04,0.0,33.0,16.1,11.1,4.4,24.68,50.5,0.833333
2014-01-05,0.0,31.9,16.5,11.4,5.4,23.88,55.5,1.533333
2014-01-06,0.0,30.8,16.0,11.3,4.4,23.8,56.5,2.066667
2014-01-07,0.0,29.3,16.1,11.2,4.4,22.34,59.0,3.566667
2014-01-08,0.0,30.6,16.1,11.1,4.3,23.2,57.75,1.533333
2014-01-09,0.0,30.8,16.3,9.0,4.2,22.92,68.75,1.9
2014-01-10,0.0,31.0,16.3,7.5,3.4,24.0,67.0,0.833333
2014-01-11,0.0,31.4,17.2,11.0,3.1,24.38,61.0,2.4
2014-01-12,0.0,31.6,16.8,11.5,3.6,24.24,59.25,1.533333
2014-01-13,0.0,32.0,18.1,11.5,5.7,24.8,56.5,2.566667
2014-01-14,0.0,31.6,17.8,11.4,4.9,24.44,56.5,2.066667
2014-01-15,0.0,33.0,15.5,11.5,4.0,24.4,52.0,1.533333
2014-01-16,0.0,33.6,17.1,10.8,5.1,25.0,59.0,1.333333
2014-01-17,0.0,31.6,18.2,5.6,4.1,23.46,75.25,1.8666669999999999
2014-01-18,3.4,27.6,17.4,0.9,2.3,21.04,90.25,0.833333
2014-01-19,38.8,29.7,17.0,5.9,1.1,22.48,75.25,0.5
2014-01-20,0.0,30.6,16.2,7.0,1.9,22.72,87.0,2.9
2014-01-21,13.5,30.0,17.3,3.6,1.6,22.82,74.75,0.833333
2014-01-22,2.0,32.4,17.0,8.1,2.0,23.82,69.75,0.833333
2014-01-23,0.0,31.8,16.7,8.2,2.9,24.18,73.0,1.166667
2014-01-24,0.0,32.4,18.3,10.7,2.1,25.18,63.25,1.166667
2014-01-25,0.0,32.4,17.4,10.5,3.5,24.46,61.0,1.533333
2014-01-26,0.0,31.6,15.1,8.1,3.7,23.86,61.25,0.333333
2014-01-27,0.0,31.0,17.3,9.4,3.5,23.72,63.75,1.366667
2014-01-28,0.0,30.9,16.0,11.3,3.3,22.7,56.75,1.366667
2014-01-29,0.0,30.0,15.0,10.2,4.5,22.5,64.75,3.266667
2014-01-30,0.0,30.8,16.3,10.6,4.0,23.34,59.75,1.533333
2014-01-31,0.0,31.8,15.9,11.2,3.8,23.4,54.25,1.533333
2014-02-01,0.0,30.6,15.9,11.2,4.7,23.4,60.5,1.566667
