date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,8.9,30.3,20.6,5.3,1.7,25.14,81.25,0.0
2014-01-02,1.0,33.9,19.8,9.7,2.3,25.7,69.75,1.0
2014-01-03,0.0,34.9,21.0,9.8,4.5,26.54,71.75,0.0
2014-01-04,18.2,34.9,19.4,9.3,3.8,25.98,64.5,0.666667
2014-01-05,0.0,34.9,17.6,10.1,4.6,25.66,57.5,0.666667
2014-01-06,0.0,32.7,18.8,10.4,7.0,26.42,52.25,2.666667
2014-01-07,0.0,33.1,20.8,8.0,8.4,25.86,59.25,1.333333
2014-01-08,0.0,32.3,19.6,10.5,5.9,25.78,57.25,1.333333
2014-01-09,0.0,33.3,19.6,10.1,6.1,26.1,51.5,0.666667
2014-01-10,0.9,32.5,18.6,8.5,6.2,23.9,67.0,2.333333
2014-01-11,7.3,32.7,18.4,10.7,4.2,25.9,63.25,1.333333
2014-01-12,0.0,32.9,20.0,9.1,5.2,24.66,71.25,2.666667
2014-01-13,6.7,31.3,19.2,6.9,4.3,24.54,74.5,0.666667
2014-01-14,0.2,33.7,20.0,9.0,3.1,24.9,71.75,1.333333
2014-01-15,9.4,32.7,19.0,10.0,4.4,23.58,73.75,1.666667
2014-01-16,10.4,31.5,19.0,6.4,3.8,24.42,66.5,0.0
2014-01-17,0.0,29.9,20.0,4.5,4.0,23.66,75.25,0.733333
2014-01-18,0.0,30.7,19.8,6.9,2.4,22.7,76.5,2.333333
2014-01-19,4.7,30.1,18.6,9.4,2.7,23.42,74.25,0.333333
2014-01-20,0.0,32.3,18.4,11.2,3.5,23.5,74.5,1.666667
2014-01-21,1.2,30.9,18.6,9.5,4.4,23.74,75.0,1.333333
2014-01-22,10.0,31.5,20.0,10.4,3.5,25.22,66.0,1.666667
2014-01-23,18.2,31.5,20.2,6.1,3.7,23.62,81.0,0.0
2014-01-24,31.3,30.9,19.2,6.2,2.8,23.06,83.75,2.333333
