date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.8,34.3,21.9,0.0,1.6,28.0,64.0,2.0
2014-01-02,0.0,33.5,22.5,0.0,4.6,27.88,67.0,1.333333
2014-01-03,0.0,34.3,21.5,0.0,4.1,28.12,50.25,2.0
2014-01-04,0.0,34.7,20.5,0.0,6.5,27.72,50.5,1.666667
2014-01-05,0.0,34.1,19.9,0.0,5.4,27.32,49.75,1.333333
2014-01-06,0.0,33.9,18.9,0.0,6.9,27.24,47.75,2.666667
2014-01-07,0.0,33.1,20.9,0.0,6.7,27.24,51.75,1.333333
2014-01-08,0.0,32.9,19.3,0.0,6.4,26.64,52.0,1.666667
2014-01-09,0.0,33.3,20.1,0.0,5.9,27.04,52.0,2.333333
2014-01-10,0.0,32.9,21.5,0.0,6.5,26.36,66.25,3.0
2014-01-11,0.0,33.3,20.5,0.0,4.4,27.4,52.5,2.333333
2014-01-12,0.0,33.3,21.7,0.0,5.7,27.08,61.25,2.0
2014-01-13,0.0,34.9,20.9,0.0,5.0,28.2,53.5,1.333333
2014-01-14,0.0,34.3,21.7,0.0,5.9,28.16,52.5,1.666667
2014-01-15,0.0,35.1,20.9,0.0,6.6,28.56,50.0,1.333333
2014-01-16,0.0,33.9,21.9,0.0,6.8,27.2,63.5,2.666667
2014-01-17,0.0,28.5,22.5,0.0,5.0,25.16,75.0,3.333333
2014-01-18,7.4,27.1,20.7,0.0,2.6,22.92,83.5,1.333333
2014-01-19,1.1,29.5,20.7,0.0,1.5,23.76,89.0,2.0
2014-01-20,5.8,28.9,20.5,0.0,1.8,23.72,88.0,2.0
2014-01-21,2.3,29.3,20.9,0.0,1.4,23.52,82.25,0.666667
2014-01-22,0.1,30.1,20.5,0.0,2.2,25.56,74.0,2.0
2014-01-23,0.0,32.7,20.3,0.0,3.5,25.68,66.5,1.666667
2014-01-24,0.0,31.7,21.5,0.0,4.1,24.56,81.25,1.666667
2014-01-25,4.6,32.5,19.5,0.0,2.4,25.6,61.5,1.666667
2014-01-26,0.0,33.3,18.7,0.0,4.2,26.24,58.0,2.666667
2014-01-27,24.0,30.3,17.9,0.0,4.8,22.92,78.0,1.333333
2014-01-28,0.3,30.9,19.9,0.0,3.4,25.64,59.5,1.666667
2014-01-29,0.0,31.9,19.1,0.0,5.0,26.0,55.5,3.0
2014-01-30,0.0,32.8,21.7,0.0,5.9,26.94,56.25,2.0
2014-01-31,0.0,32.3,19.9,0.0,5.6,26.64,55.0,1.666667
2014-02-01,0.0,31.7,19.1,0.0,6.2,26.04,48.25,1.333333
2014-02-02,0.0,33.3,19.1,0.0,5.9,26.48,51.5,1.333333
2014-02-03,0.0,33.7,18.5,0.0,6.1,26.92,54.5,3.0
2014-02-04,0.0,32.9,19.9,0.0,5.9,26.92,51.0,1.333333
2014-02-05,0.0,34.5,19.9,0.0,6.6,27.84,52.75,3.0
2014-02-06,0.0,33.1,21.9,0.0,6.9,27.56,48.75,2.333333
2014-02-07,0.0,33.9,19.7,0.0,6.9,27.44,50.25,2.0
2014-02-08,0.0,34.5,20.3,0.0,6.7,27.72,54.25,1.333333
2014-02-09,0.0,34.1,20.7,0.0,6.8,27.6,52.5,2.0
2014-02-10,0.7,33.7,21.5,0.0,5.8,27.4,53.75,1.333333
2014-02-11,0.0,33.5,23.5,0.0,7.5,27.92,52.0,3.333333
2014-02-12,0.0,34.7,21.1,0.0,6.0,26.92,60.5,1.666667
2014-02-13,0.0,33.1,22.1,0.0,5.0,25.64,78.75,2.666667
2014-02-14,1.5,31.9,21.5,0.0,3.0,25.16,77.5,1.0
2014-02-15,0.0,33.5,22.1,0.0,3.3,25.32,84.75,1.0
2014-02-16,21.8,30.7,21.5,0.0,2.5,25.08,86.75,1.333333
2014-02-17,22.5,31.5,21.1,0.0,1.9,25.28,79.75,3.0
2014-02-18,0.2,25.1,20.5,0.0,2.3,22.8,89.25,1.0
2014-02-19,53.1,29.7,19.1,0.0,1.2,22.76,85.25,2.0
2014-02-20,4.6,28.5,19.3,0.0,1.3,23.84,87.5,1.0
2014-02-21,0.9,30.1,21.1,0.0,2.1,23.64,86.5,1.666667
2014-02-22,33.0,29.9,20.3,0.0,1.2,24.68,80.5,1.0
2014-02-23,0.0,32.3,20.3,0.0,2.5,26.04,65.25,2.0
2014-02-24,0.0,33.1,19.3,0.0,3.7,26.88,62.0,1.333333
2014-02-25,0.0,31.9,19.9,0.0,4.7,25.36,73.0,1.0
2014-02-26,0.0,32.5,17.7,0.0,3.1,26.24,54.25,1.333333
2014-02-27,0.0,33.9,19.5,0.0,5.5,26.84,58.75,1.333333
2014-02-28,0.0,32.7,20.3,0.0,4.9,24.72,82.0,1.0
2014-03-01,7.7,29.3,21.1,0.0,2.6,23.84,81.75,1.0
2014-03-02,3.0,30.7,20.3,0.0,2.2,25.08,79.5,1.666667
2014-03-03,0.8,30.7,21.1,0.0,3.1,24.48,81.0,3.333333
2014-03-04,8.6,31.3,20.7,0.0,2.1,26.04,73.0,1.0
2014-03-05,0.0,32.1,21.7,0.0,3.1,26.8,68.0,2.0
2014-03-06,0.0,32.3,23.1,0.0,3.5,26.56,75.5,1.0
2014-03-07,3.2,28.9,20.7,0.0,3.6,23.28,91.75,1.333333
2014-03-08,51.4,30.3,19.9,0.0,0.9,23.84,83.5,2.0
2014-03-09,2.2,31.7,19.7,0.0,2.0,25.28,72.75,1.0
2014-03-10,7.4,32.1,18.9,0.0,2.7,25.64,73.25,1.0
2014-03-11,0.0,32.5,20.1,0.0,3.1,26.44,66.0,1.333333
2014-03-12,0.0,32.3,19.5,0.0,3.7,26.08,60.5,1.0
2014-03-13,0.0,33.3,19.1,0.0,5.0,26.24,66.0,2.333333
2014-03-14,0.0,33.7,21.3,0.0,4.5,27.12,59.75,1.0
2014-03-15,0.0,32.7,20.5,0.0,5.4,26.8,61.5,1.0
2014-03-16,0.0,33.1,21.7,0.0,5.1,27.24,57.0,1.0
2014-03-17,0.0,32.9,20.5,0.0,5.1,25.52,69.5,1.333333
2014-03-18,0.0,32.5,20.5,0.0,3.6,25.24,69.0,1.0
2014-03-19,0.0,33.5,21.1,0.0,4.0,26.4,66.25,0.666667
2014-03-20,0.0,34.3,22.1,0.0,4.0,27.04,70.5,1.0
2014-03-21,0.1,29.1,22.3,0.0,4.5,25.08,79.75,1.333333
2014-03-22,0.0,33.1,21.9,0.0,1.8,26.2,72.5,2.0
2014-03-23,0.0,33.1,20.5,0.0,3.3,26.56,65.5,2.666667
2014-03-24,0.2,27.1,20.9,0.0,4.4,23.76,76.5,1.333333
2014-03-25,0.1,30.3,21.5,0.0,2.4,24.44,79.75,2.0
