date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.2,0.0,0.0,0.0,0.0,72.75,0.0
2014-01-02,0.0,35.1,0.0,0.0,0.0,0.0,67.75,0.0
2014-01-03,0.0,36.4,0.0,0.0,0.0,0.0,73.0,0.0
2014-01-04,2.2,31.6,0.0,0.0,0.0,0.0,83.25,0.0
2014-01-05,0.0,35.4,0.0,0.0,0.0,0.0,68.5,0.0
2014-01-06,0.0,35.2,0.0,0.0,0.0,0.0,64.0,0.0
2014-01-07,0.0,35.2,0.0,0.0,0.0,0.0,84.5,0.0
2014-01-08,3.1,36.4,0.0,0.0,0.0,0.0,72.5,0.0
2014-01-09,2.2,33.6,0.0,0.0,0.0,0.0,71.75,0.0
2014-01-10,8.1,35.8,0.0,0.0,0.0,0.0,60.5,0.0
2014-01-11,0.0,36.8,0.0,0.0,0.0,0.0,61.25,0.0
2014-01-12,0.0,35.1,0.0,0.0,0.0,0.0,77.75,0.0
2014-01-13,2.9,33.0,0.0,0.0,0.0,0.0,78.75,0.0
2014-01-14,19.1,34.2,0.0,0.0,0.0,0.0,71.25,0.0
2014-01-15,0.0,34.3,0.0,0.0,0.0,0.0,82.5,0.0
2014-01-16,0.6,33.5,0.0,0.0,0.0,0.0,76.25,0.0
2014-01-17,0.0,34.6,0.0,0.0,0.0,0.0,72.75,0.0
2014-01-18,16.0,33.2,0.0,0.0,0.0,0.0,85.0,0.0
2014-01-19,3.3,33.6,0.0,0.0,0.0,0.0,90.25,0.0
2014-01-20,10.6,32.2,0.0,0.0,0.0,0.0,87.0,0.0
2014-01-21,37.3,31.2,0.0,0.0,0.0,0.0,89.25,0.0
2014-01-22,10.4,31.9,0.0,0.0,0.0,0.0,85.75,0.0
2014-01-23,11.2,31.6,0.0,0.0,0.0,0.0,83.25,0.0
2014-01-24,13.2,32.6,0.0,0.0,0.0,0.0,83.0,0.0
2014-01-25,1.9,32.6,0.0,0.0,0.0,0.0,85.5,0.0
2014-01-26,14.2,25.3,0.0,0.0,0.0,0.0,85.0,0.0
2014-01-27,0.0,32.4,0.0,0.0,0.0,0.0,75.5,0.0
2014-01-28,0.0,34.4,0.0,0.0,0.0,0.0,74.75,0.0
2014-01-29,0.0,34.5,0.0,0.0,0.0,0.0,60.75,0.0
2014-01-30,0.0,35.7,0.0,0.0,0.0,0.0,63.0,0.0
2014-01-31,0.0,35.5,0.0,0.0,0.0,0.0,58.75,0.0
2014-02-01,0.0,36.6,0.0,0.0,0.0,0.0,64.0,0.0
2014-02-02,0.0,34.4,0.0,0.0,0.0,0.0,74.0,0.0
2014-02-03,0.0,34.6,0.0,0.0,0.0,0.0,78.0,0.0
2014-02-04,2.2,32.2,24.0,0.0,0.0,26.72,76.0,0.0
2014-02-05,0.0,35.8,24.0,0.0,0.0,26.72,68.75,0.0
2014-02-06,0.0,33.5,24.0,0.0,0.0,26.72,76.0,0.0
2014-02-07,0.0,33.4,24.0,0.0,0.0,26.72,72.0,0.0
2014-02-08,18.5,35.4,24.0,0.0,0.0,26.72,73.25,0.0
2014-02-09,0.0,35.1,24.0,0.0,0.0,26.72,68.25,0.0
2014-02-10,0.0,35.6,24.0,0.0,0.0,26.72,66.75,0.0
2014-02-11,10.2,35.5,24.0,0.0,0.0,26.72,64.75,0.0
2014-02-12,0.0,35.2,24.0,0.0,0.0,26.72,68.75,0.0
2014-02-13,0.0,32.0,24.0,0.0,0.0,26.72,78.0,0.0
2014-02-14,25.2,32.0,24.0,0.0,0.0,26.72,83.5,0.0
2014-02-15,0.0,31.0,24.0,0.0,0.0,26.72,88.75,0.0
2014-02-16,0.8,32.0,24.0,0.0,0.0,26.72,82.75,0.0
2014-02-17,0.0,34.2,24.0,0.0,0.0,26.72,75.0,0.0
2014-02-18,0.0,34.1,24.0,0.0,0.0,26.72,73.75,0.0
2014-02-19,0.0,36.6,24.0,0.0,0.0,26.72,69.75,0.0
2014-02-20,0.0,30.5,24.0,0.0,0.0,26.72,94.0,0.0
2014-02-21,15.5,29.4,24.0,0.0,0.0,26.72,90.75,0.0
2014-02-22,25.3,29.7,24.0,0.0,0.0,26.72,98.75,0.0
2014-02-23,15.1,30.4,24.0,0.0,0.0,26.72,95.0,0.0
2014-02-24,2.9,30.1,24.0,0.0,0.0,26.72,90.75,0.0
2014-02-25,3.1,33.4,24.0,0.0,0.0,26.72,81.25,0.0
2014-02-26,0.6,33.4,24.0,0.0,0.0,26.72,84.5,0.0
2014-02-27,6.3,26.7,24.0,0.0,0.0,26.72,84.25,0.0
2014-02-28,0.4,28.4,24.0,0.0,0.0,26.72,85.75,0.0
2014-03-01,0.0,32.6,24.0,0.0,0.0,26.72,69.5,0.0
2014-03-02,0.0,32.2,24.0,0.0,0.0,26.72,83.75,0.0
