date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.4,33.6,21.9,6.8,1.3,26.82,72.0,0.666667
2014-01-02,0.0,33.6,22.1,7.5,5.3,26.54,76.5,2.333333
2014-01-03,7.6,35.8,22.3,11.1,3.3,29.38,59.0,0.666667
2014-01-04,0.0,35.0,21.9,8.3,6.0,28.14,65.0,1.666667
2014-01-05,0.0,33.6,22.1,10.1,5.3,27.66,62.25,1.0
2014-01-06,1.2,35.2,20.7,10.9,5.5,28.34,54.75,0.333333
2014-01-07,0.0,34.0,21.3,5.1,6.7,25.98,80.25,0.666667
2014-01-08,42.2,32.6,21.3,10.0,4.5,26.66,60.0,1.333333
2014-01-09,0.0,33.0,21.3,11.4,5.5,27.34,60.25,1.333333
2014-01-10,0.0,34.8,23.3,12.2,6.5,28.3,51.75,2.333333
2014-01-11,0.0,33.8,22.1,8.5,7.4,27.54,59.75,1.0
2014-01-12,0.0,31.4,22.1,4.9,6.2,25.18,80.75,1.0
2014-01-13,20.0,30.4,20.9,3.0,2.9,23.86,75.75,1.0
2014-01-14,6.6,30.6,19.9,7.5,3.2,23.18,82.0,1.333333
2014-01-15,11.4,32.2,20.1,6.5,2.7,25.56,69.25,0.666667
2014-01-16,0.0,31.2,21.3,5.4,4.2,25.02,76.75,1.333333
2014-01-17,7.2,33.4,21.7,7.9,3.1,25.14,78.5,1.666667
2014-01-18,1.4,32.0,21.5,9.2,3.7,26.62,68.25,0.666667
2014-01-19,0.0,32.8,22.5,9.1,3.8,27.62,65.5,0.666667
2014-01-20,0.0,33.0,22.5,11.6,4.9,27.98,62.25,0.666667
2014-01-21,3.8,32.4,21.9,10.0,5.6,26.18,84.25,1.666667
2014-01-22,2.2,32.4,22.7,7.8,3.1,26.46,73.25,1.333333
2014-01-23,7.6,33.0,21.3,10.2,2.7,26.34,68.0,0.666667
2014-01-24,0.0,33.2,22.1,10.0,4.3,26.02,73.5,1.666667
2014-01-25,12.8,29.4,20.5,6.7,4.2,25.38,74.0,0.666667
2014-01-26,3.8,30.8,18.7,6.8,3.3,24.12,71.25,0.666667
2014-01-27,0.0,32.8,18.9,9.3,3.3,24.66,68.5,0.333333
2014-01-28,0.0,32.2,18.9,11.8,4.1,26.42,60.25,2.0
2014-01-29,0.0,33.0,21.5,11.7,5.8,27.54,54.5,1.0
2014-01-30,0.0,33.8,21.9,11.3,7.3,28.34,53.0,1.333333
2014-01-31,0.0,35.0,24.3,11.9,7.7,29.22,53.25,0.666667
2014-02-01,0.0,34.2,23.3,12.1,7.9,28.78,47.75,2.0
2014-02-02,0.0,34.4,21.9,12.0,9.3,28.5,43.25,1.333333
2014-02-03,0.0,35.8,22.9,10.0,10.0,29.14,44.5,1.333333
2014-02-04,0.0,33.6,23.1,3.3,9.0,28.18,48.5,1.0
2014-02-05,0.0,36.2,22.3,11.8,8.6,29.7,43.0,1.0
2014-02-06,0.0,36.2,23.7,11.6,10.5,30.42,44.0,0.666667
2014-02-07,0.0,36.0,23.3,12.0,10.2,29.82,37.25,1.333333
2014-02-08,0.0,36.4,23.1,11.9,10.9,29.38,49.25,0.333333
2014-02-09,0.0,36.0,23.3,6.2,9.7,28.3,49.5,2.0
2014-02-10,0.0,36.6,21.9,11.8,8.0,28.9,46.75,0.666667
2014-02-11,0.0,35.8,23.1,8.2,9.0,28.54,48.0,2.0
