date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,27.0,0.0,20.5,0.0,0.0,0.0,80.75,3.77256
2014-01-02,0.0,0.0,22.9,0.0,0.0,0.0,76.75,3.4296
2014-01-03,0.0,0.0,23.7,0.0,0.0,0.0,73.5,4.458480000000001
2014-01-04,1.0,0.0,21.3,0.0,0.0,0.0,84.25,2.40072
2014-01-05,0.5,0.0,20.0,0.0,0.0,0.0,73.5,3.08664
2014-01-06,7.0,0.0,19.4,0.0,0.0,0.0,82.0,1.7148
2014-01-07,0.0,0.0,19.4,0.0,0.0,0.0,88.75,1.7148
2014-01-08,7.1,0.0,18.9,0.0,0.0,0.0,88.25,3.4296
2014-01-09,3.1,0.0,19.0,0.0,0.0,0.0,83.75,1.37184
2014-01-10,8.3,0.0,20.0,0.0,0.0,0.0,78.0,1.7148
2014-01-11,3.0,0.0,22.1,0.0,0.0,0.0,75.25,2.74368
2014-01-12,21.2,0.0,19.4,0.0,0.0,0.0,80.75,2.05776
2014-01-13,0.0,0.0,19.8,0.0,0.0,0.0,81.5,2.74368
2014-01-14,17.4,0.0,18.0,0.0,0.0,0.0,85.0,1.02888
2014-01-15,0.2,0.0,18.6,0.0,0.0,0.0,89.0,3.4296
2014-01-16,9.5,0.0,19.0,0.0,0.0,0.0,81.0,1.7148
2014-01-17,0.0,0.0,19.2,0.0,0.0,0.0,89.75,2.05776
2014-01-18,2.2,0.0,19.2,0.0,0.0,0.0,79.0,1.02888
2014-01-19,4.8,0.0,20.7,0.0,0.0,0.0,72.0,2.05776
2014-01-20,17.6,0.0,20.5,0.0,0.0,0.0,69.25,1.37184
2014-01-21,0.0,0.0,20.7,0.0,0.0,0.0,71.5,3.4296
2014-01-22,0.0,0.0,20.5,0.0,0.0,0.0,74.75,1.37184
2014-01-23,0.0,0.0,22.1,0.0,0.0,0.0,75.0,2.74368
2014-01-24,0.0,0.0,21.9,0.0,0.0,0.0,73.75,2.05776
2014-01-25,1.4,0.0,21.9,0.0,0.0,0.0,95.5,2.40072
2014-01-26,40.0,0.0,19.2,0.0,0.0,0.0,82.5,2.40072
2014-01-27,0.0,0.0,19.4,0.0,0.0,0.0,71.5,2.40072
2014-01-28,0.0,0.0,20.3,0.0,0.0,0.0,66.5,2.05776
2014-01-29,0.0,0.0,22.1,0.0,0.0,0.0,62.0,2.05776
2014-01-30,0.0,0.0,25.0,0.0,0.0,0.0,66.25,2.40072
2014-01-31,1.8,0.0,23.5,0.0,0.0,0.0,83.0,1.02888
2014-02-01,13.2,0.0,21.3,0.0,6.7,0.0,62.5,2.0
2014-02-02,0.0,0.0,24.4,0.0,14.6,0.0,51.5,2.333333
2014-02-03,0.0,0.0,23.7,0.0,14.6,0.0,55.75,1.333333
2014-02-04,0.0,0.0,24.8,0.0,13.2,0.0,67.25,3.666667
2014-02-05,0.0,0.0,23.5,0.0,9.0,0.0,54.5,2.666667
2014-02-06,0.0,0.0,23.5,0.0,12.0,0.0,49.75,1.666667
2014-02-07,0.0,0.0,23.5,0.0,13.0,0.0,60.0,1.666667
2014-02-08,0.0,0.0,23.5,0.0,11.0,0.0,51.0,1.666667
2014-02-09,0.0,0.0,23.5,0.0,15.4,0.0,74.75,2.0
2014-02-10,0.0,0.0,23.5,0.0,4.6,0.0,64.0,3.666667
2014-02-11,0.0,0.0,23.5,0.0,11.7,0.0,57.75,1.666667
2014-02-12,1.3,0.0,23.5,0.0,11.5,0.0,91.0,1.333333
2014-02-13,6.8,0.0,23.5,0.0,7.4,0.0,83.25,3.0
2014-02-14,3.5,0.0,23.5,0.0,4.2,0.0,89.25,1.666667
2014-02-15,18.4,0.0,23.5,0.0,0.6,0.0,82.75,3.333333
2014-02-16,0.0,0.0,23.5,0.0,5.2,0.0,77.0,3.0
2014-02-17,0.0,0.0,23.5,0.0,6.5,0.0,71.0,3.666667
2014-02-18,0.0,0.0,23.5,0.0,7.5,0.0,66.75,1.666667
2014-02-19,0.0,0.0,20.7,0.0,8.0,0.0,67.0,3.0
2014-02-20,0.0,0.0,20.7,0.0,8.1,0.0,80.25,2.666667
2014-02-21,94.0,0.0,20.7,0.0,5.5,0.0,95.25,1.666667
2014-02-22,32.9,0.0,20.7,0.0,0.6,0.0,91.5,2.0
2014-02-23,0.5,0.0,20.7,0.0,2.0,0.0,85.5,3.0
2014-02-24,1.2,0.0,20.7,0.0,8.8,0.0,81.25,3.0
2014-02-25,0.5,0.0,20.7,0.0,6.8,0.0,97.75,2.666667
2014-02-26,19.7,0.0,20.7,0.0,6.0,0.0,91.0,3.333333
