date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,4.4,33.8,22.4,4.5,0.0,27.96,75.75,0.0
2014-02-01,4.4,33.8,22.4,4.5,0.0,27.96,75.75,0.0
2014-02-02,0.0,34.4,23.2,7.5,0.0,27.64,72.0,0.0
2014-02-03,0.0,33.7,23.2,1.7,0.0,27.14,78.25,0.0
2014-02-04,7.8,28.9,22.0,5.4,0.0,24.7,85.25,0.0
2014-02-05,0.0,29.7,22.0,2.7,0.0,25.94,84.25,0.0
2014-02-06,7.8,28.1,22.8,1.0,0.0,25.26,86.0,0.0
2014-02-07,0.0,32.9,22.0,4.4,0.0,26.38,76.75,0.0
2014-02-08,0.0,31.7,22.0,2.8,0.0,26.22,81.75,0.0
2014-02-09,0.0,33.0,22.8,3.1,0.0,26.8,80.75,0.0
2014-02-10,51.8,30.7,21.2,6.3,0.0,25.02,87.25,0.0
2014-02-11,0.0,29.7,21.4,3.9,0.0,25.46,87.75,0.0
2014-02-12,6.8,33.1,22.6,2.8,0.0,26.62,79.0,0.0
2014-02-13,0.0,27.7,24.6,0.0,0.0,25.42,69.75,0.0
2014-02-14,44.6,26.5,22.0,7.0,0.0,23.98,92.5,0.0
2014-02-15,24.6,29.7,23.2,2.8,0.0,25.38,88.0,0.0
2014-02-16,0.0,31.5,23.8,0.5,0.0,26.1,85.0,0.0
2014-02-17,55.8,30.1,23.6,0.8,0.0,26.02,87.5,0.0
2014-02-18,15.8,27.7,24.0,0.0,0.0,24.86,91.0,0.0
2014-02-19,14.6,29.7,23.2,2.5,0.0,25.58,90.5,0.0
2014-02-20,3.8,28.7,23.8,0.0,0.0,25.18,87.5,0.0
2014-02-21,23.8,32.2,22.0,0.0,0.0,25.48,88.0,0.0
2014-02-22,31.0,29.6,22.4,0.0,0.0,25.24,92.5,0.0
2014-02-23,30.6,28.0,22.2,0.0,0.0,24.52,92.0,0.0
2014-02-24,23.4,28.8,21.8,0.0,0.0,24.96,91.5,0.0
2014-02-25,12.3,34.4,23.6,7.8,0.0,28.04,79.25,0.0
2014-02-26,0.0,34.6,23.4,8.1,0.0,27.12,82.75,0.0
2014-02-27,15.6,34.8,22.6,7.8,0.0,26.84,80.25,0.0
2014-02-28,0.0,33.6,21.8,6.0,0.0,26.4,81.0,0.0
2014-03-01,0.0,34.5,22.4,7.8,0.0,27.42,81.75,0.0
2014-03-02,0.0,33.8,23.4,6.7,0.0,26.8,81.5,0.0
2014-03-03,4.6,34.8,22.4,6.9,0.0,26.72,81.75,0.0
2014-03-04,0.0,34.8,23.6,6.1,0.0,27.64,79.25,0.0
2014-03-05,3.0,30.6,23.2,2.2,0.0,26.0,90.0,0.0
2014-03-06,0.0,34.2,22.4,4.8,0.0,26.68,81.0,0.0
2014-03-07,0.0,33.4,23.6,2.8,0.0,27.08,78.25,0.0
2014-03-08,0.0,33.5,23.2,4.5,0.0,27.26,81.75,0.0
2014-03-09,0.0,34.8,23.4,4.2,0.0,28.76,74.5,0.0
2014-03-10,0.0,33.8,24.2,5.1,0.0,27.48,80.25,0.0
2014-03-11,21.8,29.6,21.2,0.0,0.0,25.12,87.25,0.0
2014-03-12,36.2,33.8,20.8,6.3,0.0,26.56,82.5,0.0
2014-03-13,0.0,34.2,20.8,8.1,0.0,26.76,80.25,0.0
2014-03-14,0.0,35.2,23.4,8.7,0.0,27.84,79.75,0.0
2014-03-15,0.0,32.6,24.8,3.2,0.0,27.68,80.25,0.0
2014-03-16,15.8,32.6,23.2,7.8,0.0,27.68,78.0,0.0
2014-03-17,0.0,32.5,23.6,8.2,0.0,27.22,79.75,0.0
2014-03-18,0.0,35.7,24.0,7.2,0.0,28.22,72.25,0.0
