date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.7,33.0,24.4,0.6,0.0,27.44,76.0,0.0
2014-01-02,0.0,36.0,23.4,7.6,0.0,29.04,66.75,0.0
2014-01-03,0.0,35.9,23.1,6.7,0.0,28.1,71.5,0.0
2014-01-04,0.0,31.8,22.6,4.2,0.0,26.68,85.0,0.0
2014-01-05,15.8,34.6,21.8,7.9,0.0,26.46,79.75,0.0
2014-01-06,12.7,35.3,23.0,5.3,0.0,26.24,80.5,0.0
2014-01-07,30.4,33.2,22.7,4.3,0.0,27.1,74.25,0.0
2014-01-08,3.0,34.4,22.0,7.8,0.0,25.58,80.75,0.0
2014-01-09,9.1,34.6,21.8,9.3,0.0,26.08,79.0,0.0
2014-01-10,33.4,33.6,23.2,4.7,0.0,26.64,76.5,0.0
2014-01-11,7.8,32.2,23.3,3.2,0.0,25.88,83.75,0.0
2014-01-12,2.0,32.5,22.8,4.3,0.0,25.8,89.25,0.0
2014-01-13,11.6,33.1,23.2,3.3,0.0,27.02,72.75,0.0
2014-01-14,0.0,33.0,22.6,1.0,0.0,25.66,83.75,0.0
2014-01-15,28.2,34.2,22.0,6.1,0.0,26.04,77.0,0.0
2014-01-16,5.0,34.2,22.2,7.7,0.0,27.74,70.25,0.0
2014-01-17,0.0,33.3,24.4,4.1,0.0,27.16,85.0,0.0
2014-01-18,0.5,32.3,24.0,2.1,0.0,26.9,77.75,0.0
2014-01-19,0.0,32.1,23.8,2.4,0.0,26.4,77.25,0.0
2014-01-20,0.0,32.2,23.6,4.1,0.0,26.08,83.0,0.0
2014-01-21,2.8,32.2,23.2,4.8,0.0,26.02,84.75,0.0
2014-01-22,40.4,32.6,23.7,3.3,0.0,25.8,79.0,0.0
2014-01-23,32.2,31.4,22.3,2.5,0.0,25.5,78.75,0.0
2014-01-24,0.0,30.5,23.9,1.8,0.0,26.24,73.75,0.0
2014-01-25,1.0,32.4,22.8,1.8,0.0,26.58,77.75,0.0
2014-01-26,72.0,29.6,22.4,1.1,0.0,25.74,76.25,0.0
2014-01-27,0.0,32.4,21.6,7.9,0.0,26.48,66.75,0.0
2014-01-28,0.0,34.0,22.1,9.6,0.0,27.1,67.0,0.0
2014-01-29,0.0,32.8,21.8,4.9,0.0,25.46,75.75,0.0
2014-01-30,15.2,33.8,22.0,6.7,0.0,25.98,71.75,0.0
2014-01-31,0.1,32.7,22.4,2.3,0.0,25.9,80.0,0.0
2014-02-01,2.5,33.1,21.6,3.4,0.0,25.68,77.0,0.0
2014-02-02,2.5,33.7,21.6,6.1,0.0,25.68,72.0,0.0
2014-02-03,0.0,34.1,23.7,3.9,0.0,26.34,84.75,0.0
2014-02-04,39.8,29.6,20.3,0.5,0.0,24.82,80.75,0.0
2014-02-05,1.1,34.5,22.0,5.0,0.0,26.46,76.0,0.0
2014-02-06,19.1,35.1,22.5,7.7,0.0,27.44,74.0,0.0
2014-02-07,10.7,32.0,22.8,0.8,0.0,26.38,76.5,0.0
2014-02-08,0.0,34.1,23.2,7.3,0.0,27.0,70.25,0.0
2014-02-09,0.0,34.9,22.6,9.7,0.0,28.18,65.5,0.0
2014-02-10,7.1,32.5,22.8,3.0,0.0,26.44,79.75,0.0
2014-02-11,0.0,33.3,23.0,6.4,0.0,25.94,79.75,0.0
2014-02-12,18.3,33.8,22.3,8.0,0.0,27.2,72.5,0.0
2014-02-13,0.0,29.7,23.0,2.5,0.0,25.72,80.75,0.0
2014-02-14,0.3,32.3,23.2,7.3,0.0,27.34,76.0,0.0
2014-02-15,0.0,32.3,23.4,2.4,0.0,26.58,80.0,0.0
2014-02-16,16.4,31.0,23.6,0.1,0.0,26.7,86.75,0.0
2014-02-17,14.7,32.1,24.0,1.5,0.0,26.64,85.0,0.0
2014-02-18,16.7,30.3,22.3,1.2,0.0,25.74,86.75,0.0
2014-02-19,1.8,28.0,23.6,0.1,0.0,25.56,86.75,0.0
2014-02-20,3.2,30.7,23.4,1.0,0.0,25.7,85.75,0.0
2014-02-21,13.1,31.0,23.2,3.1,0.0,27.26,70.0,0.0
2014-02-22,52.9,30.3,22.6,2.1,0.0,24.84,89.0,0.0
2014-02-23,33.0,26.0,22.6,0.0,0.0,24.1,88.5,0.0
2014-02-24,2.2,29.5,23.6,2.1,0.0,25.82,85.0,0.0
2014-02-25,0.7,33.0,23.4,3.2,0.0,26.92,82.75,0.0
2014-02-26,3.0,34.0,22.6,4.7,0.0,26.86,75.75,0.0
2014-02-27,0.0,31.9,23.6,4.0,0.0,26.78,81.0,0.0
2014-02-28,10.1,32.1,22.9,6.6,0.0,27.02,76.25,0.0
2014-03-01,0.0,28.6,23.7,1.2,0.0,25.4,87.5,0.0
2014-03-02,18.2,33.3,22.5,6.1,0.0,27.3,78.25,0.0
2014-03-03,0.0,32.7,23.8,2.7,0.0,27.9,76.0,0.0
2014-03-04,0.0,34.6,24.0,7.8,0.0,28.72,71.0,0.0
2014-03-05,83.3,32.8,22.6,4.0,0.0,26.78,80.75,0.0
2014-03-06,0.0,33.5,23.9,3.8,0.0,27.96,74.0,0.0
2014-03-07,0.0,33.5,24.2,1.9,0.0,27.74,73.25,0.0
2014-03-08,0.0,34.0,24.0,8.6,0.0,27.68,71.75,0.0
2014-03-09,0.0,34.1,24.7,10.2,0.0,29.18,66.75,0.0
