date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,2.8,34.5,21.7,10.2,0.0,26.8,81.75,0.0
2014-01-02,0.0,35.7,22.4,9.0,0.0,27.1,81.5,0.34296
2014-01-03,0.0,37.1,21.1,10.5,0.0,27.88,77.75,1.37184
2014-01-04,0.4,35.3,22.2,8.7,0.0,26.62,79.0,1.02888
2014-01-05,0.0,34.7,21.2,7.7,0.0,25.74,80.75,2.40072
2014-01-06,0.0,33.3,20.0,8.9,0.0,25.86,83.0,0.0
2014-01-07,0.0,34.5,22.2,4.9,0.0,26.34,80.0,0.68592
2014-01-08,3.2,32.3,20.7,2.6,0.0,24.4,81.75,0.0
2014-01-09,1.5,35.9,19.5,7.5,0.0,25.32,80.0,0.0
2014-01-10,9.4,34.5,19.5,6.2,0.0,25.68,79.0,0.0
2014-01-11,0.0,33.3,21.8,9.2,0.0,25.7,80.75,0.68592
2014-01-12,0.5,34.1,20.7,9.6,0.0,26.0,84.0,0.0
2014-01-13,0.0,33.2,21.6,4.3,0.0,25.12,82.0,0.0
2014-01-14,0.0,34.3,19.2,8.0,0.0,25.62,81.75,1.02888
2014-01-15,1.5,32.9,21.0,4.4,0.0,24.94,89.75,0.0
2014-01-16,0.0,33.7,20.8,4.2,0.0,26.02,84.75,0.0
2014-01-17,2.4,34.3,22.6,6.1,0.0,27.54,80.25,0.0
2014-01-18,1.8,30.5,22.2,9.2,0.0,24.7,90.75,1.02888
2014-01-19,2.6,33.7,22.2,5.0,0.0,25.98,88.75,1.37184
2014-01-20,0.0,31.3,22.7,2.4,0.0,24.96,89.0,0.0
2014-01-21,0.9,30.7,21.6,4.1,0.0,24.42,90.75,0.0
2014-01-22,79.4,26.9,21.7,0.0,0.0,23.76,92.25,0.0
2014-01-23,3.0,32.3,21.7,4.3,0.0,25.48,86.75,0.0
2014-01-24,2.2,31.3,21.7,9.0,0.0,25.04,85.5,1.37184
2014-01-25,25.6,31.7,20.0,7.7,0.0,25.14,84.0,0.0
2014-01-26,0.5,28.5,21.2,0.9,0.0,23.38,93.5,0.0
2014-01-27,10.9,31.7,20.6,6.9,0.0,24.3,85.0,0.0
2014-01-28,0.0,33.1,19.5,9.6,0.0,24.0,81.75,0.0
2014-01-29,4.2,33.5,19.5,7.2,0.0,24.48,85.75,0.0
2014-01-30,6.8,33.9,20.6,7.3,0.0,29.22,62.0,0.68592
2014-01-31,0.0,35.3,20.7,5.4,0.0,26.08,76.0,0.0
2014-02-01,0.0,34.5,20.0,6.7,0.0,26.38,74.25,0.0
2014-02-02,0.0,34.9,20.0,6.3,0.0,26.38,87.0,0.0
2014-02-03,0.0,34.3,20.8,6.2,0.0,26.38,81.75,0.68592
2014-02-04,0.0,31.7,22.7,3.5,0.0,25.16,83.5,0.34296
2014-02-05,0.0,36.5,19.6,9.7,0.0,26.5,76.0,0.0
2014-02-06,0.0,35.9,20.0,7.3,0.0,26.94,78.75,2.74368
2014-02-07,0.0,36.9,21.7,7.3,0.0,27.04,78.25,1.02888
2014-02-08,0.0,27.9,22.0,0.1,0.0,23.66,95.5,0.0
2014-02-09,2.6,32.9,19.6,7.0,0.0,25.9,76.75,2.40072
2014-02-10,0.0,35.9,19.4,10.1,0.0,26.22,72.5,3.6010800000000005
2014-02-11,0.0,35.5,20.8,9.0,0.0,26.78,68.0,3.4296
2014-02-12,5.4,32.9,22.2,7.7,0.0,25.74,79.0,2.2292400000000003
2014-02-13,0.0,29.5,21.8,1.3,0.0,24.34,93.75,1.20036
2014-02-14,14.6,33.5,20.8,7.5,0.0,25.46,87.25,1.37184
2014-02-15,4.2,25.3,22.8,0.0,0.0,23.3,97.75,0.0
2014-02-16,37.2,26.3,22.0,0.1,0.0,23.86,96.5,0.0
2014-02-17,11.2,28.7,22.6,0.7,0.0,24.78,93.0,2.74368
2014-02-18,17.7,28.1,22.8,1.5,0.0,24.18,95.0,1.37184
2014-02-19,22.2,28.1,22.2,0.0,0.0,24.18,98.25,1.20036
2014-02-20,65.6,30.1,21.4,2.5,0.0,24.54,90.75,1.54332
2014-02-21,6.0,29.3,22.6,2.9,0.0,24.5,98.5,1.20036
2014-02-22,19.7,30.3,21.8,2.9,0.0,25.06,86.75,1.7148
2014-02-23,22.3,31.3,22.6,3.1,0.0,25.14,90.25,1.02888
2014-02-24,1.7,33.3,22.6,6.7,0.0,25.3,85.0,2.2292400000000003
2014-02-25,12.3,30.7,21.6,1.9,0.0,24.34,88.5,0.8574
2014-02-26,0.0,36.9,20.5,10.9,0.0,26.68,84.75,2.9151599999999998
2014-02-27,0.5,35.1,21.8,7.8,0.0,26.82,78.5,1.20036
2014-02-28,0.9,31.9,22.6,9.5,0.0,25.18,88.75,1.02888
2014-03-01,0.0,31.9,23.4,6.9,0.0,25.06,87.0,1.37184
2014-03-02,67.4,32.7,22.6,5.7,0.0,24.82,88.25,0.0
2014-03-03,18.6,32.3,21.6,4.5,0.0,25.3,92.0,1.02888
2014-03-04,0.7,31.1,22.8,3.3,0.0,25.18,92.75,0.0
2014-03-05,11.1,32.7,22.8,4.0,0.0,26.3,85.0,1.37184
2014-03-06,8.2,31.3,22.6,2.5,0.0,25.38,89.5,0.0
2014-03-07,2.4,30.7,23.2,2.1,0.0,25.66,85.75,1.54332
2014-03-08,0.0,31.7,23.6,3.7,0.0,25.98,89.0,1.37184
2014-03-09,0.3,31.7,22.2,8.6,0.0,25.98,86.5,1.54332
2014-03-10,8.9,32.7,21.0,7.2,0.0,25.38,88.0,0.8574
2014-03-11,0.0,33.7,21.6,7.6,0.0,25.62,89.75,1.02888
2014-03-12,16.1,32.9,21.7,5.2,0.0,24.76,87.0,0.68592
2014-03-13,32.8,34.9,20.7,9.4,0.0,26.08,81.5,0.0
2014-03-14,0.0,35.7,20.4,10.7,0.0,25.66,81.5,1.02888
2014-03-15,0.0,36.1,20.7,10.1,0.0,25.96,80.25,1.20036
2014-03-16,1.6,32.9,21.2,4.7,0.0,25.34,86.25,0.0
2014-03-17,0.0,33.7,20.0,7.4,0.0,25.22,85.0,1.37184
2014-03-18,0.0,33.7,20.7,7.4,0.0,25.22,85.0,1.2861
2014-03-19,0.0,35.5,19.8,9.9,0.0,26.34,77.0,1.37184
2014-03-20,0.0,34.5,21.4,7.2,0.0,26.86,74.25,0.0
2014-03-21,4.7,35.5,21.2,9.5,0.0,26.98,79.5,0.8574
2014-03-22,18.2,28.1,22.4,6.8,0.0,25.1,86.25,1.02888
2014-03-23,15.4,33.7,21.4,9.0,0.0,26.26,80.75,1.02888
2014-03-24,0.6,29.5,23.6,0.0,0.0,24.82,94.75,0.0
2014-03-25,14.4,32.7,22.2,6.4,0.0,25.62,87.75,0.0
2014-03-26,0.0,34.1,23.7,3.7,0.0,25.88,87.5,0.0
2014-03-27,13.3,28.2,22.4,1.4,0.0,24.64,89.0,0.0
2014-03-28,0.2,31.1,23.4,2.2,0.0,25.38,91.25,0.0
2014-03-29,23.0,31.1,22.2,4.6,0.0,24.06,91.75,1.54332
2014-03-30,0.0,30.3,22.2,2.6,0.0,28.14,74.5,0.0
2014-03-31,9.8,32.9,23.2,5.0,0.0,25.62,87.75,0.8574
2014-04-01,0.5,33.5,22.2,7.6,0.0,26.02,85.75,0.0
2014-04-02,0.0,34.9,22.6,9.5,0.0,26.94,80.0,2.40072
2014-04-03,0.0,32.7,22.4,6.9,0.0,25.9,87.5,0.8574
2014-04-04,0.0,33.7,22.6,7.6,0.0,26.46,85.75,1.54332
2014-04-05,0.0,33.3,22.2,4.7,0.0,26.18,91.75,2.5722
2014-04-06,9.6,29.3,22.6,0.4,0.0,24.62,94.75,0.8574
2014-04-07,0.0,33.3,22.7,7.9,0.0,26.28,87.5,0.0
2014-04-08,14.6,34.3,21.6,9.9,0.0,26.98,80.75,0.34296
2014-04-09,0.0,31.7,23.7,2.7,0.0,25.96,85.25,0.0
2014-04-10,0.2,32.9,21.8,3.4,0.0,25.26,93.0,0.0
2014-04-11,28.0,29.9,21.6,3.9,0.0,24.02,89.0,0.0
2014-04-12,0.5,32.7,19.4,7.0,0.0,24.7,88.75,0.68592
2014-04-13,0.0,33.7,21.2,8.8,0.0,25.74,89.5,0.68592
2014-04-14,0.0,32.1,22.7,5.5,0.0,25.56,89.25,1.37184
2014-04-15,0.0,35.9,22.4,8.4,0.0,26.38,83.0,1.02888
2014-04-16,0.0,33.7,20.8,9.0,0.0,26.34,82.75,1.7148
2014-04-17,0.0,34.5,22.2,9.9,0.0,26.54,82.25,1.37184
2014-04-18,0.0,33.9,22.8,4.1,0.0,25.82,89.75,1.37184
