date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.2,24.5,4.9,0.0,26.9,90.0,1.02888
2014-01-02,9.8,35.2,23.1,9.3,0.0,28.36,78.0,0.51444
2014-01-03,0.0,35.6,23.7,7.0,0.0,27.52,75.75,0.17148
2014-01-04,0.8,30.6,22.6,5.2,0.0,26.22,91.75,0.34296
2014-01-05,18.0,34.7,21.7,8.6,0.0,27.16,79.5,0.34296
2014-01-06,0.0,34.9,24.3,4.1,0.0,26.24,89.0,0.51444
2014-01-07,37.5,34.9,22.7,4.1,0.0,26.24,89.0,0.51444
2014-01-08,0.5,34.4,22.6,4.1,0.0,25.74,83.25,0.51444
2014-01-09,25.7,33.6,22.2,9.3,0.0,26.26,84.25,0.17148
2014-01-10,0.5,33.4,23.2,3.6,0.0,26.54,76.25,0.68592
2014-01-11,0.0,33.0,23.3,4.4,0.0,26.22,90.25,0.34296
2014-01-12,3.3,31.0,22.7,6.1,0.0,25.14,87.5,0.17148
2014-01-13,0.5,31.4,23.2,3.8,0.0,25.94,81.5,0.17148
2014-01-14,0.0,32.8,22.6,2.9,0.0,25.34,89.5,1.37184
2014-01-15,0.0,33.6,22.3,6.2,0.0,25.98,85.25,0.17148
2014-01-16,1.8,34.0,22.2,7.4,0.0,27.06,86.0,0.51444
2014-01-17,0.2,32.9,24.3,4.2,0.0,26.62,93.0,0.25722
2014-01-18,0.0,31.4,23.3,1.9,0.0,27.0,87.0,0.25722
2014-01-19,0.0,31.6,23.7,1.5,0.0,26.22,91.0,0.51444
2014-01-20,0.0,31.6,23.1,2.6,0.0,25.8,91.0,0.34296
2014-01-21,31.0,32.0,23.3,6.1,0.0,25.62,94.0,0.51444
2014-01-22,13.1,31.5,23.4,1.8,0.0,25.3,96.0,0.51444
2014-01-23,22.4,30.9,22.3,2.3,0.0,25.96,78.75,0.8574
2014-01-24,22.4,30.0,22.3,1.4,0.0,25.96,83.0,1.2861
2014-01-25,0.7,33.6,23.2,4.9,0.0,26.64,83.25,0.8574
2014-01-26,22.6,29.2,23.1,2.3,0.0,25.66,88.0,0.8574
2014-01-27,1.4,32.9,22.0,7.2,0.0,26.9,74.75,0.17148
2014-01-28,0.0,33.4,22.0,7.8,0.0,26.56,72.75,0.17148
2014-01-29,0.0,33.0,21.2,8.5,0.0,25.88,75.5,0.17148
2014-01-30,5.6,34.0,21.8,8.0,0.0,26.54,74.75,1.02888
2014-01-31,0.0,33.6,22.4,5.0,0.0,25.92,83.5,0.34296
2014-02-01,0.0,34.0,21.5,7.6,0.0,25.74,81.0,0.0
2014-02-02,0.0,34.4,21.5,8.3,0.0,25.74,77.0,0.25722
2014-02-03,0.0,34.4,23.3,3.6,0.0,26.24,86.75,0.0
2014-02-04,30.6,34.4,20.5,2.0,0.0,26.24,84.0,0.0
2014-02-05,0.3,34.2,22.8,6.0,0.0,26.22,81.75,0.17148
2014-02-06,0.0,34.7,22.6,7.6,0.0,27.32,81.75,0.17148
2014-02-07,0.4,33.0,23.5,9.8,0.0,25.78,84.75,0.17148
2014-02-08,3.8,34.1,23.2,5.5,0.0,26.58,80.0,0.68592
2014-02-09,0.0,34.8,24.5,10.2,0.0,27.74,77.75,0.34296
2014-02-10,0.5,34.8,24.0,10.2,0.0,27.74,77.75,0.51444
2014-02-11,0.0,33.2,22.9,5.2,0.0,25.46,86.5,0.17148
2014-02-12,5.7,33.5,22.7,8.8,0.0,27.24,76.0,0.34296
2014-02-13,10.6,29.7,22.9,1.9,0.0,25.52,87.25,0.34296
2014-02-14,26.0,32.2,23.0,7.2,0.0,26.0,86.75,0.0
2014-02-15,0.0,31.4,24.1,3.6,0.0,26.14,88.75,0.17148
2014-02-16,13.6,31.3,23.4,3.2,0.0,26.36,88.25,0.17148
2014-02-17,4.4,31.6,24.4,3.6,0.0,26.32,94.0,0.34296
2014-02-18,13.0,30.1,23.7,0.8,0.0,26.16,88.75,0.17148
2014-02-19,0.0,28.6,24.2,0.2,0.0,25.54,92.0,1.37184
2014-02-20,0.3,28.9,23.8,0.0,0.0,25.16,95.0,0.51444
2014-02-21,29.5,30.6,23.3,3.4,0.0,26.76,81.75,1.02888
2014-02-22,29.5,30.6,23.0,3.4,0.0,26.76,81.75,1.02888
2014-02-23,40.6,25.9,22.9,0.0,0.0,24.1,95.5,0.51444
2014-02-24,4.3,29.8,22.9,3.9,0.0,25.6,88.25,0.68592
2014-02-25,0.0,32.5,23.9,2.7,0.0,26.28,86.5,0.17148
2014-02-26,16.6,32.5,23.0,4.4,0.0,26.36,83.75,0.17148
2014-02-27,0.0,32.2,23.8,6.4,0.0,26.68,86.5,0.34296
2014-02-28,0.0,31.8,23.5,6.6,0.0,27.04,84.75,0.17148
2014-03-01,0.0,29.7,23.9,2.8,0.0,25.4,93.75,0.0
2014-03-02,0.0,33.1,22.7,6.3,0.0,27.74,81.25,0.0
2014-03-03,0.0,31.8,25.0,2.3,0.0,27.64,89.0,0.34296
2014-03-04,0.0,34.4,24.1,8.3,0.0,28.32,80.75,0.17148
2014-03-05,36.0,32.7,23.1,4.2,0.0,26.62,89.5,0.0
2014-03-06,0.0,33.0,24.7,6.5,0.0,27.82,79.25,0.68592
2014-03-07,0.0,33.6,24.8,5.7,0.0,26.9,85.5,0.51444
2014-03-08,0.8,34.4,23.6,9.2,0.0,26.52,84.25,0.68592
2014-03-09,22.5,34.0,23.7,10.7,0.0,27.64,82.0,0.8574
2014-03-10,0.0,32.6,24.7,6.2,0.0,28.34,76.75,0.8574
2014-03-11,1.3,30.4,23.5,2.2,0.0,26.62,85.25,0.34296
2014-03-12,4.0,32.0,23.2,5.2,0.0,27.04,83.0,0.17148
2014-03-13,0.0,34.0,23.0,5.3,0.0,26.16,86.0,0.17148
2014-03-14,9.7,34.0,23.0,8.5,0.0,27.48,84.0,0.34296
2014-03-15,0.0,34.2,23.4,9.6,0.0,26.54,79.5,0.8574
2014-03-16,0.0,33.8,22.7,9.9,0.0,26.72,78.0,0.68592
2014-03-17,0.0,34.2,23.4,10.8,0.0,28.1,77.25,0.17148
2014-03-18,0.7,34.6,23.2,9.9,0.0,27.44,78.75,0.34296
2014-03-19,0.0,34.0,24.2,3.8,0.0,27.0,85.25,1.02888
2014-03-20,0.0,33.6,24.2,4.3,0.0,27.0,85.0,0.51444
2014-03-21,52.7,33.3,23.0,4.4,0.0,26.94,83.0,0.17148
2014-03-22,0.0,32.7,24.5,3.1,0.0,25.98,90.25,0.51444
2014-03-23,22.2,31.1,23.0,6.6,0.0,26.36,74.25,0.34296
2014-03-24,0.0,31.4,24.1,3.0,0.0,25.68,90.0,0.51444
2014-03-25,7.1,32.2,23.8,5.8,0.0,25.88,87.5,0.34296
2014-03-26,0.0,32.4,23.1,4.0,0.0,25.68,85.75,0.68592
2014-03-27,0.0,27.0,23.4,0.0,0.0,24.72,88.0,0.17148
2014-03-28,0.0,31.6,21.9,5.3,0.0,25.98,82.75,0.34296
2014-03-29,0.6,32.0,25.6,2.4,0.0,27.4,82.0,0.17148
2014-03-30,0.0,31.0,23.2,2.8,0.0,25.96,92.0,0.25722
2014-03-31,0.0,32.2,23.2,5.0,0.0,25.96,83.0,0.51444
2014-04-01,0.0,32.2,23.8,5.0,0.0,25.96,83.0,0.51444
2014-04-02,1.7,34.4,23.8,7.2,0.0,27.38,81.0,0.34296
2014-04-03,0.0,34.0,24.2,8.9,0.0,26.96,83.5,0.17148
2014-04-04,11.1,34.0,23.1,10.2,0.0,27.48,78.75,0.68592
2014-04-05,0.0,35.2,24.2,6.8,0.0,27.72,84.0,0.8574
2014-04-06,7.4,36.0,24.7,10.2,0.0,28.66,75.5,0.34296
2014-04-07,0.0,36.0,24.6,10.2,0.0,28.66,75.5,0.0
2014-04-08,0.0,35.0,24.7,9.9,0.0,28.6,77.5,0.68592
2014-04-09,0.1,31.6,24.2,2.9,0.0,27.12,88.5,0.17148
2014-04-10,0.0,34.4,24.1,8.6,0.0,26.88,81.5,0.34296
2014-04-11,0.0,33.9,24.8,6.9,0.0,26.9,84.75,0.8574
2014-04-12,36.3,31.7,23.3,3.3,0.0,26.42,92.25,0.51444
2014-04-13,0.2,31.7,25.1,3.7,0.0,26.36,88.0,0.68592
2014-04-14,5.8,24.0,21.0,0.0,0.0,22.04,95.75,0.51444
2014-04-15,0.0,27.0,18.8,0.8,0.0,23.02,85.75,0.34296
2014-04-16,0.0,32.4,21.0,10.0,0.0,26.04,85.0,0.34296
