date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,9.4,33.5,23.4,0.0,0.0,25.88,97.0,0.51444
2014-01-02,5.4,34.3,22.9,0.0,0.0,26.26,93.0,1.02888
2014-01-03,0.0,34.3,24.0,0.0,0.0,26.96,92.0,0.77166
2014-01-04,1.4,34.3,21.9,0.0,0.0,26.54,83.0,1.8005400000000003
2014-01-05,4.9,33.7,22.4,0.0,0.0,25.24,94.0,1.2861
2014-01-06,0.0,33.9,20.9,0.0,0.0,25.3,92.0,0.51444
2014-01-07,2.5,31.7,21.4,0.0,0.0,24.94,87.0,0.51444
2014-01-08,0.0,33.7,20.4,0.0,0.0,24.52,93.0,0.77166
2014-01-09,14.8,33.5,20.9,0.0,0.0,24.34,96.0,0.25722
2014-01-10,3.4,34.1,21.9,0.0,0.0,25.26,88.0,1.02888
2014-01-11,0.0,33.7,20.4,0.0,0.0,24.24,98.0,0.25722
2014-01-12,7.5,32.1,21.4,0.0,0.0,24.16,98.0,1.2861
2014-01-13,4.3,30.5,21.4,0.0,0.0,23.36,100.0,0.77166
2014-01-14,1.1,33.5,20.9,0.0,0.0,24.34,96.0,0.51444
2014-01-15,21.1,32.5,21.4,0.0,0.0,24.2,10.0,0.77166
2014-01-16,8.6,32.9,21.4,0.0,0.0,25.36,94.0,0.77166
2014-01-17,0.0,33.3,22.9,0.0,0.0,25.66,96.0,0.77166
2014-01-18,4.9,30.7,23.4,0.0,0.0,25.84,94.0,1.02888
2014-01-19,0.0,31.3,24.0,0.0,0.0,25.16,100.0,0.51444
2014-01-20,10.2,32.1,22.4,0.0,0.0,25.24,97.0,1.02888
2014-01-21,0.0,30.3,22.9,0.0,0.0,25.14,93.0,1.02888
2014-01-22,14.5,29.3,22.4,0.0,0.0,24.08,100.0,1.02888
2014-01-23,23.6,31.5,21.9,0.0,0.0,25.26,95.0,0.25722
2014-01-24,0.0,32.1,21.9,0.0,0.0,24.46,98.0,1.54332
2014-01-25,2.6,31.7,21.9,0.0,0.0,24.74,91.0,0.51444
2014-01-26,8.4,28.3,22.4,0.0,0.0,24.0,97.0,0.77166
2014-01-27,5.2,32.3,21.4,0.0,0.0,25.16,84.0,0.77166
2014-01-28,0.0,32.5,20.9,0.0,0.0,23.9,93.0,0.51444
2014-01-29,3.9,32.3,19.4,0.0,0.0,24.56,86.0,1.54332
2014-01-30,0.0,33.5,21.4,0.0,0.0,24.84,93.0,0.25722
2014-01-31,4.8,35.1,20.9,0.0,0.0,25.5,93.0,0.51444
2014-02-01,0.0,34.7,20.9,0.0,0.0,25.62,89.0,0.51444
2014-02-02,0.0,32.7,20.9,0.0,0.0,25.62,95.0,1.02888
2014-02-03,0.0,33.5,21.9,0.0,0.0,25.86,88.0,0.25722
2014-02-04,5.2,29.3,20.9,0.0,0.0,24.06,94.0,0.77166
2014-02-05,0.0,35.3,21.4,0.0,0.0,27.4,81.0,0.51444
2014-02-06,0.0,35.9,22.9,0.0,0.0,27.7,79.0,1.2861
2014-02-07,0.0,32.7,22.9,0.0,0.0,27.7,94.0,0.51444
2014-02-08,0.8,34.5,21.4,0.0,0.0,25.2,94.0,0.77166
2014-02-09,0.0,33.7,20.4,0.0,0.0,25.64,88.0,1.02888
2014-02-10,0.0,34.5,20.9,0.0,0.0,25.34,93.0,0.77166
2014-02-11,6.2,33.7,22.4,0.0,0.0,25.8,88.0,0.51444
2014-03-05,0.0,32.4,22.9,0.0,0.0,25.64,95.0,1.2861
2014-03-06,0.6,32.3,22.4,0.0,0.0,26.88,87.0,0.77166
2014-03-07,0.0,30.9,22.9,0.0,0.0,25.06,99.0,0.51444
2014-03-08,0.0,32.7,22.9,0.0,0.0,26.62,88.0,0.77166
2014-03-09,9.2,33.3,22.4,0.0,0.0,26.6,88.0,0.77166
2014-03-10,0.0,32.1,23.4,0.0,0.0,25.56,97.0,1.2861
2014-03-11,26.3,32.3,23.4,0.0,0.0,25.92,92.0,1.2861
2014-03-12,13.9,30.7,21.9,0.0,0.0,25.18,92.0,2.05776
2014-03-13,0.0,33.3,21.9,0.0,0.0,25.38,96.0,0.25722
2014-03-14,2.6,34.5,20.9,0.0,0.0,26.62,85.0,0.25722
2014-03-15,0.0,34.3,22.4,0.0,0.0,27.08,87.0,1.02888
2014-03-16,1.2,33.7,21.4,0.0,0.0,25.52,87.0,1.2861
