date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,5.6,31.5,21.6,4.3,0.0,24.8,92.25,2.2292400000000003
2014-01-02,21.1,32.5,21.2,7.6,0.0,25.44,92.0,0.68592
2014-01-03,5.6,33.4,20.8,6.9,0.0,25.14,90.5,0.68592
2014-01-04,0.0,33.7,20.4,8.1,0.0,24.44,91.0,1.54332
2014-01-05,28.8,33.1,20.0,9.0,0.0,25.36,96.5,0.68592
2014-01-06,0.0,31.3,21.4,3.0,0.0,24.6,89.25,0.34296
2014-01-07,0.0,30.3,20.0,3.0,0.0,23.76,92.0,1.02888
2014-01-08,0.0,31.8,20.9,5.2,0.0,24.72,89.75,1.02888
2014-01-09,0.4,33.3,20.4,6.3,0.0,24.76,88.0,0.34296
2014-01-10,0.8,33.2,21.5,4.9,0.0,24.84,90.25,0.68592
2014-01-11,0.0,31.6,19.3,8.2,0.0,24.04,88.25,0.68592
2014-01-12,1.0,31.6,19.0,3.3,0.0,24.18,59.0,0.68592
2014-01-13,7.2,31.9,20.5,7.7,0.0,24.7,89.5,0.68592
2014-01-14,0.0,33.1,20.2,4.2,0.0,24.04,91.0,0.34296
2014-01-15,0.9,31.8,21.0,8.1,0.0,25.54,86.75,0.34296
2014-01-16,6.1,33.0,21.4,9.0,0.0,25.1,90.25,0.34296
2014-01-17,0.0,32.0,22.0,5.9,0.0,25.98,90.75,0.68592
2014-01-18,1.4,32.4,22.8,6.0,0.0,25.54,90.0,0.34296
2014-01-19,34.0,31.4,20.9,5.2,0.0,24.64,89.25,0.34296
2014-01-20,2.1,31.0,21.6,6.8,0.0,24.86,90.75,1.54332
2014-01-21,47.1,29.4,22.0,3.2,0.0,24.18,93.5,1.20036
2014-01-22,1.6,30.3,22.2,3.0,0.0,24.76,88.25,1.20036
2014-01-23,0.0,30.0,21.4,2.4,0.0,24.02,91.25,0.68592
2014-01-24,7.7,27.9,21.2,1.5,0.0,23.04,97.5,0.68592
2014-01-25,37.7,31.1,20.2,4.6,0.0,24.14,90.0,1.02888
2014-01-26,23.6,28.5,20.6,0.3,0.0,23.56,95.25,0.68592
2014-01-27,4.1,29.1,20.0,5.0,0.0,23.24,89.25,1.20036
2014-01-28,0.2,32.1,18.4,9.0,0.0,23.6,87.75,1.02888
2014-01-29,0.1,32.5,18.8,10.4,0.0,24.72,84.0,0.68592
2014-01-30,0.0,33.2,19.6,8.3,0.0,24.42,88.5,0.68592
2014-01-31,37.9,31.1,21.2,2.3,0.0,23.24,93.0,0.68592
2014-02-01,11.2,32.3,20.6,7.6,0.0,24.88,88.75,0.68592
2014-02-02,11.2,30.2,20.6,4.9,0.0,24.88,88.0,0.51444
2014-02-03,0.0,29.2,21.8,1.5,0.0,24.94,93.75,0.34296
