date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.6,24.6,5.8,2.8,28.42,75.5,1.666667
2014-01-02,0.0,32.4,24.2,5.4,2.2,27.08,85.75,1.666667
2014-01-03,2.6,33.6,23.6,8.9,1.8,27.68,78.5,1.666667
2014-01-04,0.0,33.8,23.4,7.1,2.2,27.56,75.75,1.666667
2014-01-05,0.2,34.2,23.8,9.9,2.2,28.18,76.25,1.666667
2014-01-06,0.0,34.0,23.4,6.7,2.4,28.2,75.5,1.666667
2014-01-07,10.8,32.2,22.6,8.6,2.2,26.2,85.5,2.333333
2014-01-08,0.0,33.6,23.4,9.6,2.4,27.92,74.25,1.666667
2014-01-09,36.2,29.8,20.2,1.7,1.8,24.08,90.0,2.333333
2014-01-10,0.6,30.2,22.4,1.6,1.4,25.44,83.75,2.333333
2014-01-11,0.4,30.0,22.6,1.8,1.2,26.08,90.0,2.333333
2014-01-12,6.0,27.2,22.4,0.0,1.2,23.8,95.25,2.333333
2014-01-13,30.5,29.2,22.4,1.0,1.2,24.64,94.0,2.333333
2014-01-14,10.2,30.2,22.4,2.9,1.4,25.96,87.25,2.333333
2014-01-15,0.2,29.2,22.6,1.4,1.4,25.8,88.0,2.666667
2014-01-16,0.6,32.4,23.4,8.6,1.6,27.12,81.25,1.0
2014-01-17,0.0,32.8,23.6,8.7,1.6,27.56,83.25,1.666667
2014-01-18,0.8,32.6,23.4,6.9,1.4,27.32,80.0,2.333333
2014-01-19,22.8,29.2,21.8,1.3,1.2,25.12,95.75,2.666667
2014-01-20,27.8,30.8,22.4,3.9,0.8,25.48,88.25,2.333333
2014-01-21,2.2,30.2,22.4,4.2,1.0,25.68,87.75,2.333333
2014-01-22,7.8,30.8,22.6,5.7,1.2,26.28,86.0,1.666667
2014-01-23,0.0,33.6,22.4,8.2,1.6,27.48,82.75,1.666667
2014-01-24,0.0,33.4,22.8,7.8,1.4,27.6,77.5,1.666667
2014-01-25,7.2,28.3,22.4,0.0,1.2,23.78,93.0,2.333333
2014-01-26,19.4,29.2,21.2,3.3,1.2,24.12,91.25,2.333333
2014-01-27,5.0,30.2,22.4,0.9,1.2,24.52,87.75,2.333333
2014-01-28,2.8,30.4,21.8,1.9,1.0,25.56,86.5,2.666667
2014-01-29,0.0,30.2,22.8,0.3,1.2,25.44,87.75,2.333333
2014-01-30,0.8,30.6,22.4,3.0,1.4,25.6,85.25,2.333333
2014-01-31,0.8,33.6,22.8,5.3,1.4,27.2,83.0,2.333333
2014-02-01,1.6,28.2,22.4,1.2,1.0,25.12,91.75,2.333333
