date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.6,22.8,9.4,2.5,27.6,76.0,1.4
2014-01-02,0.0,32.7,24.6,6.1,2.3,27.38,78.0,1.666667
2014-01-03,3.5,32.8,22.9,8.0,1.9,27.54,76.5,1.833333
2014-01-04,0.0,32.2,23.5,5.3,2.2,26.86,85.25,0.366667
2014-01-05,13.6,33.0,22.4,9.5,1.3,26.44,80.0,1.4
2014-01-06,5.9,32.4,22.4,7.1,1.6,26.6,88.0,0.7
2014-01-07,18.8,31.6,23.5,6.6,1.2,26.28,84.0,1.3
2014-01-08,0.2,32.3,23.5,5.7,1.1,26.22,86.75,0.4
2014-01-09,7.1,31.3,22.7,2.7,1.4,25.64,86.0,1.1
2014-01-10,26.8,31.0,21.8,3.0,1.4,25.18,88.5,0.333333
2014-01-11,9.8,32.5,22.7,6.2,1.2,27.0,81.25,1.266667
2014-01-12,75.5,27.0,22.6,0.0,1.7,24.12,92.75,0.0
2014-01-13,27.2,31.6,22.6,6.2,0.2,26.32,87.5,0.866667
2014-01-14,21.6,32.8,24.3,6.1,1.5,26.68,85.25,1.133333
2014-01-15,3.2,31.5,22.9,4.4,1.7,26.28,87.75,0.8
2014-01-16,19.6,31.8,22.7,5.1,1.3,26.24,88.75,0.6
2014-01-17,59.4,33.2,23.4,8.3,1.2,27.84,75.5,2.433333
2014-01-18,0.2,33.6,24.4,8.5,2.0,28.38,77.25,1.633333
2014-01-19,0.0,32.1,24.3,7.2,2.6,27.48,83.25,1.266667
2014-01-20,4.6,31.1,24.9,5.0,1.7,27.22,88.25,0.333333
2014-01-21,13.8,32.7,23.5,7.7,1.7,27.0,83.25,0.933333
2014-01-22,10.3,33.7,22.6,10.1,1.4,27.8,78.0,1.4
2014-01-23,1.0,33.7,23.1,8.2,2.6,26.96,83.75,1.5
2014-01-24,45.0,31.7,23.8,1.8,1.8,26.2,89.25,0.666667
2014-01-25,17.9,26.6,22.0,0.0,0.6,24.24,91.25,0.1
2014-01-26,1.3,30.5,22.9,3.8,0.7,26.1,82.0,1.266667
2014-01-27,0.0,28.8,23.8,0.0,1.7,25.96,90.0,0.43333299999999997
2014-01-28,3.2,31.6,23.0,2.0,1.0,26.0,83.75,1.7333330000000002
2014-01-29,1.6,29.6,23.0,2.8,1.4,25.92,91.0,0.9
2014-01-30,9.4,30.1,23.4,3.6,0.9,26.3,86.5,1.2
2014-01-31,6.4,30.9,23.4,4.9,1.2,26.24,87.0,0.8
2014-02-01,15.4,28.9,24.4,0.8,1.0,25.46,94.75,0.23333299999999998
2014-02-02,24.6,29.7,23.8,3.6,0.7,25.98,92.5,0.666667
2014-02-03,53.8,29.9,22.8,2.0,0.8,25.2,95.5,0.333333
2014-02-04,67.5,30.8,23.1,3.9,0.5,25.84,90.75,0.533333
2014-02-05,16.5,32.1,22.6,8.2,0.8,25.68,84.25,0.833333
2014-02-06,61.9,30.1,23.2,4.2,1.6,25.9,91.25,0.333333
2014-02-07,2.8,32.4,23.7,6.4,1.1,26.7,91.0,0.866667
2014-02-08,11.7,31.2,23.5,3.4,1.1,26.04,94.0,0.366667
2014-02-09,38.6,32.3,23.1,7.3,0.9,26.82,88.0,0.966667
2014-02-10,8.8,32.6,24.3,8.3,1.3,27.6,84.75,2.7
2014-02-11,8.8,30.3,23.6,4.2,1.6,26.32,90.75,1.033333
2014-02-12,19.8,31.0,23.7,2.6,1.1,25.98,91.5,1.1
2014-02-13,17.2,26.8,24.3,0.0,1.0,25.1,93.75,0.333333
2014-02-14,7.0,30.6,23.8,1.7,0.5,26.36,89.75,0.6
2014-02-15,5.4,30.6,23.3,2.1,1.1,25.5,95.0,1.066667
2014-02-16,7.0,30.0,23.3,0.8,0.9,25.32,92.25,0.4
2014-02-17,20.0,32.1,23.0,5.7,0.7,26.0,86.25,0.23333299999999998
2014-02-18,37.0,29.3,23.8,0.9,1.3,25.42,92.75,0.833333
2014-02-19,33.8,31.4,23.3,4.2,0.7,25.96,88.75,0.866667
2014-02-20,42.0,29.7,24.3,1.0,0.8,26.76,89.0,0.866667
2014-02-21,0.3,32.6,24.2,5.1,0.7,26.46,89.0,0.566667
2014-02-22,25.1,31.0,23.0,5.4,1.0,26.22,90.25,0.6
2014-02-23,14.2,31.4,23.5,2.8,1.2,26.34,90.5,0.6
2014-02-24,10.5,32.6,23.4,8.6,0.8,27.22,84.5,1.833333
