date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.2,23.5,9.5,2.3,28.8,74.0,2.666667
2014-01-02,0.0,36.0,23.3,8.7,3.0,28.82,74.25,2.666667
2014-01-03,0.6,31.7,22.7,5.4,3.2,27.02,79.75,3.0
2014-01-04,0.0,32.4,22.8,7.9,2.0,27.08,77.25,3.0
2014-01-05,0.0,34.3,23.0,8.3,2.6,28.42,76.75,3.0
2014-01-06,0.5,31.2,22.6,3.2,3.2,26.06,87.75,1.666667
2014-01-07,2.2,31.5,22.1,4.5,1.4,25.18,89.25,1.666667
2014-01-08,27.2,33.6,21.0,9.6,1.3,27.5,74.75,3.0
2014-01-09,4.4,33.6,22.6,9.6,2.8,27.1,73.0,3.0
2014-01-10,0.0,29.6,22.5,3.0,3.0,25.04,86.5,3.0
2014-01-11,17.4,31.5,21.8,4.9,1.4,25.12,84.5,2.333333
2014-01-12,6.6,27.2,22.5,0.2,1.7,24.24,91.75,1.666667
2014-01-13,2.0,30.9,21.3,2.3,1.2,25.92,81.75,2.666667
2014-01-14,0.3,32.8,21.0,4.5,2.0,25.04,84.5,2.666667
2014-01-15,9.4,26.9,21.7,0.0,1.9,24.36,90.25,2.0
2014-01-16,4.4,32.7,22.0,7.6,0.4,26.26,84.25,2.333333
2014-01-17,0.2,29.1,22.8,1.2,2.2,26.34,88.5,2.333333
2014-01-18,0.0,34.5,23.2,8.5,1.4,27.88,76.5,3.0
2014-01-19,0.0,34.3,23.2,6.8,2.7,28.24,74.5,2.666667
2014-01-20,0.4,28.8,22.6,1.1,2.6,25.38,89.0,2.666667
2014-01-21,10.2,31.4,22.1,2.1,1.0,25.08,87.5,1.666667
2014-01-22,20.2,29.4,22.0,0.0,0.9,25.58,88.75,2.0
2014-01-23,0.0,31.8,22.6,2.7,1.3,25.78,83.0,3.666667
2014-01-24,1.4,32.5,22.0,7.8,1.7,25.72,79.25,4.3333330000000005
2014-01-25,1.6,31.8,22.0,5.8,2.6,25.74,80.25,1.666667
2014-01-26,10.9,28.0,20.5,0.2,2.1,24.0,87.5,1.0
2014-01-27,1.4,30.3,20.0,2.6,1.4,23.84,90.5,2.666667
2014-01-28,28.2,28.6,19.8,0.2,1.2,24.2,84.75,2.666667
2014-01-29,0.0,32.9,22.6,4.8,1.6,27.08,77.75,2.666667
2014-01-30,1.2,31.3,21.0,4.4,2.9,25.26,81.25,2.333333
2014-01-31,0.0,33.0,21.5,4.6,1.6,25.52,81.75,3.666667
2014-02-01,38.5,32.1,21.0,5.2,1.9,25.72,85.75,3.0
2014-02-02,0.8,33.2,23.7,6.5,1.5,27.6,80.5,2.666667
2014-02-03,0.0,33.6,23.1,7.3,2.2,27.52,80.5,1.666667
2014-02-04,1.8,32.0,22.2,2.0,1.8,25.86,90.5,2.333333
2014-02-05,1.0,33.4,23.0,5.9,1.2,26.86,82.0,1.0
2014-02-06,0.6,30.5,21.9,3.2,1.9,24.94,92.5,2.333333
2014-02-07,35.2,31.2,22.4,5.0,1.0,26.38,83.0,2.333333
2014-02-08,0.4,29.4,23.0,2.2,1.7,26.06,89.5,1.9333330000000002
2014-02-09,0.0,33.0,22.1,5.6,1.1,25.4,84.75,1.666667
2014-02-10,3.7,33.2,22.1,6.8,1.9,26.32,84.75,2.666667
2014-02-11,5.1,31.0,21.9,3.6,1.9,25.28,89.75,2.333333
2014-02-12,1.4,30.0,22.0,1.1,1.4,25.08,86.75,3.0
2014-02-13,0.3,32.3,22.4,6.3,1.3,27.24,79.25,2.666667
2014-02-14,163.2,30.4,21.3,2.5,2.3,25.76,85.5,2.333333
2014-02-15,8.0,31.3,22.7,6.9,0.9,26.78,83.0,3.0
2014-02-16,16.3,27.7,20.8,0.0,1.6,23.68,96.0,3.0
2014-02-17,30.6,29.4,23.1,3.1,0.5,25.6,89.25,1.666667
2014-02-18,0.0,31.2,22.9,4.0,1.3,25.6,87.25,1.666667
2014-02-19,10.6,29.0,22.7,0.9,1.2,25.42,89.25,2.333333
2014-02-20,0.0,31.5,22.6,3.7,1.2,25.68,83.5,1.666667
2014-02-21,0.4,33.4,23.1,5.2,1.7,27.24,77.25,1.0
2014-02-22,21.6,28.8,22.0,0.9,2.4,25.22,88.5,2.333333
2014-02-23,0.0,31.6,23.0,1.5,1.2,26.9,81.5,2.333333
