date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.8,25.5,3.5,2.5,28.82,80.25,0.666667
2014-01-02,0.0,34.6,25.9,10.1,3.0,29.74,77.5,1.066667
2014-01-03,0.0,33.2,25.7,9.9,3.5,28.94,75.25,1.9333330000000002
2014-01-04,0.0,33.7,24.8,8.1,3.2,28.58,75.0,1.9333330000000002
2014-01-05,1.5,33.6,25.5,8.0,3.4,27.88,78.25,1.0
2014-01-06,0.0,33.4,24.5,6.0,3.6,27.86,72.25,1.0
2014-01-07,0.2,28.2,24.4,0.4,2.8,26.36,85.0,0.0
2014-01-08,3.2,33.4,23.9,2.6,1.3,26.26,87.75,0.666667
2014-01-09,47.4,33.2,23.3,5.9,1.4,26.54,83.75,0.1
2014-01-10,12.6,31.0,23.9,2.7,2.0,26.38,86.75,0.333333
2014-01-11,6.8,32.4,23.9,3.2,1.5,26.66,84.25,0.8
2014-01-12,6.9,31.8,23.1,2.8,2.2,25.4,90.75,0.333333
2014-01-13,12.4,29.9,22.4,0.4,1.1,25.9,84.5,0.0
2014-01-14,0.0,30.8,23.5,4.8,1.8,27.06,88.25,0.2
2014-01-15,10.0,33.2,23.6,9.4,1.7,26.88,78.25,1.0
2014-01-16,0.0,34.1,23.7,10.2,2.9,28.72,76.25,0.666667
2014-01-17,0.0,33.7,25.2,9.1,3.2,29.22,76.25,1.0
2014-01-18,0.0,32.8,25.7,5.9,3.2,28.42,80.0,1.5
2014-01-19,0.0,32.6,24.8,7.0,2.6,28.32,79.5,2.166667
2014-01-20,3.4,30.6,24.1,0.8,2.5,26.38,88.25,0.333333
2014-01-21,12.5,29.0,24.5,1.0,1.1,26.18,89.0,0.0
2014-01-22,3.0,31.1,23.5,2.5,0.9,25.8,88.75,0.0
2014-01-23,22.3,32.7,22.9,5.0,1.1,27.44,85.25,0.333333
2014-01-24,0.0,33.9,24.1,6.5,1.8,28.16,77.5,0.833333
2014-01-25,59.7,32.0,23.3,4.7,2.6,26.1,85.5,1.0
2014-01-26,22.3,29.4,22.6,3.4,1.6,25.68,85.75,1.0
2014-01-27,0.2,29.8,23.1,5.0,1.9,25.5,83.25,0.333333
2014-01-28,1.5,30.6,23.3,0.8,2.0,25.62,86.25,0.0
