date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.3,23.0,0.0,3.0,28.96,68.0,0.7
2014-01-02,0.2,32.9,23.0,0.0,3.6,27.84,78.25,1.233333
2014-01-03,18.7,32.7,20.8,0.0,2.1,25.66,79.0,1.333333
2014-01-04,2.2,31.7,22.2,0.0,2.1,26.7,82.75,1.466667
2014-01-05,2.6,32.8,22.9,0.0,2.5,27.86,75.5,1.366667
2014-01-06,0.0,33.0,23.3,0.0,1.7,27.84,74.25,1.566667
2014-01-07,24.2,31.0,21.2,0.0,2.5,25.96,80.0,1.166667
2014-01-08,0.0,32.9,23.8,0.0,1.9,26.74,79.25,1.066667
2014-01-09,1.4,30.1,21.7,0.0,2.4,25.48,83.25,1.533333
2014-01-10,11.5,30.3,22.0,0.0,1.4,26.14,80.25,0.966667
2014-01-11,8.8,32.2,21.3,0.0,1.8,26.78,80.25,0.633333
2014-01-12,31.7,27.8,21.2,0.0,2.0,24.76,85.25,0.933333
2014-01-13,0.0,31.7,21.8,0.0,1.6,26.8,80.25,0.933333
2014-01-14,1.9,31.9,22.0,0.0,1.5,26.94,80.0,0.866667
2014-01-15,8.6,28.2,21.4,0.0,2.4,24.24,87.5,1.2
2014-01-16,2.6,32.3,21.4,0.0,0.7,27.12,73.75,1.066667
2014-01-17,0.0,32.0,24.6,0.0,2.7,27.46,83.25,1.6
2014-01-18,3.6,32.5,23.3,0.0,1.8,27.9,79.25,1.133333
2014-01-19,0.0,32.7,23.8,0.0,2.3,27.88,80.5,1.8
2014-01-20,0.0,31.8,23.8,0.0,2.4,27.3,79.5,1.633333
2014-01-21,47.6,27.8,21.4,0.0,2.2,24.28,93.5,1.0
2014-01-22,0.8,31.2,21.5,0.0,0.3,25.06,86.0,1.633333
2014-01-23,5.3,32.7,22.2,0.0,1.4,27.36,77.25,1.166667
2014-01-24,0.0,31.2,23.2,0.0,2.3,25.94,82.5,2.766667
2014-01-25,6.4,28.7,21.6,0.0,1.9,24.9,84.5,1.233333
2014-01-26,3.5,30.5,20.6,0.0,1.3,24.58,80.75,1.7333330000000002
2014-01-27,25.8,30.2,20.5,0.0,1.6,23.5,85.75,1.433333
2014-01-28,28.2,25.7,20.5,0.0,1.0,23.5,90.0,0.966667
2014-01-29,0.0,32.3,21.5,0.0,0.6,25.68,83.75,0.833333
2014-01-30,17.6,29.8,21.3,0.0,1.7,25.18,84.75,0.933333
2014-01-31,0.0,32.5,22.3,0.0,1.6,27.1,81.25,1.1
2014-02-01,19.6,28.0,21.0,0.0,2.1,24.58,90.5,0.43333299999999997
2014-02-02,0.0,32.9,21.8,0.0,0.8,27.16,83.0,1.133333
