date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.8,22.4,3.8,1.7,0.0,0.0,1.54332
2014-01-02,0.0,30.8,22.6,3.8,1.7,0.0,0.0,2.0
2014-01-03,0.0,32.4,21.8,2.7,1.5,0.0,0.0,1.5
2014-01-04,0.0,31.8,22.4,5.2,1.9,0.0,0.0,1.5
2014-01-05,0.0,32.4,22.2,3.5,0.9,0.0,0.0,1.5
2014-01-06,0.0,31.9,22.0,2.0,1.1,0.0,0.0,1.5
2014-01-07,0.0,32.1,22.6,0.7,1.8,0.0,0.0,1.5
2014-01-08,0.0,32.4,22.4,2.8,0.9,0.0,0.0,1.0
2014-01-09,0.0,33.3,22.2,2.8,1.7,0.0,0.0,1.5
2014-01-10,0.0,30.8,22.0,2.0,1.4,0.0,0.0,1.5
2014-01-11,0.0,32.6,22.0,0.0,1.0,0.0,0.0,1.0
2014-01-12,0.0,32.4,21.8,0.0,1.4,0.0,0.0,1.5
2014-01-13,0.0,32.9,22.1,1.0,2.6,0.0,0.0,1.5
2014-01-14,32.8,33.1,19.8,3.0,0.9,0.0,0.0,1.5
2014-01-15,0.0,32.4,21.6,1.6,1.9,0.0,0.0,1.5
2014-01-16,0.0,32.1,22.0,4.1,1.6,0.0,0.0,2.0
2014-01-17,0.0,33.4,21.8,5.8,1.4,0.0,0.0,1.5
2014-01-18,0.0,33.4,21.4,0.0,1.5,0.0,0.0,2.0
2014-01-19,0.0,32.8,22.6,2.4,1.0,0.0,0.0,1.5
2014-01-20,0.0,29.4,23.6,0.0,1.4,0.0,0.0,1.5
2014-01-21,4.4,32.4,22.8,0.3,1.6,0.0,0.0,1.0
2014-01-22,0.8,30.6,21.2,0.0,1.1,0.0,0.0,2.0
2014-01-23,28.6,31.2,21.4,1.5,1.2,0.0,0.0,1.5
2014-01-24,0.0,30.7,22.4,0.6,1.0,0.0,0.0,1.0
2014-01-25,44.0,30.8,21.8,0.6,1.4,0.0,0.0,1.5
2014-01-26,3.3,31.4,21.8,0.0,1.0,0.0,0.0,1.5
2014-01-27,36.0,29.4,20.8,0.0,1.2,0.0,0.0,1.0
2014-01-28,2.8,30.0,20.4,0.0,1.4,0.0,0.0,1.5
2014-01-29,0.0,29.8,21.0,0.7,1.6,0.0,0.0,1.0
2014-01-30,8.8,31.6,21.6,1.3,1.3,0.0,0.0,1.0
2014-01-31,2.8,30.4,22.0,1.0,1.8,0.0,0.0,1.0
2014-02-01,40.6,32.8,21.0,0.0,2.1,0.0,0.0,1.0
2014-02-02,0.0,30.6,22.4,0.6,1.8,0.0,0.0,1.5
2014-02-03,42.4,29.4,22.3,0.0,1.6,0.0,0.0,1.0
2014-02-04,16.8,31.2,21.6,2.3,1.2,0.0,0.0,1.5
2014-02-05,0.8,30.8,22.3,0.0,1.6,0.0,0.0,1.0
2014-02-06,0.0,31.4,22.6,2.9,1.4,0.0,0.0,1.5
2014-02-07,38.4,30.4,21.4,3.6,2.9,0.0,0.0,1.5
2014-02-08,35.4,32.6,21.4,0.0,1.3,0.0,0.0,1.5
2014-02-09,5.8,32.6,21.2,0.0,1.5,0.0,0.0,1.0
2014-02-10,0.0,31.6,21.8,0.7,1.2,0.0,0.0,1.5
2014-02-11,0.0,31.8,22.0,1.4,1.6,0.0,0.0,1.5
2014-02-12,51.2,30.6,21.2,0.0,1.2,0.0,0.0,1.0
2014-02-13,6.4,31.2,22.4,2.4,1.6,0.0,0.0,1.0
2014-02-14,0.0,29.8,22.6,0.2,0.2,0.0,0.0,1.0
2014-02-15,2.8,28.8,22.3,0.0,1.8,0.0,0.0,1.5
2014-02-16,5.6,30.2,22.4,1.0,1.4,0.0,0.0,1.5
2014-02-17,26.6,27.0,22.2,1.5,1.5,0.0,0.0,1.0
2014-02-18,4.8,31.4,23.0,1.6,1.2,0.0,0.0,1.5
2014-02-19,79.8,29.8,21.4,0.1,0.7,0.0,0.0,1.0
2014-02-20,6.2,32.2,22.0,1.6,1.0,0.0,0.0,1.0
2014-02-21,0.0,32.4,22.6,1.6,1.1,0.0,0.0,1.5
2014-02-22,3.2,32.2,22.6,0.0,1.6,0.0,0.0,1.0
2014-02-23,0.0,31.8,23.2,1.1,1.1,0.0,0.0,1.0
2014-02-24,0.0,33.6,23.2,0.0,1.8,0.0,0.0,1.5
2014-02-25,0.0,33.2,23.2,0.0,1.4,0.0,0.0,1.0
2014-02-26,0.0,33.8,23.7,0.0,2.2,0.0,0.0,1.0
2014-02-27,0.0,31.8,23.5,0.0,2.0,0.0,0.0,1.0
2014-02-28,4.2,30.1,22.8,0.0,1.8,0.0,0.0,1.5
2014-03-01,2.8,31.4,22.4,0.0,1.1,0.0,0.0,1.0
2014-03-02,0.0,31.6,22.9,0.0,2.1,0.0,0.0,1.5
2014-03-03,8.8,31.4,21.4,0.0,2.2,0.0,0.0,1.5
2014-03-04,5.4,30.0,22.4,0.0,1.0,0.0,0.0,1.0
2014-03-05,5.6,30.4,22.8,0.0,0.8,0.0,0.0,1.0
2014-03-06,42.6,27.4,22.3,0.0,0.8,0.0,0.0,1.5
2014-03-07,28.6,31.2,21.4,0.0,1.4,0.0,0.0,1.0
2014-03-08,0.0,31.8,23.2,0.0,2.0,0.0,0.0,0.666667
2014-03-09,0.0,31.2,21.8,0.0,2.4,0.0,0.0,1.0
2014-03-10,42.6,30.4,22.2,0.0,0.9,0.0,0.0,1.5
2014-03-11,32.2,29.4,22.2,0.0,1.4,0.0,0.0,1.5
2014-03-12,46.8,29.6,21.4,0.0,1.8,0.0,0.0,1.0
2014-03-13,1.2,30.6,23.2,0.0,1.6,0.0,0.0,1.5
2014-03-14,0.0,31.4,22.8,0.0,1.1,0.0,0.0,0.666667
2014-03-15,0.0,28.4,21.8,0.0,1.3,0.0,0.0,1.0
2014-03-16,52.2,30.4,21.4,0.0,1.5,0.0,0.0,0.85
2014-03-17,1.8,31.6,22.0,0.0,2.1,0.0,0.0,1.5
2014-03-18,5.8,30.4,23.0,0.0,1.7,0.0,0.0,1.5
2014-03-19,0.0,30.6,22.3,0.0,2.0,0.0,0.0,1.0
2014-03-20,4.4,32.0,23.0,0.0,1.2,0.0,0.0,1.0
2014-03-21,0.0,32.6,23.7,0.0,2.2,0.0,0.0,1.0
2014-03-22,0.0,32.1,22.8,0.0,1.8,0.0,0.0,1.55
2014-03-23,0.0,31.6,23.5,0.0,1.8,0.0,0.0,1.5
2014-03-24,13.8,30.4,22.8,0.0,1.6,0.0,0.0,1.5
2014-03-25,0.0,31.4,23.2,0.0,1.0,0.0,0.0,1.5
2014-03-26,0.0,31.4,22.8,0.0,1.2,0.0,0.0,1.5
2014-03-27,0.0,32.4,22.8,0.0,0.9,0.0,0.0,1.0
