date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.3,25.2,7.8,1.0,28.1,77.75,3.0
2014-01-02,0.0,31.5,25.7,9.6,0.9,28.32,76.0,3.3666669999999996
2014-01-03,0.0,30.4,25.2,7.9,0.9,27.8,78.75,3.266667
2014-01-04,1.0,31.0,24.9,8.3,0.7,27.98,77.75,3.4666669999999997
2014-01-05,0.0,31.2,25.1,10.4,0.7,27.98,77.25,2.9
2014-01-06,0.0,31.3,25.3,8.9,0.7,27.76,83.0,3.0333330000000003
2014-01-07,1.0,30.9,21.7,4.9,1.0,25.32,92.25,2.3
2014-01-08,5.8,31.3,21.8,3.7,1.1,26.16,86.0,0.866667
2014-01-09,25.8,29.0,21.4,0.7,0.3,25.0,89.0,0.0
2014-01-10,15.6,29.1,20.5,2.2,0.1,24.56,92.0,0.7
2014-01-11,31.6,28.6,22.0,0.1,0.5,25.84,88.0,1.6
2014-01-12,1.4,27.6,23.7,0.0,2.1,26.12,87.0,1.533333
2014-01-13,2.8,30.0,24.0,3.9,0.9,26.98,87.0,1.2
2014-01-14,1.0,30.4,24.7,6.4,2.7,27.36,83.75,2.4666669999999997
2014-01-15,0.0,30.8,24.0,10.2,1.9,27.48,75.5,1.6
2014-01-16,0.0,30.7,23.6,6.8,3.1,27.6,80.0,3.0
2014-01-17,0.0,31.1,25.7,9.0,3.0,28.36,78.5,4.133333
2014-01-18,0.0,31.2,25.9,10.2,3.6,28.46,77.25,3.8666669999999996
2014-01-19,3.9,30.0,24.0,6.0,1.9,27.02,81.75,2.8
2014-01-20,39.6,29.1,22.4,1.6,1.0,25.98,88.75,1.8
2014-01-21,8.3,30.5,22.6,9.4,1.7,27.3,78.0,3.666667
2014-01-22,0.0,30.8,25.5,10.2,3.8,27.98,78.25,3.066667
2014-01-23,0.0,30.9,25.3,10.3,3.2,28.32,79.25,2.8666669999999996
2014-01-24,1.2,30.6,20.9,5.6,1.7,24.62,92.5,1.633333
2014-01-25,26.9,27.6,20.2,0.0,0.1,24.38,87.0,1.566667
