date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-02,0.0,32.2,24.6,10.0,4.0,27.96,78.25,1.15
2014-01-17,2.0,31.9,24.6,9.0,4.0,27.96,82.25,0.766667
2014-01-18,0.0,32.1,24.5,10.0,4.0,27.8,78.75,2.0
2014-01-19,0.0,30.8,24.0,8.1,4.2,26.88,83.0,1.333333
2014-01-20,5.4,30.6,24.4,7.2,4.0,26.92,85.0,0.666667
2014-01-21,0.0,31.3,23.8,9.7,2.9,27.1,78.75,1.4
2014-01-22,0.0,32.1,22.5,10.2,4.6,27.16,77.25,1.466667
2014-01-23,0.0,33.1,23.6,8.0,4.8,27.78,80.75,1.2
2014-01-24,0.0,31.1,24.4,0.9,4.0,26.62,89.25,0.0
2014-01-25,11.5,28.8,20.7,1.8,2.2,24.58,89.25,1.066667
2014-01-26,3.3,28.4,23.2,1.4,1.9,25.32,87.75,0.0
2014-01-27,2.7,29.6,22.1,1.4,2.2,25.1,86.5,1.4
2014-01-28,0.5,30.4,22.1,3.5,2.5,25.94,83.25,1.0
2014-01-29,0.0,29.0,22.9,3.2,2.8,25.34,91.75,0.733333
2014-01-30,14.6,30.8,23.2,5.3,1.6,26.04,87.75,0.733333
2014-01-31,0.0,30.8,24.0,4.3,3.1,26.16,86.75,0.0
2014-02-01,14.3,27.6,24.0,0.0,2.2,25.4,95.0,0.0
2014-02-02,5.1,31.0,24.2,6.5,0.7,26.64,87.5,0.666667
2014-02-03,0.0,28.0,24.4,1.0,2.6,25.76,92.0,0.0
2014-02-04,21.8,30.6,24.0,4.9,0.8,26.28,95.5,0.0
2014-02-05,16.8,30.6,23.6,5.0,1.4,25.56,95.25,0.0
2014-02-06,19.5,26.4,23.4,0.0,1.5,24.68,96.5,0.333333
2014-02-07,37.2,31.0,23.2,7.5,0.5,26.32,84.75,0.566667
2014-02-08,5.2,30.0,23.5,4.7,3.0,26.26,88.0,0.933333
2014-02-09,3.2,30.0,23.8,4.7,2.5,26.4,88.0,0.333333
2014-02-10,0.0,30.8,24.0,6.8,0.8,26.4,89.0,1.7333330000000002
2014-02-11,0.4,30.2,23.4,3.4,2.9,26.2,92.5,0.333333
2014-02-12,26.8,29.0,23.4,2.4,1.4,25.96,89.75,0.733333
2014-02-13,57.4,28.4,23.8,0.5,1.3,24.88,93.5,0.0
2014-02-14,14.5,29.4,23.8,1.6,0.8,25.32,92.5,0.0
2014-02-15,8.4,27.6,23.6,2.3,1.4,25.48,91.0,0.866667
2014-02-16,43.0,28.6,23.6,1.1,1.1,25.08,91.25,0.466667
2014-02-17,3.0,28.2,23.6,1.2,1.5,24.88,96.5,0.0
2014-02-18,54.2,27.2,23.2,0.0,0.7,24.48,96.75,0.0
2014-02-19,38.0,30.6,23.4,3.8,0.6,26.0,90.0,1.1
2014-02-20,23.3,28.8,22.9,0.3,1.5,25.02,93.25,0.666667
2014-02-21,1.9,29.2,23.6,1.5,1.5,25.6,89.5,0.8
2014-02-22,8.4,30.0,23.2,3.1,1.3,26.24,91.5,0.0
2014-02-23,8.4,32.1,23.8,6.1,1.5,27.34,84.25,1.266667
2014-02-24,0.0,32.1,24.4,6.4,3.1,27.38,85.0,0.866667
2014-02-25,0.0,30.8,24.0,5.6,3.1,26.92,85.0,1.2
2014-02-26,4.0,31.1,24.2,7.0,2.6,27.06,84.75,1.133333
2014-02-27,30.4,31.1,22.5,5.9,2.7,26.6,85.75,0.933333
2014-02-28,0.0,31.1,24.4,4.4,2.7,26.74,83.5,0.733333
2014-03-01,7.6,31.3,24.4,4.0,2.5,26.98,89.75,0.866667
2014-03-02,0.1,28.2,24.4,2.4,2.2,25.76,92.75,0.666667
2014-03-03,37.0,30.0,24.2,2.3,0.8,26.04,91.5,0.4
2014-03-04,18.7,28.4,23.6,0.9,1.2,25.24,93.75,0.4
2014-03-05,3.4,27.8,24.0,2.4,0.9,25.48,94.75,0.0
2014-03-06,24.7,29.8,23.4,3.3,0.6,26.08,91.25,0.333333
2014-03-07,0.0,30.0,23.8,8.9,1.7,26.24,86.25,0.533333
