date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.4,24.3,7.7,3.8,28.98,69.5,0.9
2014-01-02,5.8,32.0,24.7,1.9,3.6,27.6,80.0,1.3
2014-01-03,0.1,33.9,24.0,9.7,2.3,28.58,70.5,1.533333
2014-01-04,53.3,30.6,22.8,1.5,3.6,25.74,95.0,0.533333
2014-01-05,29.3,33.6,22.8,9.5,1.5,27.52,76.25,0.8
2014-01-06,0.0,32.9,23.6,5.5,3.0,27.86,75.5,1.4
2014-01-07,2.4,30.2,21.9,0.0,2.8,25.7,80.25,0.8
2014-01-08,0.0,32.8,22.6,5.6,2.1,26.4,77.0,1.533333
2014-01-09,0.8,30.1,22.4,2.5,2.3,26.06,81.0,1.5
2014-01-10,0.4,32.6,23.0,3.2,2.0,26.84,79.25,1.0
2014-01-11,10.2,31.6,22.6,3.9,2.2,26.8,82.0,0.8
2014-01-12,49.4,27.6,21.8,0.0,2.1,24.12,92.0,1.433333
2014-01-13,3.0,31.1,22.6,2.3,0.7,26.7,84.75,0.533333
2014-01-14,0.0,33.7,24.0,4.1,1.7,27.86,80.75,0.8
2014-01-15,20.7,28.4,21.4,0.2,2.2,24.5,89.75,0.5
2014-01-16,0.6,31.8,21.8,6.8,0.9,26.64,86.25,0.4
2014-01-17,5.8,33.6,23.4,8.9,1.7,28.2,79.0,1.433333
2014-01-18,2.4,32.4,23.7,6.8,2.2,27.74,81.75,0.766667
2014-01-19,43.8,32.5,22.8,7.8,2.0,27.82,81.5,1.0
2014-01-20,3.2,32.6,24.7,6.0,2.0,27.82,82.0,1.0
2014-01-21,0.8,32.4,23.4,3.3,2.2,27.6,82.5,0.8
2014-01-22,2.2,33.2,23.3,8.2,1.7,27.78,76.5,1.2
2014-01-23,0.0,34.3,24.5,7.8,2.5,28.6,75.0,1.433333
2014-01-24,3.0,33.2,23.4,4.6,2.7,27.72,79.0,0.8
2014-01-25,89.0,28.8,20.8,0.0,1.9,23.86,94.75,1.4
2014-01-26,1.4,31.4,20.6,5.0,0.6,25.84,79.5,1.666667
2014-01-27,1.6,26.8,21.6,0.0,2.2,24.3,90.25,0.9
2014-01-28,40.5,29.5,21.5,0.9,0.8,25.24,85.25,0.9
2014-01-29,0.0,31.3,22.5,1.2,1.4,26.16,82.0,0.766667
2014-01-30,1.9,32.1,22.6,4.2,1.8,26.68,82.0,1.0
2014-01-31,77.2,31.6,20.6,3.9,1.6,26.08,81.5,0.5
2014-02-01,27.7,29.0,22.2,0.6,1.5,25.62,89.25,1.2
2014-02-02,0.1,33.2,22.4,7.9,1.1,27.54,78.25,0.9
2014-02-03,50.0,28.0,20.6,0.3,1.9,24.32,91.5,1.333333
2014-02-04,3.0,32.0,21.4,7.4,1.0,26.64,83.25,1.7333330000000002
2014-02-05,20.8,32.3,21.4,7.2,1.4,25.02,92.0,1.7666669999999998
2014-02-06,8.0,30.8,23.2,1.1,1.5,26.28,90.75,1.5
2014-02-07,4.1,31.0,22.4,4.4,1.1,26.88,84.25,0.0
2014-02-08,15.4,32.4,21.6,7.3,1.5,24.58,91.5,1.633333
2014-02-09,46.8,30.3,21.6,5.2,1.8,26.1,88.0,0.8
2014-02-10,1.2,32.0,23.7,5.8,1.5,26.54,88.75,1.333333
2014-02-11,20.1,32.0,23.0,4.7,1.8,26.22,91.75,1.466667
2014-02-12,18.1,29.8,23.0,1.1,1.6,26.2,88.5,0.0
2014-02-13,28.4,30.6,22.2,2.6,1.3,25.74,88.75,0.666667
2014-02-14,0.0,31.0,23.2,3.9,1.7,26.24,89.75,0.6
2014-02-15,18.7,29.3,23.2,0.3,1.3,25.5,93.0,0.533333
2014-02-16,2.3,29.9,22.8,0.0,1.2,26.26,84.75,1.066667
2014-02-17,4.0,31.0,22.7,4.4,1.6,26.66,81.5,1.2
2014-02-18,0.1,32.0,23.4,4.4,2.2,25.84,87.5,1.7666669999999998
2014-02-19,7.6,31.4,22.6,5.2,1.9,26.86,84.25,1.533333
2014-02-20,50.2,30.6,22.7,1.6,1.4,26.38,88.5,1.5
2014-02-21,22.0,32.6,21.8,8.7,1.7,25.56,93.0,1.6
2014-02-22,4.8,31.4,23.1,2.4,2.1,27.3,83.5,1.5
2014-02-23,7.2,32.4,22.4,4.4,1.5,27.32,82.0,0.933333
2014-02-24,0.0,33.0,23.8,6.6,2.7,27.72,72.5,1.333333
2014-02-25,12.2,32.1,22.8,5.6,2.0,25.62,93.0,1.833333
2014-02-26,28.0,31.8,22.4,4.9,1.7,26.76,86.0,0.5
2014-02-27,32.2,30.4,21.6,1.5,1.6,25.76,84.0,1.066667
2014-02-28,0.2,33.1,22.4,6.1,5.8,26.66,83.75,0.6
2014-03-01,4.9,32.4,23.4,4.8,2.0,27.22,81.5,1.066667
2014-03-02,14.5,30.6,23.0,3.8,1.9,26.38,84.75,0.766667
2014-03-03,1.2,31.8,23.2,2.5,1.4,25.98,87.25,1.4
2014-03-04,10.5,32.0,22.6,4.9,1.6,25.36,90.25,1.166667
2014-03-05,18.4,32.0,22.8,3.8,1.3,25.6,91.5,1.166667
2014-03-06,9.2,29.6,23.1,0.5,1.3,26.0,87.25,1.0
2014-03-07,1.9,32.4,22.6,6.0,1.1,27.2,82.0,1.2
2014-03-08,3.2,28.6,22.4,0.1,1.9,25.2,95.75,1.0
2014-03-09,40.4,31.5,22.4,3.7,0.7,26.74,82.25,1.033333
2014-03-10,9.6,32.0,22.8,5.4,1.8,26.94,84.75,0.0
2014-03-11,3.0,31.8,22.8,4.3,1.9,25.58,90.5,1.633333
2014-03-12,39.4,30.6,22.7,2.4,1.3,25.78,88.75,0.6
2014-03-13,0.1,30.8,23.7,0.3,1.1,27.16,84.0,0.4
2014-03-14,0.0,33.0,24.7,8.8,1.4,27.08,84.25,1.7666669999999998
2014-03-15,14.4,31.1,22.9,4.3,2.2,26.86,83.0,1.9333330000000002
2014-03-16,46.4,31.2,21.6,3.1,1.4,25.88,84.25,0.0
2014-03-17,0.0,31.7,23.2,5.4,1.8,25.74,89.75,1.666667
2014-03-18,9.4,32.0,22.6,2.5,1.8,25.72,90.5,1.566667
2014-03-19,24.2,32.4,22.6,5.4,1.3,25.52,91.0,1.7
2014-03-20,36.2,31.1,22.4,3.8,1.5,26.34,90.25,0.6
2014-03-21,3.6,31.8,23.4,5.4,1.3,27.2,84.75,1.533333
2014-03-22,11.4,32.6,23.2,4.6,1.5,27.72,84.25,1.3
2014-03-23,0.0,32.6,24.3,4.6,1.8,28.18,82.0,1.133333
2014-03-24,0.6,32.6,23.5,6.1,2.0,27.54,79.5,0.8
2014-03-25,5.0,31.0,23.6,1.9,2.1,26.72,84.75,0.0
2014-03-26,0.0,32.4,23.0,6.8,2.1,26.08,96.25,0.8
2014-03-27,55.4,32.2,23.0,8.8,1.6,27.1,82.5,0.9
2014-03-28,0.0,32.0,24.0,3.9,2.1,27.28,82.75,1.3
2014-03-29,2.7,30.6,23.0,1.4,1.7,25.96,87.0,1.566667
2014-03-30,4.6,32.2,23.0,8.8,1.3,27.3,81.25,1.3
2014-03-31,1.0,30.3,22.8,2.1,2.0,25.42,95.75,1.7666669999999998
2014-04-01,34.6,32.3,22.4,6.8,1.0,25.74,90.25,1.066667
2014-04-02,34.4,30.4,22.6,6.2,1.4,24.92,97.0,1.566667
2014-04-03,61.8,30.8,22.2,5.6,1.1,26.36,85.0,1.2
2014-04-04,32.0,31.4,21.7,4.1,1.4,26.18,88.25,0.4
2014-04-05,0.0,33.0,23.1,9.0,1.6,27.58,81.5,1.4
2014-04-06,0.0,33.5,23.4,9.0,3.8,28.34,76.75,0.8
2014-04-07,0.7,31.5,24.3,5.9,2.5,27.72,84.25,0.933333
2014-04-08,2.6,33.4,23.9,7.7,1.9,26.62,86.75,1.566667
2014-04-09,7.8,32.6,23.0,7.1,1.9,25.84,88.25,1.566667
2014-04-10,17.8,29.9,22.8,3.5,1.5,25.06,97.5,0.9
2014-04-11,48.0,31.1,22.3,5.1,0.8,26.58,86.25,0.0
2014-04-12,1.0,32.2,23.7,9.0,1.6,26.82,86.75,1.433333
2014-04-13,4.4,31.6,23.6,4.8,1.8,26.64,87.75,1.0
2014-04-14,14.1,33.0,23.6,8.3,1.0,27.36,82.25,1.7333330000000002
2014-04-15,0.8,33.2,23.5,7.9,1.7,27.98,80.0,1.0
2014-04-16,0.0,32.6,23.5,7.9,2.1,27.66,80.5,1.333333
2014-04-17,15.8,31.3,22.6,2.3,1.8,26.14,90.5,1.366667
2014-04-18,22.0,31.8,22.9,4.6,1.2,25.66,92.25,1.533333
2014-04-19,26.0,30.8,22.8,5.7,1.2,25.8,93.75,0.933333
2014-04-20,26.8,30.9,22.8,7.3,1.2,25.7,90.75,1.4
2014-04-21,55.3,31.0,22.5,2.7,1.2,25.82,91.25,0.0
2014-04-22,2.9,32.4,23.4,7.8,1.1,27.08,81.5,0.933333
2014-04-23,1.0,32.5,23.0,6.5,1.7,25.74,90.25,1.0
2014-04-24,16.5,33.0,23.0,7.8,1.7,27.5,82.75,1.066667
2014-04-25,11.6,31.2,24.0,0.7,1.6,26.8,87.0,0.5
2014-04-26,0.2,32.6,23.0,6.0,1.3,27.2,83.5,0.533333
2014-04-27,21.1,31.0,23.0,3.4,1.7,25.28,93.0,0.8
2014-04-28,86.6,30.5,22.6,4.5,1.0,26.3,88.0,1.1
2014-04-29,0.0,31.3,24.3,4.4,1.6,26.96,88.0,0.933333
2014-04-30,0.4,32.0,24.7,6.1,1.3,28.26,80.5,0.8
2014-05-01,0.0,33.4,25.2,8.3,1.9,28.92,76.0,1.4
2014-05-02,10.2,31.2,23.9,0.1,2.2,27.34,85.75,0.8
2014-05-03,10.9,31.0,24.2,4.9,1.5,27.08,87.0,1.233333
2014-05-04,1.2,31.2,24.5,4.1,1.8,27.18,88.5,1.3
2014-05-05,7.4,33.7,23.6,8.3,1.4,26.68,89.0,1.7
2014-05-06,30.1,32.1,22.8,7.1,1.8,27.38,81.5,1.3
2014-05-07,2.6,32.2,23.0,8.2,2.0,26.9,82.0,0.8
2014-05-08,67.8,28.7,23.2,0.3,1.8,25.42,91.75,1.433333
2014-05-09,8.3,31.8,23.0,4.5,1.0,27.08,84.0,1.166667
2014-05-10,0.0,30.6,24.3,1.9,1.8,26.9,87.5,1.4
2014-05-11,0.0,31.8,24.2,6.3,1.6,27.86,82.5,0.8
2014-05-12,0.0,32.6,23.4,8.3,2.1,27.64,77.5,1.433333
2014-05-13,0.0,31.8,23.8,3.5,2.1,27.12,80.75,1.4
2014-05-14,0.6,32.8,24.4,8.2,2.0,26.92,87.75,0.5
2014-05-15,0.0,33.5,24.7,8.0,2.4,28.48,82.5,0.4
2014-05-16,0.0,32.8,24.0,6.8,2.4,26.52,88.5,1.7333330000000002
2014-05-17,28.4,32.2,22.8,5.6,1.7,27.2,82.75,0.8
