date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.4,29.2,20.9,7.6,3.6,23.62,77.0,4.033333
2014-01-02,0.0,30.0,20.9,7.7,5.8,23.54,77.5,3.9666669999999997
2014-01-03,0.1,29.8,20.5,7.8,5.3,23.22,71.25,3.666667
2014-01-04,0.0,30.4,19.5,7.7,6.4,23.58,77.5,2.766667
2014-01-05,0.4,28.8,20.1,4.5,4.0,23.22,77.5,3.0
2014-01-06,0.8,27.5,19.9,1.5,4.3,21.96,86.75,3.1333330000000004
2014-01-07,0.3,27.8,20.2,5.3,2.4,23.0,76.5,4.2
2014-01-08,0.1,28.9,19.9,6.1,5.1,23.32,73.75,3.433333
2014-01-09,0.0,26.6,20.1,2.5,4.0,22.78,87.25,2.1333330000000004
2014-01-10,13.0,26.7,20.3,4.3,1.0,22.52,84.25,4.2
2014-01-11,0.1,24.8,20.2,1.7,3.0,21.68,89.75,3.1333330000000004
2014-01-12,10.4,28.0,19.7,6.9,0.9,22.7,81.5,4.0
2014-01-13,4.9,26.2,19.8,3.3,2.7,22.12,91.5,3.1333330000000004
2014-01-14,1.3,28.0,19.1,5.2,2.1,22.98,83.75,4.0
2014-01-15,0.1,29.4,20.7,8.8,4.0,23.42,78.0,3.3
2014-01-16,0.1,29.4,20.1,8.8,4.2,23.26,80.25,2.0
2014-01-17,0.0,29.2,20.9,6.5,3.8,23.86,83.75,1.8
2014-01-18,0.0,29.4,21.3,8.2,3.0,24.06,82.5,2.566667
2014-01-19,0.4,28.0,21.1,5.6,2.8,23.18,87.25,2.9666669999999997
2014-01-20,0.2,28.2,20.7,7.7,2.5,23.06,79.25,2.833333
2014-01-21,0.0,29.2,20.4,8.5,3.0,23.48,79.5,4.366667
2014-01-22,0.0,29.2,20.4,5.0,3.7,23.12,73.75,4.2
2014-01-23,0.0,30.6,20.5,7.5,5.2,24.1,74.75,4.866667
2014-01-24,0.0,29.9,20.5,9.6,5.3,23.52,73.0,6.533333
2014-01-25,0.0,29.9,20.6,8.9,6.6,23.94,74.5,5.566667
2014-01-26,0.5,30.1,20.9,8.1,5.0,23.92,77.0,5.0
2014-01-27,0.4,29.2,21.1,7.4,4.5,23.62,78.0,4.0
2014-01-28,0.0,29.6,20.5,9.7,5.4,23.46,73.5,3.0
2014-01-29,0.6,28.8,20.7,5.8,6.8,23.3,78.5,3.4666669999999997
2014-01-30,0.0,27.0,20.3,0.2,5.8,22.74,85.75,2.5333330000000003
2014-01-31,0.7,29.6,20.1,9.1,1.6,23.62,78.5,3.1333330000000004
2014-02-01,0.0,30.0,20.1,9.6,5.3,23.66,75.5,3.666667
2014-02-02,0.0,25.2,21.1,1.3,4.9,22.5,90.0,3.3
2014-02-03,1.6,24.4,20.1,0.5,0.6,21.54,93.0,2.333333
2014-02-04,39.1,28.1,19.7,8.3,0.3,22.92,79.75,5.133333
2014-02-05,0.1,27.8,20.3,8.5,3.2,22.86,77.75,4.5
2014-02-06,3.6,26.6,19.8,4.4,3.7,22.12,89.0,2.833333
2014-02-07,0.5,26.4,20.5,4.8,1.6,22.82,85.75,3.9
2014-02-08,0.8,27.6,21.1,5.2,1.8,23.02,87.5,5.8333330000000005
2014-02-09,0.1,27.3,21.1,3.3,2.4,23.16,86.0,3.9
2014-02-10,6.5,28.8,20.5,8.3,1.5,23.34,86.5,3.233333
2014-02-11,4.6,27.8,21.1,6.0,2.3,23.02,87.75,3.6333330000000004
2014-02-12,0.4,28.4,20.7,7.0,3.0,22.9,85.25,2.766667
2014-02-13,0.0,28.6,20.1,7.7,2.6,23.26,85.25,2.3666669999999996
2014-02-14,1.6,28.0,20.3,4.9,2.5,23.18,86.25,1.433333
2014-02-15,0.0,28.6,21.5,5.7,2.3,23.58,91.25,1.9666669999999997
2014-02-16,0.2,28.0,20.9,3.5,1.9,23.1,91.0,2.833333
2014-02-17,11.1,28.0,20.1,4.7,1.5,22.94,86.75,1.2
2014-02-18,79.8,28.2,19.9,7.5,1.8,25.54,87.0,2.9
2014-02-19,0.0,26.6,21.3,2.2,1.8,22.98,89.25,2.933333
2014-02-20,0.6,28.2,21.9,6.1,1.4,23.74,84.0,3.166667
2014-02-21,0.4,27.6,21.4,1.6,3.1,23.12,81.75,4.233333
2014-02-22,1.4,27.6,20.7,4.4,3.6,22.94,86.75,4.3333330000000005
2014-02-23,1.4,26.2,20.1,1.6,2.7,22.54,89.25,2.8666669999999996
2014-02-24,0.0,25.6,21.5,2.1,2.1,22.82,89.75,3.433333
2014-02-25,2.8,27.8,19.7,8.8,0.8,22.78,84.25,3.0
2014-02-26,0.0,29.4,20.1,8.1,3.6,23.26,83.75,2.933333
2014-02-27,0.0,28.0,19.5,7.4,3.2,22.78,83.5,1.8
2014-02-28,0.0,27.6,20.1,3.4,2.7,22.78,84.0,0.9
2014-03-01,0.2,28.0,19.9,4.5,2.7,22.62,89.75,2.5
2014-03-02,3.2,28.8,19.9,7.7,1.9,23.02,85.25,1.8666669999999999
2014-03-03,0.0,29.1,20.1,7.6,2.7,23.52,85.5,2.7
2014-03-04,0.0,29.3,21.5,9.4,2.9,23.96,80.0,4.3333330000000005
