date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.2,21.3,10.1,6.6,24.66,70.75,4.466667
2014-01-02,0.0,31.8,21.2,9.8,6.9,24.74,68.75,4.266667
2014-01-03,0.0,31.4,20.4,9.8,3.0,24.26,63.5,4.766667
2014-01-04,0.0,32.2,20.3,11.0,4.0,24.72,68.5,4.766667
2014-01-05,0.0,30.5,20.4,8.1,6.2,24.38,71.0,4.033333
2014-01-06,0.0,27.6,18.1,0.4,2.9,22.52,81.0,3.933333
2014-01-07,0.0,30.8,20.9,6.5,4.2,24.16,67.5,3.933333
2014-01-08,0.0,30.8,20.4,10.4,5.1,24.52,69.25,5.233333
2014-01-09,0.0,30.8,20.3,3.5,3.4,24.08,83.5,4.066667
2014-01-10,2.1,29.4,19.3,7.6,5.5,23.72,74.5,5.1
2014-01-11,0.0,27.8,19.5,5.0,6.0,22.64,89.0,3.733333
2014-01-12,9.0,29.8,19.3,7.7,5.6,23.4,77.0,4.433333
2014-01-13,0.0,29.2,20.3,6.8,4.4,23.5,79.0,4.733333
2014-01-14,0.0,29.8,20.3,6.5,5.0,24.12,79.75,4.2
2014-01-15,0.0,31.2,20.4,9.2,6.4,24.8,69.75,4.5
2014-01-16,0.0,31.6,20.3,8.9,4.6,24.38,70.0,3.933333
2014-01-17,0.0,30.4,20.8,6.5,4.0,24.5,73.25,4.566667
2014-01-18,0.0,31.6,20.5,9.0,5.0,24.8,72.5,4.633333
2014-01-19,0.0,30.0,20.4,8.0,5.0,24.16,75.5,4.066667
2014-01-20,0.0,30.0,21.3,8.0,5.0,23.98,73.25,5.3333330000000005
2014-01-21,0.0,31.6,19.8,8.7,4.8,24.64,70.5,4.033333
2014-01-22,0.0,30.6,20.6,6.2,4.6,24.28,69.0,4.066667
2014-01-23,0.0,32.2,20.4,7.2,5.4,24.7,74.75,4.8333330000000005
2014-01-24,0.0,31.6,20.3,10.4,5.3,24.68,67.25,5.233333
2014-01-25,0.0,30.2,20.3,10.0,4.3,24.36,76.5,5.7
2014-01-26,2.0,31.2,21.3,9.9,5.1,25.04,71.75,5.033333
2014-01-27,2.0,30.8,21.5,9.4,6.1,24.68,73.0,4.9
2014-01-28,0.0,31.0,20.6,10.9,4.4,24.76,62.25,6.133333
2014-01-29,0.2,30.0,20.3,5.7,3.4,24.06,73.0,4.233333
2014-01-30,0.0,30.2,21.3,3.4,1.8,24.24,83.75,3.9666669999999997
2014-01-31,0.0,31.0,20.9,10.0,3.7,24.68,71.25,4.0
2014-02-01,0.0,31.2,20.9,10.8,5.2,24.56,71.0,3.266667
