date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.8,21.2,9.4,8.4,27.0,74.5,1.366667
2014-01-02,0.0,34.6,20.3,11.4,7.1,26.14,68.0,1.6
2014-01-03,0.0,34.6,22.0,11.3,7.9,27.32,69.5,1.5
2014-01-04,0.0,35.8,21.0,11.6,7.6,27.78,65.5,1.4
2014-01-05,1.6,33.8,24.0,9.1,7.4,27.18,74.75,1.7
2014-01-06,0.3,33.6,22.0,7.9,6.4,27.28,71.25,1.466667
2014-01-07,0.0,31.9,22.9,0.8,6.9,25.94,72.5,1.6
2014-01-08,0.0,35.2,22.2,11.3,7.8,27.62,57.75,1.6
2014-01-09,0.0,35.0,23.0,11.5,8.1,27.48,66.75,2.0333330000000003
2014-01-10,0.0,33.8,24.1,5.5,9.2,28.06,71.25,2.433333
2014-01-11,0.0,37.0,19.4,11.5,9.2,28.52,52.0,3.0333330000000003
2014-01-12,0.0,33.8,24.0,8.6,10.8,28.04,65.75,1.533333
2014-01-13,0.0,34.3,23.8,7.9,8.7,27.56,73.5,1.7666669999999998
2014-01-14,0.0,35.4,24.4,9.3,8.2,29.18,57.0,1.833333
2014-01-15,0.0,36.0,25.0,9.5,10.5,28.72,64.0,1.266667
2014-01-16,1.3,33.7,22.2,6.6,9.1,27.02,71.25,1.666667
2014-01-17,0.0,36.4,22.2,10.8,8.1,27.48,65.25,2.0333330000000003
2014-01-18,0.0,37.6,24.8,10.7,10.0,30.28,58.25,1.333333
2014-01-19,1.6,35.5,24.9,7.9,9.6,29.52,67.25,1.5
2014-01-20,53.9,33.7,22.2,9.2,5.4,26.88,78.75,1.8
2014-01-21,0.0,34.1,22.0,8.7,6.2,26.42,74.0,1.633333
2014-01-22,0.0,33.8,20.7,8.3,5.9,26.54,75.25,1.666667
2014-01-23,0.0,35.0,20.6,11.3,7.2,26.4,70.75,1.633333
2014-01-24,0.0,35.8,23.4,10.7,9.0,27.94,65.25,1.266667
2014-01-25,0.0,34.9,20.2,11.4,8.4,27.34,59.75,2.3
2014-01-26,0.0,35.2,22.0,11.0,9.0,28.48,61.75,1.633333
2014-01-27,0.0,35.6,23.4,10.2,9.4,28.1,70.25,1.6
2014-01-28,0.0,34.2,22.4,10.1,10.0,27.84,62.25,1.7333330000000002
2014-01-29,0.0,35.6,19.4,10.6,10.6,27.48,60.25,3.433333
2014-01-30,1.7,33.6,22.8,6.1,7.3,26.74,79.5,1.166667
2014-01-31,3.9,33.4,23.4,10.3,4.8,27.8,74.5,1.7333330000000002
2014-02-01,0.0,35.6,24.8,9.8,9.2,29.36,65.0,1.333333
2014-02-02,0.0,36.0,25.4,11.4,10.8,28.68,65.75,1.9666669999999997
2014-02-03,4.7,35.1,23.0,9.2,7.3,28.66,64.5,2.6
2014-02-04,0.2,34.6,23.1,7.8,8.3,27.6,71.75,1.6
2014-02-05,0.0,35.2,24.0,10.1,8.9,28.36,64.75,1.9333330000000002
2014-02-06,0.0,34.4,20.8,11.3,10.2,27.72,63.5,2.166667
2014-02-07,8.1,34.6,22.6,11.2,8.9,27.68,66.25,2.5333330000000003
2014-02-08,1.3,35.6,22.4,10.6,7.6,28.4,66.5,2.1333330000000004
