date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.2,19.7,10.4,6.9,24.56,76.0,3.8
2014-01-02,0.0,32.0,19.3,11.4,6.0,24.6,67.25,3.4
2014-01-03,0.0,31.4,19.1,11.2,6.5,24.44,67.0,5.433333
2014-01-04,0.0,32.0,17.7,11.8,8.0,24.76,70.0,4.466667
2014-01-05,0.0,31.4,18.5,10.3,7.8,24.6,66.25,5.1666669999999995
2014-01-06,0.0,29.6,20.1,7.9,6.8,23.72,72.75,4.133333
2014-01-07,0.0,30.2,19.1,5.8,5.8,23.8,70.0,4.533333
2014-01-08,0.0,31.0,18.5,8.1,6.7,23.68,76.75,3.833333
2014-01-09,0.0,31.0,19.5,7.3,6.1,24.48,74.5,4.3333330000000005
2014-01-10,0.0,30.4,21.3,4.4,5.3,25.0,73.5,3.8
2014-01-11,0.0,31.6,18.1,8.2,5.2,24.16,77.25,5.366667
2014-01-12,0.0,31.0,20.3,8.6,5.7,24.6,77.5,5.5
2014-01-13,0.0,32.2,20.3,10.0,7.3,25.04,72.5,5.1
2014-01-14,0.0,30.6,20.5,7.7,7.2,24.44,79.25,3.8
2014-01-15,0.2,30.8,19.7,8.5,5.6,24.52,73.25,3.5333330000000003
2014-01-16,0.0,32.2,17.9,10.2,6.9,24.96,67.75,2.9
2014-01-17,0.0,33.6,19.7,9.3,6.4,26.32,66.75,2.3666669999999996
2014-01-18,0.0,34.4,21.1,10.2,6.0,26.4,78.0,2.9
2014-01-19,0.1,33.6,21.1,8.8,6.5,26.04,69.25,3.5
2014-01-20,0.0,34.4,20.3,11.3,6.7,26.36,60.75,3.7
2014-01-21,0.0,32.8,18.7,8.9,8.2,25.12,69.0,5.233333
2014-01-22,0.0,33.4,18.9,9.7,8.4,25.12,63.75,3.333333
2014-01-23,0.0,34.0,18.7,10.7,8.9,25.72,69.5,4.633333
2014-01-24,0.0,34.2,19.3,10.2,9.0,25.52,64.75,3.6333330000000004
2014-01-25,0.0,33.0,19.7,10.8,8.8,25.12,70.75,4.133333
2014-01-26,0.0,32.6,20.9,9.9,7.2,25.52,71.75,4.466667
2014-01-27,0.0,31.8,21.7,5.9,7.5,24.96,70.75,5.7
