date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.6,25.6,7.0,3.7,27.66,76.75,2.9
2014-01-02,0.0,31.0,23.6,8.7,4.4,27.28,74.25,2.5
2014-01-03,0.0,31.1,23.4,9.8,4.6,27.02,72.75,2.666667
2014-01-04,0.0,30.9,20.9,5.7,3.7,26.4,71.0,2.233333
2014-01-05,0.0,30.0,21.6,1.2,3.6,26.22,77.75,1.833333
2014-01-06,13.9,29.4,22.2,1.6,2.3,25.66,76.5,1.6
2014-01-07,0.0,30.0,22.0,5.5,3.2,26.02,74.75,2.4
2014-01-08,0.0,30.4,22.0,5.5,4.4,26.02,74.75,3.15
2014-01-09,1.0,30.2,21.6,0.0,4.4,24.9,86.25,0.0
2014-01-10,31.6,30.0,22.0,6.4,0.5,25.96,78.25,2.0
2014-01-11,0.0,29.4,21.0,2.7,3.0,24.62,88.25,1.5
2014-01-12,18.3,29.2,22.6,2.9,1.0,25.32,82.0,1.133333
2014-01-13,5.1,30.0,22.6,6.0,1.7,26.62,76.0,1.9666669999999997
2014-01-14,0.0,29.9,22.2,2.1,3.3,26.52,79.25,1.466667
2014-01-15,6.8,30.0,22.4,8.2,2.5,26.16,76.25,2.566667
2014-01-16,0.0,31.0,21.8,6.9,3.5,26.48,71.0,1.9666669999999997
2014-01-17,0.0,30.8,22.6,5.1,3.2,27.0,73.75,1.433333
2014-01-18,7.2,31.2,23.0,6.4,2.9,27.4,72.75,2.933333
2014-01-19,2.0,30.8,24.0,7.4,2.7,26.96,73.25,2.1333330000000004
2014-01-20,0.0,31.7,23.8,8.9,3.2,27.5,65.0,2.666667
2014-01-21,0.0,31.2,20.4,7.7,3.6,26.7,66.25,1.9
2014-01-22,0.0,31.4,23.2,8.4,3.6,26.9,66.5,2.9
2014-01-23,2.6,30.4,23.2,8.3,4.5,26.82,69.0,2.766667
2014-01-24,0.0,30.6,22.2,9.1,3.5,26.56,69.25,1.9
2014-01-25,0.0,29.8,22.0,3.0,3.6,25.42,75.0,1.166667
2014-01-26,8.0,30.0,22.6,7.5,0.9,25.52,74.75,1.9666669999999997
2014-01-27,5.6,30.0,21.2,2.2,2.5,26.38,71.75,2.766667
2014-01-28,0.0,31.2,24.4,10.2,4.0,27.38,67.25,2.233333
2014-01-29,0.6,30.6,23.6,7.4,3.6,27.54,70.25,3.166667
2014-01-30,6.2,30.2,23.8,7.4,4.2,27.06,71.25,3.3
2014-01-31,0.0,30.4,23.4,9.1,3.6,27.02,68.75,3.0333330000000003
2014-02-01,0.0,30.8,21.6,8.4,3.4,26.8,69.25,2.5
2014-02-02,6.0,28.9,24.0,0.9,3.2,25.7,80.0,2.233333
2014-02-03,11.6,29.4,20.8,0.6,1.1,25.46,79.75,2.3666669999999996
2014-02-04,0.8,30.4,22.5,7.2,1.3,25.6,76.0,1.333333
2014-02-05,0.0,30.8,21.1,7.7,2.5,25.9,72.75,0.833333
2014-02-06,6.0,30.6,22.6,1.0,3.3,25.7,85.25,1.566667
2014-02-07,35.4,28.6,22.4,1.1,1.8,25.1,90.75,1.333333
2014-02-08,13.0,30.4,23.2,3.9,0.7,26.86,79.0,2.4666669999999997
2014-02-09,24.3,28.7,22.5,0.0,2.2,24.88,87.0,0.833333
2014-02-10,12.4,30.0,23.0,2.8,0.9,26.24,84.5,0.9
2014-02-11,0.4,30.8,23.8,7.3,2.0,27.38,73.5,2.1333330000000004
2014-02-12,0.2,28.3,22.6,0.0,2.6,25.8,82.75,0.733333
2014-02-13,3.0,30.6,21.1,6.7,1.3,26.58,76.25,2.233333
2014-02-14,16.6,30.8,22.8,3.5,2.5,27.02,78.0,1.133333
2014-02-15,0.0,31.2,23.0,3.2,1.8,27.3,75.25,1.366667
2014-02-16,0.0,31.0,23.0,8.1,2.4,27.14,74.25,2.733333
2014-02-17,0.0,31.8,22.1,7.3,2.4,27.26,75.75,1.9
2014-02-18,0.0,31.2,22.4,9.3,3.6,26.98,71.75,1.533333
2014-02-19,0.0,31.4,22.0,1.7,3.9,27.5,73.75,1.7
2014-02-20,12.5,31.4,24.0,4.0,3.0,27.7,74.75,2.666667
2014-02-21,0.4,30.3,23.4,1.6,3.1,26.14,82.5,2.2
2014-02-22,5.0,30.8,23.8,1.1,3.0,26.6,80.25,1.6
2014-02-23,0.6,30.8,24.0,1.9,2.5,27.48,79.0,1.0
2014-02-24,0.0,30.2,23.2,2.0,2.3,26.9,74.75,2.766667
2014-02-25,0.0,31.1,21.9,6.8,3.0,26.64,74.0,2.166667
2014-02-26,0.0,30.6,21.9,7.4,3.7,26.44,76.0,1.833333
2014-02-27,0.0,32.0,21.6,6.8,2.7,26.66,72.0,1.566667
2014-02-28,0.0,32.4,21.4,4.1,3.1,27.46,73.25,1.433333
2014-03-01,33.0,30.8,23.5,4.0,2.8,26.22,81.75,1.666667
2014-03-02,0.0,32.0,22.8,8.6,2.0,26.76,72.75,2.233333
2014-03-03,0.0,31.9,23.6,9.0,3.2,27.72,74.25,2.0
2014-03-04,0.0,30.8,24.0,9.5,3.0,27.5,71.75,2.766667
2014-03-05,0.4,31.0,22.3,6.4,4.2,27.3,74.25,2.5
2014-03-06,43.2,32.0,21.6,5.2,2.0,26.3,77.5,2.1333330000000004
2014-03-07,0.0,30.0,22.4,4.5,3.2,26.58,76.25,0.566667
2014-03-08,0.0,31.2,22.8,9.2,2.2,27.3,75.0,2.0
2014-03-09,3.0,31.6,22.5,9.7,2.7,27.22,74.5,2.333333
2014-03-10,1.2,30.7,23.2,6.1,2.2,26.6,82.25,1.333333
2014-03-11,5.0,30.2,23.0,3.0,2.3,26.26,88.75,1.0
2014-03-12,5.7,30.4,23.2,4.1,2.7,26.18,86.0,2.0
2014-03-13,49.2,28.0,24.2,0.0,1.0,25.24,90.0,1.7
2014-03-14,6.7,28.4,23.0,0.0,0.8,25.36,88.75,0.333333
2014-03-15,1.0,30.4,23.2,0.0,1.2,26.62,79.0,2.0333330000000003
2014-03-16,0.0,31.0,22.4,5.8,2.4,26.74,78.0,2.233333
2014-03-17,37.0,30.7,23.0,3.0,2.2,26.86,81.0,1.8666669999999999
2014-03-18,0.6,31.1,24.0,4.6,2.1,27.26,83.0,2.3
2014-03-19,9.0,29.6,24.0,0.4,1.7,25.9,91.25,1.533333
2014-03-20,43.0,31.0,23.6,2.6,0.6,27.22,81.25,1.433333
2014-03-21,0.4,31.8,24.6,5.8,2.3,27.88,78.0,2.5333330000000003
2014-03-22,0.4,31.6,23.9,4.0,2.7,26.7,85.0,0.333333
2014-03-23,2.2,31.0,23.4,6.1,1.5,27.06,79.0,2.6333330000000004
2014-03-24,0.0,31.2,23.0,6.9,3.0,26.46,77.75,2.3
2014-03-25,0.8,31.7,22.4,8.1,2.5,26.98,74.25,2.5
2014-03-26,3.4,32.0,22.5,6.6,3.0,26.74,76.0,0.733333
2014-03-27,0.0,31.9,22.0,9.8,2.7,26.92,73.25,1.566667
2014-03-28,5.2,30.6,23.2,1.2,2.7,27.3,78.5,2.266667
2014-03-29,1.0,32.0,24.6,7.4,2.8,28.04,77.25,2.1333330000000004
2014-03-30,1.0,30.9,24.0,4.8,2.4,27.74,79.25,1.1
2014-03-31,0.0,31.6,24.6,7.9,3.5,27.62,75.0,2.0
2014-04-01,2.5,31.2,23.0,6.9,3.0,26.94,75.25,1.9333330000000002
2014-04-02,5.0,31.6,23.9,8.7,3.0,27.48,73.5,0.833333
2014-04-03,0.2,31.7,22.7,7.5,3.0,27.8,73.0,1.633333
2014-04-04,13.0,31.9,23.4,5.6,2.5,27.64,77.25,1.333333
2014-04-05,15.8,30.4,22.0,0.3,2.4,26.22,84.75,0.566667
2014-04-06,8.0,32.0,24.2,2.8,0.9,27.34,83.0,0.566667
2014-04-07,0.2,32.2,23.1,9.5,1.7,27.46,78.5,1.7333330000000002
2014-04-08,0.0,33.2,23.1,8.6,2.5,28.34,71.75,1.9333330000000002
2014-04-09,0.0,32.8,24.8,8.0,4.0,28.38,76.75,1.466667
2014-04-10,7.4,32.9,24.0,7.9,2.6,28.22,78.0,1.166667
2014-04-11,8.0,31.7,23.5,8.3,2.4,27.48,73.25,1.266667
2014-04-12,3.2,31.2,24.0,7.4,3.0,26.98,77.75,2.433333
2014-04-13,5.4,30.0,23.0,5.6,2.6,26.3,79.5,1.1
2014-04-14,14.0,31.0,23.2,7.3,1.8,27.46,76.5,1.8666669999999999
2014-04-15,3.2,30.7,24.0,8.0,2.5,26.98,77.5,1.666667
2014-04-16,0.0,31.0,23.0,6.1,3.1,27.34,74.75,2.266667
2014-04-17,1.4,30.8,23.4,6.4,4.0,26.06,76.25,2.333333
2014-04-18,0.4,31.0,22.8,10.0,2.3,26.76,75.0,1.133333
2014-04-19,0.0,31.2,23.3,9.8,2.9,27.22,71.0,1.9333330000000002
2014-04-20,0.0,31.4,22.8,8.0,3.4,27.18,73.25,2.4666669999999997
2014-04-21,0.0,31.6,24.6,9.1,3.0,28.1,74.25,1.9333330000000002
2014-04-22,100.0,29.7,22.8,4.6,3.0,25.68,87.0,0.5
2014-04-23,1.4,31.0,23.8,9.4,1.1,27.44,67.5,2.233333
2014-04-24,0.0,30.9,21.0,8.0,2.9,26.54,69.5,1.133333
2014-04-25,0.0,31.9,21.0,9.6,2.5,26.6,72.0,0.833333
2014-04-26,0.0,32.0,22.6,9.6,3.0,27.22,75.5,1.233333
2014-04-27,0.0,31.5,22.2,9.3,1.8,27.1,72.0,1.1
2014-04-28,0.0,31.8,23.1,5.3,3.4,26.16,87.5,1.533333
2014-04-29,31.6,29.4,23.0,1.9,1.4,25.42,86.5,0.833333
2014-04-30,47.8,28.4,23.8,0.3,1.0,25.42,93.75,1.066667
2014-05-01,24.9,30.7,23.2,8.9,0.7,26.54,79.5,1.5
2014-05-02,18.8,28.7,22.5,0.2,1.9,24.5,93.75,0.966667
2014-05-03,35.3,29.6,22.6,5.7,0.4,25.66,82.5,1.333333
2014-05-04,0.7,30.2,22.0,6.9,2.0,27.64,84.0,1.166667
2014-05-05,12.0,28.7,22.5,2.4,1.0,24.76,87.75,0.566667
2014-05-06,13.7,30.0,21.7,8.2,0.8,25.54,83.25,1.666667
2014-05-07,29.7,29.6,22.0,5.8,1.0,25.46,84.75,1.7333330000000002
2014-05-08,14.4,28.4,22.2,1.2,1.2,24.78,90.0,1.066667
2014-05-09,7.1,29.9,21.5,8.5,1.0,25.72,76.75,0.833333
2014-05-10,0.0,30.6,22.6,9.8,3.0,25.94,79.0,1.3
2014-05-11,0.0,31.0,23.2,7.4,1.1,26.24,77.5,1.133333
2014-05-12,0.6,29.5,23.2,6.8,2.6,26.04,86.0,2.333333
2014-05-13,14.4,28.0,23.3,2.0,1.9,25.42,91.0,1.666667
2014-05-14,36.0,29.9,21.0,8.3,0.7,25.52,87.25,1.166667
2014-05-15,7.4,31.2,23.0,9.4,1.2,26.26,83.5,1.4
2014-05-16,1.0,30.3,23.6,7.1,1.2,26.04,82.75,1.666667
2014-05-17,3.8,30.0,22.9,8.3,1.3,26.18,72.5,1.4
2014-05-18,1.2,29.4,23.0,5.1,2.7,25.7,80.75,0.833333
2014-05-19,4.0,29.2,22.0,6.5,1.8,25.02,85.25,1.633333
2014-05-20,1.0,29.4,22.2,5.1,2.6,25.78,81.5,1.9
2014-05-21,10.0,28.3,22.7,1.2,1.4,24.96,86.25,0.9
2014-05-22,8.4,30.4,22.8,6.6,0.7,25.94,87.25,1.266667
2014-05-23,7.5,30.4,23.0,10.0,1.5,25.74,83.25,1.566667
2014-05-24,0.0,30.0,22.1,8.7,3.0,25.74,79.75,1.566667
2014-05-25,0.0,31.0,21.4,9.6,2.2,25.52,74.0,1.666667
2014-05-26,0.0,29.4,22.0,10.0,2.3,24.98,78.0,1.166667
2014-05-27,1.8,28.3,21.8,1.6,2.1,24.52,90.25,1.6
2014-05-28,22.4,28.4,23.0,1.7,0.6,25.3,92.5,0.0
2014-05-29,39.0,28.4,22.3,4.4,0.6,24.42,79.75,0.933333
2014-05-30,0.0,29.2,21.0,9.0,1.2,24.5,80.25,1.333333
2014-05-31,0.0,28.9,20.4,8.1,2.4,24.52,82.25,1.9
2014-06-01,1.0,29.1,22.2,8.1,1.9,24.76,82.0,1.466667
2014-06-02,0.0,29.2,20.2,9.8,2.2,24.72,75.25,1.6
2014-06-03,0.0,30.0,20.8,9.8,1.9,25.34,78.5,1.133333
2014-06-04,0.0,30.0,21.8,9.3,1.6,26.1,80.25,1.133333
2014-06-05,0.3,28.7,22.9,3.7,2.6,25.46,87.0,1.4
2014-06-06,34.1,29.3,22.8,5.0,1.7,25.9,76.25,1.833333
2014-06-07,6.6,28.9,22.0,6.0,2.2,25.8,77.0,2.6
2014-06-08,2.6,29.6,22.4,9.1,0.6,25.94,72.0,1.666667
2014-06-09,0.0,29.4,23.2,8.6,3.5,25.74,82.25,1.233333
2014-06-10,2.8,29.1,22.0,6.8,2.2,24.78,80.0,1.666667
2014-06-11,0.2,27.7,20.8,2.3,2.4,24.68,83.25,1.433333
2014-06-12,5.4,29.0,22.0,7.8,1.3,25.68,83.25,2.666667
2014-06-13,12.6,28.7,23.4,6.1,1.9,25.4,82.0,1.333333
2014-06-14,11.1,27.0,21.9,1.5,1.6,24.1,91.75,1.6
2014-06-15,30.2,28.5,22.6,6.2,1.0,25.18,84.5,1.9333330000000002
2014-06-16,1.5,29.1,21.8,7.9,3.2,25.64,79.0,2.0
2014-06-17,0.0,29.4,21.9,9.0,2.8,25.6,76.5,2.733333
2014-06-18,4.0,28.9,22.8,6.3,2.3,25.74,82.75,2.4
2014-06-19,2.2,28.9,21.0,9.1,2.7,24.24,75.75,1.8
2014-06-20,0.0,28.7,20.4,7.9,2.4,24.2,81.25,1.833333
2014-06-21,0.2,28.7,19.6,9.7,2.2,24.2,77.0,1.466667
2014-06-22,2.9,28.8,20.6,6.1,3.0,24.72,83.5,3.1333330000000004
2014-06-23,2.2,27.7,21.0,1.0,2.4,24.4,86.0,1.833333
2014-06-24,30.8,27.7,20.8,2.7,1.5,23.64,90.5,1.266667
2014-06-25,18.3,26.7,22.0,1.5,2.0,23.7,91.0,0.9
2014-06-26,85.0,23.5,21.7,0.0,0.7,22.76,93.0,0.266667
2014-06-27,35.8,29.2,20.4,8.9,0.3,24.62,83.5,1.166667
2014-06-28,1.8,28.7,22.0,8.3,1.6,24.84,86.25,1.4
2014-06-29,29.0,28.5,22.2,6.2,1.4,24.48,87.25,2.1
2014-06-30,2.2,28.3,19.8,8.7,1.4,23.94,74.0,1.666667
2014-07-01,0.0,27.7,21.6,2.5,2.6,24.32,86.25,1.466667
2014-07-02,1.2,25.7,20.8,0.5,1.0,23.4,94.75,1.0
2014-07-03,11.4,28.5,21.6,8.3,0.5,23.96,82.0,1.333333
2014-07-04,0.0,28.1,19.0,7.6,2.0,23.46,81.5,1.7666669999999998
2014-07-05,0.0,28.7,20.2,9.2,2.0,23.76,81.0,0.766667
2014-07-06,10.6,28.3,21.8,7.0,2.7,24.96,80.75,1.9333330000000002
2014-07-07,0.5,28.1,23.0,6.0,3.6,24.76,82.0,2.3666669999999996
2014-07-08,8.7,28.9,21.3,7.2,1.2,25.36,84.75,2.566667
2014-07-09,5.4,28.3,22.0,9.5,3.0,24.76,79.0,1.133333
2014-07-10,1.3,28.1,20.8,9.0,3.0,23.6,77.5,2.833333
2014-07-11,3.0,28.6,20.6,9.3,3.0,24.58,82.5,1.133333
2014-07-12,0.0,29.3,22.3,4.0,2.1,25.56,83.5,2.0333330000000003
2014-07-13,106.4,27.1,21.6,0.0,1.9,23.64,91.5,1.666667
2014-07-14,11.0,28.7,22.2,9.4,1.0,24.8,82.0,1.8666669999999999
2014-07-15,0.3,28.5,22.4,7.9,2.7,24.76,82.0,1.8
2014-07-16,9.2,28.9,22.0,9.0,2.4,24.74,77.0,1.833333
2014-07-17,0.6,27.7,20.5,3.5,2.1,23.92,86.0,0.666667
2014-07-18,12.4,28.4,21.2,6.1,1.6,24.02,83.75,1.166667
2014-07-19,16.4,29.0,21.0,7.2,1.4,23.7,83.25,1.7333330000000002
2014-07-20,0.2,28.1,20.1,7.2,1.9,24.32,77.25,1.533333
2014-07-21,0.0,28.0,20.3,2.6,2.3,24.38,80.5,1.6
2014-07-22,1.6,28.1,21.6,6.3,3.3,25.2,70.75,3.3
2014-07-23,3.0,28.3,22.0,4.5,3.5,24.42,82.75,3.0
2014-07-24,25.0,28.6,21.4,7.7,2.3,25.36,76.5,2.766667
2014-07-25,9.0,27.1,20.6,1.3,2.0,24.14,84.25,1.7666669999999998
2014-07-26,10.5,28.1,21.4,9.3,1.2,26.36,78.5,1.833333
2014-07-27,0.0,28.7,19.8,2.0,2.0,24.38,83.25,0.533333
2014-07-28,23.9,28.4,22.0,7.1,2.2,24.84,78.25,2.1
2014-07-29,5.2,28.2,21.8,5.7,2.3,23.76,83.0,1.5
2014-07-30,1.1,28.3,20.6,5.9,2.3,23.88,82.75,2.166667
2014-07-31,1.0,27.9,20.2,0.0,2.5,23.12,91.75,1.133333
2014-08-01,4.7,27.4,18.8,9.0,0.6,23.44,78.5,1.566667
2014-08-02,0.0,27.8,19.7,5.2,2.4,23.82,75.25,2.233333
2014-08-03,1.2,28.4,23.0,8.7,2.7,25.14,77.25,1.6
2014-08-04,2.6,28.9,22.2,8.5,2.2,24.8,78.5,1.5
2014-08-05,0.0,28.7,20.2,9.2,2.1,24.46,76.75,1.666667
2014-08-06,0.0,29.4,21.4,7.6,2.1,24.74,80.5,1.4
2014-08-07,1.8,29.2,21.4,9.3,2.2,24.1,80.75,1.233333
2014-08-08,9.0,27.9,19.8,6.2,2.0,24.12,82.75,1.9
2014-08-09,7.2,27.2,21.5,3.5,1.7,23.42,89.75,0.833333
2014-08-10,35.7,26.5,22.0,2.5,1.1,24.04,88.5,2.8666669999999996
2014-08-11,10.6,28.2,21.0,7.5,2.0,23.74,81.0,2.433333
2014-08-12,3.9,27.4,20.1,4.2,2.5,23.06,84.25,1.566667
2014-08-13,10.6,28.4,19.8,9.1,1.5,24.1,78.5,1.4
2014-08-14,0.2,28.1,21.6,7.9,2.0,24.36,80.5,2.733333
2014-08-15,0.2,28.3,20.2,7.5,3.0,23.88,74.25,3.3
2014-08-16,4.0,27.9,19.5,6.5,3.5,23.36,79.0,2.0
2014-08-17,4.5,27.8,20.6,1.8,3.0,23.22,85.75,1.466667
2014-08-18,5.4,27.1,21.6,2.5,2.5,23.6,82.0,2.5333330000000003
2014-08-19,6.8,27.9,18.4,6.2,2.0,22.96,83.5,1.2
