date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,28.7,17.3,10.4,7.2,23.34,53.0,2.9
2014-01-02,0.0,29.0,16.9,11.2,7.1,23.08,60.0,3.15
2014-01-03,0.0,28.3,16.9,10.2,6.5,22.54,60.0,4.95
2014-01-04,0.0,28.8,17.5,11.8,7.8,22.82,56.0,4.95
2014-01-05,0.0,27.7,17.6,10.0,7.7,22.34,62.0,3.7
2014-01-06,0.0,27.8,16.9,6.9,7.0,22.06,68.0,4.55
2014-01-07,0.0,27.0,16.1,8.4,6.3,21.44,61.0,5.2
2014-01-08,0.0,27.3,15.8,11.8,7.2,21.54,63.0,4.15
2014-01-09,0.0,27.8,17.8,8.1,6.5,22.08,74.0,3.3
2014-01-10,0.0,27.9,17.6,5.8,4.5,21.92,75.0,3.3
2014-01-11,1.8,29.5,16.6,10.6,4.5,22.38,67.0,5.8
2014-01-12,0.0,28.3,17.8,9.4,8.4,22.92,60.0,3.75
2014-01-13,0.0,28.8,17.6,9.1,6.4,22.22,80.0,3.3
2014-01-14,0.0,28.0,17.2,8.2,5.2,20.96,91.0,4.15
2014-01-15,19.9,28.7,17.3,10.4,4.1,22.62,61.0,3.7
2014-01-16,0.0,29.2,17.3,11.5,7.2,23.28,57.0,4.15
2014-01-17,0.0,30.2,18.8,7.8,7.2,23.84,57.0,0.8
2014-01-18,0.0,30.5,18.9,10.8,4.7,24.8,57.0,2.05
2014-01-19,0.0,30.0,19.8,8.3,6.0,23.82,76.0,2.9
2014-01-20,0.0,29.8,17.9,10.9,6.1,23.68,68.0,3.7
2014-01-21,0.0,29.0,17.3,9.0,5.9,23.06,58.0,1.65
2014-01-22,0.0,29.0,17.9,7.7,6.5,23.84,46.0,2.7
2014-01-23,0.0,30.0,17.9,8.9,7.8,24.1,46.0,2.7
2014-01-24,0.0,30.7,18.4,8.8,8.3,24.66,47.0,1.25
2014-01-25,0.0,29.8,16.8,10.3,8.2,22.2,47.0,2.05
2014-01-26,0.3,29.5,17.6,9.6,7.0,23.58,47.0,3.7
2014-01-27,0.0,28.8,17.4,6.1,7.5,21.52,47.0,5.8
2014-01-28,0.0,27.8,16.1,7.8,6.2,21.48,47.0,5.8
2014-01-29,0.0,28.7,16.2,9.3,5.8,22.38,47.0,5.8
2014-01-30,0.0,27.5,17.6,3.9,7.0,20.48,94.0,3.3
2014-01-31,41.2,27.7,16.9,8.4,2.0,21.42,66.0,4.95
2014-02-01,0.0,28.5,16.8,11.0,5.9,22.56,53.5,4.433333
2014-02-02,0.0,28.9,16.5,11.4,6.6,22.58,54.75,5.233333
2014-02-03,0.0,27.8,18.1,8.8,6.5,21.22,79.0,5.8333330000000005
2014-02-04,58.6,26.9,17.5,9.3,4.0,21.76,71.75,2.833333
2014-02-05,0.0,26.2,16.9,8.4,4.7,21.98,63.0,4.4
2014-02-06,0.0,25.6,16.4,7.2,5.4,19.84,85.25,3.3
2014-02-07,2.4,26.2,16.8,9.8,1.9,20.94,76.5,4.133333
2014-02-08,0.0,26.1,17.6,8.0,3.0,21.56,67.25,3.566667
2014-02-09,0.0,25.4,18.1,5.1,4.0,21.88,69.75,3.3
2014-02-10,0.0,27.6,18.0,11.4,3.8,22.36,66.75,4.7
2014-02-11,0.0,27.9,17.8,8.3,4.5,20.68,85.0,4.8333330000000005
2014-02-12,7.6,26.3,17.5,7.6,4.0,22.26,58.75,3.566667
2014-02-13,0.0,28.3,16.6,10.8,5.5,22.94,50.5,2.8666669999999996
2014-02-14,0.0,28.2,18.1,8.9,4.5,22.26,73.5,2.566667
2014-02-15,0.0,27.1,18.3,3.4,1.3,22.04,67.75,2.9
2014-02-16,0.0,26.3,18.4,3.6,1.5,21.28,80.75,3.0333330000000003
2014-02-17,10.0,25.5,17.4,4.1,1.2,20.16,90.0,2.3
2014-02-18,31.6,26.2,15.8,9.4,1.0,21.2,72.5,2.166667
2014-02-19,0.0,26.7,17.9,9.0,4.5,20.4,81.0,4.933333
2014-02-20,17.8,25.5,17.9,4.2,2.5,20.56,88.5,2.733333
2014-02-21,0.6,23.8,18.1,1.0,2.0,20.66,74.25,5.566667
2014-02-22,0.0,23.3,17.3,0.4,3.6,20.34,76.25,2.266667
2014-02-23,0.0,27.4,17.7,8.5,2.4,22.06,66.5,2.733333
2014-02-24,0.0,27.7,17.2,8.7,3.8,22.72,56.0,3.566667
