date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,40.2,22.1,10.7,2.4,30.74,48.25,0.666667
2014-01-02,0.0,39.5,22.0,10.4,2.1,30.18,55.25,0.666667
2014-01-03,0.0,38.7,23.0,10.7,2.0,30.32,54.75,0.666667
2014-01-04,0.0,39.8,23.0,10.5,1.9,30.36,53.0,0.0
2014-01-05,0.0,40.0,22.5,10.3,2.2,30.02,54.0,0.666667
2014-01-06,0.0,38.4,22.3,9.9,2.3,29.04,55.25,0.0
2014-01-07,17.2,34.2,21.8,1.4,1.8,25.2,95.0,0.666667
2014-01-08,0.0,34.0,21.2,8.2,2.4,26.04,84.5,0.0
2014-01-09,16.1,32.2,21.8,6.9,1.8,26.36,69.25,0.0
2014-01-10,0.0,37.8,22.0,8.4,1.9,30.36,48.75,2.0
2014-01-11,0.0,37.0,24.0,6.7,2.1,30.9,52.25,0.0
2014-01-12,0.0,33.5,22.3,6.2,2.2,26.16,83.5,0.0
2014-01-13,28.6,35.0,23.0,6.3,1.7,28.44,61.25,0.0
2014-01-14,0.0,34.8,23.0,8.4,2.1,28.04,68.75,0.0
2014-01-15,0.0,35.5,23.8,7.9,2.1,28.86,66.0,0.0
2014-01-16,15.2,35.0,21.5,7.2,1.9,27.2,77.25,0.0
2014-01-17,0.0,37.0,23.2,9.6,2.4,28.14,70.0,0.666667
2014-01-18,0.0,37.0,22.5,10.0,2.1,29.5,41.75,1.0
2014-01-19,0.0,36.8,23.2,9.3,2.2,28.8,68.5,0.666667
2014-01-20,0.0,37.5,23.2,8.9,2.3,29.58,51.5,0.0
2014-01-21,0.0,37.0,22.5,10.4,2.0,30.34,51.25,1.0
2014-01-22,0.0,37.2,21.5,10.1,2.1,30.14,50.5,0.0
2014-01-23,1.1,37.0,23.4,8.5,1.1,28.28,69.0,1.333333
2014-01-24,0.0,35.0,22.3,7.2,1.5,28.3,61.25,2.0
2014-01-25,0.0,32.5,23.5,1.7,1.9,27.7,69.75,0.666667
2014-01-26,0.0,37.5,22.0,7.6,1.8,27.66,65.75,0.0
2014-01-27,0.0,35.5,22.3,7.7,2.1,26.3,78.0,0.0
2014-01-28,9.4,35.5,22.3,4.1,2.3,26.16,81.25,0.0
2014-01-29,0.0,35.8,23.0,7.4,1.8,28.0,75.5,0.0
2014-01-30,0.0,33.0,21.8,5.1,2.2,25.04,92.25,0.0
2014-01-31,62.1,33.2,21.5,7.1,1.8,26.94,86.0,0.0
2014-02-01,0.0,32.5,22.5,3.6,2.1,27.0,77.75,0.0
2014-02-02,1.6,29.0,23.0,0.0,2.8,25.4,95.0,0.0
2014-02-03,5.8,31.0,23.0,4.5,2.0,26.12,87.25,0.0
2014-02-04,0.0,33.5,23.2,4.6,1.9,26.78,87.5,0.0
2014-02-05,11.1,33.5,23.2,7.3,1.7,26.54,90.0,0.0
2014-02-06,0.0,35.0,22.0,9.4,1.1,27.0,81.75,0.0
2014-02-07,0.0,32.8,22.0,7.2,1.7,25.56,85.0,0.666667
2014-02-08,0.0,36.2,22.0,7.2,1.7,25.56,85.0,0.0
2014-02-09,22.2,33.5,22.0,3.5,1.2,26.1,85.0,0.0
2014-02-10,0.0,34.8,23.0,6.4,1.8,28.4,69.5,1.0
2014-02-11,0.0,34.0,23.0,6.6,1.8,27.04,79.25,1.333333
2014-02-12,36.2,31.0,22.2,5.1,1.5,26.52,78.0,0.0
2014-02-13,0.0,32.0,23.0,1.9,1.9,27.9,70.75,0.0
2014-02-14,3.6,32.5,23.2,6.4,1.9,27.74,78.5,0.0
2014-02-15,19.4,32.2,22.3,4.0,1.2,25.14,82.75,0.0
2014-02-16,0.0,30.0,22.3,1.6,1.6,24.76,92.0,0.0
2014-02-17,13.3,30.0,22.0,7.0,1.4,25.2,89.0,0.0
2014-02-18,57.5,29.0,22.0,5.6,0.9,25.4,87.25,0.0
2014-02-19,0.0,31.0,23.0,1.4,1.8,26.3,85.0,0.0
2014-02-20,6.1,32.5,23.0,3.1,1.6,25.86,86.0,0.0
2014-02-21,1.1,34.0,22.0,9.1,0.9,27.4,77.5,0.0
2014-02-22,0.0,34.2,22.2,10.8,1.6,27.72,68.25,0.666667
2014-02-23,0.0,33.5,23.0,7.7,1.8,28.0,67.25,0.666667
2014-02-24,0.0,34.0,22.0,10.7,2.0,27.22,72.0,0.0
2014-02-25,0.0,34.8,21.5,9.1,1.7,26.86,73.5,0.0
2014-02-26,0.0,35.0,22.5,7.1,1.3,28.74,62.0,0.0
2014-02-27,0.0,34.5,22.8,9.1,1.1,27.86,67.75,0.0
2014-02-28,2.1,34.2,22.3,7.8,1.5,28.0,65.5,0.0
2014-03-01,6.9,35.0,22.3,6.3,1.3,27.66,67.25,0.0
2014-03-02,0.0,35.0,23.0,6.3,2.3,28.2,69.75,0.666667
2014-03-03,0.0,33.0,22.5,8.7,3.0,27.46,73.0,0.666667
2014-03-04,0.0,30.0,22.8,1.1,3.1,26.16,76.25,0.0
2014-03-05,7.1,36.8,22.0,4.7,3.2,27.96,65.5,0.0
2014-03-06,17.1,35.0,23.0,9.7,2.9,28.7,61.25,0.0
2014-03-07,38.4,35.0,21.5,7.7,3.3,27.9,67.0,0.0
2014-03-08,0.0,34.0,23.0,0.9,2.8,27.6,67.0,0.0
2014-03-09,71.4,33.0,21.8,4.6,3.1,25.24,80.5,0.0
2014-03-10,9.4,33.2,22.8,4.5,3.5,26.4,75.75,0.0
2014-03-11,1.5,34.0,23.0,5.3,3.0,28.04,65.0,0.0
2014-03-12,3.2,34.0,23.0,9.6,2.7,27.7,67.5,0.0
2014-03-13,15.2,30.0,21.8,3.1,2.9,24.86,85.5,0.0
2014-03-14,4.7,32.0,22.8,8.7,2.9,27.06,73.75,0.0
2014-03-15,0.0,33.0,23.0,7.6,2.7,27.98,68.5,0.0
2014-03-16,4.1,31.2,23.2,6.6,2.8,26.48,80.25,0.0
2014-03-17,64.1,31.8,22.3,6.7,2.6,26.66,73.0,0.0
2014-03-18,0.0,32.5,23.2,7.9,2.7,27.54,69.0,0.0
2014-03-19,0.0,33.5,23.0,7.6,3.1,27.9,73.5,0.0
2014-03-20,0.0,34.0,23.2,7.5,2.9,27.96,73.0,0.0
2014-03-21,0.0,32.5,22.8,9.6,1.7,28.1,64.25,0.0
2014-03-22,0.0,33.0,22.3,9.4,2.5,28.26,66.75,0.0
2014-03-23,0.0,35.2,22.5,7.7,2.8,27.38,69.0,0.0
2014-03-24,0.0,34.0,22.2,7.8,2.7,26.68,73.75,0.0
2014-03-25,0.0,32.0,23.0,9.8,2.4,26.84,74.75,0.0
2014-03-26,0.0,31.0,23.0,8.6,2.7,27.34,69.25,0.0
2014-03-27,1.9,33.0,22.0,9.9,2.9,26.48,69.0,0.0
2014-03-28,23.9,32.5,21.0,6.5,2.7,27.06,73.5,0.666667
2014-03-29,0.0,33.0,23.0,7.8,2.6,26.9,74.75,0.0
2014-03-30,1.1,30.0,22.3,5.3,2.8,25.66,79.0,0.0
2014-03-31,8.1,30.2,21.5,0.6,2.9,25.18,80.5,0.0
2014-04-01,0.0,32.0,22.5,9.6,3.0,26.9,72.5,0.0
2014-04-02,4.1,33.0,22.8,5.8,2.1,26.8,75.5,0.0
2014-04-03,4.2,32.5,22.5,5.4,1.1,26.8,73.25,0.0
2014-04-04,10.4,31.2,22.6,0.8,1.8,25.56,80.0,0.0
2014-04-05,22.5,30.5,22.3,5.9,1.3,25.64,78.0,0.0
2014-04-06,10.0,32.0,22.0,4.9,1.9,25.7,81.25,0.0
2014-04-07,14.8,32.0,23.2,7.6,1.5,27.42,71.25,0.0
2014-04-08,9.2,31.5,22.2,8.0,2.0,27.24,69.5,0.0
2014-04-09,1.4,32.0,22.3,5.1,2.2,27.06,71.0,0.0
2014-04-10,5.1,32.0,23.0,10.2,1.8,27.32,71.0,0.0
2014-04-11,19.1,31.0,22.0,8.8,2.1,27.2,70.5,0.0
2014-04-12,19.0,34.0,22.3,7.8,1.7,26.46,76.0,0.0
