date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.0,20.9,9.6,0.0,28.52,85.0,2.666667
2014-01-02,0.0,38.5,21.8,7.7,0.0,29.2,85.75,3.666667
2014-01-03,0.0,36.5,22.0,9.6,0.0,28.6,83.0,4.3333330000000005
2014-01-04,0.0,36.7,21.7,6.3,0.0,28.26,91.5,5.3333330000000005
2014-01-05,0.0,37.3,20.9,9.3,0.0,28.34,86.75,3.0
2014-01-06,0.0,35.4,21.9,3.5,0.0,27.84,88.0,4.6666669999999995
2014-01-07,8.0,31.0,18.9,0.2,0.0,25.12,94.25,1.333333
2014-01-08,11.8,31.6,21.3,2.8,0.0,26.16,92.5,3.0
2014-01-09,3.2,32.2,20.9,5.8,0.0,26.2,92.0,5.3333330000000005
2014-01-10,12.6,33.5,19.7,4.0,0.0,26.22,94.25,3.333333
2014-01-11,4.6,36.3,19.9,8.7,0.0,27.5,90.75,3.0
2014-01-12,0.0,33.5,20.5,5.6,0.0,26.98,87.75,4.0
2014-01-13,17.2,33.2,17.7,3.9,0.0,24.72,88.25,5.3333330000000005
2014-01-14,24.2,33.6,23.1,6.2,0.0,26.84,91.75,2.666667
2014-01-15,3.8,35.2,23.5,6.5,0.0,27.04,93.25,1.0
2014-01-16,0.6,35.2,19.7,6.2,0.0,25.92,93.0,2.0
2014-01-17,70.0,35.4,19.9,8.8,0.0,27.04,91.5,4.3333330000000005
2014-01-18,0.0,35.4,21.1,10.1,0.0,27.76,93.75,6.0
2014-01-19,0.0,33.9,21.2,6.9,0.0,27.64,91.0,4.0
2014-01-20,0.0,34.2,21.9,7.1,0.0,27.82,90.25,5.0
2014-01-21,0.0,35.2,21.9,10.3,0.0,27.82,89.0,3.333333
2014-01-22,0.0,35.8,19.5,8.1,0.0,26.72,91.25,2.666667
2014-01-23,21.6,34.7,19.9,8.9,0.0,26.38,93.0,2.0
2014-01-24,0.0,34.0,17.9,4.4,0.0,25.12,94.25,2.333333
2014-01-25,33.4,32.5,21.5,2.2,0.0,25.82,94.75,2.666667
2014-01-26,10.2,33.8,18.9,6.5,0.0,25.76,93.0,3.333333
2014-01-27,26.0,33.2,19.7,2.0,0.0,25.32,94.0,1.666667
2014-01-28,12.6,31.8,18.9,7.0,0.0,25.8,95.25,1.666667
2014-01-29,0.9,33.7,20.5,8.6,0.0,27.14,94.5,4.6666669999999995
2014-01-30,0.0,31.6,20.1,2.9,0.0,26.08,94.75,3.666667
2014-01-31,18.4,33.0,19.9,4.6,0.0,25.68,93.25,3.0
2014-02-01,11.8,32.7,20.1,5.1,0.0,26.02,94.75,2.333333
2014-02-02,0.0,32.0,20.9,4.0,0.0,25.92,94.5,2.666667
2014-02-03,17.3,32.9,20.7,6.1,0.0,26.3,94.0,4.3333330000000005
2014-02-04,0.0,33.7,21.1,5.7,0.0,26.42,91.0,1.666667
2014-02-05,1.8,33.6,19.9,10.2,0.0,26.04,92.25,2.666667
2014-02-06,3.4,33.3,20.9,8.4,0.0,27.06,93.75,4.6666669999999995
2014-02-07,0.0,33.2,20.5,5.6,0.0,27.0,92.0,3.0
2014-02-08,38.4,33.8,21.5,7.1,0.0,26.48,92.0,1.666667
2014-02-09,4.8,33.6,20.7,7.1,0.0,26.28,91.75,3.0
2014-02-10,1.0,34.7,20.3,7.8,0.0,26.66,92.0,3.0
2014-02-11,33.8,33.1,20.5,7.2,0.0,26.14,94.75,3.333333
2014-02-12,2.4,33.3,20.5,5.8,0.0,26.3,94.0,2.666667
2014-02-13,6.8,31.7,19.5,2.3,0.0,25.18,94.25,4.3333330000000005
2014-02-14,1.8,31.7,20.3,5.4,0.0,26.34,94.25,4.6666669999999995
2014-02-15,0.0,31.8,20.7,1.5,0.0,25.48,94.0,4.3333330000000005
2014-02-16,13.6,29.5,19.9,1.4,0.0,25.06,93.5,1.333333
2014-02-17,45.2,32.4,18.7,5.4,0.0,25.0,95.0,2.333333
2014-02-18,44.2,33.2,18.9,5.4,0.0,25.92,94.5,3.666667
2014-02-19,7.8,32.8,20.5,7.5,0.0,26.24,91.75,4.6666669999999995
2014-02-20,11.7,31.5,19.3,3.6,0.0,24.74,92.75,0.666667
2014-02-21,14.9,33.0,19.3,8.8,0.0,25.48,92.75,3.0
2014-02-22,0.0,34.3,20.3,8.6,0.0,27.62,94.0,2.333333
2014-02-23,0.0,34.2,20.1,9.2,0.0,27.46,91.0,3.0
2014-02-24,0.0,34.8,20.1,9.1,0.0,27.52,92.5,2.333333
2014-02-25,0.0,34.2,19.7,9.8,0.0,27.24,93.75,2.333333
2014-02-26,0.0,34.3,20.9,8.3,0.0,27.62,93.5,4.0
2014-02-27,0.0,33.6,20.5,7.5,0.0,27.32,93.5,5.6666669999999995
2014-02-28,1.8,32.8,21.1,3.3,0.0,26.24,90.75,1.333333
2014-03-01,39.9,33.0,20.7,7.2,0.0,26.54,94.0,4.6666669999999995
2014-03-02,0.3,34.3,20.9,4.5,0.0,27.34,92.25,3.666667
2014-03-03,0.0,34.0,20.7,7.5,0.0,26.72,95.5,3.0
2014-03-04,0.4,31.5,21.1,0.9,0.0,25.9,96.0,1.0
2014-03-05,6.6,32.2,20.3,7.9,0.0,25.64,95.5,3.0
2014-03-06,0.0,32.2,21.3,8.2,0.0,27.0,95.75,3.333333
2014-03-07,5.4,33.0,20.4,6.7,0.0,26.38,94.5,2.666667
2014-03-08,43.4,30.8,19.9,0.9,0.0,25.44,96.0,1.333333
2014-03-09,0.0,31.3,20.7,4.8,0.0,26.06,95.25,3.0
2014-03-10,0.0,32.2,21.3,7.3,0.0,26.48,97.0,4.0
2014-03-11,1.0,31.6,21.2,7.4,0.0,26.94,93.25,6.0
2014-03-12,0.0,33.5,20.1,9.6,0.0,27.26,92.75,4.0
2014-03-13,0.0,33.5,19.7,5.3,0.0,25.7,96.75,4.6666669999999995
2014-03-14,1.4,33.8,21.5,7.7,0.0,26.82,93.5,3.0
2014-03-15,15.6,32.6,19.1,6.6,0.0,25.64,96.0,2.0
2014-03-16,10.0,33.0,19.9,5.5,0.0,26.32,95.25,2.666667
2014-03-17,0.0,33.0,19.9,7.9,0.0,26.32,94.5,3.333333
2014-03-18,1.0,33.7,20.5,5.6,0.0,26.42,93.5,1.333333
2014-03-19,3.0,32.7,20.7,8.2,0.0,26.42,94.0,5.6666669999999995
2014-03-20,0.4,33.8,20.3,8.4,0.0,27.28,94.25,4.0
2014-03-21,13.3,34.3,20.7,7.5,0.0,26.38,92.75,3.0
2014-03-22,8.4,33.7,19.9,6.5,0.0,26.94,90.75,2.333333
2014-03-23,0.0,32.2,20.9,3.9,0.0,27.04,91.25,3.0
2014-03-24,0.0,33.5,20.1,9.4,0.0,26.18,93.75,3.666667
2014-03-25,21.1,34.0,20.1,10.6,0.0,26.54,94.5,0.666667
2014-03-26,0.8,32.7,20.2,5.6,0.0,26.18,92.75,5.0
2014-03-27,4.5,33.7,20.3,10.0,0.0,26.82,93.5,3.0
2014-03-28,5.5,32.2,18.5,6.6,0.0,25.84,95.5,2.333333
2014-03-29,0.5,31.2,20.5,7.5,0.0,26.44,96.0,5.0
2014-03-30,1.0,31.5,20.1,6.4,0.0,26.36,94.25,1.666667
2014-03-31,16.6,32.5,19.7,3.9,0.0,26.26,96.0,3.333333
2014-04-01,0.0,32.5,20.5,7.3,0.0,26.54,95.75,4.0
2014-04-02,0.0,31.2,21.1,3.4,0.0,26.52,92.25,2.666667
2014-04-03,12.9,32.0,20.3,6.7,0.0,26.24,95.0,1.666667
2014-04-04,58.0,32.6,18.9,6.6,0.0,25.8,95.0,2.333333
2014-04-05,6.8,32.6,19.3,8.4,0.0,26.46,95.0,4.6666669999999995
2014-04-06,0.0,32.2,20.7,9.0,0.0,26.6,94.0,4.3333330000000005
2014-04-07,0.0,33.3,19.9,9.2,0.0,26.7,93.0,2.333333
2014-04-08,0.0,32.0,21.5,7.3,0.0,26.56,94.5,3.0
2014-04-09,1.0,31.4,20.7,4.4,0.0,26.08,95.75,3.666667
2014-04-10,16.0,32.2,19.9,6.2,0.0,25.6,96.25,3.333333
2014-04-11,12.8,32.4,20.0,6.5,0.0,26.02,94.75,1.666667
2014-04-12,4.0,33.3,20.5,7.8,0.0,26.74,94.5,4.3333330000000005
2014-04-13,18.2,33.0,19.9,8.1,0.0,26.88,96.75,3.333333
2014-04-14,0.0,32.8,20.1,9.7,0.0,26.76,94.25,2.333333
2014-04-15,0.0,33.0,20.1,6.7,0.0,26.92,94.0,3.333333
2014-04-16,0.0,32.0,21.1,2.9,0.0,26.68,96.25,3.0
2014-04-17,0.0,32.7,20.3,4.4,0.0,26.62,92.0,3.0
2014-04-18,1.2,32.5,20.1,5.9,0.0,26.42,92.75,4.3333330000000005
2014-04-19,3.5,33.8,20.9,5.4,0.0,27.04,91.5,2.0
2014-04-20,2.7,33.2,20.7,6.9,0.0,26.76,94.0,3.0
2014-04-21,0.8,32.1,20.5,0.8,0.0,26.36,95.25,5.0
2014-04-22,1.3,33.4,20.3,7.7,0.0,27.08,95.75,2.666667
2014-04-23,0.0,31.6,20.9,1.5,0.0,26.8,93.25,5.0
2014-04-24,3.0,34.3,19.9,8.9,0.0,26.42,96.5,2.0
2014-04-25,39.7,33.2,19.7,5.4,0.0,26.16,95.25,5.6666669999999995
2014-04-26,1.0,32.8,21.3,5.5,0.0,27.16,93.75,4.3333330000000005
2014-04-27,0.0,32.7,20.5,5.7,0.0,26.06,92.25,3.333333
2014-04-28,8.4,33.0,17.1,5.2,0.0,25.76,93.25,3.0
2014-04-29,0.0,30.7,20.1,3.7,0.0,25.94,95.5,1.666667
2014-04-30,0.0,33.3,20.1,9.4,0.0,26.9,94.25,2.333333
2014-05-01,0.0,28.8,21.5,0.0,0.0,25.52,96.0,1.666667
2014-05-02,20.9,33.0,19.9,6.7,0.0,26.64,95.25,2.333333
2014-05-03,0.0,33.8,19.6,8.5,0.0,26.94,96.0,2.666667
2014-05-04,0.0,33.5,20.9,8.7,0.0,27.14,95.25,3.0
2014-05-05,37.6,33.0,20.5,8.2,0.0,26.68,92.75,2.333333
2014-05-06,1.6,33.2,20.1,5.9,0.0,25.96,95.0,0.333333
2014-05-07,1.3,32.4,19.7,5.0,0.0,26.16,95.75,1.333333
2014-05-08,6.4,32.8,20.2,9.2,0.0,26.58,95.75,2.666667
2014-05-09,2.6,33.8,20.9,8.5,0.0,27.04,95.5,1.333333
2014-05-10,0.0,32.4,20.7,3.2,0.0,26.16,96.0,3.666667
2014-05-11,0.0,33.3,21.5,5.9,0.0,26.86,92.5,1.666667
2014-05-12,3.4,31.8,20.5,4.5,0.0,26.48,96.25,2.333333
2014-05-13,0.0,32.6,20.7,6.8,0.0,27.04,94.5,0.666667
2014-05-14,0.0,33.2,20.5,6.4,0.0,26.88,94.25,2.333333
2014-05-15,1.3,31.5,21.3,1.8,0.0,26.34,96.5,2.333333
2014-05-16,0.5,33.6,19.5,10.5,0.0,26.4,91.25,2.333333
2014-05-17,0.0,33.1,20.7,5.8,0.0,26.46,95.75,2.333333
2014-05-18,0.0,33.5,19.5,9.0,0.0,26.24,93.0,2.666667
2014-05-19,0.0,34.2,19.5,7.4,0.0,26.72,94.5,2.0
2014-05-20,0.0,34.6,20.7,9.9,0.0,26.84,93.0,3.0
2014-05-21,2.0,33.0,19.7,8.1,0.0,26.38,92.0,3.0
2014-05-22,0.0,33.5,21.1,8.4,0.0,26.94,94.0,2.0
2014-05-23,0.0,32.6,20.5,7.4,0.0,26.64,95.75,1.0
2014-05-24,10.8,33.5,19.9,10.1,0.0,26.74,92.5,3.0
2014-05-25,0.0,34.2,21.5,7.0,0.0,27.4,93.0,2.0
