date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.9,24.3,10.1,10.4,0.0,0.0,6.366667
2014-01-02,0.0,32.8,24.7,9.4,8.9,0.0,0.0,5.8
2014-01-03,0.0,32.9,24.2,9.5,6.5,0.0,0.0,6.233333
2014-01-04,0.0,32.1,24.3,9.0,7.7,0.0,0.0,5.533333
2014-01-05,0.0,33.2,23.9,9.2,6.3,0.0,0.0,4.633333
2014-01-06,0.0,32.4,24.2,4.8,6.6,0.0,0.0,3.1333330000000004
2014-01-07,4.4,31.0,21.7,2.3,3.7,0.0,0.0,1.9333330000000002
2014-01-08,33.3,30.4,21.2,3.2,2.5,0.0,0.0,2.766667
2014-01-09,0.9,29.9,23.4,2.6,2.4,0.0,0.0,4.3
2014-01-10,1.4,32.5,23.6,6.4,3.5,0.0,0.0,4.2
2014-01-11,0.3,33.3,24.1,10.0,5.0,0.0,0.0,4.366667
2014-01-12,0.0,32.2,23.8,5.0,6.5,0.0,0.0,3.833333
2014-01-13,1.2,31.1,23.8,7.3,3.6,0.0,0.0,3.4
2014-01-14,0.0,32.3,23.2,7.8,4.1,0.0,0.0,4.1666669999999995
2014-01-15,0.0,33.0,24.1,5.0,4.3,0.0,0.0,4.8
2014-01-16,0.5,32.2,23.4,6.8,4.0,0.0,0.0,3.9666669999999997
2014-01-17,0.0,32.4,25.0,8.6,4.0,0.0,0.0,4.733333
2014-01-18,0.1,31.9,24.0,8.0,5.0,0.0,0.0,4.866667
2014-01-19,2.9,31.5,24.3,8.3,3.9,0.0,0.0,5.1666669999999995
2014-01-20,0.0,32.1,24.0,7.9,8.1,0.0,0.0,5.7
2014-01-21,0.0,34.1,23.9,9.9,3.4,0.0,0.0,5.4
2014-01-22,0.0,33.5,23.3,9.8,6.4,0.0,0.0,5.066667
2014-01-23,0.0,33.0,23.0,7.8,5.0,0.0,0.0,3.8666669999999996
2014-01-24,0.0,33.2,24.1,7.8,5.3,0.0,0.0,5.566667
2014-01-25,0.0,32.7,24.0,2.1,7.3,0.0,0.0,3.766667
2014-01-26,0.7,32.0,23.5,3.9,5.0,0.0,0.0,3.3666669999999996
2014-01-27,1.2,31.0,22.9,2.9,3.1,0.0,0.0,3.6333330000000004
2014-01-28,14.5,32.0,23.5,2.0,3.4,0.0,0.0,1.533333
2014-01-29,4.0,32.8,24.8,2.0,2.9,0.0,0.0,4.2
2014-01-30,5.5,30.7,22.9,2.0,3.9,0.0,0.0,2.1
2014-01-31,0.0,30.3,24.2,2.0,3.1,0.0,0.0,4.033333
2014-02-01,1.8,31.7,24.2,2.0,2.5,0.0,0.0,2.933333
2014-02-02,0.0,31.5,23.5,2.0,3.7,0.0,0.0,1.533333
2014-02-03,44.2,31.0,23.2,2.0,1.3,0.0,0.0,3.566667
2014-02-04,0.0,32.0,24.0,2.0,3.8,0.0,0.0,4.0
2014-02-05,0.0,32.3,23.0,2.0,4.5,0.0,0.0,3.233333
2014-02-06,0.0,31.4,23.0,2.0,4.2,0.0,0.0,4.733333
2014-02-07,0.0,31.3,23.6,4.0,4.7,0.0,0.0,3.333333
2014-02-08,0.4,33.2,23.3,7.2,3.1,0.0,0.0,3.7
2014-02-09,4.8,32.2,23.5,8.5,3.6,0.0,0.0,3.0
