date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.0,0.0,11.6,0.0,0.0,53.0,4.11552
2014-01-31,0.0,35.0,0.0,11.6,0.0,0.0,53.0,2.5722
2014-02-01,0.0,34.0,24.6,11.6,13.8,29.2,53.0,5.3
2014-02-02,0.0,36.0,23.6,11.7,9.2,29.92,47.0,4.35
2014-02-03,0.0,36.0,25.4,7.7,9.5,30.28,51.0,3.45
2014-02-04,0.0,35.6,24.4,9.8,10.7,29.88,44.0,3.2
2014-02-05,0.0,34.0,21.0,6.9,10.2,28.6,53.0,3.7
2014-02-06,0.0,35.2,24.0,9.6,11.4,29.96,44.0,5.4
2014-02-07,0.2,34.0,22.8,6.5,11.0,28.2,55.0,3.55
2014-02-08,0.0,35.6,23.8,11.0,8.8,29.88,55.0,3.3
2014-02-09,0.0,34.8,24.8,7.5,9.5,29.56,52.0,4.6
2014-02-10,0.0,35.0,24.6,9.3,10.4,29.8,51.0,3.65
2014-02-11,0.0,34.8,24.6,6.5,10.5,29.44,54.0,3.5
2014-02-12,0.0,34.6,24.8,7.6,8.3,30.26,44.0,4.3
2014-02-13,0.0,35.8,25.2,10.0,9.5,30.64,45.0,2.7
2014-02-14,0.0,34.8,25.8,5.5,7.0,28.8,66.0,2.8
2014-02-15,46.0,27.8,20.4,0.9,3.0,24.24,88.0,2.4
2014-02-16,124.8,26.0,20.2,0.7,0.2,22.84,95.0,1.05
2014-02-17,23.2,26.2,20.6,0.8,0.8,23.52,93.0,1.7
2014-02-18,2.5,32.6,21.8,9.7,0.3,25.24,88.0,3.1
2014-02-19,16.1,28.0,21.4,1.4,3.0,24.52,95.0,0.25
2014-02-20,17.1,27.0,20.8,0.5,0.4,24.0,88.0,0.55
2014-02-21,1.6,27.9,20.6,0.5,1.0,24.38,88.0,2.6
2014-02-22,0.0,30.2,22.6,6.8,2.7,25.88,75.0,2.85
2014-02-23,0.0,32.0,23.2,7.0,4.5,26.88,74.0,3.15
2014-02-24,0.0,32.4,24.2,9.9,3.4,27.2,72.0,4.25
2014-02-25,0.0,32.6,23.8,10.9,3.6,27.44,63.0,2.8
2014-02-26,0.0,30.6,23.4,6.5,4.7,26.36,71.0,4.3
2014-02-27,0.0,29.8,22.8,1.6,2.6,25.76,78.0,2.15
2014-02-28,0.0,31.4,23.6,4.3,1.8,27.04,75.0,1.3
2014-03-01,0.0,32.4,24.8,5.0,2.2,28.08,72.0,1.85
2014-03-02,0.0,31.1,23.4,4.3,2.0,26.62,78.0,1.8
2014-03-03,0.0,29.4,22.6,3.9,2.0,25.28,85.0,3.5
2014-03-04,20.8,26.2,22.4,1.8,1.9,24.12,92.0,2.65
2014-03-05,3.0,30.2,22.6,9.7,1.0,26.24,81.0,3.3
2014-03-06,0.0,31.0,22.8,11.2,3.0,26.2,74.0,4.15
2014-03-07,0.0,31.0,22.8,8.8,4.6,26.44,75.0,2.25
2014-03-08,0.0,32.4,22.0,10.2,1.0,27.04,70.0,3.4
2014-03-09,0.0,30.7,22.4,5.1,3.4,26.22,81.0,1.4
2014-03-10,0.0,31.0,22.4,3.6,2.1,26.4,77.0,2.6
2014-03-11,0.0,32.8,23.8,9.3,3.3,27.48,70.0,2.15
2014-03-12,0.0,31.8,22.8,8.0,4.2,26.72,72.0,3.1
2014-03-13,0.0,33.0,23.2,10.8,3.5,27.36,66.0,4.15
2014-03-14,0.0,30.8,23.6,3.5,4.0,26.84,66.0,3.3
2014-03-15,0.0,31.4,24.0,4.7,5.5,27.6,67.0,2.5
2014-03-16,0.0,31.8,24.4,7.0,4.5,27.36,69.0,2.5
2014-03-17,0.0,29.0,23.6,0.8,4.0,25.72,80.0,2.85
2014-03-18,0.0,33.0,23.8,8.6,1.3,27.8,68.0,2.9
2014-03-19,0.0,32.6,23.4,9.8,4.7,27.36,70.0,2.55
2014-03-20,0.0,34.4,23.8,10.7,3.8,28.76,65.0,3.05
2014-03-21,0.0,35.0,25.2,6.1,4.7,29.16,68.0,3.15
2014-03-22,0.0,35.0,25.6,10.2,6.4,29.68,62.0,3.45
2014-03-23,0.0,35.0,25.6,9.2,6.5,29.36,63.0,2.8
2014-03-24,0.0,35.0,24.2,11.0,7.7,29.16,64.0,2.5
2014-03-25,0.0,35.4,25.2,11.2,8.1,29.2,57.0,2.9
2014-03-26,0.0,35.8,25.2,10.8,10.6,29.44,62.0,3.1
2014-03-27,0.5,33.0,23.0,6.4,6.4,26.4,87.0,2.1
2014-03-28,3.1,32.4,22.4,7.9,2.4,26.96,79.0,1.5
2014-03-29,0.6,31.8,23.4,7.6,3.5,26.16,87.0,1.6
2014-03-30,8.2,33.0,23.2,7.7,3.5,26.12,92.0,1.8
2014-03-31,1.0,33.0,22.0,9.7,3.3,27.12,72.0,3.05
2014-04-01,0.0,31.8,23.6,10.0,5.2,27.48,69.0,2.9
