date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.0,22.5,9.7,11.9,29.18,35.0,1.3
2014-01-02,2.3,37.0,22.9,9.1,7.5,29.86,40.0,2.45
2014-01-03,0.0,35.5,24.1,8.5,11.1,29.4,42.0,3.1
2014-01-04,0.0,36.0,23.3,8.2,9.5,29.5,43.0,1.8
2014-01-05,0.0,36.5,23.1,10.5,10.2,30.08,40.0,1.9
2014-01-06,0.0,37.5,23.1,10.5,10.8,30.76,35.0,2.05
2014-01-07,0.0,37.0,25.5,9.0,12.4,29.78,51.0,1.8
2014-01-08,0.0,37.5,22.2,11.5,9.5,30.1,31.0,1.9
2014-01-09,0.0,36.5,22.5,10.0,12.8,29.56,41.0,2.2
2014-01-10,0.7,35.0,23.0,6.3,9.6,27.84,63.0,1.65
2014-01-11,1.2,37.5,24.4,7.1,5.2,30.3,33.0,1.65
2014-01-12,0.0,36.0,22.9,8.4,10.7,29.06,50.0,1.3
2014-01-13,1.2,32.2,24.1,3.9,6.2,27.02,72.0,1.15
2014-01-14,5.2,33.5,23.1,1.6,5.0,26.94,70.0,1.05
2014-01-15,0.0,35.8,23.6,5.8,5.9,28.96,53.0,1.65
2014-01-16,0.0,37.5,23.3,7.5,8.1,30.6,38.0,1.95
2014-01-17,0.0,36.4,26.1,5.7,9.2,30.7,41.0,1.6
2014-01-18,0.0,38.0,23.9,10.2,10.4,31.54,38.75,1.15
2014-01-19,0.0,37.0,26.1,7.5,10.2,29.42,73.0,1.2
2014-01-20,1.2,34.5,24.9,3.6,5.7,29.52,50.0,1.45
2014-01-21,0.0,35.2,24.7,2.9,8.8,30.18,36.0,2.3
2014-01-22,0.0,37.2,23.5,6.4,10.4,30.62,41.0,1.0
2014-01-23,0.0,37.5,24.1,9.4,9.5,30.4,52.0,1.05
2014-01-24,0.0,34.5,23.0,3.6,10.0,26.38,67.0,1.3
2014-01-25,10.8,27.2,22.0,0.5,6.0,24.44,90.0,0.85
2014-01-26,0.0,33.5,22.6,5.6,1.4,28.02,58.0,1.35
2014-01-27,0.2,30.2,22.9,0.5,5.1,26.14,59.0,0.75
2014-01-28,0.0,34.0,23.9,4.5,5.3,29.54,34.0,2.15
2014-01-29,0.0,35.8,21.8,7.8,9.0,29.56,40.0,0.85
2014-01-30,0.0,34.0,24.3,3.7,9.2,27.26,81.0,1.65
2014-01-31,5.6,35.0,23.9,6.3,5.0,29.54,49.0,0.9
2014-02-01,0.0,36.0,23.0,9.9,7.3,30.08,35.0,1.35
2014-02-02,0.0,37.5,23.7,10.6,9.0,30.96,34.0,1.2
2014-02-03,0.0,37.0,25.7,7.5,9.9,30.26,52.0,1.8
2014-02-04,0.0,33.7,24.1,2.4,9.4,29.16,46.0,1.35
2014-02-05,0.0,35.0,24.7,4.2,8.4,30.26,39.0,1.3
2014-02-06,0.0,35.3,23.3,8.1,7.9,30.0,37.0,1.3
2014-02-07,0.0,35.0,25.8,3.2,9.1,29.84,45.0,2.3
2014-02-08,0.0,36.2,24.5,5.2,9.4,29.78,51.0,1.45
2014-02-09,8.5,32.5,23.1,2.7,8.8,27.16,73.0,1.65
2014-02-10,0.0,33.0,23.5,4.6,4.2,28.14,57.0,1.1
2014-02-11,0.0,31.5,23.9,2.8,7.3,27.88,57.0,1.2
2014-02-12,0.0,34.5,23.3,5.3,6.7,28.44,66.0,1.3
2014-02-13,5.6,35.5,24.3,6.0,6.0,29.16,58.0,0.9
2014-02-14,20.6,30.8,22.0,0.4,5.9,25.88,88.0,0.45
2014-02-15,1.4,33.5,22.9,2.6,2.5,27.2,74.0,0.8
2014-02-16,0.0,27.0,23.1,0.0,4.0,24.98,80.0,1.15
2014-02-17,0.3,27.5,22.5,0.2,2.0,24.64,94.0,0.6
2014-02-18,40.4,33.5,22.2,6.1,1.0,26.14,76.0,0.9
2014-02-19,0.0,29.5,22.9,2.6,3.5,25.08,93.0,0.7
2014-02-20,31.2,28.5,22.7,0.0,1.5,25.2,91.0,1.1
2014-02-21,1.6,32.2,23.3,1.8,1.2,26.5,68.0,1.3
2014-02-22,0.0,31.5,21.4,2.4,5.3,26.7,59.0,1.0
2014-02-23,0.0,35.0,22.7,9.6,5.5,28.14,61.0,0.65
2014-02-24,0.0,35.0,23.6,9.0,6.6,28.72,52.0,0.85
2014-02-25,0.0,35.0,22.5,11.0,6.7,28.98,47.0,2.0
2014-02-26,0.0,34.2,22.5,8.4,7.9,28.78,47.0,1.9
