date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.0,22.4,11.4,12.3,30.04,48.5,1.4
2014-01-02,0.0,37.8,22.4,10.0,10.7,28.8,62.0,1.8666669999999999
2014-01-03,0.0,36.0,24.2,6.8,9.3,28.96,65.0,2.9666669999999997
2014-01-04,0.0,36.0,23.6,10.1,8.3,28.52,63.25,3.0
2014-01-05,0.0,36.6,22.8,9.9,8.5,28.84,61.5,3.233333
2014-01-06,0.0,36.0,23.4,8.8,7.4,27.08,67.25,1.366667
2014-01-07,3.4,31.4,22.2,1.5,1.9,25.64,81.5,2.166667
2014-01-08,0.0,35.2,21.4,8.4,0.2,26.0,76.25,1.166667
2014-01-09,10.6,32.8,22.6,5.2,1.2,26.32,74.25,1.566667
2014-01-10,0.0,34.4,23.0,8.1,1.0,27.68,66.5,2.5333330000000003
2014-01-11,0.0,36.2,23.8,6.7,6.5,29.16,62.25,2.333333
2014-01-12,0.0,33.8,22.4,5.7,7.9,26.32,80.0,1.8
2014-01-13,31.0,34.2,22.0,6.3,3.1,26.0,80.0,1.333333
2014-01-14,1.4,33.4,23.2,7.5,4.1,27.68,77.25,2.666667
2014-01-15,0.0,35.6,24.0,7.6,5.7,27.48,76.0,1.366667
2014-01-16,14.3,35.0,21.0,7.1,4.9,26.92,71.25,1.9333330000000002
2014-01-17,0.0,34.6,23.4,10.3,5.9,28.2,67.5,2.1333330000000004
2014-01-18,0.0,35.2,23.4,10.8,5.1,28.48,66.25,3.066667
2014-01-19,0.0,35.8,23.8,9.7,7.0,28.28,70.75,1.5
2014-01-20,2.4,33.8,23.8,8.5,4.8,27.12,74.75,2.6333330000000004
2014-01-21,0.0,35.0,23.2,10.3,5.9,28.28,61.75,2.5
2014-01-22,0.0,36.0,21.4,9.8,2.9,27.72,63.75,2.166667
2014-01-23,4.6,35.0,23.6,8.3,5.0,27.68,71.0,1.833333
2014-01-24,0.0,34.0,22.8,6.3,4.5,27.6,69.25,2.4666669999999997
2014-01-25,0.0,31.8,23.8,0.9,5.3,26.32,79.25,2.0
2014-01-26,0.0,36.0,22.2,6.7,5.2,26.88,71.25,1.7333330000000002
2014-01-27,10.3,34.2,23.0,6.9,5.2,26.16,76.25,2.3666669999999996
2014-01-28,7.7,32.4,23.0,5.3,3.9,26.52,78.0,2.2
2014-01-29,0.0,34.4,23.4,7.6,0.3,27.68,49.5,1.133333
2014-01-30,0.0,32.2,21.6,4.8,9.1,24.72,93.0,1.0
2014-01-31,37.8,33.2,21.2,7.3,1.7,26.0,78.25,1.1
2014-02-01,0.4,33.0,23.4,3.9,3.1,27.12,76.0,1.9666669999999997
2014-02-02,5.7,28.8,24.2,0.5,2.9,25.32,95.25,1.9333330000000002
2014-02-03,12.4,32.8,24.0,5.2,0.7,27.44,80.0,2.9666669999999997
2014-02-04,0.9,31.6,23.6,4.1,2.0,26.56,80.25,1.9666669999999997
2014-02-05,2.9,33.2,22.0,8.5,2.0,26.72,74.75,1.266667
2014-02-06,1.0,34.2,22.6,8.3,3.5,27.6,67.25,2.0333330000000003
2014-02-07,0.6,33.2,23.0,5.7,4.9,25.76,82.75,1.0
2014-02-08,5.5,34.6,22.0,7.9,2.6,25.64,79.75,1.266667
2014-02-09,9.3,32.4,21.8,4.6,2.8,25.88,81.5,2.166667
2014-02-10,0.0,33.0,23.2,6.2,2.2,27.8,70.25,2.6333330000000004
2014-02-11,0.0,33.6,21.8,8.0,4.2,25.76,78.5,2.233333
2014-02-12,46.6,30.6,21.6,4.1,3.5,25.88,86.75,1.8
2014-02-13,3.2,32.0,23.6,4.4,2.7,25.76,86.75,1.633333
2014-02-14,8.0,32.0,21.4,5.5,1.8,24.72,82.25,1.533333
2014-02-15,38.2,31.2,21.4,4.0,2.1,24.84,80.75,1.6
2014-02-16,9.2,31.4,22.6,2.4,2.9,25.08,91.5,1.466667
2014-02-17,12.9,32.2,22.6,7.1,0.9,25.24,85.5,1.666667
2014-02-18,15.6,33.2,22.4,6.2,2.3,26.48,78.5,0.8
2014-02-19,0.0,30.8,22.8,1.2,1.2,25.04,84.5,1.233333
2014-02-20,70.8,32.0,22.6,2.4,1.0,25.4,85.5,1.1
2014-02-21,3.5,34.4,22.6,8.1,1.1,27.32,67.75,1.133333
2014-02-22,0.0,33.4,22.4,11.0,1.7,28.0,64.5,1.066667
2014-02-23,0.0,33.2,23.4,8.6,1.1,28.0,70.25,1.366667
2014-02-24,0.0,34.0,22.6,11.0,4.6,27.92,67.0,2.8
2014-02-25,0.0,34.2,22.6,9.4,4.7,27.76,68.5,1.133333
2014-02-26,0.0,33.8,23.2,7.0,4.9,27.96,70.25,1.8666669999999999
2014-02-27,0.0,34.0,24.2,8.9,4.8,27.32,71.5,1.9666669999999997
2014-02-28,0.0,33.8,23.2,6.6,3.5,26.64,79.0,0.8
2014-03-01,8.9,33.6,23.6,8.1,2.5,27.44,76.0,1.7
