date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.3,0.0,10.5,4.8,0.0,57.75,1.233333
2014-01-02,0.0,36.7,0.0,9.4,7.0,0.0,62.25,1.666667
2014-01-03,5.2,35.9,0.0,7.5,5.4,0.0,64.75,2.333333
2014-01-04,0.0,35.3,0.0,8.6,5.5,0.0,65.5,1.166667
2014-01-05,0.0,36.1,0.0,10.8,4.9,0.0,66.25,1.9333330000000002
2014-01-06,6.1,33.9,0.0,9.0,5.2,0.0,70.0,2.266667
2014-01-07,24.2,29.0,0.0,1.9,3.8,0.0,86.5,1.266667
2014-01-08,0.1,32.7,0.0,8.4,1.6,0.0,78.75,0.966667
2014-01-09,0.0,33.1,0.0,6.7,4.0,0.0,77.75,2.7
2014-01-10,0.4,33.0,0.0,7.0,2.5,0.0,79.75,2.266667
2014-01-11,10.2,33.1,0.0,5.7,3.0,0.0,79.75,0.633333
2014-01-12,0.1,32.8,0.0,4.0,2.7,0.0,84.5,0.933333
2014-01-13,96.4,31.7,0.0,3.4,2.7,0.0,87.0,0.766667
2014-01-14,33.7,31.4,0.0,2.1,1.8,0.0,84.75,0.6
2014-01-15,10.0,32.2,0.0,5.2,2.2,0.0,82.25,1.566667
2014-01-16,1.1,31.8,0.0,6.6,1.7,0.0,85.0,0.266667
2014-01-17,0.0,34.4,0.0,10.1,1.1,0.0,69.5,2.0333330000000003
2014-01-18,0.0,34.4,0.0,10.7,4.0,0.0,79.0,0.9
2014-01-19,0.0,34.2,0.0,7.4,3.2,0.0,79.75,0.466667
2014-01-20,0.0,31.8,0.0,1.2,3.0,0.0,85.25,1.2
2014-01-21,20.0,32.4,0.0,7.8,1.9,0.0,82.75,1.0
2014-01-22,0.0,32.5,0.0,5.9,2.4,0.0,79.75,0.533333
2014-01-23,0.0,32.2,0.0,5.7,2.6,0.0,82.75,0.733333
2014-01-24,0.0,31.0,0.0,4.1,2.5,0.0,81.0,1.133333
2014-01-25,0.0,27.4,0.0,0.0,2.3,0.0,91.0,1.6
2014-01-26,31.2,31.2,0.0,6.4,1.0,0.0,79.75,2.233333
2014-01-27,0.0,31.5,0.0,6.4,1.3,0.0,80.0,1.8
2014-01-28,31.2,29.4,0.0,0.4,3.1,0.0,90.5,0.5
2014-01-29,0.0,33.2,0.0,10.2,0.8,0.0,76.0,0.6
2014-01-30,0.0,31.0,0.0,3.7,3.0,0.0,86.75,1.8666669999999999
2014-01-31,1.9,31.8,0.0,4.8,1.6,0.0,83.5,1.166667
2014-02-01,0.0,32.0,0.0,4.3,2.0,0.0,85.75,0.5
2014-02-02,1.8,33.4,0.0,7.2,1.9,0.0,81.75,1.6
2014-02-03,0.7,32.0,0.0,2.9,2.3,0.0,86.75,0.7
2014-02-04,2.3,30.5,0.0,3.2,1.5,0.0,88.0,0.833333
2014-02-05,1.2,30.5,0.0,6.8,2.0,0.0,88.0,1.0
2014-02-06,0.0,30.5,0.0,6.8,2.0,0.0,88.0,0.0
2014-02-07,14.4,34.0,0.0,8.0,2.0,0.0,88.0,1.65
2014-02-08,0.0,33.8,0.0,9.3,3.6,0.0,82.75,1.9333330000000002
2014-02-09,39.4,29.4,0.0,1.3,2.3,0.0,92.0,0.4
2014-02-10,0.0,33.4,0.0,6.5,1.1,0.0,83.5,1.2
2014-02-11,0.0,34.3,0.0,8.6,2.5,0.0,79.0,0.9
2014-02-12,1.7,33.2,0.0,2.6,3.3,0.0,87.25,0.833333
2014-02-13,0.3,30.1,0.0,1.1,1.4,0.0,86.25,1.433333
2014-02-14,0.6,32.4,0.0,4.9,1.4,0.0,85.75,0.866667
2014-02-15,63.6,31.9,0.0,8.2,1.9,0.0,85.75,2.7
2014-02-16,34.6,31.0,0.0,6.2,2.4,0.0,89.25,1.266667
2014-02-17,77.2,31.9,0.0,5.5,1.4,0.0,85.5,1.7
2014-02-18,0.0,32.1,0.0,2.7,1.9,0.0,81.75,0.833333
2014-02-19,15.0,29.0,0.0,1.8,1.9,0.0,92.5,1.233333
2014-02-20,23.0,30.0,0.0,0.4,0.4,0.0,91.75,1.333333
2014-02-21,0.1,32.9,0.0,7.2,1.2,0.0,81.5,1.433333
2014-02-22,0.0,33.4,0.0,7.5,2.7,0.0,77.75,1.033333
2014-02-23,0.0,32.9,0.0,4.2,3.3,0.0,79.25,1.0
2014-02-24,0.0,34.2,0.0,10.6,2.2,0.0,78.0,0.333333
2014-02-25,0.0,34.1,0.0,10.0,3.8,0.0,75.0,1.0
2014-02-26,0.0,33.4,0.0,5.6,3.4,0.0,84.5,1.066667
2014-02-27,16.1,31.7,0.0,3.8,2.3,0.0,81.0,0.7
2014-02-28,16.6,32.0,0.0,5.2,2.3,0.0,81.75,0.9
2014-03-01,0.0,31.3,0.0,2.7,2.5,0.0,88.0,0.666667
2014-03-02,0.0,33.5,0.0,5.8,1.5,0.0,79.5,1.333333
2014-03-03,2.6,31.7,0.0,4.1,2.3,0.0,81.75,0.966667
2014-03-04,16.4,29.5,0.0,1.0,2.0,0.0,91.0,1.2
2014-03-05,4.6,31.7,0.0,4.9,1.2,0.0,85.75,0.6
2014-03-06,0.2,31.8,0.0,5.3,1.5,0.0,80.5,1.3
2014-03-07,4.6,31.9,0.0,6.3,2.3,0.0,81.25,0.43333299999999997
2014-03-08,13.5,31.0,0.0,1.1,2.2,0.0,86.0,0.533333
2014-03-09,38.6,32.1,0.0,8.9,1.4,0.0,85.25,1.466667
2014-03-10,0.1,31.3,0.0,6.6,1.8,0.0,85.25,0.266667
2014-03-11,1.5,32.8,0.0,7.6,1.6,0.0,83.5,1.066667
2014-03-12,1.6,32.5,0.0,7.5,2.4,0.0,83.75,1.166667
2014-03-13,25.4,32.3,0.0,7.3,2.0,0.0,83.25,0.266667
2014-03-14,0.0,32.2,0.0,10.2,2.5,0.0,81.25,1.166667
2014-03-15,0.0,33.1,0.0,7.9,2.7,0.0,85.25,0.8
2014-03-16,29.4,33.0,0.0,9.1,2.0,0.0,85.0,0.933333
2014-03-17,26.2,32.3,0.0,9.2,2.0,0.0,84.75,1.2
2014-03-18,1.0,33.2,0.0,10.0,2.6,0.0,77.75,0.766667
2014-03-19,0.0,32.8,0.0,7.9,2.5,0.0,89.75,0.533333
2014-03-20,3.0,33.1,0.0,10.8,2.2,0.0,81.5,0.866667
2014-03-21,0.0,33.7,0.0,9.4,2.7,0.0,79.0,1.466667
2014-03-22,0.0,33.3,0.0,2.6,1.7,0.0,82.25,0.333333
2014-03-23,0.0,33.2,0.0,5.9,2.9,0.0,86.25,0.766667
2014-03-24,3.6,31.3,0.0,6.2,2.4,0.0,84.25,0.633333
2014-03-25,0.0,32.4,0.0,5.8,2.2,0.0,83.0,1.1
2014-03-26,22.6,32.5,0.0,6.8,2.3,0.0,85.5,1.8666669999999999
2014-03-27,0.0,32.1,0.0,7.8,1.7,0.0,82.75,0.8
2014-03-28,49.4,30.0,0.0,3.5,2.0,0.0,89.5,0.466667
2014-03-29,40.4,32.0,0.0,3.5,1.6,0.0,84.0,0.933333
2014-03-30,10.8,31.3,0.0,7.1,2.0,0.0,89.0,0.633333
2014-03-31,0.9,30.0,0.0,2.0,1.4,0.0,84.75,1.166667
2014-04-01,0.0,33.4,0.0,9.6,2.0,0.0,80.25,1.066667
2014-04-02,0.0,32.5,0.0,7.1,3.2,0.0,85.75,1.3
2014-04-03,0.6,32.1,0.0,5.1,2.2,0.0,84.0,0.866667
2014-04-04,0.0,29.5,0.0,1.1,1.8,0.0,89.25,0.7
2014-04-05,0.6,33.3,0.0,8.2,1.5,0.0,84.5,1.166667
2014-04-06,6.2,32.1,0.0,5.5,1.3,0.0,89.25,0.966667
2014-04-07,15.0,32.5,0.0,7.8,1.8,0.0,84.5,0.633333
2014-04-08,0.0,32.9,0.0,8.6,1.8,0.0,77.25,1.833333
2014-04-09,0.7,32.8,0.0,8.9,2.6,0.0,85.25,0.966667
2014-04-10,19.8,33.0,0.0,7.5,2.1,0.0,81.0,2.066667
2014-04-11,53.4,32.4,0.0,5.6,2.1,0.0,85.0,1.133333
2014-04-12,9.0,33.0,0.0,6.8,1.7,0.0,85.25,0.666667
2014-04-13,1.3,33.3,0.0,5.7,1.9,0.0,81.25,1.066667
2014-04-14,3.8,32.9,0.0,8.3,1.7,0.0,83.75,0.533333
2014-04-15,0.0,33.1,0.0,8.5,2.6,0.0,82.0,1.066667
2014-04-16,0.0,33.3,0.0,8.9,2.4,0.0,83.25,1.5
2014-04-17,36.2,31.2,0.0,5.5,2.5,0.0,91.25,0.566667
2014-04-18,34.0,31.8,0.0,6.8,1.3,0.0,85.0,1.9333330000000002
2014-04-19,3.0,33.0,0.0,7.2,1.8,0.0,83.25,0.0
2014-04-20,1.0,32.3,0.0,7.2,2.0,0.0,85.5,0.0
2014-04-21,11.6,32.4,0.0,9.2,1.7,0.0,84.75,1.0
2014-04-22,4.4,32.4,0.0,7.4,1.9,0.0,83.5,0.7
2014-04-23,4.5,32.3,0.0,8.7,2.4,0.0,82.25,1.9666669999999997
2014-04-24,0.0,34.0,0.0,10.7,2.5,0.0,80.5,0.6
2014-04-25,0.0,32.4,0.0,5.4,2.5,0.0,84.25,1.9
2014-04-26,0.0,33.8,0.0,5.9,1.6,0.0,79.5,1.666667
2014-04-27,1.6,31.7,0.0,6.6,2.2,0.0,87.0,0.533333
2014-04-28,11.4,32.4,23.5,6.5,1.9,26.5,76.5,1.633333
2014-04-29,9.4,30.5,23.7,1.6,2.0,26.4,85.5,0.766667
2014-04-30,0.0,31.3,23.4,8.2,2.9,27.46,70.5,2.2
2014-05-01,0.0,32.2,22.0,1.6,4.4,26.0,81.75,1.333333
2014-05-02,0.8,32.8,23.2,10.5,2.6,26.84,80.25,1.466667
2014-05-03,0.0,32.3,24.5,6.2,3.0,27.08,82.75,0.7
2014-05-04,49.1,30.4,22.7,4.2,1.9,25.96,86.5,1.066667
2014-05-05,0.2,31.9,22.8,10.5,2.1,27.14,79.5,1.2
2014-05-06,3.5,32.4,23.8,7.8,3.0,27.56,79.25,0.533333
2014-05-07,0.0,32.3,23.3,6.3,2.7,27.1,84.75,0.7
2014-05-08,3.0,32.3,23.8,4.7,1.7,27.02,86.5,0.966667
2014-05-09,0.0,32.7,23.3,6.8,2.2,26.84,81.25,0.966667
2014-05-10,0.0,32.4,23.7,3.6,2.1,26.86,88.5,1.5
2014-05-11,7.4,33.1,22.8,10.1,1.9,27.26,81.0,0.733333
2014-05-12,6.0,31.5,23.2,7.8,2.8,26.5,83.5,1.366667
2014-05-13,0.0,31.3,23.2,8.6,3.3,26.64,79.25,1.5
2014-05-14,0.0,32.8,24.6,7.8,3.2,27.6,81.75,0.533333
2014-05-15,0.0,32.7,25.0,6.8,2.7,27.42,81.0,1.666667
2014-05-16,0.0,32.7,24.6,8.9,2.4,27.62,81.5,0.933333
2014-05-17,6.0,33.0,23.2,6.9,2.3,27.24,84.75,0.266667
2014-05-18,3.8,33.2,23.4,10.7,2.2,27.52,81.75,0.533333
2014-05-19,1.4,33.2,22.8,9.4,2.9,27.12,80.25,0.666667
2014-05-20,0.0,33.7,24.4,9.8,2.5,27.58,80.5,0.7
2014-05-21,4.5,32.6,23.5,8.3,3.0,26.86,83.5,0.766667
2014-05-22,0.0,32.3,24.2,5.2,2.7,26.46,86.5,0.8
2014-05-23,25.5,31.9,23.3,6.4,1.5,26.88,85.25,1.033333
2014-05-24,0.0,33.5,23.6,9.3,2.0,27.5,81.5,0.666667
2014-05-25,3.1,31.9,23.8,6.7,2.6,26.72,84.25,0.166667
2014-05-26,0.0,33.1,23.4,9.0,2.1,26.86,81.75,1.133333
2014-05-27,0.0,32.4,22.8,8.3,2.6,26.64,81.75,1.033333
2014-05-28,0.0,33.2,22.4,8.0,3.0,27.0,80.5,0.6
2014-05-29,0.5,31.3,24.2,3.3,2.2,26.14,91.0,0.933333
2014-05-30,9.5,32.7,22.8,7.9,1.8,27.34,82.25,1.3
2014-05-31,0.0,32.1,23.5,10.1,2.6,26.64,74.5,1.666667
2014-06-01,0.0,32.1,21.0,10.2,4.8,25.78,74.75,1.2
2014-06-02,0.0,33.2,21.3,10.3,3.2,26.54,78.5,0.6
2014-06-03,0.0,33.0,21.3,7.8,2.8,26.26,82.5,0.7
2014-06-04,0.0,32.7,22.2,9.8,2.2,26.9,79.75,0.933333
2014-06-05,0.0,33.1,22.4,10.1,2.9,27.22,76.75,1.366667
2014-06-06,0.0,32.8,22.2,9.9,3.6,27.04,76.5,1.2
2014-06-07,0.0,32.8,23.3,9.7,3.6,27.5,79.5,0.9
2014-06-08,0.0,32.5,22.6,9.4,3.6,26.78,80.0,1.066667
2014-06-09,0.0,33.1,22.2,10.0,3.2,27.02,75.5,0.966667
2014-06-10,0.0,33.2,21.6,10.1,4.4,26.86,71.25,1.2
2014-06-11,0.2,32.4,23.4,9.8,5.1,26.48,72.75,1.366667
2014-06-12,0.0,32.7,19.0,10.2,5.5,25.54,70.25,1.6
2014-06-13,0.0,33.1,20.8,10.2,4.2,26.34,75.0,0.866667
2014-06-14,0.0,32.8,22.2,9.0,3.5,26.9,77.25,0.666667
2014-06-15,0.0,33.5,24.1,8.7,3.3,27.72,74.0,1.466667
2014-06-16,0.0,32.5,23.8,6.1,3.6,27.46,77.75,1.2
2014-06-17,0.0,33.1,23.6,9.9,3.2,26.9,71.5,1.466667
2014-06-18,0.0,33.3,21.8,7.9,3.2,26.94,76.25,1.066667
2014-06-19,0.0,33.2,22.6,9.9,2.8,27.32,78.0,0.666667
2014-06-20,0.8,33.1,23.2,8.0,2.6,26.98,76.75,1.366667
2014-06-21,0.0,32.7,23.8,8.1,2.6,26.42,79.25,0.666667
2014-06-22,0.0,33.1,20.2,10.2,4.0,26.22,70.0,1.9333330000000002
2014-06-23,0.0,33.0,20.4,10.3,5.0,26.76,64.5,1.033333
2014-06-24,0.0,34.0,21.6,9.8,4.7,28.76,55.75,1.7333330000000002
2014-06-25,0.0,33.0,24.4,10.3,7.0,27.44,70.5,1.433333
2014-06-26,0.0,34.0,24.1,7.8,4.7,27.76,75.25,0.7
2014-06-27,1.0,33.9,23.6,9.8,3.5,27.66,75.0,0.966667
2014-06-28,0.0,34.1,23.2,9.4,4.3,27.5,74.0,1.366667
2014-06-29,0.0,34.3,22.4,10.0,4.2,27.38,69.0,1.066667
2014-06-30,0.0,33.1,22.2,9.1,4.5,26.86,74.75,0.533333
2014-07-01,0.0,33.1,23.2,7.5,2.7,26.9,77.25,0.766667
2014-07-02,0.0,33.3,23.2,8.2,2.4,26.72,76.0,0.7
2014-07-03,0.0,34.0,21.0,7.3,3.0,25.92,78.5,0.9
2014-07-04,0.0,33.4,21.9,9.4,3.8,26.88,68.0,1.633333
2014-07-05,0.0,33.1,23.2,10.0,5.1,26.92,62.25,1.2
2014-07-06,0.0,34.1,19.4,10.2,6.2,26.4,65.25,1.9333330000000002
2014-07-07,0.0,34.0,20.4,10.0,6.0,25.92,65.25,2.0333330000000003
2014-07-08,0.0,34.2,18.8,10.3,6.5,26.32,59.75,1.7666669999999998
2014-07-09,0.0,33.0,20.8,7.2,6.0,27.02,77.25,0.4
2014-07-10,0.0,33.6,23.7,8.2,3.5,27.48,64.75,1.333333
2014-07-11,0.0,34.3,20.9,9.7,4.7,26.62,72.75,0.733333
2014-07-12,0.0,34.6,20.8,5.8,4.3,27.38,65.0,2.0333330000000003
2014-07-13,0.0,33.4,23.3,8.6,5.0,27.3,72.0,1.366667
2014-07-14,0.0,34.6,20.0,9.4,4.8,26.74,65.75,1.7666669999999998
2014-07-15,0.0,33.9,21.4,10.1,5.7,27.98,62.5,1.333333
2014-07-16,0.0,34.0,19.8,10.3,6.5,27.0,65.5,1.0
2014-07-17,0.2,33.8,21.5,9.6,5.0,26.7,70.0,1.5
2014-07-18,0.0,34.6,20.5,10.4,5.1,27.32,66.0,1.0
2014-07-19,0.0,34.9,22.2,10.2,5.2,28.0,65.0,1.533333
2014-07-20,1.2,34.9,23.1,10.3,5.0,27.44,70.5,0.6
2014-07-21,0.0,34.6,21.4,10.0,4.7,27.2,67.75,1.1
2014-07-22,0.0,34.4,21.3,8.6,4.6,27.64,65.75,1.833333
2014-07-23,0.0,35.3,23.8,9.6,6.0,28.68,69.0,1.433333
2014-07-24,0.0,35.6,21.6,10.6,7.4,27.2,62.25,2.9
2014-07-25,0.0,34.8,20.2,10.5,7.6,26.92,61.5,1.666667
2014-07-26,0.0,34.0,20.0,8.8,6.7,27.06,64.5,0.8
2014-07-27,0.0,35.1,19.8,10.6,5.3,26.14,63.25,1.033333
2014-07-28,0.0,35.3,18.1,10.4,5.3,26.64,56.75,0.933333
2014-07-29,0.0,35.8,22.0,8.2,6.2,27.12,60.75,1.0
2014-07-30,0.0,34.8,19.5,10.4,7.3,26.62,60.75,1.5
2014-07-31,0.0,34.4,20.2,10.5,7.7,26.4,58.0,1.466667
2014-08-01,0.0,34.5,19.4,9.8,6.2,25.9,65.5,1.1
2014-08-02,0.0,35.1,19.8,9.3,5.0,26.7,65.75,0.633333
2014-08-03,0.0,36.1,21.4,10.6,5.5,27.94,64.75,1.2
2014-08-04,0.0,35.9,23.2,9.7,6.5,28.3,62.75,1.033333
2014-08-05,0.0,36.3,21.7,10.5,6.0,29.16,55.25,2.0333330000000003
2014-08-06,0.0,35.9,24.1,9.4,7.0,28.8,61.75,1.566667
2014-08-07,0.0,34.8,22.0,10.2,7.6,28.16,55.75,1.7333330000000002
2014-08-08,0.0,35.3,24.3,10.7,8.7,28.0,60.75,1.6
2014-08-09,0.0,35.2,21.2,10.4,7.4,27.5,57.25,1.2
2014-08-10,0.0,35.0,20.0,10.6,6.6,26.76,65.5,1.366667
