date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,36.0,21.4,10.9,8.0,28.88,54.25,1.0
2014-01-02,0.0,35.6,21.0,10.8,7.4,28.6,54.5,2.333333
2014-01-03,0.0,34.0,19.8,10.9,6.2,27.76,57.75,2.333333
2014-01-04,0.0,34.6,21.6,11.4,6.4,28.16,57.5,1.0
2014-01-05,0.0,35.0,20.0,11.8,7.0,28.48,51.75,1.666667
2014-01-06,0.0,35.4,20.2,11.5,7.8,27.64,53.0,3.0
2014-01-07,0.0,35.8,18.4,12.1,7.7,28.36,50.25,3.666667
2014-01-08,0.0,36.4,18.6,11.0,8.0,27.92,48.5,2.333333
2014-01-09,0.0,35.0,19.2,11.9,8.0,27.68,52.25,1.666667
2014-01-10,0.0,31.2,20.6,0.3,7.4,26.24,69.5,1.0
2014-01-11,0.0,33.2,22.2,3.6,3.8,27.2,74.25,2.333333
2014-01-12,0.0,35.4,22.4,9.7,5.0,28.6,53.0,4.3333330000000005
2014-01-13,0.0,34.4,21.8,5.2,7.4,28.6,51.75,2.333333
2014-01-14,0.0,34.0,22.4,5.2,7.0,28.84,51.75,4.3333330000000005
2014-01-15,0.0,33.6,22.2,4.4,7.4,27.84,61.25,2.333333
2014-01-16,0.0,37.0,20.8,8.2,5.6,27.72,61.0,2.333333
2014-01-17,0.0,31.4,22.2,5.8,7.6,26.24,75.25,3.0
2014-01-18,0.0,35.6,22.2,10.0,3.6,28.64,60.75,2.333333
2014-01-19,3.4,31.4,23.0,1.4,5.8,26.68,79.75,1.0
2014-01-20,0.0,32.8,23.2,4.0,2.2,26.84,79.75,1.666667
2014-01-21,0.0,29.0,22.2,1.4,3.2,25.48,82.75,1.666667
2014-01-22,9.5,34.4,21.0,8.7,1.4,27.36,65.75,2.333333
2014-01-23,0.0,35.0,22.0,8.1,5.8,27.88,61.5,1.666667
2014-01-24,0.0,35.4,22.4,1.6,6.0,27.64,67.75,3.0
2014-01-25,0.0,32.8,21.8,5.5,5.4,25.48,87.25,1.0
2014-01-26,2.9,31.4,21.6,4.0,2.4,26.32,72.5,1.0
2014-01-27,0.0,33.4,21.4,8.2,3.9,27.12,64.25,3.666667
2014-01-28,4.6,29.4,22.2,0.0,6.1,25.68,72.25,1.0
2014-01-29,0.0,35.6,20.6,6.2,3.8,28.48,54.0,1.666667
2014-01-30,0.0,35.2,20.0,6.5,8.0,27.64,64.0,1.0
2014-01-31,0.0,31.6,23.4,2.8,7.0,26.52,77.25,1.666667
2014-02-01,0.0,35.2,21.4,8.0,3.0,28.44,57.5,1.666667
2014-02-02,2.0,36.4,22.6,9.9,6.5,29.36,55.0,1.666667
2014-02-03,0.0,35.6,21.0,8.8,8.5,28.48,59.0,3.666667
2014-02-04,0.0,35.0,21.8,5.2,7.2,27.76,63.5,1.666667
2014-02-05,1.2,35.4,21.8,6.6,5.6,27.48,73.25,1.666667
2014-02-06,0.0,36.0,22.4,8.1,5.2,28.72,51.75,3.666667
2014-02-07,5.8,34.8,22.4,7.3,8.4,27.12,68.5,1.666667
2014-02-08,0.0,35.2,22.2,6.8,5.7,27.24,73.75,2.333333
2014-02-09,3.5,34.2,22.4,7.4,4.9,27.08,69.5,2.333333
2014-02-10,0.0,37.0,22.6,10.0,6.0,29.72,53.25,3.0
