date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.8,27.2,20.4,1.7,4.6,22.48,86.75,0.866667
2014-01-02,4.1,28.6,19.6,7.1,1.9,23.4,83.25,3.066667
2014-01-03,0.5,30.0,21.0,3.3,3.0,23.44,85.5,3.0
2014-01-04,20.3,22.8,17.7,0.0,2.9,19.54,93.5,2.2
2014-01-05,10.5,21.5,16.8,0.0,0.9,18.82,94.0,0.8
2014-01-06,3.3,26.0,17.7,1.8,0.7,20.02,91.25,2.6
2014-01-07,23.6,28.2,16.0,7.3,1.8,20.04,83.25,1.9
2014-01-08,2.1,28.4,16.5,4.7,2.9,21.46,83.0,1.333333
2014-01-09,0.0,28.0,17.8,4.0,3.1,22.12,80.5,1.8666669999999999
2014-01-10,0.0,31.4,16.4,10.8,3.8,23.12,72.0,2.1333330000000004
2014-01-11,0.0,31.4,17.8,7.3,4.4,22.28,77.25,1.133333
2014-01-12,2.4,24.2,17.2,2.0,3.3,20.12,89.75,1.8
2014-01-13,15.7,25.6,17.8,3.7,1.1,19.76,89.75,2.066667
2014-01-14,6.5,25.0,16.6,2.4,1.9,19.8,91.0,2.0333330000000003
2014-01-15,10.3,25.4,16.8,3.1,1.4,19.4,93.0,0.933333
2014-01-16,18.3,27.6,16.4,7.0,1.0,19.9,85.25,1.666667
2014-01-17,11.0,28.0,14.4,7.0,1.9,19.48,86.25,0.766667
2014-01-18,0.1,28.4,15.1,9.4,2.2,19.58,76.75,1.133333
2014-01-19,0.0,29.4,14.6,8.8,3.9,19.36,76.0,0.733333
2014-01-20,0.0,30.0,13.4,9.6,4.4,20.88,70.25,1.233333
2014-01-21,0.0,31.4,15.0,10.5,3.9,22.2,73.5,1.5
2014-01-22,0.0,32.8,19.4,8.6,4.9,24.96,73.5,1.433333
2014-01-23,0.0,30.8,19.2,6.3,4.2,23.5,89.25,3.3666669999999996
2014-01-24,4.6,30.6,18.7,8.5,2.3,23.34,78.5,1.9
2014-01-25,5.9,30.6,19.6,6.0,3.5,22.32,85.25,1.8666669999999999
2014-01-26,23.6,29.6,19.3,9.3,2.3,22.7,80.0,2.0333330000000003
2014-01-27,3.6,30.0,17.8,8.5,3.1,22.0,83.5,1.2
2014-01-28,2.2,30.6,16.2,9.4,2.8,22.36,77.5,1.3
2014-01-29,0.0,31.1,17.6,10.1,3.4,23.5,74.0,1.533333
2014-01-30,0.0,31.0,17.3,10.9,2.9,23.3,70.25,1.7
2014-01-31,0.0,32.6,17.0,10.9,4.7,23.52,67.0,0.866667
2014-02-01,0.0,32.8,17.0,10.0,5.6,23.8,74.75,1.2
2014-02-02,0.0,32.8,17.6,8.5,4.8,24.1,63.25,1.533333
2014-02-03,0.0,31.3,19.2,7.9,7.1,24.28,81.5,0.766667
2014-02-04,1.2,33.4,17.0,8.9,2.8,24.56,70.0,1.4
2014-02-05,0.0,33.8,18.5,8.7,4.4,25.6,62.0,2.233333
2014-02-06,0.0,33.2,17.8,9.2,4.7,23.36,65.75,0.933333
2014-02-07,0.0,33.4,16.7,8.0,6.1,24.7,70.0,1.066667
2014-02-08,0.0,33.8,20.4,5.7,5.2,24.4,68.0,1.466667
2014-02-09,0.3,32.3,17.2,9.9,4.7,23.06,70.25,2.1333330000000004
2014-02-10,0.0,33.0,16.0,10.7,6.0,24.32,59.5,2.4
2014-02-11,0.0,32.4,19.2,9.5,6.3,23.04,67.25,1.9
2014-02-12,0.0,32.2,16.4,9.5,5.4,22.8,73.5,1.533333
2014-02-13,0.0,32.4,17.0,7.0,4.9,22.28,77.5,1.633333
2014-02-14,12.6,25.0,17.0,1.1,3.0,19.32,93.5,2.1333330000000004
2014-02-15,21.3,19.6,16.0,0.0,1.5,17.02,83.0,3.733333
2014-02-16,0.0,20.8,15.0,0.0,2.3,17.76,79.25,3.933333
2014-02-17,0.0,27.0,14.1,5.8,2.6,19.06,81.0,3.233333
2014-02-18,0.0,26.2,16.8,5.8,3.4,19.92,77.25,2.766667
2014-02-19,0.0,26.4,13.5,8.5,4.0,19.74,75.0,2.9666669999999997
2014-02-20,0.0,26.2,14.0,4.3,4.5,20.16,77.5,2.1333330000000004
2014-02-21,0.1,27.4,17.7,1.7,2.6,20.5,86.75,1.2
2014-02-22,13.3,21.2,17.6,0.0,2.0,19.16,95.25,1.6
2014-02-23,20.7,22.4,18.8,0.3,0.6,20.14,94.5,1.8666669999999999
2014-02-24,19.0,27.2,17.6,4.8,0.7,20.16,86.5,2.3
2014-02-25,39.5,28.0,15.7,7.0,3.7,20.78,81.5,1.7666669999999998
2014-02-26,0.0,29.2,18.3,7.2,0.7,23.06,78.5,2.0333330000000003
2014-02-27,13.4,26.4,19.9,4.0,3.1,21.64,85.25,2.266667
2014-02-28,7.3,26.4,15.2,4.9,1.7,18.0,85.0,1.266667
2014-03-01,0.0,27.2,14.0,8.7,2.0,19.2,74.25,1.9
2014-03-02,0.0,28.4,13.3,8.1,3.8,20.78,75.5,2.4
2014-03-03,0.0,24.4,17.7,0.2,3.9,20.02,84.75,2.2
2014-03-04,0.2,22.3,18.0,0.0,2.1,19.26,90.0,1.366667
2014-03-05,22.6,25.6,17.8,1.7,1.0,20.08,90.5,1.8
2014-03-06,13.4,28.0,15.6,8.3,0.8,19.84,83.25,1.033333
2014-03-07,0.0,27.2,16.2,8.1,3.0,19.96,81.25,0.866667
2014-03-08,0.0,26.8,16.0,8.4,3.3,20.4,78.5,1.633333
2014-03-09,0.0,28.4,16.0,6.2,2.9,20.0,77.5,1.9
2014-03-10,0.0,28.8,15.0,5.7,3.3,21.56,73.75,2.0333330000000003
2014-03-11,12.7,26.6,17.3,3.7,3.6,20.54,89.25,1.3
2014-03-12,0.2,24.4,17.6,0.7,1.8,19.68,88.5,0.6
2014-03-13,44.2,27.0,16.8,4.4,1.3,20.44,86.5,1.266667
2014-03-14,1.1,28.8,17.8,6.7,1.7,21.48,84.25,2.0333330000000003
2014-03-15,3.6,30.0,17.8,6.5,2.2,22.52,77.75,2.1333330000000004
2014-03-16,0.0,31.2,17.0,8.4,3.2,23.2,71.5,1.466667
2014-03-17,0.0,31.0,17.2,8.8,4.3,23.0,75.25,1.566667
2014-03-18,0.0,29.6,18.0,5.7,4.7,21.82,81.75,2.2
2014-03-19,0.5,28.2,16.3,5.3,3.3,21.3,80.0,2.6333330000000004
2014-03-20,14.7,20.7,17.2,0.0,2.6,18.94,92.75,2.766667
2014-03-21,13.3,26.6,18.2,2.5,0.8,21.04,89.75,2.333333
2014-03-22,3.6,25.0,17.3,4.7,1.4,19.26,78.0,1.066667
2014-03-23,0.0,21.0,14.0,7.2,2.2,16.36,83.5,1.533333
2014-03-24,0.0,23.6,13.7,9.1,3.0,17.74,76.25,3.433333
2014-03-25,0.0,25.8,12.4,7.7,3.4,18.4,74.5,2.7
2014-03-26,0.0,24.4,13.6,6.6,3.1,18.32,74.5,3.566667
2014-03-27,0.0,26.4,14.6,4.0,3.7,19.76,77.25,2.9
2014-03-28,0.0,27.6,15.9,9.8,3.4,19.98,74.25,2.8
2014-03-29,0.0,28.4,16.2,7.9,3.8,20.9,79.5,2.0
2014-03-30,2.4,21.7,19.0,0.0,3.5,19.58,97.25,2.2
2014-03-31,28.3,26.5,18.6,4.6,0.6,20.62,89.5,2.066667
2014-04-01,1.8,27.4,16.5,6.0,1.4,20.62,84.0,1.033333
2014-04-02,0.0,24.4,17.6,3.7,2.1,19.68,84.25,1.9666669999999997
2014-04-03,0.4,23.2,17.2,0.6,2.4,19.36,87.25,3.066667
2014-04-04,0.1,22.4,16.7,0.2,2.0,19.36,83.0,2.8
2014-04-05,0.0,27.8,15.5,7.8,1.9,20.32,80.0,2.3
2014-04-06,0.0,29.3,18.0,8.0,3.2,21.54,80.25,1.133333
2014-04-07,0.0,30.0,15.7,8.5,2.5,22.1,75.0,1.233333
2014-04-08,0.0,30.2,16.8,5.9,3.3,22.64,81.25,1.9
2014-04-09,12.4,23.0,16.8,0.0,2.4,18.32,95.0,1.633333
2014-04-10,12.3,26.3,13.9,4.7,0.3,19.74,85.5,1.9333330000000002
2014-04-11,0.2,24.7,18.2,0.3,2.1,20.5,86.25,2.4
2014-04-12,8.1,22.6,18.5,0.0,1.7,19.86,95.5,1.366667
2014-04-13,2.5,24.0,14.0,8.9,0.6,16.92,73.5,1.9333330000000002
2014-04-14,0.0,19.6,10.6,1.6,3.6,15.08,81.0,1.8666669999999999
2014-04-15,10.4,16.4,13.8,0.0,1.9,15.04,93.25,1.533333
2014-04-16,12.4,23.6,15.2,3.3,0.4,18.0,85.5,2.6333330000000004
2014-04-17,0.0,24.0,16.2,3.7,2.2,18.64,84.25,1.5
2014-04-18,6.3,24.8,16.4,4.9,1.9,18.88,86.75,1.133333
2014-04-19,2.3,21.8,14.7,0.0,1.6,17.3,93.5,0.2
2014-04-20,1.5,22.0,13.6,3.1,0.7,16.8,89.25,1.566667
2014-04-21,0.0,24.2,15.8,2.3,1.4,18.96,88.75,1.366667
2014-04-22,17.0,21.4,15.2,0.2,1.4,17.8,94.75,0.733333
2014-04-23,0.6,18.6,15.8,0.0,0.7,16.92,92.25,1.466667
2014-04-24,0.0,19.7,14.8,2.6,0.9,16.46,88.25,1.266667
2014-04-25,0.0,23.2,14.0,7.7,1.2,16.6,81.0,0.933333
2014-04-26,0.0,22.0,14.0,5.5,2.1,16.48,76.5,2.833333
2014-04-27,0.0,21.0,13.0,8.4,2.3,14.96,78.5,2.1333330000000004
2014-04-28,0.0,21.0,10.6,6.1,2.8,14.64,80.75,2.8
2014-04-29,0.0,21.8,6.7,6.1,2.8,13.82,84.0,1.8
2014-04-30,0.0,19.8,11.6,0.0,2.2,15.84,85.25,1.366667
2014-05-01,14.2,21.2,15.2,1.8,2.0,17.0,84.75,2.2
2014-05-02,0.0,22.8,8.4,6.8,1.4,13.48,85.75,0.833333
2014-05-03,0.2,24.0,10.5,6.5,1.6,16.22,86.25,0.966667
2014-05-04,0.2,25.0,10.0,6.9,2.0,16.04,86.5,1.2
2014-05-05,0.0,20.3,14.2,0.0,2.3,16.98,92.5,0.1
2014-05-06,0.4,25.0,13.8,4.8,0.8,17.48,86.75,0.533333
2014-05-07,0.0,26.6,12.8,7.2,2.1,17.36,83.75,0.266667
2014-05-08,0.0,25.6,12.3,8.3,2.8,18.42,80.0,0.966667
2014-05-09,0.0,22.1,10.2,8.7,3.2,14.94,73.25,1.7333330000000002
2014-05-10,0.0,17.6,9.4,5.0,3.3,13.02,86.25,3.3666669999999996
2014-05-11,0.2,19.2,12.0,6.4,2.9,14.28,82.75,2.433333
2014-05-12,0.0,22.0,9.1,7.5,3.5,14.14,86.5,1.066667
2014-05-13,0.1,23.2,9.9,3.9,1.7,15.3,89.0,0.6
2014-05-14,0.0,16.6,13.6,0.0,1.7,14.72,95.5,0.333333
2014-05-15,4.4,22.6,12.8,5.0,0.4,15.96,91.0,0.666667
2014-05-16,1.1,22.5,13.5,5.4,1.5,15.84,86.5,0.366667
2014-05-17,0.0,16.8,11.8,0.8,2.1,13.32,94.0,0.866667
2014-05-18,0.3,21.2,10.5,4.3,0.8,14.08,90.75,1.2
2014-05-19,0.2,21.2,9.1,3.8,1.6,14.66,90.75,0.366667
2014-05-20,0.0,23.2,11.8,4.4,0.4,15.32,90.5,1.433333
2014-05-21,0.0,23.2,9.2,3.6,1.1,14.96,81.75,1.066667
2014-05-22,4.6,19.7,15.4,0.0,3.3,17.38,96.0,1.433333
2014-05-23,12.3,17.2,7.8,0.0,0.3,11.72,97.0,1.166667
