date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,14.1,29.6,20.4,2.4,2.4,23.04,86.25,1.333333
2014-01-02,5.4,28.2,20.2,5.1,2.1,24.28,89.25,1.0
2014-01-03,8.2,29.4,20.4,3.9,1.8,23.48,85.0,1.0
2014-01-04,17.8,28.6,20.2,1.7,2.6,22.76,85.5,1.0
2014-01-05,0.0,24.6,18.0,0.2,1.8,21.04,85.75,1.0
2014-01-06,0.6,28.4,18.4,1.1,1.1,21.28,91.75,1.0
2014-01-07,17.0,29.8,17.6,8.2,1.1,22.56,75.75,1.0
2014-01-08,0.0,30.6,18.0,6.5,3.0,22.92,85.5,1.0
2014-01-09,0.5,26.4,18.8,0.2,1.8,22.88,79.75,1.0
2014-01-10,0.0,31.9,18.2,11.7,2.0,23.86,69.0,1.0
2014-01-11,0.0,30.3,19.4,5.0,4.9,22.86,86.0,1.333333
2014-01-12,3.7,29.0,18.3,4.9,2.0,22.02,90.25,1.0
2014-01-13,33.6,25.3,18.8,2.7,1.6,21.34,89.5,1.0
2014-01-14,11.0,26.0,17.2,1.6,1.4,20.32,84.25,1.0
2014-01-15,0.3,26.6,17.6,2.2,1.6,20.4,87.0,1.0
2014-01-16,12.5,27.4,17.6,7.5,1.4,20.36,83.75,1.0
2014-01-17,32.2,29.2,15.2,10.0,2.0,21.56,79.5,1.0
2014-01-18,0.0,29.9,17.6,9.5,2.3,22.22,73.75,1.0
2014-01-19,0.0,30.4,16.4,11.4,3.0,22.2,66.5,1.0
2014-01-20,0.0,32.2,15.0,11.0,4.1,22.84,58.25,1.0
2014-01-21,0.0,32.4,16.4,8.9,4.9,23.48,70.0,1.0
2014-01-22,0.0,30.7,20.0,5.9,4.2,24.94,82.75,1.0
2014-01-23,3.4,30.6,20.8,7.3,3.2,24.56,85.75,1.0
2014-01-24,2.2,30.5,20.2,10.0,1.9,24.22,78.25,1.0
2014-01-25,18.2,30.1,20.2,6.5,3.4,23.42,81.75,1.0
2014-01-26,0.3,31.5,19.6,9.0,2.0,23.5,80.0,1.0
2014-01-27,24.1,30.6,18.2,7.0,2.0,22.68,78.25,1.0
2014-01-28,2.9,32.0,17.2,9.8,1.8,23.28,75.75,1.0
2014-01-29,2.8,32.2,18.4,9.4,2.8,23.52,77.5,1.0
2014-01-30,23.4,32.6,16.4,11.2,3.0,24.44,65.5,1.0
2014-01-31,0.0,32.8,19.2,11.2,4.4,24.92,65.0,1.0
2014-02-01,0.0,33.4,23.6,10.5,4.9,26.48,65.5,1.0
2014-02-02,0.0,34.7,19.9,10.4,5.4,26.52,58.0,1.0
2014-02-03,0.0,33.5,19.8,9.6,5.4,26.06,65.0,1.0
2014-02-04,0.0,34.1,19.2,10.2,4.6,26.46,62.25,1.0
2014-02-05,0.0,35.0,20.4,9.7,5.1,26.04,70.0,1.0
2014-02-06,3.5,34.7,20.2,10.8,4.0,26.26,59.0,1.0
2014-02-07,0.0,33.7,20.6,6.8,5.2,26.22,68.25,1.0
2014-02-08,9.8,34.1,20.2,8.0,4.1,26.34,59.75,1.0
2014-02-09,0.0,33.4,18.0,10.8,5.3,24.68,61.5,1.0
2014-02-10,0.0,35.9,18.8,11.0,4.8,26.22,58.75,1.0
2014-02-11,0.0,34.1,20.4,10.5,4.8,25.46,61.75,1.0
2014-02-12,0.0,30.0,18.8,6.9,4.5,24.2,75.75,1.0
2014-02-13,0.0,30.8,19.0,6.6,3.0,23.28,76.0,1.333333
2014-02-14,0.2,26.2,17.8,1.1,3.4,20.72,87.25,2.0
2014-02-15,28.0,21.6,17.2,0.0,1.2,18.52,80.25,2.666667
2014-02-16,0.0,23.1,16.0,3.4,2.2,19.26,77.25,3.333333
2014-02-17,0.0,27.8,15.0,6.4,2.9,20.44,75.25,2.0
2014-02-18,0.0,29.4,17.6,9.6,3.0,21.16,74.25,1.666667
2014-02-19,0.0,28.9,15.2,9.9,3.5,21.54,71.0,1.333333
2014-02-20,0.0,28.8,15.2,4.9,3.5,22.0,73.25,1.0
2014-02-21,3.2,26.7,18.7,0.1,2.6,20.92,87.75,1.0
2014-02-22,16.4,22.2,18.8,0.6,1.1,20.24,93.75,1.0
2014-02-23,8.4,24.2,19.8,1.2,0.6,21.4,89.0,1.0
2014-02-24,13.4,26.2,18.9,3.1,0.8,21.06,90.25,1.0
2014-02-25,9.8,27.8,17.0,7.3,1.1,22.24,83.0,1.0
2014-02-26,0.7,29.2,19.2,5.8,1.9,23.2,85.75,1.0
2014-02-27,6.4,27.3,20.6,3.8,2.9,22.38,93.0,1.0
2014-02-28,16.5,25.8,17.2,3.4,1.0,20.04,79.75,1.0
2014-03-01,0.2,27.3,13.4,8.2,2.4,19.18,75.5,1.333333
2014-03-02,0.0,29.4,14.0,8.5,2.3,20.68,76.0,1.0
2014-03-03,0.0,25.3,18.0,0.1,3.8,20.94,82.25,1.0
2014-03-04,0.0,26.2,18.4,1.1,1.6,21.08,86.0,1.0
2014-03-05,33.2,26.3,18.4,3.2,1.5,21.18,90.75,1.0
2014-03-06,0.6,29.3,18.7,7.0,1.0,22.0,73.75,1.0
2014-03-07,0.0,28.2,17.6,8.2,2.5,21.16,74.75,1.0
2014-03-08,0.0,29.3,17.2,8.5,2.5,21.54,73.0,1.0
2014-03-09,3.5,28.5,16.2,9.5,2.7,20.42,76.25,1.333333
2014-03-10,0.0,29.4,16.6,5.0,3.6,22.28,77.25,1.0
2014-03-11,1.8,28.1,18.8,5.8,3.5,22.22,79.25,1.0
2014-03-12,0.0,27.0,19.2,1.1,2.3,21.56,84.75,1.0
2014-03-13,3.6,28.2,18.2,6.0,1.2,21.8,81.5,1.0
2014-03-14,0.0,29.9,18.4,9.3,1.9,23.14,72.75,1.0
2014-03-15,0.0,30.1,18.4,5.6,3.2,23.02,79.25,1.0
2014-03-16,0.8,31.9,17.4,7.4,2.1,23.06,76.25,1.0
2014-03-17,0.0,31.3,18.2,7.3,3.0,22.78,77.75,1.0
2014-03-18,11.8,30.7,18.6,7.1,3.0,22.82,76.25,1.0
2014-03-19,5.0,28.0,17.2,4.5,2.5,21.36,85.25,1.0
2014-03-20,22.8,20.4,18.0,0.1,1.5,19.16,94.25,1.0
2014-03-21,24.6,24.7,18.4,3.0,0.2,21.02,91.75,1.0
2014-03-22,7.8,26.2,19.0,2.6,0.6,21.04,85.0,1.0
2014-03-23,0.0,24.0,16.0,6.7,1.6,18.44,78.0,1.0
2014-03-24,0.0,26.3,14.6,8.8,3.1,19.34,75.25,1.333333
2014-03-25,0.0,27.6,13.4,8.4,2.5,19.4,70.0,1.0
2014-03-26,0.0,26.8,13.6,9.5,2.7,19.4,74.25,1.666667
2014-03-27,0.0,28.0,15.6,7.2,3.2,21.24,75.0,1.0
2014-03-28,0.0,29.6,15.2,9.5,2.5,21.44,70.5,1.0
2014-03-29,0.0,30.1,16.8,8.5,2.9,22.66,72.25,1.0
2014-03-30,5.2,22.4,19.8,0.0,2.8,20.64,94.5,1.0
2014-03-31,26.8,26.5,20.0,4.7,0.3,21.86,88.75,1.0
2014-04-01,9.0,29.0,18.0,6.7,1.0,21.6,86.0,1.0
2014-04-02,0.0,27.6,19.2,5.4,1.6,21.48,78.0,1.666667
2014-04-03,0.0,24.3,18.2,0.6,2.1,20.78,87.0,1.333333
2014-04-04,0.6,24.7,17.2,1.9,1.5,20.14,84.5,1.333333
2014-04-05,0.0,28.6,16.4,9.0,1.8,21.88,74.75,1.0
2014-04-06,0.0,29.5,16.1,9.2,3.1,21.8,80.0,1.0
2014-04-07,0.0,29.6,17.2,7.4,2.9,22.44,80.5,1.0
2014-04-08,0.0,29.8,18.2,8.4,2.5,23.52,76.75,1.0
2014-04-09,11.0,22.8,17.2,0.0,3.1,18.56,96.0,1.0
2014-04-10,19.7,27.8,15.4,6.5,0.2,21.04,81.0,1.0
2014-04-11,0.0,26.8,18.0,0.5,2.0,21.92,81.0,1.0
2014-04-12,5.8,22.6,19.6,0.0,1.4,20.68,94.25,1.666667
2014-04-13,9.8,25.2,15.4,5.7,0.5,18.08,71.25,1.0
2014-04-14,0.0,22.6,13.2,1.3,2.6,17.0,82.75,1.0
2014-04-15,2.6,19.3,15.0,1.2,1.4,16.42,92.25,1.0
2014-04-16,10.2,25.4,14.0,6.2,0.4,19.12,82.0,1.333333
2014-04-17,0.0,27.0,16.4,7.7,1.5,20.32,81.25,1.0
2014-04-18,5.4,25.2,17.4,5.5,1.5,20.4,84.25,1.0
2014-04-19,0.0,21.2,15.6,0.2,1.7,17.8,94.5,1.0
2014-04-20,12.6,25.2,13.6,4.7,0.3,18.12,85.5,1.0
2014-04-21,0.0,25.2,15.8,1.6,1.0,19.6,87.5,1.0
2014-04-22,1.6,23.6,17.8,4.3,1.9,19.16,88.5,1.0
2014-04-23,0.0,24.6,17.2,3.6,1.5,19.24,85.25,1.0
2014-04-24,0.0,25.0,16.2,5.9,1.3,18.72,80.5,1.0
2014-04-25,0.0,24.2,14.4,8.4,1.6,18.28,77.25,1.0
2014-04-26,0.0,23.8,14.6,7.6,2.1,17.8,77.0,1.0
2014-04-27,0.0,22.2,12.2,8.0,2.0,15.44,79.25,1.333333
2014-04-28,0.0,22.5,12.0,9.1,2.4,16.5,75.0,1.0
2014-04-29,0.0,23.8,9.2,7.6,2.4,15.72,79.75,1.0
2014-04-30,0.0,22.8,13.4,0.8,1.7,18.08,77.25,1.0
2014-05-01,15.2,20.6,16.0,0.7,1.9,17.28,84.5,1.666667
2014-05-02,0.0,23.4,12.2,8.1,1.5,16.0,84.5,1.0
2014-05-03,0.0,26.0,13.4,6.9,1.5,17.48,83.5,1.0
2014-05-04,0.0,25.5,11.9,8.8,1.4,17.72,81.75,1.333333
2014-05-05,0.0,20.8,15.6,0.0,2.2,17.72,93.75,1.0
2014-05-06,0.0,25.1,15.0,4.7,0.2,18.18,85.75,1.0
2014-05-07,0.0,26.4,13.2,8.8,1.7,17.96,82.75,1.0
2014-05-08,0.0,26.4,13.2,7.4,2.8,17.8,87.25,1.0
2014-05-09,5.7,24.6,12.4,9.0,1.6,16.2,75.25,1.0
2014-05-10,0.0,20.4,11.0,8.2,2.1,15.0,77.25,1.666667
2014-05-11,0.0,21.2,13.2,8.6,2.3,15.96,77.0,2.0
2014-05-12,0.0,24.4,9.6,8.0,2.2,14.84,84.5,1.0
2014-05-13,0.0,23.2,11.2,5.6,1.6,16.24,83.5,1.0
2014-05-14,0.0,17.0,13.0,0.0,1.4,15.32,94.25,1.0
2014-05-15,8.8,25.0,14.8,6.3,0.3,18.28,88.5,1.0
2014-05-16,0.1,23.2,15.2,3.1,1.0,16.96,87.5,1.0
2014-05-17,0.0,21.4,13.8,6.0,1.0,16.2,86.5,1.0
2014-05-18,0.0,23.2,12.3,6.2,1.1,15.82,87.25,1.0
2014-05-19,0.0,23.2,11.4,5.0,1.1,16.0,90.25,1.0
2014-05-20,0.0,23.8,13.2,6.5,0.9,16.44,87.25,1.0
2014-05-21,0.0,24.2,11.2,4.3,1.2,17.28,77.25,1.0
2014-05-22,21.6,19.5,13.4,0.0,2.0,16.98,97.5,1.0
2014-05-23,21.8,18.4,9.4,0.0,0.2,12.8,96.0,1.333333
2014-05-24,34.2,14.6,9.4,0.0,0.2,12.4,95.5,1.0
2014-05-25,1.4,14.1,11.2,0.0,0.2,13.22,96.25,1.0
2014-05-26,49.9,14.1,10.8,0.5,0.3,11.62,91.75,1.333333
2014-05-27,0.0,16.0,9.4,0.7,0.5,11.2,92.75,1.0
2014-05-28,0.0,18.7,7.4,5.2,0.6,11.1,88.25,1.0
2014-05-29,0.0,16.7,8.2,3.2,0.9,11.42,90.5,1.0
2014-05-30,0.0,21.5,8.2,8.7,1.0,13.38,85.0,1.0
2014-05-31,0.0,14.8,9.6,0.0,1.4,12.96,96.0,1.0
2014-06-01,14.6,21.7,10.8,7.9,0.2,14.38,85.5,1.333333
2014-06-02,0.0,18.6,5.6,9.0,2.3,9.76,81.0,1.0
2014-06-03,0.0,20.4,3.2,9.2,1.5,9.24,81.0,1.0
2014-06-04,0.0,21.8,3.2,8.2,2.9,11.04,75.5,1.0
2014-06-05,5.2,21.0,6.2,1.9,1.0,15.52,90.0,1.0
2014-06-06,40.0,20.4,13.6,0.0,0.6,17.64,95.0,1.0
2014-06-07,100.7,21.8,17.6,0.0,0.5,20.12,90.25,1.0
2014-06-08,33.8,22.5,17.2,0.0,0.5,18.78,94.25,1.0
2014-06-09,19.8,18.6,13.6,0.4,1.0,15.04,92.0,1.0
2014-06-10,0.0,17.5,12.7,0.0,0.4,15.32,88.75,1.0
2014-06-11,0.0,20.2,14.2,5.6,1.4,15.92,88.25,1.333333
2014-06-12,0.0,24.2,14.6,8.7,1.3,18.12,80.0,1.0
2014-06-13,0.0,25.2,13.2,8.6,2.1,17.44,85.0,1.0
2014-06-14,0.2,22.0,14.4,1.0,1.8,17.08,92.75,1.0
2014-06-15,4.5,22.9,14.8,3.9,0.5,17.78,91.25,1.0
2014-06-16,0.0,22.9,14.0,3.6,0.9,17.26,91.0,1.0
2014-06-17,0.0,26.6,13.6,8.6,0.7,17.0,86.5,1.0
2014-06-18,33.0,23.9,14.0,6.3,1.4,16.22,91.0,1.0
2014-06-19,0.0,18.3,11.2,3.1,1.3,13.38,88.5,1.0
2014-06-20,0.0,15.6,8.6,3.1,1.0,10.44,85.0,1.0
2014-06-21,0.0,17.7,5.2,7.2,1.0,9.94,85.75,1.0
2014-06-22,0.0,22.6,6.0,8.8,0.9,12.92,83.0,1.0
2014-06-23,0.0,25.2,8.4,8.8,1.5,15.6,81.75,1.0
2014-06-24,0.0,24.1,11.6,7.0,1.4,17.14,83.25,1.0
2014-06-25,0.0,24.0,14.4,3.3,1.6,18.04,81.5,1.0
2014-06-26,0.0,24.0,12.8,5.7,2.5,18.04,80.5,1.0
2014-06-27,0.0,24.7,14.1,1.2,1.5,18.8,80.5,1.0
2014-06-28,0.0,20.6,14.6,0.1,1.7,16.2,94.5,1.333333
2014-06-29,31.5,15.4,11.3,1.3,0.2,12.34,89.5,1.666667
2014-06-30,0.3,16.6,7.4,9.1,1.2,10.2,81.5,1.333333
2014-07-01,0.0,18.8,1.8,7.2,2.1,8.72,73.0,1.0
2014-07-02,0.0,20.2,4.6,3.4,2.0,13.32,79.75,1.0
2014-07-03,0.0,24.8,11.0,3.7,1.3,16.92,85.75,1.0
2014-07-04,0.0,27.4,13.6,8.6,1.2,18.64,77.5,1.0
2014-07-05,0.0,27.4,13.4,8.6,2.3,18.4,75.75,1.0
2014-07-06,0.0,21.8,13.8,1.3,2.8,17.12,82.75,1.0
2014-07-07,0.0,23.0,14.4,7.0,1.4,16.8,84.5,1.0
2014-07-08,0.0,18.8,14.6,0.6,1.4,15.52,88.5,1.0
2014-07-09,0.0,16.8,13.2,0.0,1.1,14.48,90.25,1.0
2014-07-10,0.8,17.4,12.8,1.7,0.7,14.0,88.25,1.0
2014-07-11,0.0,17.8,10.0,2.9,0.9,12.64,86.25,1.0
2014-07-12,0.0,20.6,8.8,6.1,1.2,13.36,85.5,1.0
2014-07-13,0.0,22.1,10.0,8.5,1.1,14.58,83.0,1.0
2014-07-14,0.0,23.8,9.6,8.7,2.3,14.36,80.75,1.0
2014-07-15,0.0,22.8,10.0,8.4,1.8,14.52,82.5,1.0
2014-07-16,1.4,22.0,11.0,4.5,1.6,15.44,87.0,1.0
2014-07-17,1.2,23.0,11.2,3.3,1.0,16.16,86.5,1.0
2014-07-18,17.8,19.1,9.2,6.0,1.1,12.3,77.75,1.0
2014-07-19,0.0,18.0,3.4,9.2,2.2,8.6,76.0,1.0
2014-07-20,0.0,21.4,3.8,9.1,1.8,10.24,78.5,1.0
2014-07-21,0.0,21.9,5.4,8.6,1.9,11.9,78.75,1.0
2014-07-22,0.0,24.4,8.6,7.6,1.8,14.52,82.75,1.0
2014-07-23,0.0,24.6,10.0,7.0,2.1,16.72,77.0,1.333333
2014-07-24,19.5,16.0,10.0,0.0,2.7,13.24,95.0,1.0
2014-07-25,42.5,16.0,5.0,9.0,0.4,8.96,82.0,1.0
2014-07-26,0.0,18.5,5.4,9.2,1.3,9.62,77.5,1.0
2014-07-27,0.0,15.3,6.6,0.2,1.2,11.42,87.0,1.0
2014-07-28,0.0,17.4,9.8,0.2,1.3,12.92,87.5,1.0
2014-07-29,0.0,18.0,10.6,0.2,1.0,13.72,84.75,1.0
2014-07-30,0.0,23.1,9.4,8.7,0.7,14.66,85.0,1.0
